year, MPI-ESM1-2-LR, CNRM-ESM2-1, CMCC-ESM2, CESM2-WACCM, UKESM1-0-LL, GFDL-ESM4, IPSL-CM6A-LR, ACCESS-ESM1-5, MIROC-ES2L
2.028000000000000000e+03, 1.105544323664614739e-09, 3.759512098554156066e-11, 1.354871258611522773e-10, 7.059901733828787698e-10, 1.737922290122396840e-11, 2.216620697981182541e-09, 1.279599978928687287e-09, 9.271770081312785542e-11, 9.729103131214920203e-10
2.029000000000000000e+03, 1.108669714492518418e-09, 3.712099965125675599e-11, 1.348602306746911627e-10, 6.419962614236673174e-10, 1.620743178412282912e-11, 2.135220529608357358e-09, 1.255619010786308985e-09, 8.992652057439269305e-11, 9.823222333475447069e-10
2.030000000000000000e+03, 1.133975980652928944e-09, 3.666133389682868998e-11, 1.346357743565587264e-10, 7.502864225793593340e-10, 1.513245928023564202e-11, 2.116597187599267509e-09, 1.321482013639139260e-09, 8.726951111700678657e-11, 1.046935925305701810e-09
2.031000000000000000e+03, 1.152082999832539706e-09, 3.601532352052069064e-11, 1.347097301154050129e-10, 6.277418600362795822e-10, 1.429904421038643119e-11, 2.104594596484501718e-09, 1.420513721205144783e-09, 1.088470535693567804e-10, 1.069888739129013024e-09
2.032000000000000000e+03, 1.141802781020326359e-09, 3.647149002628312610e-11, 1.348550739688444748e-10, 6.644035392862960072e-10, 1.625381456617121173e-11, 2.257944449405219020e-09, 1.416405395698809143e-09, 1.099826186445047829e-10, 1.082271202870085525e-09
2.033000000000000000e+03, 1.139874652196999511e-09, 3.765990772075093468e-11, 1.350725811054706872e-10, 7.155665246090764793e-10, 2.089419577901678376e-11, 2.181767183319274643e-09, 1.500913415827896696e-09, 1.104792376791500196e-10, 1.098375365892734280e-09
2.034000000000000000e+03, 1.174695683859575805e-09, 3.884392477261289880e-11, 1.353427751679985218e-10, 6.712230634686509640e-10, 3.116254618400097810e-11, 2.140000066898347487e-09, 1.469209257773699369e-09, 1.101554191762256946e-10, 1.106831151346940323e-09
2.035000000000000000e+03, 1.211639359827026203e-09, 4.031899897609939813e-11, 1.360535124981204321e-10, 6.356274899729739335e-10, 3.680616996762325182e-11, 2.083963777617032649e-09, 1.478780134087358413e-09, 1.101613830626679797e-10, 1.122672690725261415e-09
2.036000000000000000e+03, 1.212048671977717332e-09, 4.286181337846337800e-11, 1.370448016650897102e-10, 7.085285743071486524e-10, 2.346236632717943090e-11, 2.155902968576438053e-09, 1.434292187795170190e-09, 1.076621195437739119e-10, 1.123197900089536264e-09
2.037000000000000000e+03, 1.239759712983650001e-09, 4.444987689687398980e-11, 1.379556128972158572e-10, 5.743425219154434775e-10, 1.605419100251947062e-11, 2.128001451957987113e-09, 1.504525932688777505e-09, 1.069970121788103012e-10, 1.125585703273540093e-09
2.038000000000000000e+03, 1.249264224748287273e-09, 4.619118632995338036e-11, 1.390451711033861365e-10, 7.164024841332855655e-10, 1.307641331739707918e-11, 2.220000209066791470e-09, 1.624660887069720628e-09, 1.069046099560287322e-10, 1.134560361092712630e-09
2.039000000000000000e+03, 1.256717091019595481e-09, 4.779875981634385507e-11, 1.401377821002562477e-10, 6.607280204176455819e-10, 1.174353933900524847e-11, 2.222582300879103050e-09, 1.579229104984912617e-09, 1.072235810084709095e-10, 1.140030266889820754e-09
2.040000000000000000e+03, 1.187498707231182395e-09, 4.945115571068897594e-11, 1.396881002309860757e-10, 6.326850060285196762e-10, 1.171783833882994399e-11, 2.246693700877192949e-09, 1.559451612614198409e-09, 1.071786801678159719e-10, 1.058363431209436108e-09
2.041000000000000000e+03, 1.146507520561264916e-09, 5.043881545127978608e-11, 1.380658088284783085e-10, 7.509267093544925864e-10, 1.016955469080736445e-11, 2.178627512343333839e-09, 1.553124790395715704e-09, 8.921343883098529645e-11, 1.042304733562751257e-09
2.042000000000000000e+03, 1.143100166225921500e-09, 4.818267570858406557e-11, 1.366441197202962490e-10, 7.187300853081881865e-10, 8.962193952839556413e-12, 2.300032797202401995e-09, 1.522716906955986903e-09, 8.108912033348663711e-11, 1.035102294304902203e-09
2.043000000000000000e+03, 1.123930070147253211e-09, 4.539742499149074730e-11, 1.353504596511502094e-10, 6.956089171395481134e-10, 8.218587340930948987e-12, 2.218610956350269643e-09, 1.420020769950717345e-09, 7.693643144285468583e-11, 1.028565930706711642e-09
2.044000000000000000e+03, 1.111048382564547163e-09, 4.208123073748263732e-11, 1.341862026614590568e-10, 7.221142522535391298e-10, 7.681480149928955552e-12, 2.304398070988972497e-09, 1.530263775124259910e-09, 7.409828351622866564e-11, 1.015066044205811850e-09
2.045000000000000000e+03, 1.098725222333473195e-09, 3.829234866400504800e-11, 1.337669623640244400e-10, 7.180002341841632540e-10, 7.240945580461717306e-12, 2.317765837654702696e-09, 1.516294402651615444e-09, 7.180515198123772293e-11, 1.032978645265568141e-09
2.046000000000000000e+03, 1.108380545007162454e-09, 3.510024666141410259e-11, 1.339716345162396756e-10, 7.239752657002299121e-10, 6.904353711685715692e-12, 2.263740548577963256e-09, 1.528829363451232668e-09, 7.123075174110307009e-11, 1.030631897259200912e-09
2.047000000000000000e+03, 1.109629525522391726e-09, 3.219530954459647275e-11, 1.340477268728402175e-10, 6.277096201785998328e-10, 6.637612237868288542e-12, 2.038111237116041255e-09, 1.479120973159296548e-09, 7.007544533890180940e-11, 1.030059221209257093e-09
2.048000000000000000e+03, 1.128020680147968062e-09, 2.977991805241734717e-11, 1.338848908998028563e-10, 7.338657961242571050e-10, 6.383250703589779569e-12, 2.265006529846078096e-09, 1.510571434232936774e-09, 6.876579391531852281e-11, 1.028597210617272080e-09
2.049000000000000000e+03, 1.124065138059919516e-09, 2.742271180265269291e-11, 1.335554600708969702e-10, 6.262138127576543810e-10, 6.099935632464631587e-12, 2.069118556100005727e-09, 1.542119670170799793e-09, 6.789897842567992332e-11, 1.028772038978427957e-09
2.050000000000000000e+03, 1.159129193615074185e-09, 2.012225575821533075e-11, 1.332188199442506864e-10, 6.361307651776230265e-10, 5.912362355774578356e-12, 2.190033667334846138e-09, 1.561092901045535953e-09, 6.795766019761737446e-11, 1.032143567100530840e-09
2.051000000000000000e+03, 1.155320035705415230e-09, 1.947555082845973766e-11, 1.317389309552617933e-10, 7.410868036057931852e-10, 6.025523801413739039e-12, 2.183942735578601766e-09, 1.495529418911660069e-09, 7.068927715702213801e-11, 1.032873540207271426e-09
2.052000000000000000e+03, 1.162494987532162563e-09, 2.047838839243971484e-11, 1.294841302334273391e-10, 8.020053664360731579e-10, 6.093015404282965105e-12, 2.225252920848069946e-09, 1.514345765883046635e-09, 6.768903550950423087e-11, 1.031760391252303101e-09
2.053000000000000000e+03, 1.162209647123619579e-09, 1.992548760615791575e-11, 1.276363370985368145e-10, 7.256021423775980907e-10, 6.014746300069756486e-12, 2.176061801296339036e-09, 1.589021454979012905e-09, 6.616115748038690805e-11, 1.035269752889080911e-09
2.054000000000000000e+03, 1.146711605671394873e-09, 1.966052389846302910e-11, 1.259831585747272236e-10, 7.189050540354097441e-10, 7.561816125928135389e-12, 2.185064915549728080e-09, 1.622886071266261767e-09, 6.517316438422155310e-11, 1.038093298473680644e-09
2.055000000000000000e+03, 1.195336585627821314e-09, 2.026231703504725110e-11, 1.247516013871300092e-10, 7.358865084731754394e-10, 1.229931081286836971e-11, 2.108027185559630264e-09, 1.583367951173931056e-09, 6.452085503031885428e-11, 1.066197568589962109e-09
2.056000000000000000e+03, 1.217870944248018196e-09, 2.133068138446574332e-11, 1.238254035076050596e-10, 7.240711278742858583e-10, 1.243207167975829560e-11, 2.093258853802034679e-09, 1.710138028807882773e-09, 7.047775782381543772e-11, 1.066774473021834590e-09
2.057000000000000000e+03, 1.214673145268122069e-09, 2.329213697774447987e-11, 1.229034766329555030e-10, 7.112675793082073878e-10, 2.288698259092685071e-11, 2.106033954153065440e-09, 1.671518106613098943e-09, 7.250825600607807626e-11, 1.068935585752607086e-09
2.058000000000000000e+03, 1.214865645136709899e-09, 2.527945314033754321e-11, 1.220273618734817753e-10, 8.185888990771652802e-10, 4.725905684488416920e-11, 2.294642860455137696e-09, 1.781441642649062732e-09, 7.368853187799650651e-11, 1.074921425051180648e-09
2.059000000000000000e+03, 1.231854977604124808e-09, 2.719482239468327440e-11, 1.212646751626843194e-10, 7.587064631056018481e-10, 6.504455314946326535e-11, 2.074478716807417576e-09, 1.793447060639524743e-09, 7.430301437295278348e-11, 1.076099662849718037e-09
2.060000000000000000e+03, 1.256715134877227495e-09, 2.987213729826706837e-11, 1.217947618027388493e-10, 7.609700581921804014e-10, 7.576533078287354197e-11, 2.005870230036239416e-09, 1.808157712063280260e-09, 7.462391562424399979e-11, 1.120156957415949691e-09
2.061000000000000000e+03, 1.278841122091341848e-09, 3.119463779563145198e-11, 1.231669186463585341e-10, 7.746320659413642506e-10, 5.241163791723504660e-11, 2.251465917351476767e-09, 1.724763638486136260e-09, 8.975462973198744329e-11, 1.126675831326531677e-09
2.062000000000000000e+03, 1.299700830936413271e-09, 3.169914365135329925e-11, 1.239837363865845713e-10, 7.814977193641001654e-10, 4.058979096436232021e-11, 2.158112736739279575e-09, 1.898179873639165590e-09, 8.832675291159601549e-11, 1.131702149745162190e-09
2.063000000000000000e+03, 1.300458761079861886e-09, 3.220699320010016045e-11, 1.243742750985904408e-10, 7.610428882889141833e-10, 3.637312255296792471e-11, 2.167648195064517585e-09, 1.905758299879108090e-09, 8.856485427129099388e-11, 1.141860054762859273e-09
2.064000000000000000e+03, 1.301521511185214961e-09, 3.278753699861134201e-11, 1.244744533720382739e-10, 8.676770346823304592e-10, 3.488949934640058046e-11, 2.196891516429887234e-09, 1.932179813346149087e-09, 8.951587158680900211e-11, 1.141018355578053735e-09
2.065000000000000000e+03, 1.284604455754615762e-09, 3.346186356351660113e-11, 1.238008810246308404e-10, 8.089772943725254769e-10, 3.529300416621044500e-11, 2.200173162077710068e-09, 2.045690864861681569e-09, 9.010963025193493475e-11, 1.112637975382395849e-09
2.066000000000000000e+03, 1.245667881088652370e-09, 3.324701760393698436e-11, 1.225941655707839427e-10, 8.815905676873078612e-10, 3.510443751172010842e-11, 2.370568083769778181e-09, 1.869715548345481879e-09, 8.833182856485642636e-11, 1.104818430466678295e-09
2.067000000000000000e+03, 1.241551201651465978e-09, 3.167961300082335840e-11, 1.215158547552744305e-10, 8.202505164460617968e-10, 3.480280583825985913e-11, 2.163328686288859941e-09, 1.987904316182793024e-09, 8.765609059905693281e-11, 1.099946434341197018e-09
2.068000000000000000e+03, 1.263687510527118652e-09, 3.022255267639471802e-11, 1.205337397467648950e-10, 7.291792566770818593e-10, 3.621265201887729185e-11, 2.344314877130716390e-09, 1.974742895673547033e-09, 8.733024670841453427e-11, 1.095207952748653919e-09
2.069000000000000000e+03, 1.256389389558754578e-09, 2.798404770979892409e-11, 1.196059519805669461e-10, 7.373947866901019307e-10, 3.785114619484583735e-11, 2.306128510954187534e-09, 1.985888049451596887e-09, 8.719686259356199996e-11, 1.098552456986877050e-09
2.070000000000000000e+03, 1.304605372963712612e-09, 2.549686425599199629e-11, 1.197257278182323844e-10, 8.186239608790155474e-10, 3.682749498449171928e-11, 2.312215876861726339e-09, 2.046100607951235982e-09, 8.700621726349057670e-11, 1.162502504623819723e-09
2.071000000000000000e+03, 1.355900839730092476e-09, 2.376317168268657278e-11, 1.204445743701308996e-10, 8.218431483071357905e-10, 2.730970605736720062e-11, 2.406328279967745428e-09, 2.044046833065625577e-09, 8.622394348813269081e-11, 1.168047936103700182e-09
2.072000000000000000e+03, 1.359789447143046321e-09, 2.318822957314826512e-11, 1.206309607802756069e-10, 8.470787727511526065e-10, 2.259731851019866967e-11, 2.283070499911610179e-09, 1.905931178528940900e-09, 8.579447057431230432e-11, 1.178182467818410190e-09
2.073000000000000000e+03, 1.370230740035108565e-09, 2.282653345704872997e-11, 1.203420342709575299e-10, 8.389683274027954145e-10, 2.062681631382866476e-11, 2.341052549478417835e-09, 2.128240627266942108e-09, 8.581430125555470390e-11, 1.194390432328318521e-09
2.074000000000000000e+03, 1.383084037896599799e-09, 2.279483527724457391e-11, 1.197376985575973269e-10, 8.562962204691286031e-10, 1.956142172278795168e-11, 2.348841316372763398e-09, 2.176165539755341821e-09, 8.834272848385574502e-11, 1.204330580557427725e-09
2.075000000000000000e+03, 1.374807166697123379e-09, 2.294352813681284739e-11, 1.189116487715843053e-10, 7.842113549195069116e-10, 1.861391593754452557e-11, 2.323598755656331064e-09, 2.264345925431390288e-09, 8.684488293715660927e-11, 1.207868477730681418e-09
2.076000000000000000e+03, 1.363334556979608652e-09, 2.442902423051350256e-11, 1.179165763444977508e-10, 9.418761467644837282e-10, 1.674460007145698389e-11, 2.227823801050860008e-09, 2.343939646154784713e-09, 7.511349522421635971e-11, 1.205438127774175330e-09
2.077000000000000000e+03, 1.366773212478693292e-09, 2.757482460567378819e-11, 1.168684046786087533e-10, 9.067597156939393436e-10, 1.974623052050518523e-11, 2.331740147744371632e-09, 2.268892498710642539e-09, 7.108092444975173975e-11, 1.209232433580402105e-09
2.078000000000000000e+03, 1.374315563511436643e-09, 3.104425313790100823e-11, 1.159043035098744052e-10, 9.191655949832228779e-10, 2.994202487111605953e-11, 2.241003031888170928e-09, 2.131747482865869956e-09, 6.897821353971203322e-11, 1.217523894452251163e-09
2.079000000000000000e+03, 1.396813746101813564e-09, 3.460203814413796890e-11, 1.153543914279848929e-10, 8.759790000602757208e-10, 4.530305690190571271e-11, 2.369069732193659209e-09, 2.436920697022192098e-09, 6.703280163371924401e-11, 1.226961637610494347e-09
2.080000000000000000e+03, 1.452980690566628495e-09, 3.839936467973294040e-11, 1.152699183098709800e-10, 8.754614562243413156e-10, 6.212858810926866745e-11, 2.331492502934326599e-09, 2.568550209565125604e-09, 6.590789379858912791e-11, 1.228154161906611055e-09
2.081000000000000000e+03, 1.465389508958827693e-09, 4.146547173100384733e-11, 1.151671292456171482e-10, 9.044270923935599208e-10, 6.623833611868982406e-11, 2.301839249957773415e-09, 2.473519306896958059e-09, 6.062565891192967610e-11, 1.235366493653302653e-09
2.082000000000000000e+03, 1.451348696305273052e-09, 4.307748216849436623e-11, 1.149652409863895613e-10, 9.703869689962774780e-10, 8.301557806758217593e-11, 2.134499238389869722e-09, 2.577173161478228952e-09, 5.757544781653645736e-11, 1.231940463657180523e-09
2.083000000000000000e+03, 1.423247652434673678e-09, 4.476214758817167397e-11, 1.146336373314237759e-10, 9.840067995714453865e-10, 9.972446093715946603e-11, 2.421948806467175058e-09, 2.575678052188840401e-09, 5.547841099556613002e-11, 1.234204015993584677e-09
2.084000000000000000e+03, 1.423855871593209923e-09, 4.623094214422620272e-11, 1.143043129787800875e-10, 8.667469278043904124e-10, 1.105477821276095227e-10, 2.160223912553844513e-09, 2.633721403908370400e-09, 5.354731582466960848e-11, 1.234407749364223798e-09
2.085000000000000000e+03, 1.446023272150167313e-09, 4.762304646524144124e-11, 1.139007391711545342e-10, 9.462110871197931711e-10, 1.128898579405158842e-10, 2.173121379137462363e-09, 2.689823649581432598e-09, 5.207878654052613414e-11, 1.215698564595291305e-09
2.086000000000000000e+03, 1.441805792807108205e-09, 4.738957525799863881e-11, 1.134411828026007809e-10, 9.867241756046547255e-10, 8.891773790505100184e-11, 2.348952367033209045e-09, 2.386977967150159527e-09, 5.555607970556341195e-11, 1.209345316517328088e-09
2.087000000000000000e+03, 1.432269554010447184e-09, 4.452572046117292572e-11, 1.130649868404473918e-10, 9.617967284794081898e-10, 8.365862231624923424e-11, 2.186264536753433365e-09, 2.528993057921747955e-09, 5.626717052478738626e-11, 1.223843583210560936e-09
2.088000000000000000e+03, 1.431962514952079794e-09, 4.165928416171267406e-11, 1.127323742856654885e-10, 1.009110607771558546e-09, 8.659174191795767330e-11, 2.354712090323427240e-09, 2.625107236735412138e-09, 5.621006807530824142e-11, 1.230176442829870332e-09
2.089000000000000000e+03, 1.428356354167395165e-09, 3.866367151810439406e-11, 1.123653266763180928e-10, 9.361133153119128193e-10, 8.924736457498610929e-11, 2.215703107815766839e-09, 2.576654826195100703e-09, 5.591920665613605655e-11, 1.251284254090297241e-09
2.090000000000000000e+03, 1.381405999845637609e-09, 3.564230959138674397e-11, 1.114819936286168687e-10, 9.990888348468739702e-10, 8.740236585757564047e-11, 2.107831057393916108e-09, 2.715133527782665150e-09, 5.552171282096063324e-11, 1.179819699647583912e-09
2.091000000000000000e+03, 1.374502922586959327e-09, 3.452101182333669406e-11, 1.102256471955876358e-10, 8.288129597912346138e-10, 6.233869358399177724e-11, 2.067984230602578072e-09, 2.651799735310538948e-09, 6.021539585852281960e-11, 1.154229843708004563e-09
2.092000000000000000e+03, 1.383192856853055445e-09, 3.146630095826886037e-11, 1.091664349709847528e-10, 9.985598664991037993e-10, 5.005692611826509690e-11, 2.087324126807415960e-09, 2.678720526489063440e-09, 5.322312461463936386e-11, 1.141864922244997156e-09
2.093000000000000000e+03, 1.360935132541534223e-09, 2.840379335996293246e-11, 1.081831427028094573e-10, 1.014938076972601615e-09, 4.608756580972877136e-11, 2.308385515894809767e-09, 2.563224306379550539e-09, 5.010708718577319857e-11, 1.126173987032541706e-09
2.094000000000000000e+03, 1.351363875660236301e-09, 2.543454339926483872e-11, 1.074239324528969699e-10, 9.318173088142593442e-10, 4.757042197132722024e-11, 2.228052312930713448e-09, 2.601499961500245885e-09, 4.839729419787242448e-11, 1.129459158856796820e-09
2.095000000000000000e+03, 1.317509363891799764e-09, 2.245578198201006306e-11, 1.059547435680977422e-10, 9.088392562040558115e-10, 4.750638680546076293e-11, 2.260428877792234467e-09, 2.594008758495115768e-09, 4.726410949765527653e-11, 1.113478251962291436e-09
2.096000000000000000e+03, 1.295238948861568738e-09, 2.166701693187422364e-11, 1.037968974048416225e-10, 1.089058465190641606e-09, 3.285221465403357711e-11, 2.291012042455744887e-09, 2.650717412651677964e-09, 4.865979634367616245e-11, 1.099042223282443259e-09
2.097000000000000000e+03, 1.286085823178840663e-09, 2.054942803466942277e-11, 1.019275505256020365e-10, 1.047710640771343906e-09, 2.461213082012877309e-11, 2.154443563905380641e-09, 2.436557315746117991e-09, 4.387518154310588918e-11, 1.091740137789585839e-09
2.098000000000000000e+03, 1.308863742080178791e-09, 1.934025596812536769e-11, 1.002821238483509878e-10, 9.387070695614411793e-10, 2.084115569962109712e-11, 2.166717435374754579e-09, 2.686333081429280249e-09, 4.147815157238418855e-11, 1.090860324003002098e-09
2.099000000000000000e+03, 1.282820871084475214e-09, 1.800105549901549136e-11, 9.880346238859415447e-11, 1.040343196718276243e-09, 1.850198834819096556e-11, 2.265184270582599875e-09, 2.722863704158685462e-09, 3.995468825342731166e-11, 1.076360683409257489e-09
2.100000000000000000e+03, 1.243801033354579300e-09, 1.601065070704800760e-11, 8.826759857863840888e-11, 9.665254328658862243e-10, 1.667254409652520560e-11, 2.107288151422396516e-09, 2.638014702904984611e-09, 3.879452434389873384e-11, 1.067378144707362935e-09
