year, MPI-ESM1-2-LR, CNRM-ESM2-1, CMCC-ESM2, CESM2-WACCM, UKESM1-0-LL, GFDL-ESM4, IPSL-CM6A-LR, ACCESS-ESM1-5, MIROC-ES2L
2.015000000000000000e+03, 1.382736574449383987e-09, 1.946194366526503435e-10, 1.549702454708419208e-10, 7.350510168107138013e-10, 1.662164823906224674e-10, 2.035309309301747586e-09, 1.423277115597338286e-09, 2.143187360135193981e-10, 1.166460188524855665e-09
2.016000000000000000e+03, 1.271646369414063520e-09, 1.988393022350889495e-10, 1.515951453674899611e-10, 7.060380846666181134e-10, 8.827561409418983417e-11, 2.074060540611141403e-09, 1.380164068105552139e-09, 3.658423408139189237e-10, 1.109528415161761440e-09
2.017000000000000000e+03, 1.238734091955429060e-09, 1.896880199800955147e-10, 1.487337010001659503e-10, 6.604161521505132487e-10, 5.784535334380529650e-11, 2.113695668866077858e-09, 1.505279284208138982e-09, 2.238266368568994422e-10, 1.074181827349245744e-09
2.018000000000000000e+03, 1.246228707064352538e-09, 1.842715009207534683e-10, 1.458390930210766368e-10, 7.387167591794835163e-10, 4.473084803646721559e-11, 2.210183411997013353e-09, 1.430554681889422329e-09, 1.664318826752921331e-10, 1.049707793844507977e-09
2.019000000000000000e+03, 1.234166084062158464e-09, 1.818534454556933236e-10, 1.430248638152274490e-10, 6.736258168766319442e-10, 3.804853466453621888e-11, 2.351093958102183241e-09, 1.406201502856101654e-09, 1.404461742762445057e-10, 1.028171484033348335e-09
2.020000000000000000e+03, 1.204086194057119808e-09, 1.255535945617881810e-10, 1.417280285403296373e-10, 7.176461387118264293e-10, 3.393330075657204695e-11, 2.249194947946929542e-09, 1.367668112512804044e-09, 1.265542454450272600e-10, 1.012442287027493730e-09
2.021000000000000000e+03, 1.189640411125452641e-09, 1.142177069377263234e-10, 1.415952957368252563e-10, 6.228601064629280672e-10, 3.071143688891773998e-11, 2.178750841712835623e-09, 1.362485185078073930e-09, 1.220691295879732978e-10, 9.977093630524936432e-10
2.022000000000000000e+03, 1.152954806235391387e-09, 1.030166870050315882e-10, 1.410810472145746923e-10, 7.122623723077080637e-10, 2.803982000824157886e-11, 2.264424027730875544e-09, 1.470397837332352144e-09, 1.169080909118787464e-10, 9.839179835790673537e-10
2.023000000000000000e+03, 1.130177809943100814e-09, 7.536826933005379801e-11, 1.403248830470915161e-10, 6.899150202396131061e-10, 2.570968000975856025e-11, 2.322488181957342252e-09, 1.370282854337661127e-09, 1.119530145468720638e-10, 9.837920953580992022e-10
2.024000000000000000e+03, 1.114631214425083254e-09, 5.119587595891425469e-11, 1.394465433260506563e-10, 6.291387087765739245e-10, 2.363774871548035678e-11, 2.222326106729623118e-09, 1.303224612835798928e-09, 1.073301375276210836e-10, 9.792255287528582193e-10
2.025000000000000000e+03, 1.122002966888733263e-09, 3.921542648930142796e-11, 1.383679404496957410e-10, 6.341632767272987232e-10, 2.188054273568610596e-11, 1.967502503774289115e-09, 1.359624325841861247e-09, 1.031438310414091915e-10, 9.778801684720512774e-10
2.026000000000000000e+03, 1.131319883848352397e-09, 3.869341688100357989e-11, 1.373045289523321442e-10, 6.888452384838627717e-10, 2.026989331394254732e-11, 2.166465622958820703e-09, 1.327573750322063964e-09, 9.955965543477024428e-11, 9.710227858133101602e-10
2.027000000000000000e+03, 1.122024835035415892e-09, 3.809770219868259328e-11, 1.363243308854053447e-10, 6.209866052420327540e-10, 1.877645147887428425e-11, 2.076941081594493117e-09, 1.287946443466671912e-09, 9.602346121844306729e-11, 9.747686971549970016e-10
