year, TaiESM1, INM-CM5-0, CanESM5, MPI-ESM1-2-LR, NorESM2-MM, CNRM-ESM2-1, CESM2-WACCM, IPSL-CM6A-LR, EC-Earth3-Veg, UKESM1-0-LL, GFDL-ESM4, ACCESS-ESM1-5, INM-CM4-8, CMCC-CM2-SR5, MIROC-ES2L, NorESM2-LM
2.015000000000000000e+03, 3.661396207857176677e+01, 4.276976490506954320e+01, 3.328038165783973312e+01, 4.183133592356666952e+01, 2.772126073407353886e+01, 2.869605153010125775e+01, 2.886259451767568862e+01, 3.229265428942681382e+01, 3.578403504465252638e+01, 3.771560866685850044e+01, 2.878699693035184382e+01, 3.449759315407252558e+01, 4.314237561233580465e+01, 2.552181508212073879e+01, 2.597840910146816640e+01, 3.061437613903508748e+01
2.016000000000000000e+03, 3.645396932220484132e+01, 4.428385368629410834e+01, 3.276952501424611341e+01, 4.105158405321031978e+01, 2.929120190048588768e+01, 2.912617717936515049e+01, 2.836088101692497787e+01, 3.407346193335793316e+01, 3.544680491026963409e+01, 3.710020407530560504e+01, 2.791287766937012904e+01, 3.473867466135794047e+01, 4.256772509297018559e+01, 2.473246787411519065e+01, 2.612520237160673275e+01, 3.134928437950514990e+01
2.017000000000000000e+03, 3.800655407865784952e+01, 4.253291899053810710e+01, 3.196055874044353828e+01, 4.314395399577762191e+01, 2.997494270365742608e+01, 2.999309369183499641e+01, 2.981068476939012868e+01, 3.268046992967921938e+01, 3.560353385571622198e+01, 4.186590199877367269e+01, 2.779996722629367056e+01, 3.604209813229097392e+01, 4.421486301791204454e+01, 2.521571613393367883e+01, 2.635231518319260147e+01, 3.168080471433555090e+01
2.018000000000000000e+03, 3.779482056779705346e+01, 4.303226029004464692e+01, 3.284946802205833194e+01, 4.272297926966021464e+01, 3.003008362574723122e+01, 2.764600500044704390e+01, 2.965245759261346947e+01, 3.351125271020414687e+01, 3.449110486165412226e+01, 4.141779446557886502e+01, 2.921064333205733732e+01, 3.696566812826957715e+01, 4.394852107561457899e+01, 2.545594597932091929e+01, 2.677994639185493853e+01, 3.181544321564283706e+01
2.019000000000000000e+03, 3.724019237810644256e+01, 4.493796339169416143e+01, 3.398244158208319732e+01, 4.146898011935376616e+01, 3.008751054303815309e+01, 2.986018954540167414e+01, 2.953789472132966054e+01, 3.464325387112605625e+01, 3.554165732029719038e+01, 3.862202808774539875e+01, 2.969365404160634014e+01, 3.756364389224993516e+01, 4.435650979773097902e+01, 2.567314887883803465e+01, 2.626058786666439815e+01, 3.180095754185289536e+01
2.020000000000000000e+03, 3.715358152813148962e+01, 4.506956816636119356e+01, 3.448867842591847932e+01, 4.156638322973899591e+01, 3.000188335006988183e+01, 2.839707648705904930e+01, 3.058448222997053279e+01, 3.402728295599111163e+01, 3.609896361889767036e+01, 4.255934488717735320e+01, 2.894616866070905559e+01, 3.677645356649615849e+01, 4.498685195406825699e+01, 2.545379714084445411e+01, 2.619130360449682016e+01, 3.143668566882771387e+01
2.021000000000000000e+03, 3.786424432680787788e+01, 4.455604594775109462e+01, 3.415349377891253368e+01, 4.269259519104467415e+01, 3.056355243110885311e+01, 2.817645303078726471e+01, 2.951546359605253045e+01, 3.511969174512622516e+01, 3.549390747119948486e+01, 4.166598982245809424e+01, 2.925727237568576911e+01, 3.597947205940353399e+01, 4.320387556966485221e+01, 2.510475984742661737e+01, 2.633106755368298835e+01, 3.145958200902807178e+01
2.022000000000000000e+03, 3.745977432883788083e+01, 4.256281638219905261e+01, 3.412235290336012383e+01, 4.251951634792810353e+01, 3.028119694450977661e+01, 2.751023279548484268e+01, 2.869474598895878614e+01, 3.446955568203890863e+01, 3.601876853438348292e+01, 4.119394928610502404e+01, 3.032483047718803704e+01, 3.676596694236089746e+01, 4.259286936666894974e+01, 2.566604383277998735e+01, 2.695949321036508195e+01, 3.205205365505365478e+01
2.023000000000000000e+03, 3.678905495332228526e+01, 4.568127038593883071e+01, 3.272569470575083272e+01, 4.386719773585365800e+01, 3.043571319824247823e+01, 2.919452811778712231e+01, 3.031845974473088745e+01, 3.479293526018894056e+01, 3.664692761802937326e+01, 3.863206142929351472e+01, 3.072273756458301719e+01, 3.595214651448447540e+01, 4.495229390294102956e+01, 2.565148342988360142e+01, 2.707074219671433113e+01, 3.255312175379949480e+01
2.024000000000000000e+03, 3.648699804811903391e+01, 4.282296158339156023e+01, 3.145041941482330472e+01, 4.459869533706670808e+01, 3.088343754740214919e+01, 2.904954741927049966e+01, 2.999549838791809364e+01, 3.481769032640723793e+01, 3.649590353969677636e+01, 4.000965956602359341e+01, 3.022926607800070542e+01, 3.417268545138860247e+01, 4.377590363607864532e+01, 2.593657428458711678e+01, 2.689069467144933867e+01, 3.222250930776134936e+01
