year, EC-Earth3-Veg, GFDL-ESM4, MPI-ESM1-2-LR
2.015000000000000000e+03, 7.511396667985163790e-10, 1.544835453688486870e-09, 2.852302442472553565e-09
2.016000000000000000e+03, 7.447459663841731767e-10, 1.565798706439132378e-09, 2.714307384860931233e-09
2.017000000000000000e+03, 7.474353826293168801e-10, 1.575092488067445025e-09, 2.718711197391770057e-09
2.018000000000000000e+03, 7.270017098257204267e-10, 1.620234440634154529e-09, 2.867721020328859397e-09
2.019000000000000000e+03, 7.160746435089565928e-10, 1.677356286523980583e-09, 2.746496313679887366e-09
2.020000000000000000e+03, 7.226867517616199892e-10, 1.663812217990886478e-09, 2.643272827567727630e-09
2.021000000000000000e+03, 7.322474338728092290e-10, 1.590464617963177354e-09, 2.730168875036490603e-09
2.022000000000000000e+03, 7.066870711360254964e-10, 1.683319752803703930e-09, 2.730875875831114592e-09
2.023000000000000000e+03, 7.296296536844512361e-10, 1.697679149498178279e-09, 2.894876039237102048e-09
2.024000000000000000e+03, 7.173801725615187160e-10, 1.637589525336959655e-09, 3.013760719039144565e-09
2.025000000000000000e+03, 7.328967988225180510e-10, 1.491535767657744186e-09, 2.734136842191925863e-09
2.026000000000000000e+03, 6.994669097760824691e-10, 1.598652981522326133e-09, 2.527218549902498814e-09
2.027000000000000000e+03, 7.054919689163523468e-10, 1.504371346324999145e-09, 2.623422600829360260e-09
2.028000000000000000e+03, 7.138377684007841978e-10, 1.618765687473417781e-09, 2.749751464388170228e-09
2.029000000000000000e+03, 7.066818968991209161e-10, 1.544749578768570283e-09, 2.873443841248728499e-09
2.030000000000000000e+03, 6.930523579058304290e-10, 1.516653586366615360e-09, 2.660993497480940775e-09
2.031000000000000000e+03, 6.906872424842088017e-10, 1.538187956960353665e-09, 2.326577363987725516e-09
2.032000000000000000e+03, 6.844096591416849838e-10, 1.612451132104630186e-09, 2.419264428481382282e-09
2.033000000000000000e+03, 6.902226253028295092e-10, 1.576057192361997414e-09, 2.908409264645358123e-09
2.034000000000000000e+03, 7.161410740625561101e-10, 1.556349828625572798e-09, 3.043146323250057899e-09
2.035000000000000000e+03, 6.680801841769632829e-10, 1.473970267919411828e-09, 2.764875772231818953e-09
2.036000000000000000e+03, 7.063471439373123256e-10, 1.586845997132735904e-09, 2.620953601799667537e-09
2.037000000000000000e+03, 6.954389152300826189e-10, 1.527014814796665282e-09, 2.931853440660531413e-09
2.038000000000000000e+03, 6.637258080473387213e-10, 1.555335759568362950e-09, 3.004773388760378615e-09
2.039000000000000000e+03, 7.016345704103227098e-10, 1.604054077911688075e-09, 2.901348612340707645e-09
2.040000000000000000e+03, 6.604879718001781902e-10, 1.635649966060290843e-09, 2.797831404527318390e-09
2.041000000000000000e+03, 6.963168260440320606e-10, 1.639208948991802124e-09, 2.795572171955749076e-09
2.042000000000000000e+03, 6.700304225670745058e-10, 1.679892680346126927e-09, 2.572186638349521882e-09
2.043000000000000000e+03, 6.929114561086684249e-10, 1.552893219650512545e-09, 2.472896890262336622e-09
2.044000000000000000e+03, 6.742452757991285052e-10, 1.640268962679282550e-09, 2.729328368604615067e-09
2.045000000000000000e+03, 6.973502476426025175e-10, 1.639839724686151867e-09, 2.736803482311216760e-09
2.046000000000000000e+03, 6.651068437509067126e-10, 1.639516905599912642e-09, 2.865140903101847651e-09
2.047000000000000000e+03, 6.876069133413683262e-10, 1.450205279742352641e-09, 2.825808932120748583e-09
2.048000000000000000e+03, 6.696763928388597236e-10, 1.567472260684635786e-09, 2.616374302987550406e-09
2.049000000000000000e+03, 6.690777572541162389e-10, 1.493614011409905625e-09, 2.784487499168611723e-09
2.050000000000000000e+03, 6.441723433749979611e-10, 1.489249801906237246e-09, 2.972719992165326618e-09
2.051000000000000000e+03, 6.706745361686348336e-10, 1.510933006504495453e-09, 3.008599888960709039e-09
2.052000000000000000e+03, 6.532205605252666756e-10, 1.548410157189708381e-09, 2.836401618497183254e-09
2.053000000000000000e+03, 6.556570696355276422e-10, 1.494053621624070100e-09, 3.020691280018623716e-09
2.054000000000000000e+03, 6.249335146163169005e-10, 1.546743903489136310e-09, 3.021043696587897016e-09
2.055000000000000000e+03, 6.528579138534437895e-10, 1.422666252131364700e-09, 2.857828017473089492e-09
2.056000000000000000e+03, 6.569029617670568584e-10, 1.405935883892027322e-09, 2.714105527575994354e-09
2.057000000000000000e+03, 6.461270129127233176e-10, 1.444699143685949773e-09, 2.537286228086856965e-09
2.058000000000000000e+03, 6.302320999619549151e-10, 1.577520003432937213e-09, 2.696718061938947557e-09
2.059000000000000000e+03, 6.375110798548884877e-10, 1.426069843487612385e-09, 2.593793148804319281e-09
2.060000000000000000e+03, 5.912671908064397411e-10, 1.328337477563066285e-09, 2.702353632524404392e-09
2.061000000000000000e+03, 6.489237367850889114e-10, 1.539869723619095269e-09, 2.450721440002373383e-09
2.062000000000000000e+03, 5.908490888117083776e-10, 1.450167523051322748e-09, 2.773854626449258604e-09
2.063000000000000000e+03, 6.377436773702192971e-10, 1.414528236979275051e-09, 2.965235055863235331e-09
2.064000000000000000e+03, 5.984763255079052869e-10, 1.436030282792915222e-09, 2.851085679536203256e-09
2.065000000000000000e+03, 6.266523781729018073e-10, 1.482429434358888169e-09, 2.879511272654497640e-09
2.066000000000000000e+03, 5.902999210005825607e-10, 1.547532075047874288e-09, 2.717601089594666921e-09
2.067000000000000000e+03, 6.176652776905862411e-10, 1.431098149127886502e-09, 2.861556092418715346e-09
2.068000000000000000e+03, 6.118676278508445272e-10, 1.527483676032239426e-09, 2.617920380506876458e-09
2.069000000000000000e+03, 5.953263019543978416e-10, 1.492225019828126003e-09, 2.710601750587352277e-09
2.070000000000000000e+03, 6.014081073459379118e-10, 1.466084853695158757e-09, 2.860488552914787058e-09
