year, MPI-ESM1-2-LR, CNRM-ESM2-1, EC-Earth3-Veg, CMCC-ESM2, UKESM1-0-LL, NorESM2-MM, IPSL-CM6A-LR, NorESM2-LM, TaiESM1, CESM2-WACCM
2.025000000000000000e+03, 5.431803715906152481e-10, 6.114946836857175754e-11, 2.559891498998182949e-10, 1.698541967205328938e-10, 2.188054266608533915e-11, 7.455933007244150271e-10, 8.611132687655573750e-11, 6.726195236773613132e-10, 2.053707152165519455e-10, 2.061467880666217606e-10
2.026000000000000000e+03, 5.412025813375949613e-10, 5.980549288427571410e-11, 2.505129642870751266e-10, 1.697858535192854995e-10, 2.026989343152516633e-11, 6.790484111585638452e-10, 1.009511589145809885e-10, 6.674330178068360207e-10, 2.049248430991254334e-10, 2.086264886707805557e-10
2.027000000000000000e+03, 5.355162198404597543e-10, 5.882365551094886351e-11, 2.410912373151179194e-10, 1.698818633169310805e-10, 1.877645161925699301e-11, 7.223390114370299048e-10, 1.009463259687886884e-10, 6.932582043125965837e-10, 2.003335458805051135e-10, 2.066922204859217461e-10
2.028000000000000000e+03, 5.290840746884628467e-10, 5.772736977105756844e-11, 2.434370167996124126e-10, 1.686716616915266563e-10, 1.737922277859807443e-11, 7.499402568614449567e-10, 1.012109898971563581e-10, 6.755635726919760400e-10, 1.983248270278957819e-10, 2.059912850147849127e-10
2.029000000000000000e+03, 5.257514778138840073e-10, 5.804792318000191908e-11, 2.299138757803940672e-10, 1.662833238688322895e-10, 1.620743183193170687e-11, 6.529590059929599121e-10, 1.018834322530342959e-10, 6.761946897014489323e-10, 1.980633635385608518e-10, 2.044658428497677710e-10
2.030000000000000000e+03, 5.443025604855138688e-10, 5.690568058537845970e-11, 2.408637025321878052e-10, 1.583476738401803460e-10, 1.513245927848295293e-11, 7.153357114299186392e-10, 1.012839748294387556e-10, 7.137838826676117803e-10, 2.007682304679054356e-10, 2.032051839011735016e-10
2.031000000000000000e+03, 5.532351764627444813e-10, 7.714250178019674799e-11, 2.837384674453878215e-10, 1.580208514240742463e-10, 1.429904412564050435e-11, 7.055353671343914606e-10, 1.531611212543815986e-10, 6.811243430485841970e-10, 2.003760515626530206e-10, 2.104511989186910748e-10
2.032000000000000000e+03, 5.502744308185109212e-10, 9.121476372409888073e-11, 2.737447947410991230e-10, 1.587570255733141372e-10, 1.625381458717872354e-11, 7.776851084894073791e-10, 1.560818317461655830e-10, 6.640093063909983653e-10, 2.013749855199151461e-10, 2.113207926363004324e-10
2.033000000000000000e+03, 5.542013871179069084e-10, 9.329965984992902990e-11, 2.762302031119849842e-10, 1.602772754177862302e-10, 2.089419560859467824e-11, 7.680588428204522467e-10, 1.585161056539269930e-10, 6.606997908774477566e-10, 2.012130070045361613e-10, 2.123243703062956742e-10
2.034000000000000000e+03, 5.616838570228669585e-10, 1.016060958304214284e-10, 2.780589348628045794e-10, 1.606685140162716841e-10, 3.116254621069026429e-11, 7.274736976849032509e-10, 1.598635542938694585e-10, 6.672899041476058565e-10, 2.009522180333608555e-10, 2.137430234244564322e-10
2.035000000000000000e+03, 5.924977830821005086e-10, 1.223177760463227149e-10, 2.733669055303807888e-10, 1.709344400488272070e-10, 3.680617009744777555e-11, 7.105140723139794420e-10, 1.601564204363456255e-10, 6.836365038845843442e-10, 2.131517154096980564e-10, 2.149411582871039662e-10
2.036000000000000000e+03, 6.090350068869850701e-10, 1.069151795000329872e-10, 2.828796400748276456e-10, 1.707502791915159813e-10, 2.346236618356969993e-11, 7.751068587072611451e-10, 1.793137905877358161e-10, 7.401319188624050551e-10, 2.156363358856804560e-10, 2.301457710528145997e-10
2.037000000000000000e+03, 6.146262343381136025e-10, 1.104584645037998751e-10, 2.796571952516729679e-10, 1.748329410819388993e-10, 1.605419098756599354e-11, 7.907882042452102875e-10, 1.806496477604967246e-10, 7.165198498466508234e-10, 2.162015941083533866e-10, 2.323644096091521577e-10
2.038000000000000000e+03, 6.225247289828253222e-10, 1.111176536195895781e-10, 2.832604324692014036e-10, 1.798662324551685311e-10, 1.307641346238831971e-11, 8.148864714150428370e-10, 1.797138954159414882e-10, 7.794502255558391099e-10, 2.185461757317370299e-10, 2.327353347290375428e-10
2.039000000000000000e+03, 6.282917549464459177e-10, 1.152093111570265570e-10, 2.845155048076145916e-10, 1.815743620083939160e-10, 1.174353940117980100e-11, 7.927770538154872253e-10, 1.802448242033739944e-10, 7.839214314167195544e-10, 2.196342510166346797e-10, 2.357878610863185138e-10
2.040000000000000000e+03, 5.626194180465756240e-10, 1.220856497041823491e-10, 2.840400708144001912e-10, 1.559159903773313239e-10, 1.171783831909236121e-11, 7.651290946725116729e-10, 1.837023118661210373e-10, 7.227605522126205233e-10, 1.865762284183840092e-10, 2.365613082531754422e-10
2.041000000000000000e+03, 5.182488629741251345e-10, 6.642630649372457562e-11, 2.134329930767984424e-10, 1.558869907706743523e-10, 1.016955478021401945e-11, 7.048925444779974354e-10, 1.130536081670968445e-10, 7.468191579491922964e-10, 1.840965544397300705e-10, 1.971662243107897932e-10
2.042000000000000000e+03, 5.058109989203480881e-10, 6.252807506292596515e-11, 2.112182524499488178e-10, 1.556615813241625018e-10, 8.962194006610957197e-12, 7.784989261598928367e-10, 1.117291507418891395e-10, 7.155140612060322645e-10, 1.825199127820377035e-10, 1.954602131025302031e-10
2.043000000000000000e+03, 4.969064601378287029e-10, 5.935137943142908477e-11, 2.073436276988801543e-10, 1.515417172280058252e-10, 8.218587371864665310e-12, 8.115608071109443531e-10, 1.098184564628817557e-10, 8.066600744561342346e-10, 1.796300277540513069e-10, 1.920577969272726473e-10
2.044000000000000000e+03, 4.916998730640813105e-10, 5.515628128499362099e-11, 2.105674512794818254e-10, 1.501549070448334108e-10, 7.681480204496887646e-12, 7.052371504913237338e-10, 1.088082642698007796e-10, 7.221837513394336497e-10, 1.788682313094096401e-10, 1.894157155340213849e-10
2.045000000000000000e+03, 5.112490508444871693e-10, 5.107043171191864985e-11, 2.005755702293529199e-10, 1.614373098007950029e-10, 7.240945505899878226e-12, 7.411534842380049256e-10, 1.074957109827503014e-10, 7.244230041647517016e-10, 1.912550356935238164e-10, 1.886280428298413614e-10
