year, UKESM1-0-LL, CESM2-WACCM, IPSL-CM6A-LR, CNRM-ESM2-1
2.015000000000000000e+03, 1.116820860541661627e-09, 3.398022916578913436e-10, -1.637760773860709436e-09, 4.360851816174592241e-10
2.016000000000000000e+03, 1.203910340539428773e-09, 2.462815466159576155e-10, -1.590932562890676985e-09, 2.125569261363198400e-10
2.017000000000000000e+03, 1.305359049030267253e-09, 2.374703059924843054e-10, -1.713083222847771417e-09, 2.039270722999162547e-10
2.018000000000000000e+03, 1.290173256052000678e-09, 2.307691968971080797e-10, -1.635774396436847944e-09, 1.980496592086212003e-10
2.019000000000000000e+03, 1.207727964038357517e-09, 2.241505034526168514e-10, -1.606388324181897442e-09, 1.942969523011477314e-10
2.020000000000000000e+03, 1.346872361322721243e-09, 2.166077863096735095e-10, -1.565740613046792029e-09, 1.381321440918255676e-10
2.021000000000000000e+03, 1.257672092912286696e-09, 2.273727888264345403e-10, -1.559001545850756345e-09, 1.335475525845844645e-10
2.022000000000000000e+03, 1.237111613716639557e-09, 2.203860862534637303e-10, -1.666029269411328169e-09, 1.221433221277013282e-10
2.023000000000000000e+03, 1.079863330706003800e-09, 2.175669987991623931e-10, -1.565316515306811643e-09, 9.470639253122946423e-11
2.024000000000000000e+03, 1.187981884997084279e-09, 2.126032307851442097e-10, -1.497718746496711113e-09, 7.100510856569955615e-11
2.025000000000000000e+03, 1.345333112881269987e-09, 2.066797462074175026e-10, -1.554025952565706235e-09, 6.114946836857175754e-11
2.026000000000000000e+03, 1.313900611213084574e-09, 2.092504188576468605e-10, -1.521765067528240161e-09, 5.980549288427571410e-11
2.027000000000000000e+03, 1.253599293026940101e-09, 2.073172589789256244e-10, -1.482002406881654443e-09, 5.882365551094886351e-11
2.028000000000000000e+03, 1.216154249330204037e-09, 2.066343804780351819e-10, -1.473649787435551161e-09, 5.772736977105756844e-11
2.029000000000000000e+03, 1.280273125605049250e-09, 2.051054258021556254e-10, -1.449710209863144887e-09, 5.804792318000191908e-11
2.030000000000000000e+03, 1.264227762058148858e-09, 2.038403251942659946e-10, -1.515691424061368592e-09, 5.690568058537845970e-11
2.031000000000000000e+03, 1.251807486586122244e-09, 2.112047929541166009e-10, -1.615182095320125851e-09, 7.714250178019674799e-11
2.032000000000000000e+03, 1.189395565854102281e-09, 2.120779574567045458e-10, -1.611576273423620796e-09, 9.121476372409888073e-11
2.033000000000000000e+03, 1.148077582367232719e-09, 2.130888902334057118e-10, -1.696506002699746018e-09, 9.329965984992902990e-11
2.034000000000000000e+03, 1.206213843682530599e-09, 2.145234410592053638e-10, -1.665162716324768074e-09, 1.016060958304214284e-10
2.035000000000000000e+03, 1.324724450714730086e-09, 2.157335392619297866e-10, -1.675334026143638496e-09, 1.223177760463227149e-10
2.036000000000000000e+03, 1.308764554013324760e-09, 2.311994774707004735e-10, -1.630638730346694343e-09, 1.069151795000329872e-10
2.037000000000000000e+03, 1.171986191396831971e-09, 2.334346558842166747e-10, -1.701011625096940608e-09, 1.104584645037998751e-10
2.038000000000000000e+03, 1.321883524402960138e-09, 2.337913687999789745e-10, -1.820842169709767593e-09, 1.111176536195895781e-10
2.039000000000000000e+03, 1.277383491461874253e-09, 2.368831265854542638e-10, -1.775225558801986617e-09, 1.152093111570265570e-10
2.040000000000000000e+03, 1.339706034160141952e-09, 2.376568041079097175e-10, -1.755269854623226215e-09, 1.220856497041823491e-10
2.041000000000000000e+03, 1.379735204588520944e-09, 1.975731225815272818e-10, -1.747932722728035766e-09, 6.642630649372457562e-11
2.042000000000000000e+03, 1.308152846532652592e-09, 1.958884076808383515e-10, -1.716640799027953205e-09, 6.252807506292596515e-11
2.043000000000000000e+03, 1.216238192973919579e-09, 1.924652529375833309e-10, -1.613043720908927638e-09, 5.935137943142908477e-11
2.044000000000000000e+03, 1.199678768739648515e-09, 1.898089114850360023e-10, -1.720772451986432675e-09, 5.515628128499362099e-11
2.045000000000000000e+03, 1.265894032163723973e-09, 1.890341800545348043e-10, -1.705771989455518254e-09, 5.107043171191864985e-11
2.046000000000000000e+03, 1.242930588714825519e-09, 2.032529221884015153e-10, -1.717023389390264426e-09, 5.710561839960860247e-11
2.047000000000000000e+03, 1.377608692473786108e-09, 2.016897416880890837e-10, -1.666005618540316403e-09, 5.574845911387411989e-11
2.048000000000000000e+03, 1.356295839860692691e-09, 2.008291234229001051e-10, -1.696270930678901645e-09, 5.180347644836419226e-11
2.049000000000000000e+03, 1.428050516550802105e-09, 2.000006634045648440e-10, -1.726707264655643308e-09, 4.928991319580547069e-11
2.050000000000000000e+03, 1.393935105044745154e-09, 1.972166908043530197e-10, -1.736216119768570489e-09, 4.100827712729244280e-11
2.051000000000000000e+03, 1.389725079933675749e-09, 2.082540226804994016e-10, -1.665751928725241757e-09, 6.937494844502734606e-11
2.052000000000000000e+03, 1.345193415068470700e-09, 2.089091086364086017e-10, -1.683317909822436717e-09, 6.748227290260630338e-11
2.053000000000000000e+03, 1.398131003181107836e-09, 2.084995982812995867e-10, -1.756738483608128875e-09, 6.582761079804521480e-11
2.054000000000000000e+03, 1.340516553256023782e-09, 2.074982491393601048e-10, -1.789803150045810641e-09, 6.202855546462784519e-11
2.055000000000000000e+03, 1.452920598661794204e-09, 2.053968479512101208e-10, -1.749403719264075405e-09, 6.145468543691593529e-11
2.056000000000000000e+03, 1.406150909962559602e-09, 2.272097243642601032e-10, -1.875092126459155947e-09, 8.032130384745792056e-11
2.057000000000000000e+03, 1.378631322156764375e-09, 2.264421320901176168e-10, -1.835282989068613217e-09, 8.124903293641016214e-11
2.058000000000000000e+03, 1.457587296921123431e-09, 2.264181709847907489e-10, -1.945215069834612877e-09, 8.172647756399554936e-11
2.059000000000000000e+03, 1.423683378835431804e-09, 2.272821011929695082e-10, -1.956447116840412210e-09, 9.655277593536963082e-11
2.060000000000000000e+03, 1.503508980136571569e-09, 2.255662829246720310e-10, -1.970454145575080480e-09, 1.018215124532938358e-10
2.061000000000000000e+03, 1.516180498883094606e-09, 2.628933073730834646e-10, -1.886360138571273681e-09, 8.447102188848385455e-11
2.062000000000000000e+03, 1.570574499307500803e-09, 2.641691700248458719e-10, -2.058648784426578945e-09, 8.422996110175513157e-11
2.063000000000000000e+03, 1.447208849888724412e-09, 2.635052076242400521e-10, -2.065585949207908441e-09, 8.283314273400699253e-11
2.064000000000000000e+03, 1.490293596664967560e-09, 2.667048948756412101e-10, -2.091188808138961046e-09, 8.428584480286869406e-11
2.065000000000000000e+03, 1.448086235491407726e-09, 2.659655321911732199e-10, -2.203998779436118197e-09, 8.564713898323111588e-11
2.066000000000000000e+03, 1.565850416117379574e-09, 2.263842715923604652e-10, -2.027188372194437253e-09, 5.943287283583772866e-11
2.067000000000000000e+03, 1.525891526454142221e-09, 2.218043247829202855e-10, -2.144351622566665054e-09, 5.822371581369263069e-11
2.068000000000000000e+03, 1.561692152542015228e-09, 2.167662717616864073e-10, -2.130302960101064439e-09, 5.434939534807342524e-11
2.069000000000000000e+03, 1.625755550113525583e-09, 2.122812341288838555e-10, -2.141018061142198863e-09, 4.988233228022706704e-11
2.070000000000000000e+03, 1.606791246377818052e-09, 2.117195635824124732e-10, -2.200736868370006179e-09, 4.674139650039362805e-11
2.071000000000000000e+03, 1.545998752639319562e-09, 2.530072570909039961e-10, -2.198417288757811778e-09, 6.588633693398923262e-11
2.072000000000000000e+03, 1.514965723160185164e-09, 2.534608940004139347e-10, -2.060185661694466869e-09, 6.717766897036182086e-11
2.073000000000000000e+03, 1.549981124659757871e-09, 2.545312492238381136e-10, -2.281664492417255120e-09, 7.477776348543615795e-11
2.074000000000000000e+03, 1.627154408109784674e-09, 2.547824478539827073e-10, -2.328796148120390127e-09, 7.957656360635484576e-11
2.075000000000000000e+03, 1.619405252213144094e-09, 2.536326154086937570e-10, -2.416695343479371529e-09, 7.904393299417752225e-11
2.076000000000000000e+03, 1.718374027198785007e-09, 2.495335228540723778e-10, -2.496838253529201749e-09, 1.116421800895642668e-10
2.077000000000000000e+03, 1.850915306801969255e-09, 2.481950854301071962e-10, -2.420852103384954399e-09, 1.182278932757927505e-10
2.078000000000000000e+03, 1.847816361139978395e-09, 2.482702829324368193e-10, -2.281148285399861422e-09, 1.215937324293139752e-10
2.079000000000000000e+03, 1.831026461253291934e-09, 2.457810500279733632e-10, -2.585411708723578047e-09, 1.295531697570884245e-10
