year, CanESM5, MPI-ESM1-2-LR, GFDL-ESM4, UKESM1-0-LL, CMCC-ESM2, CNRM-ESM2-1, CESM2-WACCM, MIROC-ES2L
2.015000000000000000e+03, 1.081392390537437879e-09, 2.531071139483454079e-10, 5.993084755439425984e-10, -6.375148069782542425e-10, -1.176224767884157863e-09, 3.632403813951276198e-11, 4.659508963752237350e-10, -9.802316294204037035e-10
2.016000000000000000e+03, -8.620341970846701113e-11, -1.229375872664004703e-10, -5.902245099021162907e-10, -1.746733590512483152e-09, -1.575774789613736500e-09, 1.029045673373970481e-09, 2.159936631235324420e-10, 1.291530148106831145e-09
2.017000000000000000e+03, -1.882113976084451002e-09, 1.564268091660783650e-09, -1.584555270467125671e-10, 6.315551226907313832e-10, -8.091729304172047049e-10, 4.439138516742692987e-10, 1.429277535204830941e-09, 1.485381262384989100e-09
2.018000000000000000e+03, -7.902195334098624048e-10, 1.515759669783182441e-09, 1.891977337980889405e-09, 5.869563918411614115e-10, -9.524328651346650362e-10, -8.688290628943633183e-10, 1.046957321598169528e-09, 9.411256392404743364e-10
2.019000000000000000e+03, 1.218415413065144686e-09, -5.600037398250451408e-10, 8.085970790023890578e-10, -1.817060724876610040e-09, -6.908672206623886948e-10, 2.133218330622366977e-09, 1.040050633846724707e-09, -1.296553414569456676e-09
2.020000000000000000e+03, 2.498332305999947857e-09, -4.108808253503749781e-10, -1.541915188980714614e-10, -1.580963664146482813e-10, -5.989685254793209686e-10, -1.109107562309878903e-09, 1.613350170696304044e-09, 2.717431706737739624e-10
2.021000000000000000e+03, 1.556370433349060043e-09, 2.830352801210009639e-10, 6.039973173050473598e-10, 5.748104575786026561e-10, -1.528814765100510557e-09, 1.359068070211071653e-10, 4.636567850746342095e-10, 1.108460129598959136e-09
2.022000000000000000e+03, 1.140238525083222982e-09, 1.215010686605347441e-09, 1.930868459425653901e-09, -1.771069136376463218e-09, -1.293480173433680796e-09, -6.690653309114578335e-10, 4.022152847872012414e-10, 1.322954955732812244e-09
2.023000000000000000e+03, -2.344461513151271819e-09, 2.205112924845067986e-09, 1.016576889665702214e-09, -3.508693667984177929e-10, -1.181660542387549054e-09, 1.958769059683096560e-09, 1.250431139895375409e-09, 7.038747729903432389e-10
2.024000000000000000e+03, -2.482803511509284365e-09, 2.886941341988796275e-09, 6.821823530261452902e-10, -7.693836596339106984e-10, -1.573920065120791592e-09, 5.179780909853526161e-10, 7.327968877958972217e-10, -4.844714438849751221e-10
2.025000000000000000e+03, 1.204675903568138446e-09, 6.097693650395409070e-10, -7.317042744088065553e-10, 1.834488767212079191e-09, -5.659547755856674013e-11, 1.358519012496288311e-09, 7.978372348367137147e-10, -2.607641810823238478e-10
2.026000000000000000e+03, 1.356949199715404898e-09, -4.373013553867224122e-10, -3.608393517153697931e-10, 9.912983253014394661e-10, -1.360972800202531212e-09, 2.026011961460942162e-09, 1.562357425216944221e-09, 1.145100382952681108e-09
2.027000000000000000e+03, 6.434319718625206136e-10, 1.631279453373716519e-09, 2.976802118073742886e-10, -2.084324100291060206e-09, -2.142659995738602598e-09, -1.531512632165793090e-09, 1.943610906997345329e-09, 1.275883405186434839e-09
2.028000000000000000e+03, 1.584020201625539500e-09, 1.994132197289714079e-09, 7.889123191233895695e-10, -2.466625172185765607e-09, -3.642040143046327289e-10, 4.516150765955951808e-10, 1.575388507261632289e-09, 7.846318311906255682e-10
2.029000000000000000e+03, 1.944569816864291123e-09, 1.128354609114895649e-09, -3.131179245569911916e-09, 2.715266048799493602e-09, -1.571798150056579123e-10, 2.108762568536609692e-09, 1.620643980626622656e-09, -1.202047146737337160e-09
2.030000000000000000e+03, -1.854395058848512055e-10, 5.130041967106485497e-10, 6.064941854377988550e-10, 1.829532137573521517e-09, -2.315987490769022545e-09, 8.810394034859064033e-10, 7.872266342943096606e-10, 1.599777127251260488e-09
2.031000000000000000e+03, -1.192911877162746168e-09, -3.160481306560769204e-09, -4.964118837898373139e-10, 4.319993492791964239e-10, -7.374767070948476452e-10, 1.585666814623440908e-10, 1.525651848883814238e-09, 2.292493549168812220e-09
2.032000000000000000e+03, -9.024277758724832982e-10, 9.670405175574024900e-10, 1.626353425429357743e-09, 1.616451087004835284e-09, -1.434937665213391350e-09, -5.685904068283324483e-10, 2.080357294557027500e-09, 1.743446154241706314e-09
2.033000000000000000e+03, 7.995685159696110460e-10, 4.494770113589193809e-09, -7.200391911333875079e-10, 1.734554600754504927e-09, -1.773836257109406839e-09, -7.550723962903258386e-10, 1.641548725535842627e-09, 1.678421109846072506e-09
2.034000000000000000e+03, 3.105672927551583656e-10, 2.726270484113171316e-09, -1.240281103959249669e-09, -2.733757947275857717e-10, -6.432251636064370659e-10, -3.191683838850729142e-10, 9.408855995869979103e-10, -8.524358033036550489e-10
2.035000000000000000e+03, 1.390815071069566216e-10, -6.120717407631875766e-10, 1.799511960308922974e-09, 1.699741556632495289e-10, -6.094937934222610128e-10, 2.136613993775234446e-09, 1.752040205406922676e-09, 7.886530375224115256e-10
2.036000000000000000e+03, 4.727776206467055206e-09, -8.185584134218904402e-10, -1.419034592054071218e-09, -1.205797730223608150e-09, -1.092150559439816963e-09, 2.196995078525467533e-11, 3.919547473534011888e-10, 1.797952985376353676e-09
2.037000000000000000e+03, 3.476068292220432356e-09, 3.238131144484858692e-09, 8.336801143019386416e-11, -1.625283225012344833e-09, -9.184991099087770208e-10, 8.869834867401174030e-10, 1.847731645093712920e-09, 1.485030709311473933e-09
2.038000000000000000e+03, 2.914084210931073122e-10, 2.010137698165227312e-09, -4.061452982486255743e-10, 1.444971719968095680e-09, -3.281900255686004258e-10, 1.178690116893321489e-09, 5.753916677991386493e-10, -4.554682544591863292e-10
2.039000000000000000e+03, -1.645550531010598248e-09, 8.876260581962307138e-10, 2.871609803731271651e-09, 5.476575674434324463e-10, -1.615538046592621978e-09, 1.158230038003202972e-09, 8.341758588683301422e-10, -1.135462439934957587e-09
2.040000000000000000e+03, -1.260875837810050206e-10, 1.285668338661903647e-09, 1.950490713996264234e-09, 1.038707764142864587e-09, -1.115877980114577103e-09, 6.993901812804468196e-10, 1.201221349255986949e-09, 7.845987004319115905e-10
2.041000000000000000e+03, -1.241228213296662159e-10, 6.120823795555516936e-10, -1.380160724254047430e-09, 1.368333203833946938e-09, -9.128559144989811386e-10, 1.359876267950134765e-09, 1.675122614749479943e-09, 1.529051488275821451e-09
2.042000000000000000e+03, 9.054755143399129082e-10, -4.279869862502561452e-10, -2.284280951951115359e-09, -2.009818269516269834e-10, -1.211865165774460197e-09, 1.444874775121998250e-09, 2.141375614448927220e-09, 1.032054718407241504e-09
2.043000000000000000e+03, 2.293410707260517504e-09, -5.692598103675479219e-10, 1.662039084935681268e-09, -1.005659819521586076e-09, -7.406873847952300818e-10, -9.704750272188423126e-10, 1.166246335857779151e-09, -5.698705920949390843e-10
2.044000000000000000e+03, 1.579188394813266032e-09, 4.111736686152864189e-10, 2.122492101498717293e-09, -7.414022447377782823e-10, -1.328316463164916034e-09, 4.647371423598511289e-10, 1.249408290805998340e-09, 2.501061752710828016e-10
2.045000000000000000e+03, -1.948786089942627169e-09, 9.294025214797647731e-10, -1.302170143315220228e-09, -3.444832879825441721e-09, -1.397270553986775886e-09, 1.196867702668569354e-09, 1.625175310954701630e-09, 1.397386094692674636e-09
