year, UKESM1-0-LL, NorESM2-LM, ACCESS-ESM1-5, IPSL-CM6A-LR, MIROC-ES2L, INM-CM5-0, TaiESM1, EC-Earth3-Veg, NorESM2-MM, GFDL-ESM4, MPI-ESM1-2-LR, CESM2-WACCM, INM-CM4-8, CanESM5, CMCC-CM2-SR5, CNRM-ESM2-1
2.038000000000000000e+03, 1.926425522772969998e+02, 1.674449507556528545e+02, 1.861561549578717063e+02, 1.398113267678639318e+02, 1.349222687038975721e+02, 1.525216697935909451e+02, 1.607767240878073096e+02, 1.255407804536079936e+02, 1.670468835106058521e+02, 7.275497580970488798e+01, 1.552183516800768928e+02, 1.643564791766472410e+02, 1.526186130021160068e+02, 1.096302064313849769e+02, 1.385722827222678006e+02, 1.311562238725720704e+02
2.039000000000000000e+03, 1.927259354384459300e+02, 1.678752147835773201e+02, 1.849106304225673796e+02, 1.402695154302449794e+02, 1.347529181106759495e+02, 1.525149795510658350e+02, 1.609497180681276234e+02, 1.264914141282141884e+02, 1.676061038436644992e+02, 7.290349956781200547e+01, 1.554772239816103365e+02, 1.644428376835386700e+02, 1.531873613039722102e+02, 1.083618133286163214e+02, 1.391197562006328781e+02, 1.314619464660580661e+02
2.040000000000000000e+03, 1.928369130034161287e+02, 1.685598459030879326e+02, 1.849275044849997869e+02, 1.409689959936801813e+02, 1.347285581806357300e+02, 1.524400168721337536e+02, 1.612579177525131229e+02, 1.269255843639456884e+02, 1.682882322890506259e+02, 7.372688678252491457e+01, 1.553873914526800490e+02, 1.646996549539114483e+02, 1.532783460279386247e+02, 1.082114408840124042e+02, 1.390615991060763008e+02, 1.320932740914840053e+02
2.041000000000000000e+03, 1.931245122158289291e+02, 1.694737149899198414e+02, 1.850856598209164474e+02, 1.413148657009548685e+02, 1.350230818962882040e+02, 1.528715492240768583e+02, 1.620173030641852563e+02, 1.281166123700286903e+02, 1.685049216870452540e+02, 7.385260112584214198e+01, 1.558711333710333804e+02, 1.652194062632057978e+02, 1.535676314140641807e+02, 1.080668555375402207e+02, 1.399359541576419588e+02, 1.327267809740913265e+02
2.042000000000000000e+03, 1.933371672824118264e+02, 1.700466860447091904e+02, 1.847084832213334096e+02, 1.410000395568407612e+02, 1.354883870212609622e+02, 1.529481258694812595e+02, 1.622113253185686972e+02, 1.281718709303608819e+02, 1.693937966819103735e+02, 7.300686438187351257e+01, 1.552461912906777570e+02, 1.666167940023287599e+02, 1.539233648039279956e+02, 1.088881058067357515e+02, 1.403724625258710148e+02, 1.330812870477674323e+02
2.043000000000000000e+03, 1.930510192958574009e+02, 1.704224609914527662e+02, 1.838172383460010906e+02, 1.416757297798411628e+02, 1.357698237227716049e+02, 1.532204699196413458e+02, 1.616691075043423211e+02, 1.276317829945914752e+02, 1.702789492908000284e+02, 7.327788658559788360e+01, 1.544168312212351282e+02, 1.672863622006730964e+02, 1.542320612068294565e+02, 1.095092981144477449e+02, 1.404333386732269560e+02, 1.331919772382796623e+02
2.044000000000000000e+03, 1.927021451160815673e+02, 1.713144270631736958e+02, 1.835627294237124829e+02, 1.424094233504611395e+02, 1.356718721565354713e+02, 1.535423569679516902e+02, 1.616716874187738711e+02, 1.285759940216555606e+02, 1.707650096985819914e+02, 7.432319650349333529e+01, 1.550582546463422773e+02, 1.675938898069977654e+02, 1.542519975382470818e+02, 1.109193763259647483e+02, 1.409363522915861324e+02, 1.330169403786275666e+02
2.045000000000000000e+03, 1.920594477302287544e+02, 1.723226786506615724e+02, 1.844040741399325327e+02, 1.424430181974687741e+02, 1.360203059217834891e+02, 1.543817093280366350e+02, 1.613059794627695567e+02, 1.295455824617713176e+02, 1.717769458186344025e+02, 7.405524798404350406e+01, 1.554594653434409679e+02, 1.683594032939706437e+02, 1.544160904854191472e+02, 1.103297026450513982e+02, 1.414210069982989921e+02, 1.336643193963013800e+02
2.046000000000000000e+03, 1.914646346491347231e+02, 1.734618716046197733e+02, 1.846481942972996535e+02, 1.428556611249263710e+02, 1.364479304192117297e+02, 1.552297419791985646e+02, 1.608788045563902358e+02, 1.295545647150287607e+02, 1.722758717000790512e+02, 7.369465508216227079e+01, 1.560522489500527286e+02, 1.685798344207189530e+02, 1.539684966331670353e+02, 1.080022896032043604e+02, 1.420294276862925358e+02, 1.341827688796687141e+02
2.047000000000000000e+03, 1.911806429477495328e+02, 1.741004126336929971e+02, 1.852808063239164937e+02, 1.431582032782760052e+02, 1.365193752243905863e+02, 1.559000926889814593e+02, 1.616618655602647436e+02, 1.299821112568047852e+02, 1.723347012184681830e+02, 7.331799799376044291e+01, 1.565086021244415235e+02, 1.688491519218707424e+02, 1.545198679937169004e+02, 1.068328656500184479e+02, 1.418868348925212501e+02, 1.353038856257954308e+02
