year, TaiESM1, CanESM5, NorESM2-LM, INM-CM5-0, MPI-ESM1-2-LR, CESM2-WACCM, INM-CM4-8, EC-Earth3-Veg, CMCC-CM2-SR5, GFDL-ESM4, UKESM1-0-LL, NorESM2-MM, IPSL-CM6A-LR, MIROC-ES2L, ACCESS-ESM1-5, CNRM-ESM2-1
2.027000000000000000e+03, -1.291933389885915329e+00, 3.633993366925887258e-01, 9.017394951528407976e-01, -3.312289429792801831e-01, 9.282868718902735905e-01, 1.093655771161208712e+00, 1.408941526766311458e+00, -6.559523449671839090e-01, 3.316429366268279777e-01, 1.681246755646497726e-01, -1.169872772556020291e+00, 1.062633748099742759e+00, 8.257022465475970519e-01, 7.196249367553386733e-01, 4.935020306807265666e-01, -8.649720545504470115e-01
2.028000000000000000e+03, 3.908765396220620914e-01, 8.946274287740468845e-01, 9.191944217614816948e-01, 6.178356405242456661e-01, 1.106207575925979736e+00, 8.864596955001957657e-01, 9.487763043479910952e-01, 1.969280480691810720e+00, 2.487801196848215268e-01, 4.455641404454603882e-01, -1.384447662740393659e+00, 4.329989151715760154e-01, 2.150676763601492847e-01, 4.425487702101377208e-01, 2.180565967306963560e-01, 2.550644457410923271e-01
2.029000000000000000e+03, -2.473317133918026024e-03, 1.098259664584867901e+00, 1.020491559335669596e+00, 9.234853794888071565e-01, 6.561518936784643818e-01, 9.119246223762835779e-01, 5.306346181292487252e-01, 1.865361941261476808e+00, 9.557281638265446855e-01, -1.768436308211351893e+00, 1.524002826764185414e+00, 7.984428881148630808e-01, 2.297682439948231514e-01, -6.779797420606724634e-01, 3.836946145690400822e-02, 1.190992913252530538e+00
2.030000000000000000e+03, -6.430534427537151210e-01, -1.047330508617544537e-01, 1.040122770253419704e+00, 1.480350794674383907e+00, 2.922099567707084344e-01, 4.429667217384893885e-01, 8.547358815517681618e-01, -1.692297600775549915e+00, 6.105428920081779065e-01, 3.425375087564033194e-01, 1.026865176084946762e+00, 1.060916673934188648e+00, 2.328505502845147346e-01, 9.023077730622290904e-01, 2.694416599256049261e-01, 4.975959368323425447e-01
2.031000000000000000e+03, 3.287956163475446586e-02, -6.737361583677686783e-01, 7.243236148918579254e-01, -3.118618275434552056e-01, -1.787591230555906519e+00, 8.584732382945157170e-01, -7.353227860013745731e-01, 3.773753294941398218e-01, 1.024980037097916075e+00, -2.803649137504931610e-01, 2.424691421133003677e-01, 5.554797436550436007e-01, 4.948851827498732536e-01, 1.293014329229845050e+00, -3.767615693943606736e-01, 8.955574075400921097e-02
2.032000000000000000e+03, 1.127131048634098520e-01, -5.096757225410278869e-01, 4.463730245971141986e-01, 6.829295645148276694e-01, 5.408226588147638791e-01, 1.170601972379608391e+00, 9.296208100250874518e-01, 6.285706228777258042e-01, 3.591089685961031397e-01, 9.185365071585656072e-01, 9.072687470204221505e-01, 8.299674406496098111e-01, 3.616364140697367335e-01, 9.833401103756793660e-01, -8.194351080823106814e-01, -3.211301050102837173e-01
2.033000000000000000e+03, -9.001329316662475266e-01, 4.515825775684604859e-01, 8.624097869424822704e-01, 6.733796404515254297e-01, 2.527766010341498060e+00, 9.236875708307874522e-01, 1.401443484490248803e+00, -2.059262082297309837e-01, 5.041339598457567073e-01, -4.066657795899040195e-01, 9.735569433041192378e-01, 9.625053026007051038e-01, -9.941138443105586309e-02, 9.466646247705636785e-01, -5.410496620200391238e-01, -4.264519327078391542e-01
2.034000000000000000e+03, -3.583201482224218637e-01, 1.754030777472025682e-01, 1.072989439606011564e+00, 4.778879915001523759e-01, 1.543325484877575038e+00, 5.294295078743350702e-01, 9.671143573856930686e-01, -5.069286664639613971e-01, 4.585044753064724810e-01, -7.004894848269147545e-01, -1.534381811748981306e-01, 1.025108203140596697e+00, 7.227480540978633572e-01, -4.807916291933767017e-01, 9.245609556500405946e-01, -1.802608264263610149e-01
2.035000000000000000e+03, 9.682027271313001782e-01, 7.855084863528155603e-02, 8.736506987939078872e-01, 6.938419877651965662e-01, -3.352035680274942364e-01, 9.858603257737160730e-01, 8.826826826891517874e-02, 8.868800343223546268e-01, 3.859364723364553940e-01, 1.016333476332704766e+00, 9.540173561341377950e-02, 7.972296086833675632e-01, 9.142127937706433227e-02, 4.448168147198700018e-01, 1.045416684419923359e-01, 1.206722920308850755e+00
2.036000000000000000e+03, -5.837258227381252329e-01, 2.670166874810231405e+00, 6.098712615777041046e-01, -5.469308139693856985e-01, -4.675798462413531253e-01, 2.205500956666869572e-01, 1.273232243230647542e+00, 1.197184479244213784e-01, 8.593190405465509496e-01, -8.014463875700446049e-01, -6.767805129737091141e-01, 1.132968191739600172e+00, 1.041769459675115472e+00, 1.014083103621424176e+00, 2.563909490402696556e-01, 1.240825120862388067e-02
