year, CMCC-CM2-SR5, EC-Earth3-Veg, IPSL-CM6A-LR, INM-CM4-8, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL, MIROC-ES2L, GFDL-ESM4, NorESM2-MM, CESM2-WACCM, CanESM5, TaiESM1, INM-CM5-0, ACCESS-ESM1-5, NorESM2-LM
2.015000000000000000e+03, 4.504026460773252083e+00, 4.683835070732723871e+00, 4.651267391817167862e+00, 4.920855557120806800e+00, 4.125106973223688023e+00, 3.920261264987716654e+00, 4.470483273053615036e+00, 4.775743215125753949e+00, 4.287615578667459459e+00, 3.611030663093984572e+00, 3.891612105489929530e+00, 4.410659646330190142e+00, 4.451436361118644491e+00, 4.984987910755730667e+00, 5.170824697110593782e+00, 4.125276548944242450e+00
2.016000000000000000e+03, 4.226374990193285441e+00, 4.415775338992834698e+00, 4.616644647007022151e+00, 4.945651438931293775e+00, 3.735296719801707521e+00, 4.109567870275041557e+00, 4.656350970100298525e+00, 4.788271001585875375e+00, 3.906363729328830026e+00, 3.882096670613718548e+00, 3.834498394805237798e+00, 4.105599407157163760e+00, 4.195328468166723113e+00, 5.210787436407946949e+00, 5.172150472319922976e+00, 4.244811451468984309e+00
2.017000000000000000e+03, 4.338208143111524251e+00, 4.761490112220070792e+00, 4.570342876278735922e+00, 5.056813506257586965e+00, 4.138410589144834617e+00, 3.963499434972387547e+00, 5.084468866376922414e+00, 4.695538729839292102e+00, 4.070841395715270039e+00, 4.112806798848509082e+00, 4.274200050762263281e+00, 3.764707464035182749e+00, 4.576117591958010600e+00, 5.028139853404583803e+00, 5.153055658568319153e+00, 4.223710855715951951e+00
2.018000000000000000e+03, 4.562330197282316036e+00, 4.242913330209661105e+00, 4.742059665572730509e+00, 5.051628057204110789e+00, 4.046171325423483900e+00, 3.878333899503648041e+00, 5.018109682804449356e+00, 4.543188092075760132e+00, 4.289909352418851185e+00, 4.057790650082281125e+00, 3.929538376990449944e+00, 4.126456468208516526e+00, 4.285478466482846471e+00, 5.103710885754368931e+00, 5.353663050766207299e+00, 4.204503813669671963e+00
2.019000000000000000e+03, 4.696768811675768873e+00, 4.527818534525542837e+00, 4.993074264887424007e+00, 5.079091150266958898e+00, 3.740325260818924580e+00, 4.127309332064676539e+00, 4.743656715508245192e+00, 4.703339542105100080e+00, 4.222907272411625001e+00, 3.934913286236794594e+00, 4.079253630991436452e+00, 4.258254916288279901e+00, 4.283545112615397166e+00, 5.372820414540448120e+00, 5.719933084614361896e+00, 4.276111050455670970e+00
2.020000000000000000e+03, 4.413084395364496260e+00, 4.403431961387865634e+00, 4.875804400151246831e+00, 5.147332686411951741e+00, 3.829452435339895544e+00, 3.709678138313404538e+00, 5.157892193323443841e+00, 4.966769856024662921e+00, 4.119626799273775397e+00, 3.928801438184339023e+00, 4.228190870298978332e+00, 4.350022679940368953e+00, 4.404684513088363396e+00, 5.208960665975297388e+00, 5.444187456103837697e+00, 4.033784559591889085e+00
2.021000000000000000e+03, 4.335299190433107519e+00, 4.581554948273783623e+00, 4.932597810308257280e+00, 4.904110238945224687e+00, 4.139304385886777737e+00, 3.824362463110159815e+00, 4.897192081558201515e+00, 4.910823380242340441e+00, 4.242443097267668328e+00, 4.099861088464847647e+00, 3.970386898486197857e+00, 4.170023241784178047e+00, 4.572967415836030725e+00, 5.221763249368334137e+00, 5.745229387453902881e+00, 3.913437033669868281e+00
2.022000000000000000e+03, 4.406610897673061800e+00, 4.527132902241041812e+00, 4.722359894796972490e+00, 4.807303589167328361e+00, 3.862545879941633231e+00, 3.795177865243422488e+00, 4.979340591101903080e+00, 4.686863861053286229e+00, 4.489535983344715042e+00, 3.898184455147341687e+00, 3.909697956269252650e+00, 4.227237443041969023e+00, 4.295996998988124815e+00, 4.892332830131802979e+00, 5.313276060231649112e+00, 4.134788498555641567e+00
2.023000000000000000e+03, 4.597735569294078672e+00, 4.395468652858779635e+00, 4.853179155873460715e+00, 5.188359726435727737e+00, 4.188020950880638971e+00, 4.157490679529201039e+00, 4.524754641883231621e+00, 4.668337223042082762e+00, 4.479767288035848338e+00, 4.087907595296267793e+00, 4.211807185584760305e+00, 3.870588054387638977e+00, 4.227482737483238218e+00, 5.268344489089064275e+00, 5.090480355477639662e+00, 4.253796528307907110e+00
2.024000000000000000e+03, 4.613270059142271506e+00, 4.877187284867606110e+00, 4.955345331910085527e+00, 4.991814002159633112e+00, 3.967583636193323660e+00, 4.036924220646207040e+00, 4.893299292975491710e+00, 4.574403396188159832e+00, 4.380855002262102893e+00, 4.089021864290496744e+00, 4.009143587170567180e+00, 3.556232476504200157e+00, 4.437034214763921014e+00, 4.874557932460121812e+00, 4.726375388100337638e+00, 4.287185535293249750e+00
