year, EC-Earth3-Veg, MPI-ESM1-2-LR, GFDL-ESM4, IPSL-CM6A-LR, CNRM-ESM2-1, MIROC-ES2L, TaiESM1, CESM2-WACCM, CMCC-CM2-SR5, UKESM1-0-LL, ACCESS-ESM1-5, NorESM2-MM, NorESM2-LM, CanESM5
2.046000000000000000e+03, 1.998864243573392514e+02, 1.227416035634281712e+02, 2.839010659402123693e+01, 1.142629734664243415e+02, 1.889946158521345012e+02, 1.144104310354288287e+02, 1.061477002604604962e+02, 1.430555376193119059e+02, 2.937119605275976255e+02, 3.198119898678276058e+02, 1.058601247185552126e+02, 1.401968324721546537e+02, 1.434011383109818780e+02, 2.050991308427616957e+02
2.047000000000000000e+03, 1.999127053306472419e+02, 1.227629582353919631e+02, 2.826434776366368951e+01, 1.143007369385520633e+02, 1.889124316299065924e+02, 1.141975303287154730e+02, 1.060357072626072892e+02, 1.432014730097821200e+02, 2.938109277769610799e+02, 3.194156391206256558e+02, 1.058329567266023474e+02, 1.403743186289261757e+02, 1.435462017222941711e+02, 2.050585577193830034e+02
2.048000000000000000e+03, 1.999356256448713509e+02, 1.229123194025956280e+02, 2.835595195046331085e+01, 1.143175205695868044e+02, 1.889457704940249698e+02, 1.141471460847404700e+02, 1.059245680395763856e+02, 1.432673689112749855e+02, 2.938977938050897478e+02, 3.197365928184937047e+02, 1.058760902013124507e+02, 1.404777634171620377e+02, 1.437444774794780642e+02, 2.050829691754437363e+02
2.049000000000000000e+03, 1.999233853428429768e+02, 1.227549325046124693e+02, 2.826839744777691976e+01, 1.143528631391791208e+02, 1.889727230506365458e+02, 1.140612587326272944e+02, 1.060352238289954414e+02, 1.434249935716790674e+02, 2.940625120423368912e+02, 3.205270712532376933e+02, 1.058272424263517877e+02, 1.406487056124235551e+02, 1.438378649771101436e+02, 2.050838257583271229e+02
2.050000000000000000e+03, 1.997726831548469875e+02, 1.225472626972144496e+02, 2.812334979358606191e+01, 1.143561183962437156e+02, 1.889976461864677333e+02, 1.141490158780858764e+02, 1.060270700784982409e+02, 1.435653641645177458e+02, 2.942049857373536383e+02, 3.206706384254886757e+02, 1.055528813599111260e+02, 1.408021163208726136e+02, 1.440046797754434920e+02, 2.050302514273611507e+02
2.051000000000000000e+03, 1.997416961257867456e+02, 1.227142793219568659e+02, 2.811337162611660645e+01, 1.143155644183078579e+02, 1.891267740972637057e+02, 1.140865008651763617e+02, 1.058226313851537839e+02, 1.435943865206500902e+02, 2.941678186734024507e+02, 3.202020486732481004e+02, 1.052542940899757156e+02, 1.409412634058850529e+02, 1.441380725655005790e+02, 2.050701219890396771e+02
2.052000000000000000e+03, 1.998025971657375806e+02, 1.231830082647637141e+02, 2.796649404791423876e+01, 1.143208512208256877e+02, 1.891311905779915605e+02, 1.141267076480618954e+02, 1.059358268157880048e+02, 1.436583755035275658e+02, 2.942071340671901680e+02, 3.203875091787125484e+02, 1.050875559290413150e+02, 1.410433958848616101e+02, 1.442721045404499307e+02, 2.051386837393621079e+02
2.053000000000000000e+03, 1.998058566989356848e+02, 1.231821207718303128e+02, 2.817459918223585191e+01, 1.143469949351004828e+02, 1.892311308323564276e+02, 1.143709879806429655e+02, 1.061304718080720590e+02, 1.437638076270895908e+02, 2.942915969200047357e+02, 3.200008956366863799e+02, 1.048781876517358995e+02, 1.411551678916489720e+02, 1.443753609125926118e+02, 2.050325432571944759e+02
2.054000000000000000e+03, 1.998871006871619045e+02, 1.234222285162632886e+02, 2.803002062014536122e+01, 1.144008213073884406e+02, 1.892673446681839380e+02, 1.147491020687781287e+02, 1.060850859911463147e+02, 1.438834615997866138e+02, 2.943631013576426199e+02, 3.202070219342219843e+02, 1.047453902486713133e+02, 1.412713791816246101e+02, 1.444184622547617494e+02, 2.049626764089440485e+02
2.055000000000000000e+03, 1.998904538118138703e+02, 1.236747478019054256e+02, 2.777795575393446370e+01, 1.144644748138174606e+02, 1.892225185993266905e+02, 1.150608360947818909e+02, 1.057717420327034148e+02, 1.439638921575739232e+02, 2.944645263362506853e+02, 3.201564288991977492e+02, 1.047310166224823718e+02, 1.414080752161327723e+02, 1.445215208261561486e+02, 2.049392641888352955e+02
2.056000000000000000e+03, 1.998665747062868263e+02, 1.237957817966483702e+02, 2.764650759213856190e+01, 1.144744310872386137e+02, 1.891914888256612528e+02, 1.151837058832544614e+02, 1.058232748684145577e+02, 1.440315243667479592e+02, 2.945528751582664881e+02, 3.199741849981288624e+02, 1.048977051762596346e+02, 1.414996232700983114e+02, 1.446086361523477990e+02, 2.048342871121676581e+02
2.057000000000000000e+03, 1.998724271370851113e+02, 1.239131973429154385e+02, 2.776106169514971711e+01, 1.144940337520042419e+02, 1.892888338751523634e+02, 1.152548843051177130e+02, 1.060169632630757945e+02, 1.441638898852465047e+02, 2.945925940631079811e+02, 3.203570887512267404e+02, 1.049828785781193261e+02, 1.416164248196501489e+02, 1.446991653562266720e+02, 2.047329250969913801e+02
