year, NorESM2-MM, CMCC-ESM2, INM-CM5-0, MPI-ESM1-2-LR, GFDL-ESM4, UKESM1-0-LL, CESM2-WACCM, TaiESM1, EC-Earth3-Veg, MIROC-ES2L, NorESM2-LM, CNRM-ESM2-1, IPSL-CM6A-LR, CanESM5, INM-CM4-8, ACCESS-ESM1-5
2.015000000000000000e+03, 2.794917719510001231e+00, 3.029527389176350116e+00, 2.487267726116753064e+00, 3.223059811381995932e+00, 3.242069980944484175e+00, 4.492094910454570211e+00, 2.857711946575145046e+00, 3.578728315462122112e+00, 4.162633973918836716e+00, 2.785673471674834811e+00, 2.928172687020193621e+00, 2.559230766346035413e+00, 3.228634359733185466e+00, 2.243380283184364998e+00, 2.521043044463833649e+00, 2.304801170487142947e+00
2.016000000000000000e+03, 2.799057955600678937e+00, 3.038928171723163540e+00, 2.551867810584844687e+00, 3.067112598877993701e+00, 3.141545686111654856e+00, 4.499892136062500825e+00, 2.840847369466840799e+00, 3.736431925062675852e+00, 4.256015787367431358e+00, 2.788336025482632596e+00, 2.980677528995609116e+00, 2.540060545919673451e+00, 3.339706773347097091e+00, 2.217505752094636851e+00, 2.461982723161797892e+00, 2.340874388323012756e+00
2.017000000000000000e+03, 2.868775940064915986e+00, 3.063174104718303870e+00, 2.504816930553906307e+00, 3.163766306608669421e+00, 3.120816515781672962e+00, 4.521070751137007626e+00, 2.864264166750988050e+00, 3.885001595086870374e+00, 4.266422503496542618e+00, 2.819063278909213377e+00, 3.039962248768252273e+00, 2.632568196048971298e+00, 3.268908417625565832e+00, 2.185732364916799675e+00, 2.542483236405072677e+00, 2.473763892951505117e+00
2.018000000000000000e+03, 2.966893976430238222e+00, 3.075314508312614326e+00, 2.496547801378186549e+00, 3.223795416902988986e+00, 3.244503726915255015e+00, 4.527589393718636224e+00, 2.890865298716788434e+00, 4.038921871441488953e+00, 4.215475076696638901e+00, 2.824348563495183484e+00, 3.116593244867484902e+00, 2.466085780130246707e+00, 3.298782221396639791e+00, 2.223227047943711732e+00, 2.515471598955917987e+00, 2.517165910147298735e+00
2.019000000000000000e+03, 2.970777314872516062e+00, 3.032898424617176847e+00, 2.541648153869251470e+00, 3.062619661083288758e+00, 3.341750109150157577e+00, 4.503262115408726451e+00, 2.906405659045863565e+00, 3.902716142890461093e+00, 4.100089541282351924e+00, 2.803183527178433998e+00, 3.110957133770080763e+00, 2.558081032763221074e+00, 3.395974782448520912e+00, 2.332721444170815950e+00, 2.524226860901427560e+00, 2.533489739518282491e+00
2.020000000000000000e+03, 2.979114633146674684e+00, 2.965345317393266011e+00, 2.539982855363836833e+00, 2.992883503219105013e+00, 3.226345866991841227e+00, 4.526913194933757545e+00, 2.946249077111465553e+00, 3.738456902734806242e+00, 4.187551502110050450e+00, 2.783288624788812005e+00, 3.106547040728198983e+00, 2.554916915937126110e+00, 3.392050462945678913e+00, 2.367448226745439310e+00, 2.558251711757216551e+00, 2.522621022364564869e+00
2.021000000000000000e+03, 2.994023502997005703e+00, 3.028736009068587531e+00, 2.514689768925794322e+00, 3.119136251629288648e+00, 3.224348619317860543e+00, 4.515441864290398399e+00, 2.948852663028562304e+00, 3.774271313551410323e+00, 4.170366139393388849e+00, 2.796124552094092497e+00, 3.141618133651470135e+00, 2.493592693864930876e+00, 3.406528060389546919e+00, 2.325217684685708441e+00, 2.495745466815995517e+00, 2.389024631754434136e+00
2.022000000000000000e+03, 2.998858324771749739e+00, 3.102445583631056270e+00, 2.476333684650641409e+00, 3.080606397927698747e+00, 3.344601068811105637e+00, 4.524711442277871143e+00, 2.874259234848459688e+00, 3.978264390977581222e+00, 4.174503968186947134e+00, 2.817586679101633962e+00, 3.120498743075188486e+00, 2.432084808558125921e+00, 3.416016867853374439e+00, 2.323603632041446154e+00, 2.462265332177248744e+00, 2.457971716582514787e+00
2.023000000000000000e+03, 2.962802731851159610e+00, 3.073351662352207914e+00, 2.547136927037274123e+00, 3.275015998216978197e+00, 3.416262813201638160e+00, 4.486995197188187845e+00, 2.928934929185329050e+00, 3.867864998411107536e+00, 4.187951853080607023e+00, 2.829503517439600380e+00, 3.172286071762633330e+00, 2.490164266683815963e+00, 3.428889299538976143e+00, 2.275417361206774736e+00, 2.527845292991506732e+00, 2.419236607746194423e+00
2.024000000000000000e+03, 3.013296683321084135e+00, 3.102533009933132302e+00, 2.465774669087989590e+00, 3.266284567786687631e+00, 3.368999847232724942e+00, 4.486027323755967799e+00, 2.990818880088816467e+00, 3.615390158079274219e+00, 4.266654591694086562e+00, 2.815213085732708453e+00, 3.184578813728927038e+00, 2.564805281612515309e+00, 3.364653432636390384e+00, 2.107327647265857973e+00, 2.487848334569146669e+00, 2.347923356353442514e+00
2.025000000000000000e+03, 3.031352010990822965e+00, 3.138964679413816405e+00, 2.516263534915840427e+00, 3.025598930816377763e+00, 3.334038737531946683e+00, 4.521471789340674619e+00, 2.920065544013338954e+00, 3.848363823265183115e+00, 4.288961326012003639e+00, 2.771172881338500371e+00, 3.163821495888536006e+00, 2.639962259356523067e+00, 3.404210831481037314e+00, 2.273369583012681883e+00, 2.436175181247394850e+00, 2.260127400870158176e+00
2.026000000000000000e+03, 3.061571215443573912e+00, 3.068975631389016190e+00, 2.501009582105527596e+00, 2.962739325333128448e+00, 3.198548927438059408e+00, 4.511159469374171671e+00, 2.969346848145579365e+00, 4.074923213037721759e+00, 4.239811383784632071e+00, 2.791536637960879919e+00, 3.197583196889984158e+00, 2.770028692154227201e+00, 3.418843638081917380e+00, 2.405055394374144839e+00, 2.500108935991168124e+00, 2.195138782927828824e+00
2.027000000000000000e+03, 3.064299875383218907e+00, 3.245895508369003757e+00, 2.466666130218207353e+00, 3.085176528049078382e+00, 3.359938600068707260e+00, 4.519222571985901382e+00, 3.090340479432911014e+00, 3.966782955437013314e+00, 4.120888610804856356e+00, 2.821472948845432427e+00, 3.204204079499850089e+00, 2.546600678480652746e+00, 3.425092093742383881e+00, 2.356481632310869045e+00, 2.510083121085233682e+00, 2.326166841655787465e+00
2.028000000000000000e+03, 3.079975973111821475e+00, 3.241723560334249576e+00, 2.532658629758671509e+00, 3.192347489335777500e+00, 3.232443741026473472e+00, 4.505875817452412946e+00, 3.107701997865098154e+00, 3.854500902990303235e+00, 4.326845044969101828e+00, 2.823409548033791516e+00, 3.174299201031603790e+00, 2.506516906697827007e+00, 3.389769818617844876e+00, 2.301987117094686841e+00, 2.504789908624716510e+00, 2.376148207811640933e+00
2.029000000000000000e+03, 3.060670815662355437e+00, 3.091291137777989473e+00, 2.504274190691280211e+00, 3.185891275488541119e+00, 3.131951145728046004e+00, 4.522205300212377210e+00, 3.166083102377395431e+00, 3.925041678396294476e+00, 4.337361811247089527e+00, 2.830221100082040753e+00, 3.259667622481786431e+00, 2.624125524182610469e+00, 3.367522813810011950e+00, 2.364221115000161078e+00, 2.481459945713721194e+00, 2.388477619729131973e+00
2.030000000000000000e+03, 3.120866534650006408e+00, 3.170591451964134944e+00, 2.519053260944301265e+00, 2.981472235868991127e+00, 3.279200999422801299e+00, 4.506128307826735124e+00, 3.090311297337931418e+00, 3.927372865211626429e+00, 4.340478064872971942e+00, 2.810483886577271218e+00, 3.269700415792855086e+00, 2.621195584950334556e+00, 3.370379069916647818e+00, 2.390758249774170618e+00, 2.508122201806200380e+00, 2.384338082647159407e+00
2.031000000000000000e+03, 3.154136784505906732e+00, 3.154099013116049566e+00, 2.451855071676166453e+00, 2.749238217380103322e+00, 3.154241444002730432e+00, 4.503453017189237073e+00, 3.020877918357758762e+00, 3.777837358285937253e+00, 4.148717051801305900e+00, 2.853000714396497273e+00, 3.234317775083031421e+00, 2.624748125189695802e+00, 3.397223925065815386e+00, 2.303320040836132954e+00, 2.438849771851273385e+00, 2.372805372775435462e+00
