year, GFDL-ESM4, CanESM5, ACCESS-ESM1-5, CMCC-CM2-SR5, CESM2-WACCM, NorESM2-MM, MIROC-ES2L, CNRM-ESM2-1, MPI-ESM1-2-LR, NorESM2-LM, EC-Earth3-Veg, IPSL-CM6A-LR, TaiESM1
2.015000000000000000e+03, 2.886512478289360928e+01, 1.431789570833437608e+01, 6.907469013339650132e+00, 7.625086180022301541e+00, 5.151519252236905544e+00, 5.276895988708852236e+00, 3.492108337622283187e+01, 3.469107534244334090e+01, 5.516499308514216438e+01, 5.494955342987244862e+00, 6.642810691295812475e+00, 2.077322072374872519e+01, 2.145021845875552557e+00
2.016000000000000000e+03, 2.910288715401992832e+01, 1.443175215149282664e+01, 6.984365321529606874e+00, 7.614738136891862297e+00, 5.139459939867733418e+00, 5.181175208110245123e+00, 3.511188533392513733e+01, 3.466377446626480463e+01, 5.530134889977654922e+01, 5.398785066773225338e+00, 6.599559490304168108e+00, 2.073971674928320752e+01, 2.230731638007675599e+00
2.017000000000000000e+03, 2.901317707853583627e+01, 1.444247531551886254e+01, 6.994715694563378605e+00, 7.613325603387833596e+00, 5.097848242220073267e+00, 5.102719347151258411e+00, 3.565096183410373243e+01, 3.476771951162423591e+01, 5.530359732582751775e+01, 5.362504861085477081e+00, 6.819098747443509190e+00, 2.069058186911101060e+01, 2.156762873357419785e+00
2.018000000000000000e+03, 2.910094329679480651e+01, 1.433268399577552543e+01, 7.063370814387077701e+00, 7.656318584392024285e+00, 4.961390328928064974e+00, 5.122238339582351863e+00, 3.584276587640894007e+01, 3.481260646976229367e+01, 5.533093354027415245e+01, 5.369865147168472852e+00, 6.750804986926906004e+00, 2.062680669181434112e+01, 2.194508277372544836e+00
2.019000000000000000e+03, 2.937604311555723768e+01, 1.404078280884059282e+01, 7.149539510202359338e+00, 7.706090330309223191e+00, 5.196140729414979731e+00, 5.177600121904496255e+00, 3.566517588415280215e+01, 3.466878458049500011e+01, 5.538932997963714655e+01, 5.418648210790862230e+00, 6.504705404540353619e+00, 2.057493945113643719e+01, 2.598219623627529451e+00
2.020000000000000000e+03, 2.946775252027016023e+01, 1.410058089098783896e+01, 7.198264098198127847e+00, 7.790297209842896642e+00, 5.134454851331117453e+00, 5.257194116425322861e+00, 3.551746467007555452e+01, 3.482023111018724393e+01, 5.533732951495964869e+01, 5.446431900499989709e+00, 6.508371055983956488e+00, 2.064634962223357206e+01, 2.326452304296398044e+00
2.021000000000000000e+03, 2.946554612309265053e+01, 1.436991941484415314e+01, 7.109879220624704566e+00, 7.712230799718384766e+00, 5.326106982955953306e+00, 5.173649280722823818e+00, 3.568143022107950912e+01, 3.466551382934137848e+01, 5.509431640364517335e+01, 5.383909768954633357e+00, 6.428785005460085245e+00, 2.064478725015371197e+01, 2.028842030106825955e+00
2.022000000000000000e+03, 2.954403057307319003e+01, 1.455360881366535075e+01, 7.131368342013033157e+00, 7.557729904391980114e+00, 5.267015894228628703e+00, 5.311407702134514963e+00, 3.574557172329244281e+01, 3.480477926997978244e+01, 5.516323135541825451e+01, 5.387854713202042234e+00, 6.373197330947971473e+00, 2.072683042780499818e+01, 2.306765754558953496e+00
2.023000000000000000e+03, 2.986608507499691356e+01, 1.452278827383833182e+01, 7.072850485317101032e+00, 8.067460503005710493e+00, 5.163682643524189153e+00, 5.335766437850793409e+00, 3.566085988982634802e+01, 3.471003074774022679e+01, 5.516963375200305819e+01, 5.342469425654251758e+00, 6.242782523264775563e+00, 2.070562531484599944e+01, 2.480592974489871594e+00
2.024000000000000000e+03, 2.994153854382037849e+01, 1.514028022484510494e+01, 6.953526512193373144e+00, 7.977645197996600324e+00, 5.308319008825104213e+00, 5.219347187233752905e+00, 3.552601317319025753e+01, 3.484983843072662779e+01, 5.525908272649222397e+01, 5.432270582766424383e+00, 6.475948338805316951e+00, 2.069521919675857546e+01, 2.250537836549983073e+00
2.025000000000000000e+03, 3.002621883823631421e+01, 1.473295811411865053e+01, 6.841037745000389414e+00, 8.400606912286139760e+00, 5.248585374249678637e+00, 5.131261774219158411e+00, 3.565986619499015120e+01, 3.463195714096195132e+01, 5.584183149150670289e+01, 5.521758921197521097e+00, 6.647237698628637226e+00, 2.063249325139418389e+01, 1.978061014189937072e+00
2.026000000000000000e+03, 2.993740025289528006e+01, 1.422313361064045090e+01, 6.726840795882978341e+00, 8.042434259824888798e+00, 5.208537125599559836e+00, 5.229942448930427368e+00, 3.579821673261218962e+01, 3.458790261535138200e+01, 5.628822130075115382e+01, 5.404175536118589029e+00, 6.557756524439116497e+00, 2.068654016213998403e+01, 2.328846807344409964e+00
2.027000000000000000e+03, 2.996275139631163498e+01, 1.434007893504323583e+01, 6.771461768945085780e+00, 8.022371243807366881e+00, 5.192895467345716831e+00, 5.291631643137112206e+00, 3.582910323691666576e+01, 3.494875501091014769e+01, 5.624034703701892823e+01, 5.450403959648617125e+00, 6.359944737508239854e+00, 2.075756755886572691e+01, 2.549941349418796133e+00
