year, EC-Earth3-Veg, TaiESM1, MPI-ESM1-2-LR, UKESM1-0-LL, NorESM2-MM, NorESM2-LM, IPSL-CM6A-LR, GFDL-ESM4, CESM2-WACCM
2.015000000000000000e+03, 1.379948299087052392e-09, 1.193867422125448151e-10, 5.969718490102199026e-10, 1.116820860541661627e-09, 0.000000000000000000e+00, 1.745162073871971409e-10, 1.122028286665658871e-09, 4.313141847704309234e-10, 4.949282883249875893e-10
2.016000000000000000e+03, 1.359203747791393619e-09, 1.199025741741001096e-10, 5.951209973151579680e-10, 1.203910340539428773e-09, 1.812362324268886130e-10, 1.781141272029864553e-10, 1.244760536709045262e-09, 4.441271025386774273e-10, 4.766111942170942501e-10
2.017000000000000000e+03, 1.380034644846526100e-09, 1.182500756075579077e-10, 5.985179169204734320e-10, 1.305359049030267253e-09, 1.795204981798976250e-10, 1.729936692273332530e-10, 1.370367621498330602e-09, 4.735004448364119911e-10, 4.398655488168981800e-10
2.018000000000000000e+03, 1.325268856992383911e-09, 1.170600613899346312e-10, 6.283659372897772378e-10, 1.290173256052000678e-09, 1.754755041001098829e-10, 1.708306891081668124e-10, 1.297519753463510903e-09, 5.245890205329993314e-10, 5.257999250875635414e-10
2.019000000000000000e+03, 1.344155047156357691e-09, 1.649907287383501750e-10, 6.362152043588410812e-10, 1.207727964038357517e-09, 1.724391341814205659e-10, 1.686936273154268389e-10, 1.274666506677008134e-09, 6.081705724429961885e-10, 4.671377895263867600e-10
2.020000000000000000e+03, 1.292176361835123656e-09, 1.634503863624643583e-10, 6.204968003167831787e-10, 1.346872361322721243e-09, 1.587919403554663768e-10, 1.602041367500618755e-10, 1.236111575769164719e-09, 5.177011674354190741e-10, 5.188781050029180935e-10
2.021000000000000000e+03, 1.355642375837367152e-09, 1.619049100238132715e-10, 6.172264653761363103e-10, 1.257672092912286696e-09, 1.570399350568316533e-10, 1.584366545477925462e-10, 1.248316122023542242e-09, 5.224355437860390530e-10, 4.295594930193003975e-10
2.022000000000000000e+03, 1.295355444654138247e-09, 1.614194207605778113e-10, 5.906974096078842110e-10, 1.237111613716639557e-09, 1.557804455056521955e-10, 1.570445637634248772e-10, 1.359326965698529753e-09, 5.151405111022361975e-10, 5.236502607425137823e-10
2.023000000000000000e+03, 1.322376077631821868e-09, 1.605099535358874755e-10, 5.802341309497773246e-10, 1.079863330706003800e-09, 1.549217816372762876e-10, 1.563383892404330930e-10, 1.262532403283862284e-09, 5.585546626731754694e-10, 5.052201537072309636e-10
2.024000000000000000e+03, 1.317515547346011316e-09, 1.596565154666662266e-10, 5.719186617582219740e-10, 1.187981884997084279e-09, 1.543768197462294543e-10, 1.558678727596007448e-10, 1.205870126395706120e-09, 5.182047267305662586e-10, 4.477977970198786838e-10
2.025000000000000000e+03, 1.333637042789520831e-09, 1.596077394215218557e-10, 5.788199148380533458e-10, 1.345333112881269987e-09, 1.540644352987088942e-10, 1.556336843692431281e-10, 1.273512985516565028e-09, 4.091059072633632878e-10, 4.558064798726603894e-10
2.026000000000000000e+03, 1.279179997801037454e-09, 1.592142218194875605e-10, 5.901160208749836677e-10, 1.313900611213084574e-09, 1.540627105608264483e-10, 1.557367905922600439e-10, 1.226622599830675561e-09, 5.003348938878110577e-10, 5.127523381984957454e-10
2.027000000000000000e+03, 1.269397676652442852e-09, 1.583870542667136101e-10, 5.865064122725008968e-10, 1.253599293026940101e-09, 1.542242040108624407e-10, 1.556670561998532440e-10, 1.187000117456642389e-09, 5.048248370267090822e-10, 4.468857073115891439e-10
2.028000000000000000e+03, 1.299351109883354555e-09, 1.583803844986832438e-10, 5.764596597336573842e-10, 1.216154249330204037e-09, 1.541954925943027520e-10, 1.559333237053557367e-10, 1.178388997544279218e-09, 5.298837781017924647e-10, 5.335316458925468071e-10
