year, EC-Earth3-Veg, CESM2-WACCM, GFDL-ESM4, MPI-ESM1-2-LR, TaiESM1, CMCC-CM2-SR5, NorESM2-LM, UKESM1-0-LL, NorESM2-MM, CanESM5, CNRM-ESM2-1, ACCESS-ESM1-5, IPSL-CM6A-LR, MIROC-ES2L
2.015000000000000000e+03, 1.145039575159352552e+01, 9.613709421728396265e+00, 1.134773921861118495e+01, 1.993134062595705203e+01, 1.139892229337837826e+01, 8.876017667088712315e+00, 1.041247028989038803e+01, 1.707699208915862243e+01, 9.595887596341311720e+00, 1.448015174569039765e+01, 9.194433727052665262e+00, 1.187200020239922438e+01, 1.122586690871039927e+01, 1.261738804670276082e+01
2.016000000000000000e+03, 1.151315872829414388e+01, 9.558608530946349546e+00, 1.136853585606477957e+01, 1.924491752033929615e+01, 1.106211539929310206e+01, 8.549938502438223509e+00, 1.056990178942707637e+01, 1.750184069778772766e+01, 9.865747021805770345e+00, 1.433334868434205056e+01, 9.490634880126906481e+00, 1.172304863484138160e+01, 1.166599286209659780e+01, 1.182295767697584488e+01
2.017000000000000000e+03, 1.098075483935477870e+01, 9.915086019037623544e+00, 1.142563023676447820e+01, 2.007497068754015501e+01, 1.157994825602023603e+01, 8.720842528925164316e+00, 1.071713300980520422e+01, 1.855310083781579422e+01, 1.009667490314452287e+01, 1.435826741173729459e+01, 9.440909511193327219e+00, 1.183666401901643894e+01, 1.175978726626288484e+01, 1.183945128273395575e+01
2.018000000000000000e+03, 1.174996456003724887e+01, 1.006657397127997555e+01, 1.117143460620508755e+01, 1.979130802594145422e+01, 1.111082724957030266e+01, 8.904626665834591392e+00, 1.073980448604563520e+01, 1.831267988038160510e+01, 9.956781164734501033e+00, 1.500311533426212662e+01, 9.556369285222006127e+00, 1.190334995581860333e+01, 1.172840188466763323e+01, 1.226719148216876754e+01
2.019000000000000000e+03, 1.167508588915987566e+01, 9.845381180447303038e+00, 1.132522863214740205e+01, 1.959028988553503936e+01, 1.185947281388160235e+01, 8.808084358326777163e+00, 1.074690604754995960e+01, 1.814332483297123133e+01, 1.000844690278148263e+01, 1.469167342007189170e+01, 9.610101795033449079e+00, 1.200753864289803730e+01, 1.178507683204005296e+01, 1.288290016738448251e+01
2.020000000000000000e+03, 1.129149238032345970e+01, 1.015139164732407551e+01, 1.166541269817756543e+01, 1.973051168152367296e+01, 1.165734623787812652e+01, 8.678949781936156072e+00, 1.050532239768392451e+01, 1.932319155790140286e+01, 1.007541658587332556e+01, 1.434263127005925931e+01, 9.236719810179257806e+00, 1.221485845808790849e+01, 1.177987600249628564e+01, 1.232628836763240798e+01
2.021000000000000000e+03, 1.144079080813350124e+01, 9.876999787718009571e+00, 1.158272001378391458e+01, 2.029505179973778084e+01, 1.114447174526174322e+01, 8.571611359499865301e+00, 1.055287663485461636e+01, 1.844630713920471621e+01, 1.016221686022442228e+01, 1.440621520025340807e+01, 9.367906973568212337e+00, 1.222243168098483324e+01, 1.202806732190551919e+01, 1.206958509799366652e+01
2.022000000000000000e+03, 1.137542784818687380e+01, 9.797459676539073570e+00, 1.147862788266929535e+01, 1.945322387268163311e+01, 1.102626843746297425e+01, 8.722942214880159639e+00, 1.067300859472674546e+01, 1.927050773658185179e+01, 9.867840949632521230e+00, 1.466825915692345994e+01, 9.543283466609834065e+00, 1.209206591899699212e+01, 1.183514372887486665e+01, 1.227050942566992653e+01
2.023000000000000000e+03, 1.144543954143461839e+01, 1.023646022244385811e+01, 1.164166677393464511e+01, 2.046055205701674851e+01, 1.172915653764570187e+01, 8.798512717625497359e+00, 1.086005703959406077e+01, 1.748485613519197202e+01, 1.006250730607554900e+01, 1.483668967278970641e+01, 9.498449536361420087e+00, 1.214407186531396299e+01, 1.209176634602243361e+01, 1.252546230401486049e+01
2.024000000000000000e+03, 1.085452869959033428e+01, 9.785622586292451075e+00, 1.177530268191560836e+01, 1.991565279888131101e+01, 1.147082240447851298e+01, 8.799322248696741511e+00, 1.073100445691740035e+01, 1.842446694872192126e+01, 1.026661975999820520e+01, 1.441135088057055214e+01, 9.208976595664370990e+00, 1.224869752173948001e+01, 1.208951503503856806e+01, 1.285158267528269249e+01
