year, GFDL-ESM4, EC-Earth3-Veg, MPI-ESM1-2-LR
2.065000000000000000e+03, 3.845137140147856568e-10, 1.894029301191165267e-10, 9.417110794423571215e-10
2.066000000000000000e+03, 4.100879896768704940e-10, 1.994170377081046903e-10, 8.820472365588350545e-10
2.067000000000000000e+03, 4.772716949365839394e-10, 1.650726962575807959e-10, 9.057183836763306875e-10
2.068000000000000000e+03, 4.334393240024895572e-10, 1.872151484566132799e-10, 9.051048507512977540e-10
2.069000000000000000e+03, 4.336532340280047060e-10, 1.788371237517365188e-10, 8.981060685766745406e-10
2.070000000000000000e+03, 3.742805702944979906e-10, 1.739191265562325930e-10, 8.246505422623458692e-10
2.071000000000000000e+03, 3.790561372153161672e-10, 2.037763354146937171e-10, 8.915437674988714009e-10
2.072000000000000000e+03, 4.151062981702020759e-10, 1.804876194864925162e-10, 9.022551202353769525e-10
2.073000000000000000e+03, 3.587632403711647490e-10, 1.754617602358610283e-10, 8.943621678487488477e-10
2.074000000000000000e+03, 3.892448318044505118e-10, 1.663113287582110003e-10, 9.131614671812179826e-10
2.075000000000000000e+03, 3.333151081194214987e-10, 1.649735717048361538e-10, 9.211791408090242177e-10
2.076000000000000000e+03, 3.882860127596768416e-10, 1.869898924724289115e-10, 9.331571988416138385e-10
2.077000000000000000e+03, 3.758897285039090508e-10, 1.872789800574287243e-10, 8.610662883575571255e-10
2.078000000000000000e+03, 3.625267117047726246e-10, 1.791505112729719681e-10, 8.890865734563878382e-10
2.079000000000000000e+03, 3.971935258492940839e-10, 1.544404355544466642e-10, 9.493859686119706702e-10
2.080000000000000000e+03, 3.340468940428833464e-10, 1.796785494587132440e-10, 8.978747400127236339e-10
2.081000000000000000e+03, 3.377768093557518817e-10, 1.694736891313225099e-10, 8.737626586559201679e-10
2.082000000000000000e+03, 3.696145227300199165e-10, 1.750284556322269977e-10, 8.854428226615493094e-10
2.083000000000000000e+03, 3.746835434231954520e-10, 1.779530172234717283e-10, 8.814453116510074061e-10
2.084000000000000000e+03, 3.480050411115930193e-10, 1.631309568494759662e-10, 8.643990479429606769e-10
2.085000000000000000e+03, 3.740800271874419299e-10, 1.600705976814984921e-10, 8.850702300837069722e-10
2.086000000000000000e+03, 3.495632144716420355e-10, 1.656683116815371343e-10, 8.814552208306392413e-10
2.087000000000000000e+03, 3.646828247964935588e-10, 1.553980972658848078e-10, 8.706496208550930469e-10
2.088000000000000000e+03, 3.169534960332928081e-10, 1.630485678429368540e-10, 9.285432106140440969e-10
2.089000000000000000e+03, 3.055443550814407126e-10, 1.638308990312898127e-10, 8.786586336748142271e-10
2.090000000000000000e+03, 3.641707362668195201e-10, 1.533515698417581329e-10, 8.799125924676047468e-10
2.091000000000000000e+03, 3.145387690862560037e-10, 1.635955095174959476e-10, 8.824095776790398167e-10
2.092000000000000000e+03, 3.670841632216497592e-10, 1.541870838521553560e-10, 8.511399312457420859e-10
2.093000000000000000e+03, 3.295611810253902318e-10, 1.634414006011695241e-10, 8.689754612089407733e-10
2.094000000000000000e+03, 3.022617554229884321e-10, 1.578572768882741718e-10, 8.267721108358983934e-10
2.095000000000000000e+03, 3.372843919304670939e-10, 1.685843553697102759e-10, 8.071747661810047872e-10
2.096000000000000000e+03, 3.350722764801496606e-10, 1.503032014390574074e-10, 9.118800588631521418e-10
2.097000000000000000e+03, 3.671876104407654164e-10, 1.657456462363485360e-10, 9.245536637744676786e-10
2.098000000000000000e+03, 2.583022522763451294e-10, 1.448040528278253415e-10, 8.839982788106730331e-10
2.099000000000000000e+03, 3.134442194387705546e-10, 1.634763431851450991e-10, 8.789846464441140513e-10
2.100000000000000000e+03, 2.697387837824157360e-10, 1.454739391064775014e-10, 9.064918541908447195e-10
