year, CESM2-WACCM, CNRM-ESM2-1, UKESM1-0-LL, IPSL-CM6A-LR
2.015000000000000000e+03, 3.382815893341730577e-10, 1.050625533636744838e-10, 1.083904934865061108e-09, -2.802166162167632077e-09
2.016000000000000000e+03, 3.374314251416611230e-10, 6.113962736466639184e-11, 1.112895677345695227e-09, -2.729064325251889956e-09
2.017000000000000000e+03, 3.370109281729591498e-10, 5.673190084169536304e-11, 1.009788066425208670e-09, -2.967467170363833632e-09
2.018000000000000000e+03, 3.390697736861823425e-10, 4.518272888997804877e-11, 1.110236946086457710e-09, -3.113319244668727819e-09
2.019000000000000000e+03, 3.394119745886500383e-10, 4.455445108090021031e-11, 1.201263738121139019e-09, -2.858515761360677265e-09
2.020000000000000000e+03, 3.386925231408290355e-10, 3.298811116844575682e-11, 1.166234523959182012e-09, -2.603163850240351721e-09
2.021000000000000000e+03, 3.365502199087652239e-10, 2.748769148474607747e-11, 1.127060907911369527e-09, -2.817745555558358353e-09
2.022000000000000000e+03, 3.391799010138508547e-10, 2.344032657203319131e-11, 1.143790346363666407e-09, -2.777261373223126715e-09
2.023000000000000000e+03, 3.416255982027607275e-10, 1.804648450878623960e-11, 1.040289727511626032e-09, -3.221893650334229204e-09
2.024000000000000000e+03, 3.424707777223460524e-10, 1.502179830933696706e-11, 1.278936018671362838e-09, -3.012923909371035663e-09
2.025000000000000000e+03, 3.454208079366255403e-10, 1.254629381764820939e-11, 1.146396569834475280e-09, -2.868861608797505926e-09
2.026000000000000000e+03, 3.510292016365001003e-10, 1.558617533548126962e-11, 1.058943377885313620e-09, -2.897895137077462901e-09
2.027000000000000000e+03, 3.532900020671230863e-10, 1.567679468084626999e-11, 1.101475531448842564e-09, -2.690088834316980883e-09
2.028000000000000000e+03, 3.547890562050027510e-10, 1.544979106041368323e-11, 1.270156625574339050e-09, -2.835162047500563135e-09
2.029000000000000000e+03, 3.557245244472951128e-10, 1.515979057993401472e-11, 1.153834564450747423e-09, -2.976683449196817516e-09
2.030000000000000000e+03, 3.574757358870363997e-10, 1.548116088611799238e-11, 1.157391156470268610e-09, -3.148190801149115077e-09
2.031000000000000000e+03, 3.530681266181309457e-10, 1.474207670745342949e-11, 1.174591870383015468e-09, -3.028411478992807789e-09
2.032000000000000000e+03, 3.534228567207980515e-10, 1.444659128769017043e-11, 1.283133576241717623e-09, -2.537098542882467974e-09
2.033000000000000000e+03, 3.523306821615602443e-10, 1.472271774135923134e-11, 1.076703241007191423e-09, -3.058980407125088373e-09
2.034000000000000000e+03, 3.553833719269583748e-10, 1.462913120520751047e-11, 1.113520354320231789e-09, -2.683790380515209787e-09
2.035000000000000000e+03, 3.548833327480437822e-10, 1.465788168356151028e-11, 1.015134237224904228e-09, -2.850335670155018039e-09
2.036000000000000000e+03, 3.609547790213443916e-10, 1.517500732317248868e-11, 1.113682338008868842e-09, -3.186223213368462483e-09
2.037000000000000000e+03, 3.652074739912146187e-10, 1.520106873093173685e-11, 1.117783616585602370e-09, -3.002502076180320314e-09
2.038000000000000000e+03, 3.645781701733016922e-10, 1.539525594962496049e-11, 9.995940748409274968e-10, -3.206559460005084072e-09
2.039000000000000000e+03, 3.643239294441382172e-10, 1.518628338145147454e-11, 9.425298981210443704e-10, -3.110948808003298672e-09
2.040000000000000000e+03, 3.664318884864369484e-10, 1.508314845756906563e-11, 1.039216086552640228e-09, -2.697529629553207177e-09
2.041000000000000000e+03, 3.640571800940718728e-10, 2.769403620934478906e-11, 8.989349248211049615e-10, -3.133597546706583761e-09
2.042000000000000000e+03, 3.653273621261553145e-10, 2.808290084143621922e-11, 1.068402536457857619e-09, -2.894661729510851360e-09
2.043000000000000000e+03, 3.656097370161787624e-10, 2.844757929723844888e-11, 1.173019812940135246e-09, -2.689870995680639698e-09
2.044000000000000000e+03, 3.654094271494255702e-10, 2.762631637567889525e-11, 1.096195218517248359e-09, -2.921959872441132565e-09
2.045000000000000000e+03, 3.656195776963433173e-10, 2.689638600716168771e-11, 1.218059947599812838e-09, -2.643250337637873070e-09
2.046000000000000000e+03, 3.661057120415944114e-10, 1.586080599302776960e-11, 1.276517780005662143e-09, -2.532983660020912204e-09
2.047000000000000000e+03, 3.622585860974754764e-10, 1.550769359142290262e-11, 1.236141198371745012e-09, -3.068571903220224535e-09
2.048000000000000000e+03, 3.619110041207578020e-10, 1.463664011118576933e-11, 1.064942550231325020e-09, -2.764000527502550292e-09
2.049000000000000000e+03, 3.634078767256798423e-10, 1.481477608509509008e-11, 1.131852826110437907e-09, -2.924915373574285188e-09
2.050000000000000000e+03, 3.639782483251043562e-10, 1.397990765699651800e-11, 1.184033341685133879e-09, -3.067126444419962053e-09
2.051000000000000000e+03, 3.593078572749882540e-10, 2.163574035421324188e-11, 1.055707961634297213e-09, -3.190210382463330966e-09
2.052000000000000000e+03, 3.595490406876893493e-10, 2.114625496812963164e-11, 1.220182434030272810e-09, -2.989051314685399119e-09
2.053000000000000000e+03, 3.557127641957491106e-10, 2.109522476451753812e-11, 1.108563665065654810e-09, -2.855602914430387509e-09
2.054000000000000000e+03, 3.570362909699816157e-10, 2.081263895144581181e-11, 1.212897992164857146e-09, -2.919454925439259999e-09
2.055000000000000000e+03, 3.571058209437714735e-10, 2.070739823774753035e-11, 1.073869489673100639e-09, -2.709613482743198407e-09
2.056000000000000000e+03, 3.639284126247970121e-10, 5.619790538443288392e-11, 1.077423268133364249e-09, -3.060371425400155538e-09
2.057000000000000000e+03, 3.646641595596787656e-10, 5.925273684421671224e-11, 1.064706030167277874e-09, -3.208361655939033116e-09
2.058000000000000000e+03, 3.637655123029412720e-10, 6.540010258951250283e-11, 1.161948688227713488e-09, -3.386916360838062217e-09
2.059000000000000000e+03, 3.672754120430029083e-10, 6.957614996828616123e-11, 1.120597982588202988e-09, -3.069346657762537618e-09
2.060000000000000000e+03, 3.671505190677955315e-10, 7.330998338319901841e-11, 1.069940998227804453e-09, -3.021765003005360637e-09
2.061000000000000000e+03, 3.913393268927618192e-10, 9.983479546534901488e-11, 1.089121915738302753e-09, -2.822741499128112526e-09
2.062000000000000000e+03, 3.929530756163898882e-10, 9.967104956359178918e-11, 1.021292357706380428e-09, -3.059960230270731085e-09
