year, UKESM1-0-LL, CanESM5, ACCESS-ESM1-5, NorESM2-MM, NorESM2-LM, TaiESM1, CESM2-WACCM, CMCC-CM2-SR5, IPSL-CM6A-LR, EC-Earth3-Veg, CNRM-ESM2-1, MIROC-ES2L, GFDL-ESM4, MPI-ESM1-2-LR
2.034000000000000000e+03, 1.081343129792446547e+02, 7.144980760472822112e+01, 5.482015721519378104e+01, 4.169867611945391417e+01, 4.079158794137945421e+01, 1.674410700849961131e+01, 4.252679811135593724e+01, 1.807533757269629007e+02, 3.000298436444196781e+01, 5.924756886584518867e+01, 9.702822443796010532e+01, 7.165269596999888790e+01, 1.161864869781211951e+01, 3.708088291064237296e+01
2.035000000000000000e+03, 1.082878257187938829e+02, 7.151239006395617537e+01, 5.483094578822795739e+01, 4.175017596383486307e+01, 4.080012531063372450e+01, 1.669053729280132714e+01, 4.255486612540465785e+01, 1.807674079239333480e+02, 2.999587150601213281e+01, 5.927002262364363361e+01, 9.713731341380284334e+01, 7.174603143749446588e+01, 1.161153294790844726e+01, 3.714773677547341180e+01
2.036000000000000000e+03, 1.083346113745214154e+02, 7.155932355379971455e+01, 5.483819709970631351e+01, 4.175464551051570794e+01, 4.081796370059818457e+01, 1.676679584132716272e+01, 4.256567812342129287e+01, 1.807477811644589565e+02, 3.001391739678530257e+01, 5.928233716680284715e+01, 9.718751730152179391e+01, 7.181562540676910089e+01, 1.160827462991053238e+01, 3.718489360389875742e+01
2.037000000000000000e+03, 1.083836494884747310e+02, 7.157457899939497281e+01, 5.484733914814151490e+01, 4.179125070300503353e+01, 4.082473462154538169e+01, 1.684236050695041698e+01, 4.257331965377672844e+01, 1.807186009028775970e+02, 3.005848473537788834e+01, 5.932168988283982713e+01, 9.722758416810252413e+01, 7.187452365524659115e+01, 1.159583752996230821e+01, 3.723463539535113398e+01
2.038000000000000000e+03, 1.084652657628178929e+02, 7.163640704733309406e+01, 5.487598460945196877e+01, 4.182017787825794386e+01, 4.081252101292656675e+01, 1.679638989748638522e+01, 4.259303336536263629e+01, 1.806821990759324876e+02, 3.007400539433871600e+01, 5.935168062830455682e+01, 9.730703168251841362e+01, 7.190353888921374903e+01, 1.162106254302909392e+01, 3.731454730014745280e+01
2.039000000000000000e+03, 1.086049582187173002e+02, 7.170448015102923023e+01, 5.489742246016417226e+01, 4.183175018669051326e+01, 4.083672437378088205e+01, 1.685440092635818488e+01, 4.261405999814456180e+01, 1.806398178941178685e+02, 3.010089708315156187e+01, 5.938179652280638265e+01, 9.737563402748646979e+01, 7.195623185821577295e+01, 1.165165880254249764e+01, 3.731167483512039240e+01
2.040000000000000000e+03, 1.087458435638498173e+02, 7.179215312122683201e+01, 5.488237583123415675e+01, 4.186948779068519144e+01, 4.089689234366300497e+01, 1.690800233878661984e+01, 4.262688061699660835e+01, 1.806838433171999156e+02, 3.013352606555165636e+01, 5.942411188105597830e+01, 9.743440477150113566e+01, 7.201429626908077353e+01, 1.162619111585817144e+01, 3.737760597335687152e+01
2.041000000000000000e+03, 1.088669860501910165e+02, 7.186673597642736411e+01, 5.485225025119630260e+01, 4.186089293847714998e+01, 4.094857146467701625e+01, 1.689112393564004577e+01, 4.264953828150864013e+01, 1.805841684293495462e+02, 3.014292581129816639e+01, 5.947289361747314729e+01, 9.752235323329539085e+01, 7.203028118827229775e+01, 1.159440787818159180e+01, 3.739482556494553478e+01
2.042000000000000000e+03, 1.088826243224353050e+02, 7.194885069957611279e+01, 5.481683383129571752e+01, 4.184637510649302783e+01, 4.097575578836588761e+01, 1.688413671210656730e+01, 4.265936440832145848e+01, 1.805248772840117226e+02, 3.017350082416796653e+01, 5.947751434684202820e+01, 9.762942026601803036e+01, 7.209228402746579434e+01, 1.158283692530247855e+01, 3.729664645647318366e+01
2.043000000000000000e+03, 1.089304936410162128e+02, 7.202670334763959659e+01, 5.475585851450377106e+01, 4.184822923353630131e+01, 4.099350799219634212e+01, 1.691643391696355181e+01, 4.270560353492131611e+01, 1.806085624091473960e+02, 3.019863036545015333e+01, 5.949220595216838348e+01, 9.773914782723308292e+01, 7.221296527414862965e+01, 1.162008194952249696e+01, 3.733283495483674130e+01
2.044000000000000000e+03, 1.090756685160400536e+02, 7.208392358564823610e+01, 5.471368836336355201e+01, 4.185240582724628666e+01, 4.102205434864804801e+01, 1.692260497784574014e+01, 4.272772131051618771e+01, 1.805673817304864883e+02, 3.019711828233118212e+01, 5.949221738868037335e+01, 9.776492257785287165e+01, 7.233903917208324685e+01, 1.161730808553632777e+01, 3.741718745761424714e+01
2.045000000000000000e+03, 1.091143770644291351e+02, 7.214245668413092005e+01, 5.467743817893854441e+01, 4.189429437617560836e+01, 4.109339580836778083e+01, 1.691863859840005446e+01, 4.276445317883532482e+01, 1.804762010638166601e+02, 3.021309948896701059e+01, 5.951707518584806422e+01, 9.783762658812473489e+01, 7.240376324223970528e+01, 1.166739363137286922e+01, 3.749675782533933699e+01
2.046000000000000000e+03, 1.092036206056800580e+02, 7.220605664808871893e+01, 5.461653102427022333e+01, 4.191104646167924841e+01, 4.113703841755280877e+01, 1.692832913644323511e+01, 4.279595466838654261e+01, 1.804277105566852129e+02, 3.022375752031404872e+01, 5.954395642978602865e+01, 9.793187549207132747e+01, 7.250481095451684155e+01, 1.169065432402903326e+01, 3.757799071956808490e+01
2.047000000000000000e+03, 1.093421386227935415e+02, 7.228617964296121556e+01, 5.459524072495776892e+01, 4.194654616887528675e+01, 4.114567109115665744e+01, 1.700389388827112569e+01, 4.281897397115267978e+01, 1.804173072453382076e+02, 3.021390119353120696e+01, 5.955403331658280308e+01, 9.799551228277179860e+01, 7.259097003533533154e+01, 1.168054718330794373e+01, 3.758867010343948323e+01
