year, ACCESS-ESM1-5, GFDL-ESM4, CNRM-ESM2-1, IPSL-CM6A-LR, CMCC-ESM2, MPI-ESM1-2-LR, CESM2-WACCM, MIROC-ES2L, UKESM1-0-LL
2.049000000000000000e+03, 8.275620204577984436e-11, 2.111933519174086763e-09, 8.767567910427444426e-12, 2.603024105165618059e-09, 2.177440186825722729e-10, 1.647699057730775115e-09, 1.984334747117601657e-09, 2.094202298417599326e-09, 1.477849529203635833e-13
2.050000000000000000e+03, 5.540775389818500245e-11, 2.181573836500162524e-09, 7.860661329221872198e-12, 2.739627300060972669e-09, 2.176799660583922413e-10, 1.627761635877171393e-09, 1.758484325561516509e-09, 2.093612933822671886e-09, 1.476026326807382440e-13
2.051000000000000000e+03, 8.110031478386138044e-11, 2.522913208446185429e-09, 6.912026464355928298e-12, 2.862089983786783112e-09, 2.180739143853458886e-10, 1.631585926615848411e-09, 1.742311657740209678e-09, 2.084208216648935119e-09, 1.243763315511525591e-13
2.052000000000000000e+03, 5.283003822444309289e-11, 2.436193344238719163e-09, 6.508372107237430567e-12, 2.661358825774334150e-09, 2.187346947433996879e-10, 1.558346393781542763e-09, 1.865164467547304491e-09, 2.079029945866638853e-09, 1.213594166260081611e-13
2.053000000000000000e+03, 4.091469803593687644e-11, 2.458163620874320513e-09, 6.014090281871899502e-12, 2.528336945966116263e-09, 2.190981305088537938e-10, 1.607849137377381351e-09, 1.904537704002244544e-09, 2.080073917361693708e-09, 1.142644688612019374e-13
2.054000000000000000e+03, 7.451393522234194792e-11, 2.441992100525928060e-09, 5.743865466482472415e-12, 2.592122007918588584e-09, 2.192799519389446253e-10, 1.576179644245593911e-09, 1.902837638178231739e-09, 2.090677461014405002e-09, 1.231848753261520782e-13
2.055000000000000000e+03, 5.010094644623443037e-11, 2.666137314968128100e-09, 5.598878083351028630e-12, 2.382190316671388612e-09, 2.195285969742686097e-10, 1.646482242344623527e-09, 1.830982791655133232e-09, 2.146352168958032517e-09, 1.343276257191778163e-13
2.056000000000000000e+03, 4.565830760679528811e-11, 2.265923102629858759e-09, 6.110023596659213303e-12, 2.733075634465966748e-09, 2.198333904365341354e-10, 1.724264584509135983e-09, 1.857630402285525725e-09, 2.171918358408970428e-09, 1.592761048120774967e-13
2.057000000000000000e+03, 4.267454032587537945e-11, 2.500107511228715005e-09, 8.532729503217718697e-12, 2.882122228896735634e-09, 2.199413218172316964e-10, 1.753067874125415498e-09, 1.713919662150023096e-09, 2.197823771397128122e-09, 1.923628580263648958e-13
2.058000000000000000e+03, 7.909717802334477170e-11, 2.332360064458794935e-09, 1.098792756612374035e-11, 3.060988100625232746e-09, 2.199160384391823977e-10, 1.767635679711832708e-09, 1.827904020456414465e-09, 2.198646830067058493e-09, 3.632229965490781205e-13
2.059000000000000000e+03, 5.701682848212981809e-11, 2.435911970270903310e-09, 1.363455971278901466e-11, 2.743682388686098330e-09, 2.200591718990454763e-10, 1.723305349451749740e-09, 1.753418850683825431e-09, 2.172342629329279254e-09, 5.763740736590698747e-13
2.060000000000000000e+03, 8.441716270635056089e-11, 2.327566792094857264e-09, 1.635819250372987292e-11, 2.697316378430153836e-09, 2.207463684016858693e-10, 1.686350178824553652e-09, 1.773350655750571698e-09, 2.194071395249952643e-09, 5.504269510731486692e-13
2.061000000000000000e+03, 8.686600220994992829e-11, 2.412765909724048734e-09, 1.871536142382702997e-11, 2.498325588145804342e-09, 2.215779062721779566e-10, 1.637067252003581748e-09, 1.757807464001347463e-09, 2.190865412669536343e-09, 4.206226379674971850e-13
2.062000000000000000e+03, 8.365158769738471227e-11, 2.413845856494870190e-09, 2.240024118772854152e-11, 2.736365027514118070e-09, 2.220832683246531877e-10, 1.628218898617573625e-09, 1.690217001669311746e-09, 2.192870414502176222e-09, 3.388613779790071353e-13
2.063000000000000000e+03, 7.991093731215136725e-11, 2.224626120998196568e-09, 2.584680785840323795e-11, 2.692526127261686756e-09, 2.224091988567931097e-10, 1.606775716638772538e-09, 1.822217125817134766e-09, 2.209784553605080581e-09, 3.148370167751601522e-13
2.064000000000000000e+03, 7.983146776332093560e-11, 2.321722030537809950e-09, 2.937742220695676132e-11, 2.616460583671452707e-09, 2.225182544151823038e-10, 1.715118357023490140e-09, 1.878813131841816206e-09, 2.229354816488903600e-09, 4.044226176091035716e-13
2.065000000000000000e+03, 7.938468511986619793e-11, 2.309042603417048909e-09, 3.295700040352931679e-11, 2.916728269992601350e-09, 2.221591732693816474e-10, 1.783166297325915760e-09, 2.037829975928163830e-09, 2.222618899044278812e-09, 4.709604317246871579e-13
2.066000000000000000e+03, 8.562356394516026457e-11, 2.482002948307303524e-09, 3.559648615469273871e-11, 2.720841653777548563e-09, 2.216113109616071212e-10, 1.715138813922598212e-09, 1.918640136785139913e-09, 2.216931620451956488e-09, 4.299481317349497119e-13
2.067000000000000000e+03, 9.012537876443464370e-11, 2.445485150453644154e-09, 3.670578116969425696e-11, 2.798291424598888024e-09, 2.211870974887774943e-10, 1.729879688160719128e-09, 1.922241254793424959e-09, 2.215335677780719200e-09, 4.309650617212736301e-13
2.068000000000000000e+03, 9.295340526560746910e-11, 2.319995908794588603e-09, 3.805240183213247464e-11, 2.806831971581874356e-09, 2.206239037973953064e-10, 1.751120692309922354e-09, 1.957133406079880994e-09, 2.240202316056834749e-09, 4.131582373730153267e-13
