year, CanESM5, IPSL-CM6A-LR, GFDL-ESM4, INM-CM5-0, CESM2-WACCM, UKESM1-0-LL, NorESM2-MM, MIROC-ES2L, ACCESS-ESM1-5, NorESM2-LM, INM-CM4-8, TaiESM1, CMCC-CM2-SR5, MPI-ESM1-2-LR, EC-Earth3-Veg, CNRM-ESM2-1
2.015000000000000000e+03, 3.902266053492549958e+00, 2.351412787450342101e+00, 2.166343397711030239e+00, 2.186666790492520995e+00, 2.306537885080709671e+00, 2.727983979016179283e+00, 2.299750650925026285e+00, 3.690152887318704167e+00, 3.224446646456480270e+00, 1.950631050641630670e+00, 2.377978945227036345e+00, 1.312751510849153203e+00, 2.341315306877535640e+00, 3.097569420321768074e+00, 2.293063462571008237e+00, 2.617127699735239066e+00
2.016000000000000000e+03, 3.879688145940270338e+00, 2.240292502456806112e+00, 2.456287889612079223e+00, 2.506406897187375193e+00, 2.268920764481208607e+00, 2.815322793991203554e+00, 2.122948760715879235e+00, 3.668312362248344005e+00, 2.936552630096389116e+00, 1.985374699633505546e+00, 2.496505808917007574e+00, 1.234641262751120960e+00, 2.505644574565293325e+00, 3.484015511807632137e+00, 2.506748532699454746e+00, 2.850921884177191945e+00
2.017000000000000000e+03, 3.936308295944536795e+00, 2.585029980493167123e+00, 2.381950774198371867e+00, 2.286893762954270937e+00, 2.382452167547632005e+00, 2.606959320060525886e+00, 2.296975647655674635e+00, 3.761571510205659052e+00, 2.849866631074646328e+00, 1.899715889886135045e+00, 2.482719234564526367e+00, 1.285144370168075145e+00, 2.166704255681711544e+00, 3.324570623512014933e+00, 2.541578179814039995e+00, 2.911813580357436759e+00
2.018000000000000000e+03, 3.863309706771723917e+00, 2.559690071906412179e+00, 2.353476558972401378e+00, 2.545564704581618987e+00, 2.412527203058794090e+00, 2.814273236925938892e+00, 2.276529923573581637e+00, 3.736109539119098599e+00, 2.934044216119392701e+00, 1.913314753291741166e+00, 2.322103978243455824e+00, 1.369137236357601539e+00, 2.073150606398660223e+00, 3.233319242381767822e+00, 2.478270336481942060e+00, 2.947969405851067037e+00
2.019000000000000000e+03, 3.972887404329322969e+00, 2.337353128189880724e+00, 2.431682425751111154e+00, 2.211216752978839573e+00, 2.197313749810235972e+00, 3.024755121319590234e+00, 2.211565893146143935e+00, 3.725956049683009752e+00, 2.945558952315716184e+00, 1.876363611941373355e+00, 2.446399044139633716e+00, 1.245218965339245365e+00, 2.183092328178581010e+00, 3.229497395632841883e+00, 2.582680760266745423e+00, 2.801942503713011234e+00
2.020000000000000000e+03, 3.751998703575091909e+00, 2.199737542051307670e+00, 2.560297884504461496e+00, 2.647245175383108329e+00, 2.116224639341699465e+00, 2.917846099421689043e+00, 2.113785296521228485e+00, 3.696083597569655321e+00, 3.022188888609393942e+00, 2.032315052022352297e+00, 2.492706598495612269e+00, 1.268202767736040348e+00, 2.060261977484683538e+00, 3.240511039533306548e+00, 2.458533144292828876e+00, 3.081102283115058071e+00
2.021000000000000000e+03, 4.012904566114721128e+00, 2.466193218610557292e+00, 2.410646226066480935e+00, 2.691106515210746508e+00, 2.201011882168569578e+00, 2.940147905034337761e+00, 2.190070768378390653e+00, 3.713396425697739200e+00, 3.101306783658382749e+00, 1.898896350690175039e+00, 2.457635815192003026e+00, 1.292639790216316253e+00, 2.545261461539083392e+00, 3.163152061900179390e+00, 2.290990707487244205e+00, 3.170249647707032548e+00
2.022000000000000000e+03, 4.153155707340795644e+00, 2.360092778541431624e+00, 2.442734652018824892e+00, 2.574242222789950851e+00, 2.434619082461857431e+00, 2.986939507347159850e+00, 2.106935759262435148e+00, 3.833616880214544054e+00, 3.005528835661368525e+00, 2.024722751128333886e+00, 2.423701179054089216e+00, 1.201230173509227228e+00, 2.104948081675977800e+00, 3.283165289292755418e+00, 2.580562341062180742e+00, 2.949071058822509528e+00
2.023000000000000000e+03, 4.279015248167691965e+00, 2.788645188097509831e+00, 2.426993058824339577e+00, 2.541626053832723997e+00, 2.283884642754434591e+00, 2.737292083256466224e+00, 2.175238103225782815e+00, 3.763029777527269193e+00, 3.071726185662444486e+00, 2.220520154878661501e+00, 2.119524447984251214e+00, 1.452989347303039303e+00, 2.042935243357602459e+00, 3.379932843162215317e+00, 2.558175172868993208e+00, 3.033393944981095380e+00
2.024000000000000000e+03, 3.845741834047826213e+00, 2.596988202021600411e+00, 2.480658299744558537e+00, 2.527533710175608128e+00, 2.493676132630858966e+00, 3.113951238459412796e+00, 2.371065973896501866e+00, 4.059970546378631973e+00, 3.168744108328723108e+00, 1.964293350630279322e+00, 2.381826295411455519e+00, 1.226565460671313668e+00, 2.231099714984150939e+00, 3.155669067794606875e+00, 2.547851530043725443e+00, 2.575949537269446754e+00
2.025000000000000000e+03, 3.978998468843149006e+00, 2.498215115259147190e+00, 2.355240573944954896e+00, 2.512337128950472120e+00, 2.417084344463417356e+00, 2.889499069293831823e+00, 2.275146431032926131e+00, 3.745000724163983996e+00, 3.227995485839678658e+00, 2.121472801017979748e+00, 2.503385937373533210e+00, 1.307730331216585995e+00, 2.131467481004783782e+00, 3.388227254143157730e+00, 2.323896242723710426e+00, 3.018708105681791487e+00
2.026000000000000000e+03, 3.959836489453564923e+00, 2.455554204236084725e+00, 2.476537234093545869e+00, 2.512892719982613432e+00, 2.507747987994223493e+00, 2.842233729021632627e+00, 2.367183131153536291e+00, 3.894196239915209468e+00, 3.206557995548696915e+00, 2.070662334036588170e+00, 2.509074806460090734e+00, 1.284062729057284136e+00, 2.073631731960211777e+00, 3.401033650754631932e+00, 2.610413822953020269e+00, 3.032036039487833179e+00
2.027000000000000000e+03, 4.072156680450627952e+00, 2.353175995959842837e+00, 2.324186152777417469e+00, 2.745858216167635035e+00, 2.323785512742022163e+00, 2.902750709202976065e+00, 2.284149717370553834e+00, 3.759651095224629813e+00, 3.246384834671137476e+00, 2.294784388677051368e+00, 2.133036395579529731e+00, 1.380078576827143078e+00, 2.334483315619661603e+00, 3.306410122899757553e+00, 2.575147607284445250e+00, 2.897333907108713191e+00
2.028000000000000000e+03, 4.256271075320290365e+00, 2.459423081484075624e+00, 2.561757231157849812e+00, 2.631259037929325917e+00, 2.424356901906298933e+00, 3.185106341183230327e+00, 2.416840345189214201e+00, 3.967321734344819273e+00, 3.211331780508166478e+00, 2.097440114839762781e+00, 2.367635914697049149e+00, 1.230948142781007837e+00, 2.390112455896056254e+00, 3.289765564505371387e+00, 2.695187741585994612e+00, 2.604456684728092775e+00
2.029000000000000000e+03, 4.259552258993803520e+00, 2.603982939722917944e+00, 2.870572201587956229e+00, 2.553373337679709199e+00, 2.425547785378282750e+00, 2.895772759078749647e+00, 2.341569798419613768e+00, 4.012341312555454564e+00, 3.128692646111454145e+00, 2.161613993532994105e+00, 2.318474501528983378e+00, 1.359811335738075222e+00, 2.081893070925554312e+00, 3.488425410590250131e+00, 2.710604596808924072e+00, 2.895459672305017218e+00
2.030000000000000000e+03, 4.204642279599786647e+00, 2.707138532499140826e+00, 2.287932308381207314e+00, 2.478001709831231025e+00, 2.382310600960567459e+00, 2.948645555678024444e+00, 2.413600585230311513e+00, 4.080770489080710384e+00, 3.135286683880623482e+00, 2.222463507172548258e+00, 2.173238212854652573e+00, 1.293786492372097419e+00, 2.301344879200579285e+00, 3.503826021144746061e+00, 2.463741492849380599e+00, 2.982447066214002351e+00
