year, UKESM1-0-LL, CESM2-WACCM, CNRM-ESM2-1, CanESM5, CMCC-ESM2, GFDL-ESM4, MPI-ESM1-2-LR, MIROC-ES2L
2.015000000000000000e+03, 6.945682705555133628e-10, 5.573019865123616944e-10, 4.253454016285581699e-10, 4.765330028328495098e-10, -1.557039149475397682e-09, -5.174567094397150184e-10, -6.714311952738483523e-10, 6.752254270933574982e-10
2.016000000000000000e+03, 1.422088839179509831e-09, 2.270291788867957461e-10, 1.239152900654419083e-09, 8.344185392549768365e-10, -2.931314988660954215e-09, 1.245815369322820731e-09, 9.584575799006686271e-10, 1.546556643590654975e-09
2.017000000000000000e+03, 1.686468266800403264e-10, 8.387098213316266965e-10, 9.050655720482668791e-10, 9.373157524381567473e-10, 1.316857015100305503e-10, 7.606466703069904116e-10, 1.226606570580185814e-10, 1.299960250797584507e-09
2.018000000000000000e+03, 5.340398807857274192e-10, 1.089491722699256125e-09, 1.772323689748077217e-09, 2.462908493272043217e-10, 3.474826921865766891e-10, 1.691942399229353089e-10, 4.683208290439615719e-10, 1.772235781219959977e-09
2.019000000000000000e+03, 8.447944031252139741e-10, 2.596117244895107353e-10, 9.069031210346990142e-10, 1.285032290287970030e-09, 2.725803420941635599e-10, 6.942912089674716983e-10, 3.947797184418566814e-10, 3.467497835810448550e-10
2.020000000000000000e+03, 7.451257001326789066e-10, 2.739387321974301805e-10, 1.724615144675421120e-09, 1.626688452337096629e-10, 2.030317617288503422e-09, 1.209679923338702535e-09, -3.616567247922557196e-10, 1.188275639816522418e-09
2.021000000000000000e+03, 7.382885573188744084e-10, 6.300257068080691835e-11, 1.644405598646718202e-09, 9.549163653601731393e-10, -1.080050598796983665e-09, -3.821249562257547879e-12, 4.462811637698617799e-11, 1.178165562082452987e-09
2.022000000000000000e+03, 1.199053421275329537e-09, 1.293493982725767735e-09, 1.264113345124167464e-09, 1.266387520157839009e-09, -3.698150726530198228e-10, 2.249093515149111123e-10, 6.801132939506819338e-10, 1.752525226007501099e-09
2.023000000000000000e+03, 1.235486964803445048e-10, -4.047096569812530046e-11, 1.342922860400927694e-09, 1.511200139064826529e-09, 2.185388147103585590e-09, -7.736359856042162554e-11, 9.553544126929102800e-10, 1.192096122093019170e-09
2.024000000000000000e+03, 1.665973372868207318e-09, 4.440284190273226696e-10, -2.316203758916600786e-10, 1.832139724548173485e-10, -9.724528582150586051e-10, 2.819719821051759925e-10, 8.771285727168332478e-10, 1.726938937483989823e-09
