year, GFDL-ESM4, CESM2-WACCM, TaiESM1, TaiESM1, CNRM-ESM2-1, NorESM2-MM, MPI-ESM1-2-LR, NorESM2-LM, CNRM-ESM2-1, GFDL-ESM4, EC-Earth3-Veg, NorESM2-MM
2.015000000000000000e+03, 6.089039384565360994e-10, 3.039793627311287101e-10, 1.094498152800205129e-10, 1.094498152800205129e-10, 4.596305837634988472e-10, 4.368355719546017595e-10, 5.036098108924682852e-10, 3.519593152266544582e-10, 4.596305837634988472e-10, 6.181051743245637695e-10, 6.350279225542787932e-10, 4.368355719546017595e-10
2.016000000000000000e+03, 3.014540192250353162e-10, 2.535521473836398521e-10, 1.329132318406317007e-10, 1.329132318406317007e-10, 4.875868280759678773e-10, 5.083548276852915132e-10, 3.361805403270160817e-10, 1.958715378762194917e-10, 4.875868280759678773e-10, 3.116430541673296824e-10, 7.451796179836442400e-10, 5.083548276852915132e-10
2.017000000000000000e+03, 2.438314922293835766e-10, 2.718494632425932073e-10, 1.193866258696038087e-10, 1.193866258696038087e-10, 4.626155389955519310e-10, 2.083601997659588397e-10, 3.710258600193180003e-10, 5.498386136330211396e-10, 4.626155389955519310e-10, 2.531808536413654930e-10, 7.041347877410874799e-10, 2.083601997659588397e-10
2.018000000000000000e+03, 2.147785474575706741e-10, 2.200043977750023323e-10, 9.283343985938525364e-11, 9.283343985938525364e-11, 3.548207614991918050e-10, 3.313590791818154085e-10, 4.782380973110821310e-10, 3.418974101168274428e-10, 3.548207614991918050e-10, 2.241726379739421539e-10, 4.833148602233027801e-10, 3.313590791818154085e-10
2.019000000000000000e+03, 2.413902870107678725e-10, 6.298093367736797067e-10, 9.959173207811359280e-11, 9.959173207811359280e-11, 4.917787104646462448e-10, 2.401935911295820160e-10, 4.037687466207614439e-10, 3.189525049531975647e-10, 4.917787104646462448e-10, 2.509379029344864160e-10, 3.105295814042990484e-10, 2.401935911295820160e-10
2.020000000000000000e+03, 1.424868491088638194e-10, 3.182628472481263086e-10, 1.053072148590920421e-10, 1.053072148590920421e-10, 3.878779714931866469e-10, 5.470942148073774279e-10, 4.894566388572666385e-10, 2.921182606756968287e-10, 3.878779714931866469e-10, 1.513968832388300544e-10, 6.193131932875698373e-10, 5.470942148073774279e-10
2.021000000000000000e+03, 3.220892321845401095e-10, 1.226838807287674976e-10, 1.388102262838993185e-10, 1.388102262838993185e-10, 4.521554824098148296e-10, 4.730137873422873362e-10, 4.072067222951103738e-10, 4.818047349188784291e-10, 4.521554824098148296e-10, 3.313332906869177227e-10, 8.838658186283311204e-10, 4.730137873422873362e-10
2.022000000000000000e+03, 3.633901185127302826e-10, 4.485813077656533953e-10, 1.328017549779901534e-10, 1.328017549779901534e-10, 4.389903111566445169e-10, 4.849941811511475599e-10, 4.312009246065780167e-10, 3.196713980885685405e-10, 4.389903111566445169e-10, 3.725685740559142590e-10, 5.257607572124725005e-10, 4.849941811511475599e-10
2.023000000000000000e+03, 3.717408373922636116e-10, 6.706696426617611978e-10, 1.042261476741971291e-10, 1.042261476741971291e-10, 5.227261949736706551e-10, 4.978088075187843130e-10, 3.972335820490565611e-10, 3.662270235697352054e-10, 5.227261949736706551e-10, 3.809737042692771678e-10, 4.375211544786452558e-10, 4.978088075187843130e-10
2.024000000000000000e+03, 3.884439750459103647e-10, 2.823475826310108266e-10, 1.209078678032238486e-10, 1.209078678032238486e-10, 9.140020821153545730e-10, 2.409206185333682447e-10, 4.248237539229713599e-10, 3.119852614504326185e-10, 9.140020821153545730e-10, 3.973785411673853023e-10, 5.621293159826557749e-10, 2.409206185333682447e-10
2.025000000000000000e+03, 4.296650982490821013e-10, 1.948563709666126820e-10, 1.060857273766274959e-10, 1.060857273766274959e-10, 3.528799391854113687e-10, 3.572897297928301863e-10, 4.944583364676299512e-10, 3.022814110221921014e-10, 3.528799391854113687e-10, 4.386407000083831269e-10, 9.342278070552659228e-10, 3.572897297928301863e-10
2.026000000000000000e+03, 1.782422501009758403e-10, 4.049288491473831308e-10, 1.109632932721031223e-10, 1.109632932721031223e-10, 5.044347588293159826e-10, 2.178331716181985367e-10, 3.864306745728135705e-10, 3.055949483502593050e-10, 5.044347588293159826e-10, 1.872761752079004415e-10, 5.521003657194900292e-10, 2.178331716181985367e-10
2.027000000000000000e+03, 5.530534007215524568e-10, 2.598329875007894325e-10, 7.230689337822064813e-11, 7.230689337822064813e-11, 8.926694475260220157e-10, 3.347363852437429842e-10, 5.615283045397540406e-10, 2.394034240927753699e-10, 8.926694475260220157e-10, 5.618512554165978166e-10, 6.683157855793002923e-10, 3.347363852437429842e-10
