year, NorESM2-MM, INM-CM5-0, IPSL-CM6A-LR, GFDL-ESM4, MPI-ESM1-2-LR, CNRM-ESM2-1, EC-Earth3-Veg, CMCC-CM2-SR5, NorESM2-LM, UKESM1-0-LL, ACCESS-ESM1-5, CanESM5, CESM2-WACCM, MIROC-ES2L, TaiESM1, INM-CM4-8
2.015000000000000000e+03, 2.531118104954740433e-01, -5.162138476942030874e-01, 1.466802823748039782e-02, -9.817662421248321558e-02, -1.279494815424651877e-01, 8.070042361883747462e-02, 7.933310124025489156e-04, 1.219775345243727521e-01, 8.474282315842182611e-02, 1.304929776695620824e-01, 3.499744821158112806e-01, 9.041220393996525495e-02, 1.053296828453857692e-01, 1.277215837232102968e-01, 8.937670784563098159e-02, 2.325448514406066106e-02
2.016000000000000000e+03, -4.023757159851346771e-02, 6.196487102792701956e-02, -8.830265094250198260e-03, 2.363674972628642124e-01, 1.816973674608564904e-01, 2.351034327124337797e-01, 9.207059701091346859e-02, 4.853863524957697795e-01, 5.180951939385190774e-02, 2.671769140660066877e-01, -1.405606696151657231e-01, 1.583135243391968205e-01, 4.290835487316916469e-02, 2.925373599856161411e-01, -3.511174017225027894e-02, 2.801078185441691071e-01
2.017000000000000000e+03, 1.520758282085709900e-01, -1.506752231155979727e-01, 2.538837258066827252e-01, 1.443168499835755791e-01, 2.302787661252091514e-02, 1.717173261717863941e-01, 1.912164366859573361e-01, 1.896486468582699383e-02, 1.000148754852867444e-01, 3.168475659044964199e-02, -1.203076701010989957e-01, 1.778361256445988858e-01, 1.585155653813749566e-01, 2.458926683549391978e-01, 4.284769867689284910e-03, 2.237576613343568166e-01
2.018000000000000000e+03, 2.191877459307867704e-01, -1.682159458193251481e-02, 1.328217503495398855e-01, 3.210108016536590558e-02, 8.833241096105527712e-02, 3.362614759786975993e-01, 3.331189781706744291e-01, -2.420183364721751607e-01, 8.536108820397590724e-02, 1.003334836794242541e-01, 1.613864231183635145e-01, 4.672855471823250673e-02, 2.059131680702168399e-01, 3.352254693410091635e-01, 2.041057225985941082e-01, 3.172757690407156106e-02
2.019000000000000000e+03, 8.086632555306887127e-02, -4.400029644698130737e-01, 6.648338947454235370e-02, 1.317272843763779566e-01, 7.517944252440504627e-02, 1.720659627881872267e-01, 4.638446845073317948e-01, 6.762167952229218570e-02, -3.282821458404826948e-02, 1.587169207919909841e-01, 4.151660095454686589e-02, 2.438080905378745278e-01, 4.906643303848567256e-02, 6.558910511604330862e-02, -7.682977094487988823e-02, 2.106557363917912762e-01
2.020000000000000000e+03, 2.682877582914007866e-02, 1.329091293254756057e-01, 6.922500734964430469e-02, 2.295115496320478121e-01, -6.908123205455893312e-02, 3.272097740374975694e-01, 9.657183761823652512e-02, -1.644743496151025441e-01, 1.385159305602413349e-01, 1.399915249089385139e-01, 1.739035441685703454e-01, 3.086302254517211963e-02, 5.177422740226025888e-02, 2.247670785598148702e-01, -9.034480168249837961e-02, 2.008289199158108385e-01
2.021000000000000000e+03, 7.106910193369149475e-02, 2.458907779815073247e-01, 2.213868710794036354e-01, -7.250024503539305616e-04, 7.897982018725361111e-03, 3.119916846494203977e-01, -1.738156800163281612e-01, 3.114171566183074891e-01, -3.115511375179264020e-02, 1.387069872150242522e-01, 2.688528409795544749e-01, 1.811754750611426767e-01, 1.190744147492141941e-02, 2.228547170166208513e-01, 1.368791681724865032e-02, 1.780380845795898892e-01
2.022000000000000000e+03, 1.469218489199938804e-01, 1.139105643939401780e-01, 4.180357559798583006e-02, 4.267186120644009262e-02, 1.277877228358882400e-01, 2.398391567492066390e-01, 3.367447595238198810e-01, -5.120896492670525685e-02, 9.424853850449819992e-02, 2.252738254253264238e-01, -3.402288773770712621e-02, 2.402706340565854970e-01, 2.444694515006864688e-01, 3.314971391763174013e-01, -2.138417432244360539e-01, 1.014323831633150326e-02
2.023000000000000000e+03, 2.564639609192339437e-02, 2.064413239225165730e-02, 3.188395591752483105e-01, -1.467813017984800385e-02, 1.817625531058558452e-01, 2.547916194857939853e-01, 3.596364341278993071e-01, -3.184793502177553082e-01, 2.191088769487410937e-01, 2.321188279737942603e-02, 2.039062087056215389e-01, 2.867187253663481261e-01, -7.648984006152418150e-03, 2.254897380263594375e-01, 2.985027601208528059e-01, -3.501537757625666214e-01
2.024000000000000000e+03, 1.978836427528248287e-01, -6.914756372479714808e-02, 2.018421086090419758e-01, 5.349830588835769590e-02, 1.659554517451883315e-01, -4.394513819038392555e-02, 2.302961470785911680e-01, -6.495850384393918320e-02, 4.869600226492835915e-02, 3.129970592666174722e-01, 2.719616080946235526e-01, 3.476103217146210567e-02, 8.392105838913702098e-02, 3.266573906113243719e-01, -9.641389918771298834e-03, 3.747577193219483321e-02
2.025000000000000000e+03, 9.751603142647959077e-02, -1.214876646479425004e-01, 9.549686609876981147e-02, -4.149667647247805291e-02, 5.243813707461105617e-02, 3.990727568154958660e-01, -2.650647072063714305e-01, -3.433622120516754278e-02, 1.226796843818708377e-01, 1.282197133529237865e-01, 3.740700364224923136e-01, 2.959016743734209642e-01, 1.078715189665302859e-01, 1.938502982125714091e-01, 2.084544393152676367e-02, 1.949763913901855494e-01
2.026000000000000000e+03, 1.551069855593610880e-01, -2.158082807063271547e-01, 9.492250515583887382e-02, 1.795194824852938686e-01, 7.912382201727831410e-02, 2.087284053582213472e-01, 3.075926892550119307e-01, -1.269670596299101173e-01, 4.579558765375151691e-02, 1.194801512608138216e-01, 2.455738503700760078e-01, 9.420202322383397497e-02, 1.958686477907799761e-01, 2.766833143455971200e-01, 8.726246366701924037e-03, 1.684135065139936438e-01
2.027000000000000000e+03, 1.143553402763024668e-01, 2.342209244488432096e-01, 3.351282757921814071e-02, -3.566023440892455293e-02, 1.284883174354995716e-01, 3.279420434820762981e-02, 1.578204666386457122e-01, 2.229434904296558051e-01, 1.821190397312644760e-01, 1.517602315850078432e-01, 2.649727051108817233e-01, 2.244696772592108813e-01, 4.038874671288185392e-02, 1.394624449638622588e-01, 5.026666946655616169e-02, -2.037022130839006018e-01
2.028000000000000000e+03, 1.444429989081456867e-01, 1.645362419196998716e-01, 1.783419547813703265e-01, 2.601053595682928932e-01, 3.914650897096225634e-04, -4.083119465298629819e-02, 1.533903064172097708e-01, 2.427194305328248813e-01, 2.269937031798010540e-01, 2.267056911317044676e-01, 2.840210504443115291e-01, 2.465366613167330467e-01, 1.230608642667941760e-01, 3.084354864648613526e-01, -1.033589818749010431e-01, 4.063405772422955947e-02
2.029000000000000000e+03, 1.512745495401243423e-01, -9.569864858789738082e-02, 2.162969529982480543e-01, 3.643131082736285609e-01, 8.180246371461522004e-02, 4.565291068776388128e-01, 3.525191900891110341e-01, -2.204594217167513137e-02, 4.305767585374951217e-02, 2.715194988697102185e-01, 1.634567938943200793e-01, 3.403985931648981778e-01, 1.082992000002126476e-01, 2.863745545709377449e-01, 9.328151989213258333e-02, -1.379847322369509056e-02
2.030000000000000000e+03, 1.335571715873113408e-01, -1.288837095599963956e-01, 1.973717876241901370e-01, -3.415021793421079699e-01, 8.561556025905010803e-02, 2.927322971286869802e-01, 4.751734420622958852e-03, 1.292953377661449910e-01, 1.042825343504129448e-01, 2.819636461121403648e-01, 1.431437814123402430e-01, 2.523665813263595292e-01, 1.069378278545377037e-01, 3.606080373088116908e-01, 2.743622601142805054e-02, -1.692285010370624676e-01
2.031000000000000000e+03, 1.083395681066382926e-01, 3.019394339519569301e-02, 2.452240929030748973e-01, 1.897503933851099889e-01, 1.010297332204404368e-02, -1.551986030476418255e-01, 2.009690746347498613e-01, -9.094025408017115952e-02, 9.457467994475450557e-02, 1.548861945935326445e-01, 7.025709759842080349e-02, 1.043502427465507337e-01, 1.771912516674474525e-01, 2.119049472190146777e-01, -1.010688090335219863e-01, 1.434900301049800153e-01
2.032000000000000000e+03, 1.624424262816678011e-01, -6.937769131648303944e-02, -4.395169252171505364e-02, 2.314767355883662614e-01, 2.304152616632188788e-01, 5.493825107247318762e-01, 2.522467128968309824e-01, 9.105937315945659971e-02, 1.118165104852907737e-01, 2.256761087337735283e-01, 2.555521533794885003e-01, 1.413860131027059042e-01, 2.420398052022926239e-02, 2.101844784911387209e-01, 1.253538443722749529e-01, 1.266445208153127722e-01
2.033000000000000000e+03, 4.111046074988744525e-02, -8.283841495473906469e-02, 2.906905340150005013e-01, 5.446450331403319967e-02, 1.030725968642833557e-01, 2.433229750849620066e-01, 4.063415135131932532e-01, -3.001794526625047865e-01, 1.617124494130511500e-02, 2.501187758967972630e-01, 2.719951870777139735e-01, 5.578404846348488100e-01, 1.147744315854394570e-01, 4.782553183393285778e-02, -1.116735121837887784e-01, 1.437804420215974543e-01
2.034000000000000000e+03, 3.616472889499524473e-02, 1.692365927822652716e-01, -1.535826501525719978e-01, 2.150020292467433036e-01, 3.454092508138617013e-01, 1.430389174091614979e-01, 2.487932204889288235e-01, 4.235953206078903188e-02, 1.059416464441934325e-01, 1.949509595630464220e-01, 1.258435548385357199e-02, 7.326823444249548622e-02, 4.966107648934341146e-02, 1.707017297413511991e-01, 2.794076917600507581e-01, 2.898296746377686250e-02
2.035000000000000000e+03, 6.005046531755362654e-02, 1.284213263294739782e-01, 2.101318042928388419e-01, -1.066250663150201256e-01, 6.654649161136820534e-02, -7.663418750621084352e-02, -2.477853458906590645e-01, -1.507868438211140139e-01, 1.611884527979950410e-01, 9.814046036792911654e-02, 6.242228926680108009e-02, 1.806463732920769727e-01, 9.829757526499556530e-02, 2.879476279413942796e-01, 1.449048615897296360e-02, -2.369153443632444345e-01
