year, ACCESS-ESM1-5, UKESM1-0-LL, EC-Earth3-Veg, GFDL-ESM4, CNRM-ESM2-1, NorESM2-MM, MPI-ESM1-2-LR, INM-CM5-0, IPSL-CM6A-LR, CMCC-CM2-SR5, INM-CM4-8, CanESM5, NorESM2-LM, CESM2-WACCM, MIROC-ES2L, TaiESM1
2.015000000000000000e+03, 2.834511522033198503e+02, 2.813789065865882435e+02, 2.826558391183020831e+02, 2.818108478013324429e+02, 2.829180050933345001e+02, 2.836316886574146565e+02, 2.826126732755055855e+02, 2.833031067515704535e+02, 2.822007937348781752e+02, 2.826345442501839216e+02, 2.828420754435819617e+02, 2.833383192837522984e+02, 2.839508378592366853e+02, 2.840918518819897258e+02, 2.834921921046981197e+02, 2.836114364643393060e+02
2.016000000000000000e+03, 2.842341180979274213e+02, 2.810903277022612201e+02, 2.831675418982106862e+02, 2.814551998521303631e+02, 2.828122568316564980e+02, 2.829092504950929197e+02, 2.814717044112518920e+02, 2.826168609871403419e+02, 2.824377170810262214e+02, 2.841250945499488694e+02, 2.824537880348831322e+02, 2.831444621740390630e+02, 2.838064643370971680e+02, 2.835381344341379304e+02, 2.829395743675377730e+02, 2.839776045624228686e+02
2.017000000000000000e+03, 2.844376273504242931e+02, 2.827591475731216519e+02, 2.827824948190025225e+02, 2.806685181154929865e+02, 2.831959866182984342e+02, 2.828992275205712872e+02, 2.824678975576392190e+02, 2.821261166089921630e+02, 2.826460417180197169e+02, 2.838587963153196370e+02, 2.827655553737959053e+02, 2.832231113886971912e+02, 2.841969842632575478e+02, 2.839461170207954979e+02, 2.837486501666678578e+02, 2.839922432793456437e+02
2.018000000000000000e+03, 2.830078791604905177e+02, 2.816154548307176810e+02, 2.822774129936999543e+02, 2.811452111519532195e+02, 2.826709293644492504e+02, 2.832837778789954655e+02, 2.823575169767897819e+02, 2.832984768650167666e+02, 2.829449700285009044e+02, 2.830075627505539728e+02, 2.826957039086425425e+02, 2.831863380713924698e+02, 2.838073953265771934e+02, 2.839870153266597868e+02, 2.831936869910377936e+02, 2.833234717806866456e+02
2.019000000000000000e+03, 2.840587034122361842e+02, 2.826236925714350718e+02, 2.823361473367112353e+02, 2.814626752464047286e+02, 2.828218861941290925e+02, 2.823455413521119794e+02, 2.817752826149059047e+02, 2.831327277263710016e+02, 2.823140343374163876e+02, 2.829064589596289920e+02, 2.826676856355971950e+02, 2.834630013321817046e+02, 2.832961696875578923e+02, 2.838812231630884071e+02, 2.841378908727829753e+02, 2.840122925352620200e+02
2.020000000000000000e+03, 2.837262516469372144e+02, 2.822603281674853406e+02, 2.827331721330111236e+02, 2.817110967221310034e+02, 2.831530853364993732e+02, 2.832966297787127132e+02, 2.829776771433951126e+02, 2.833247149719592244e+02, 2.806036120436123724e+02, 2.841561309187946449e+02, 2.830901747620402489e+02, 2.835070566662714100e+02, 2.833946030332488135e+02, 2.835272117648964922e+02, 2.834203856603550662e+02, 2.836356848424271107e+02
2.021000000000000000e+03, 2.834713119797581840e+02, 2.826469420987467629e+02, 2.834185414659026492e+02, 2.812821374949119786e+02, 2.833720873768741058e+02, 2.833911298314846476e+02, 2.817787107748299604e+02, 2.830827574485956575e+02, 2.811695191366923154e+02, 2.833551251840518717e+02, 2.827931763807009702e+02, 2.834715591962634562e+02, 2.842461908579829242e+02, 2.825675580449487825e+02, 2.834369104390044640e+02, 2.839854224841083692e+02
2.022000000000000000e+03, 2.850511549535944482e+02, 2.821542852958675098e+02, 2.823808511801170198e+02, 2.816031854956243023e+02, 2.819063032593249432e+02, 2.836131178308165772e+02, 2.817118174092857430e+02, 2.829588928991379930e+02, 2.817539939326953231e+02, 2.835314434384875426e+02, 2.835584836518601719e+02, 2.839539885769215175e+02, 2.836838388042195902e+02, 2.837504946705742555e+02, 2.839808917757156337e+02, 2.842954960061773590e+02
2.023000000000000000e+03, 2.837449562908487906e+02, 2.818127304512951241e+02, 2.818382096428322825e+02, 2.822648206244784888e+02, 2.823707100293433996e+02, 2.838489107022699613e+02, 2.820570511234686251e+02, 2.828900285590834187e+02, 2.825000050500040629e+02, 2.843259634643085860e+02, 2.831252326242562845e+02, 2.843204040819907732e+02, 2.843552167562024238e+02, 2.841110733014851917e+02, 2.838735296293849615e+02, 2.847250174429281628e+02
2.024000000000000000e+03, 2.839437758529242615e+02, 2.818282461267826307e+02, 2.825523100771134182e+02, 2.822874101191995351e+02, 2.834587166347947687e+02, 2.830589921688763297e+02, 2.824331180671853190e+02, 2.835729209915135129e+02, 2.817617816986762591e+02, 2.842455764347191121e+02, 2.832945659357833392e+02, 2.830575725411164285e+02, 2.835601415306133504e+02, 2.842302766779436070e+02, 2.847536869172822662e+02, 2.845720501751035840e+02
2.025000000000000000e+03, 2.833617495428794086e+02, 2.829367994111176472e+02, 2.838096398678208061e+02, 2.820001791501792923e+02, 2.825530565546714570e+02, 2.832286333220022811e+02, 2.830824012484922036e+02, 2.837489929664425290e+02, 2.825570988076605659e+02, 2.833809509024800377e+02, 2.832186654922830940e+02, 2.834805853536698805e+02, 2.835835609992943205e+02, 2.835440356988009398e+02, 2.835680106154849796e+02, 2.849208493253714209e+02
2.026000000000000000e+03, 2.840157016044734064e+02, 2.830668351254013828e+02, 2.827858636344898855e+02, 2.807496238814062508e+02, 2.832827328382389851e+02, 2.835129141908385009e+02, 2.827720667866345252e+02, 2.842233645420175208e+02, 2.819490821614510878e+02, 2.827415578377384122e+02, 2.830870935431191810e+02, 2.830766113693623538e+02, 2.834365552495742691e+02, 2.838047634208856493e+02, 2.839551295041159733e+02, 2.844901704576021189e+02
2.027000000000000000e+03, 2.838559127886644546e+02, 2.822151224555232147e+02, 2.829575771366531285e+02, 2.808082966723024470e+02, 2.836043326928371471e+02, 2.830388465304551460e+02, 2.827407274819716463e+02, 2.834337262060535068e+02, 2.824427199286790255e+02, 2.835483410365461054e+02, 2.825762886625776105e+02, 2.831560671582137729e+02, 2.839944152587295321e+02, 2.835431538652513268e+02, 2.841170239479339443e+02, 2.841543560122830172e+02
2.028000000000000000e+03, 2.832698925094719584e+02, 2.822340009554817470e+02, 2.837244707195539490e+02, 2.816194794536266954e+02, 2.834596882654572028e+02, 2.833477145623018032e+02, 2.836684310621091640e+02, 2.831621504752691862e+02, 2.821464062693627284e+02, 2.843045423450548128e+02, 2.827140440988238765e+02, 2.835872177431480168e+02, 2.835140326143692846e+02, 2.833468197884703841e+02, 2.841983687403482008e+02, 2.847209815703758977e+02
