year, NorESM2-MM, GFDL-ESM4, IPSL-CM6A-LR, TaiESM1, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-LM, EC-Earth3-Veg
2.015000000000000000e+03, 0.000000000000000000e+00, 1.370770969094151194e-09, 2.476882787453714376e-09, 1.097412920760959602e-10, 1.310807632858917695e-09, 1.083904934865061108e-09, 1.653050171526595659e-09, 3.268474089166456927e-10, 2.038105891709460759e-09
2.016000000000000000e+03, 2.917146934924602795e-10, 1.220944401553576796e-09, 2.415576901919489869e-09, 1.102457168427326576e-10, 1.409778276181709948e-09, 1.112895677345695227e-09, 1.613995188633325664e-09, 3.187084658033244294e-10, 2.061498102210768585e-09
2.017000000000000000e+03, 2.922493360316055147e-10, 1.644166664676003334e-09, 2.656792075569683552e-09, 1.095376871640828484e-10, 1.340632105240250391e-09, 1.009788066425208670e-09, 1.685755350667376499e-09, 3.231168077704183834e-10, 2.153037557362121160e-09
2.018000000000000000e+03, 2.908774409347315181e-10, 1.414741464063621857e-09, 2.800842960033368849e-09, 1.095319201493878158e-10, 1.378990603993673489e-09, 1.110236946086457710e-09, 1.652549222671938430e-09, 3.233258149929935516e-10, 2.164537603554954383e-09
2.019000000000000000e+03, 2.923134532094045392e-10, 1.403464611374318497e-09, 2.545525754655498102e-09, 1.102968509196179819e-10, 1.182276325565137283e-09, 1.201263738121139019e-09, 1.625096173063559974e-09, 3.252867304825323284e-10, 2.212929913414728479e-09
2.020000000000000000e+03, 2.926579982543283585e-10, 1.487834325709576161e-09, 2.288306397688525277e-09, 1.111479887107575009e-10, 9.906731031264209506e-10, 1.166234523959182012e-09, 1.609248368633907266e-09, 3.276864563496136803e-10, 2.191325699686811630e-09
2.021000000000000000e+03, 2.916215139730639540e-10, 1.463781212252494387e-09, 2.505753286287439218e-09, 1.127294907655586402e-10, 1.256267968467688964e-09, 1.127060907911369527e-09, 1.574523493825601655e-09, 3.281128104651368142e-10, 1.943853983754806076e-09
2.022000000000000000e+03, 2.990920753551747471e-10, 1.446506860473311169e-09, 2.464048024644809241e-09, 1.095708154795046342e-10, 1.460571207970845169e-09, 1.143790346363666407e-09, 1.614756934032791576e-09, 3.374353544383243701e-10, 2.324301489815218343e-09
2.023000000000000000e+03, 2.997998521848129122e-10, 1.508204244059297959e-09, 2.909958053786901447e-09, 1.080510736171828973e-10, 1.415952293549402563e-09, 1.040289727511626032e-09, 1.642266750792282436e-09, 3.378245295881101644e-10, 2.203251729270769432e-09
2.024000000000000000e+03, 2.994678944397676647e-10, 1.428999482582001566e-09, 2.700365085074943160e-09, 1.087437365301635151e-10, 1.468398663414585276e-09, 1.278936018671362838e-09, 1.611685461535628635e-09, 3.351322620181091396e-10, 2.157611258819470355e-09
