year, GFDL-ESM4, TaiESM1, CNRM-ESM2-1, NorESM2-LM, NorESM2-MM
2.015000000000000000e+03, 6.089039384565360994e-10, 1.094498152800205129e-10, 4.596305837634988472e-10, 3.519593152266544582e-10, 4.368355719546017595e-10
2.016000000000000000e+03, 3.014540192250353162e-10, 1.329132318406317007e-10, 4.875868280759678773e-10, 1.958715378762194917e-10, 5.083548276852915132e-10
2.017000000000000000e+03, 2.438314922293835766e-10, 1.193866258696038087e-10, 4.626155389955519310e-10, 5.498386136330211396e-10, 2.083601997659588397e-10
2.018000000000000000e+03, 2.147785474575706741e-10, 9.283343985938525364e-11, 3.548207614991918050e-10, 3.418974101168274428e-10, 3.313590791818154085e-10
2.019000000000000000e+03, 2.413902870107678725e-10, 9.959173207811359280e-11, 4.917787104646462448e-10, 3.189525049531975647e-10, 2.401935911295820160e-10
2.020000000000000000e+03, 1.424868491088638194e-10, 1.053072148590920421e-10, 3.878779714931866469e-10, 2.921182606756968287e-10, 5.470942148073774279e-10
2.021000000000000000e+03, 3.220892321845401095e-10, 1.388102262838993185e-10, 4.521554824098148296e-10, 4.818047349188784291e-10, 4.730137873422873362e-10
2.022000000000000000e+03, 3.633901185127302826e-10, 1.328017549779901534e-10, 4.389903111566445169e-10, 3.196713980885685405e-10, 4.849941811511475599e-10
2.023000000000000000e+03, 3.717408373922636116e-10, 1.042261476741971291e-10, 5.227261949736706551e-10, 3.662270235697352054e-10, 4.978088075187843130e-10
2.024000000000000000e+03, 3.884439750459103647e-10, 1.209078678032238486e-10, 9.140020821153545730e-10, 3.119852614504326185e-10, 2.409206185333682447e-10
2.025000000000000000e+03, 4.296650982490821013e-10, 1.060857273766274959e-10, 3.528799391854113687e-10, 3.022814110221921014e-10, 3.572897297928301863e-10
2.026000000000000000e+03, 1.782422501009758403e-10, 1.109632932721031223e-10, 5.044347588293159826e-10, 3.055949483502593050e-10, 2.178331716181985367e-10
2.027000000000000000e+03, 5.530534007215524568e-10, 7.230689337822064813e-11, 8.926694475260220157e-10, 2.394034240927753699e-10, 3.347363852437429842e-10
2.028000000000000000e+03, 1.815309303861474257e-10, 1.502886110755456411e-10, 9.227508168595208917e-10, 5.905309872969060988e-10, 4.528387781963364520e-10
2.029000000000000000e+03, 3.449314131711206883e-10, 1.086556627088955615e-10, 4.698576258521697767e-10, 2.194489246593444269e-10, 1.991891110479590754e-10
2.030000000000000000e+03, 9.368561238266680975e-10, 1.132576254152938563e-10, 4.250186732448011032e-10, 3.561317926009609219e-10, 2.549593277097443303e-10
2.031000000000000000e+03, 2.273204343814816639e-10, 1.243595074181407857e-10, 1.050597138928653610e-09, 4.841877452098991946e-10, 2.449108653398580752e-10
2.032000000000000000e+03, 3.338153715181688776e-10, 1.201965648248909148e-10, 3.298608330924493709e-10, 2.737736029753075932e-10, 3.537597730535883465e-10
2.033000000000000000e+03, 1.971345521356340841e-10, 1.296687896203668950e-10, 6.958976093493231339e-10, 5.546344218972868202e-10, 4.131612397046457949e-10
2.034000000000000000e+03, 2.489586233788380437e-10, 8.943953650420916427e-11, 8.581357477642330497e-10, 4.013972805254184672e-10, 3.843401762526505170e-10
2.035000000000000000e+03, 7.213142016244388545e-10, 1.168569334958928945e-10, 9.782617168648528205e-10, 2.545205506384101753e-10, 5.389176793936054123e-10
2.036000000000000000e+03, 6.786148365069935470e-10, 1.294889728689599653e-10, 5.394519897005735501e-10, 3.917251984468028303e-10, 6.693236675070645064e-10
2.037000000000000000e+03, 2.910305113053212238e-10, 1.136744648978790660e-10, 8.571769616166217652e-10, 2.243970606827706500e-10, 1.937598158594342343e-10
2.038000000000000000e+03, 2.586048769057894614e-10, 1.372339396736754910e-10, 8.613880997315144141e-10, 3.450653574166211530e-10, 1.725512070286739769e-10
2.039000000000000000e+03, 3.734808801254116216e-10, 1.775203756033977429e-10, 5.578989702801824818e-10, 5.123547091565081984e-10, 6.892296548868815217e-10
2.040000000000000000e+03, 5.842955518349672886e-10, 1.371023521666151757e-10, 3.775461010981578486e-10, 6.537901621995972874e-10, 4.183758647367496583e-10
2.041000000000000000e+03, 6.143306518843883534e-10, 1.356291117197604163e-10, 5.565064073063996668e-10, 2.626890981837705121e-10, 2.989147239477176018e-10
2.042000000000000000e+03, 3.737411556725698750e-10, 1.351938043227617125e-10, 9.286127553393104499e-10, 2.844295720288953886e-10, 3.405702658667165736e-10
2.043000000000000000e+03, 5.723393165194178331e-10, 1.250473502413105622e-10, 1.050858111316148254e-09, 3.218521969004928352e-10, 4.522652006116441256e-10
2.044000000000000000e+03, 3.643043464341016839e-10, 1.147141881861038743e-10, 5.730300406280747314e-10, 7.923760651989521931e-10, 5.949741725633745360e-10
2.045000000000000000e+03, 2.968666354901385639e-10, 9.940269261966112420e-11, 5.912400924695432780e-10, 5.392680022224170918e-10, 4.257765265565259012e-10
2.046000000000000000e+03, 3.255099040075297137e-10, 1.508225766367690541e-10, 6.641360259342389994e-10, 3.879676398683040967e-10, 6.902444426269515201e-10
2.047000000000000000e+03, 4.829943483586311405e-10, 1.447654960560152421e-10, 5.718132196674681060e-10, 3.032247126789977137e-10, 6.147133474051140210e-10
2.048000000000000000e+03, 3.775780272867133969e-10, 8.757666713341089912e-11, 4.960832114517576410e-10, 3.608729675095757019e-10, 5.241410723204662198e-10
2.049000000000000000e+03, 7.643566578494334384e-10, 1.401272954310212838e-10, 4.713939582874999963e-10, 5.212946112987696462e-10, 2.732063543471509863e-10
2.050000000000000000e+03, 2.375163894579652638e-10, 1.574021961672849439e-10, 6.501404266199448472e-10, 2.660206845173771069e-10, 3.124586135378145524e-10
2.051000000000000000e+03, 2.608711297900042453e-10, 1.470043361897736423e-10, 7.781110466388998923e-10, 4.598043934642077635e-10, 5.524330727950644351e-10
