year, CESM2-WACCM, IPSL-CM6A-LR, ACCESS-ESM1-5, MIROC-ES2L, MPI-ESM1-2-LR, EC-Earth3-Veg, CMCC-CM2-SR5, UKESM1-0-LL, CNRM-ESM2-1
2.015000000000000000e+03, 9.064992172811296989e-01, 2.760093979911569795e-01, 3.406740492059816550e-01, 1.267041673310236094e+00, 1.229335647621492944e+00, 1.356110948874178664e-02, 4.727043400496739323e-01, 1.170827914913162961e-03, 1.801085745442588051e-02
2.016000000000000000e+03, 9.169432671758684927e-01, 2.757241387396219268e-01, 4.195159723449381484e-01, 1.257274830749523842e+00, 1.229022043668340780e+00, 1.292749215231454689e-02, 4.749277429514675020e-01, 1.134716490888356246e-03, 1.613771766989149231e-02
2.017000000000000000e+03, 9.136777112763428965e-01, 2.761370135169642359e-01, 4.011275519105774179e-01, 1.248679828177605033e+00, 1.248104805606293333e+00, 1.232436334848759432e-02, 4.771049897635588066e-01, 1.119244427077197099e-03, 1.419308540286879847e-02
2.018000000000000000e+03, 9.192757629303786038e-01, 2.767337063032172528e-01, 3.890621566919434948e-01, 1.242662627161349675e+00, 1.249147317800305190e+00, 1.175313452051200518e-02, 4.790427549217819991e-01, 1.102875398880981102e-03, 1.289113906017972343e-02
2.019000000000000000e+03, 9.055999020903893193e-01, 2.781597166063238813e-01, 3.796747894492946696e-01, 1.237134546532849599e+00, 1.251016868959665906e+00, 1.121118759748097535e-02, 4.809754475946555474e-01, 1.087752172721357172e-03, 1.125962729389564342e-02
2.020000000000000000e+03, 8.924035079966289308e-01, 2.796669291393415469e-01, 3.715694922606262995e-01, 1.233160803767004321e+00, 1.254759024481813867e+00, 1.069313021530374046e-02, 4.829237397307349355e-01, 1.071358569263301547e-03, 1.019303785612857977e-02
2.021000000000000000e+03, 9.169388404961530403e-01, 2.816626736135822706e-01, 3.647411197499916824e-01, 1.231642808804946698e+00, 1.254955363499573373e+00, 1.020545172502022174e-02, 4.848668515662512557e-01, 1.056002837214562546e-03, 9.278411122201889530e-03
2.022000000000000000e+03, 9.374095799190693690e-01, 2.834481688240257369e-01, 3.583552336425722129e-01, 1.230242377127962472e+00, 1.267732166560412876e+00, 9.773936760715407762e-03, 4.872389963759996001e-01, 1.044677660804817481e-03, 8.513896876618297013e-03
2.023000000000000000e+03, 9.369655304823781838e-01, 2.857003646034156907e-01, 3.523473356927157019e-01, 1.229640238290601095e+00, 1.278430075702929880e+00, 9.363067066044264766e-03, 4.901297143034859527e-01, 1.034165470043188050e-03, 7.932442028304557968e-03
2.024000000000000000e+03, 9.444079268484898426e-01, 2.883325868387103807e-01, 3.466579649064211455e-01, 1.230988143453605188e+00, 1.279089871359492925e+00, 8.967706292272540139e-03, 4.927832201626190511e-01, 1.039468603488164378e-03, 7.518678057719874880e-03
2.025000000000000000e+03, 9.611878942917995161e-01, 2.909233637219927338e-01, 3.412537208758914531e-01, 1.232320853121749327e+00, 1.286372119220902333e+00, 8.587459423554873877e-03, 4.952737361288759299e-01, 1.023081674505030726e-03, 7.203922822394836882e-03
