year, IPSL-CM6A-LR, MPI-ESM1-2-LR, CanESM5, CMCC-CM2-SR5, NorESM2-MM, ACCESS-ESM1-5, NorESM2-LM, EC-Earth3-Veg, GFDL-ESM4, CESM2-WACCM, TaiESM1, MIROC-ES2L, CNRM-ESM2-1
2.015000000000000000e+03, 5.780835904046286444e+00, 1.234241460471901597e+01, 7.630462807949542459e+00, 2.635952970608174795e+00, 1.801852291435166009e+00, 4.023690944880510934e+00, 1.714331793570030182e+00, 2.395907450211760548e+00, 5.603990668934191177e+00, 1.746708598752784836e+00, 3.658286179346902922e-01, 2.179124098676625820e+01, 1.874222133015205216e+01
2.016000000000000000e+03, 5.755557964744770771e+00, 1.230509838195140659e+01, 7.632287849704840532e+00, 2.158729865439030782e+00, 1.792409679915590859e+00, 4.014479989954685912e+00, 1.693688852293514291e+00, 2.306090969677876412e+00, 5.529903153386755754e+00, 1.762734085122448224e+00, 4.422457348939015653e-01, 2.177326431408742025e+01, 1.866900414195452029e+01
2.017000000000000000e+03, 5.716244753413498358e+00, 1.233112989203117138e+01, 7.550231747582052400e+00, 2.383335190109612256e+00, 1.731190471229336891e+00, 3.909584822753326971e+00, 1.686614835695074754e+00, 2.293381784379414867e+00, 5.598707136088772351e+00, 1.743860716498937258e+00, 4.199611655082368666e-01, 2.182642319871373005e+01, 1.872612225150637144e+01
2.018000000000000000e+03, 5.752807354422595942e+00, 1.237132672560636237e+01, 7.525933316608337087e+00, 2.731814531386993039e+00, 1.756467653102608883e+00, 3.900878254156613156e+00, 1.748329886420986190e+00, 2.384136219954137825e+00, 5.670348071993981165e+00, 1.777824012738480342e+00, 3.529094200663455139e-01, 2.189233963752815981e+01, 1.878616839427954233e+01
2.019000000000000000e+03, 5.761794367610120204e+00, 1.239315968946421265e+01, 7.581318373803751953e+00, 2.562362769758474990e+00, 1.823796000545025331e+00, 3.891419829561816535e+00, 1.756773847686674994e+00, 2.507778295945140901e+00, 5.668748792704960238e+00, 1.887785058156612461e+00, 4.267258643707321775e-01, 2.182690569735085617e+01, 1.885916774612774205e+01
2.020000000000000000e+03, 5.799561545502120552e+00, 1.241151648354765946e+01, 7.572130578059876882e+00, 2.709499097768190090e+00, 1.854829847900314022e+00, 3.904660219130379417e+00, 1.647316079212086892e+00, 2.532834769744874759e+00, 5.741706141235761507e+00, 1.968004991156397265e+00, 4.985214832790341721e-01, 2.176011412802331435e+01, 1.885162517657707326e+01
2.021000000000000000e+03, 5.802094632434407373e+00, 1.237635737849449136e+01, 7.592701065245561765e+00, 2.501015193039660023e+00, 1.860009137111328315e+00, 3.944778547718716055e+00, 1.677972007848432590e+00, 2.463683133124681124e+00, 5.867748219167093993e+00, 1.853662603441267542e+00, 4.318710024539512138e-01, 2.186687711446289839e+01, 1.883346282019149598e+01
2.022000000000000000e+03, 5.836164339976433801e+00, 1.236977650013191976e+01, 7.491490578007043766e+00, 2.491248258414103134e+00, 1.892850895870257455e+00, 3.914032015919980179e+00, 1.648946058698098183e+00, 2.433700494946513526e+00, 5.890298275141151230e+00, 1.792347126505925425e+00, 5.149661315314433274e-01, 2.192108371428827951e+01, 1.899993727957004097e+01
2.023000000000000000e+03, 5.826852214263972485e+00, 1.241578984991426005e+01, 7.380947432209402415e+00, 2.732068380605777946e+00, 1.898734875562729130e+00, 3.897862421781755682e+00, 1.610656606463494844e+00, 2.513279130960886842e+00, 5.908694142759241430e+00, 1.828363623059224397e+00, 3.610810560086476495e-01, 2.202884288359655685e+01, 1.903131222516381627e+01
2.024000000000000000e+03, 5.873642084670475327e+00, 1.250788187803206775e+01, 7.370725072355767793e+00, 2.478190163327247841e+00, 1.811575936356919714e+00, 3.932469401555198640e+00, 1.707204011732731397e+00, 2.530230824768580966e+00, 5.933936061437663945e+00, 1.749628167853411131e+00, 3.948593292610245165e-01, 2.198359516729208707e+01, 1.904544124099606606e+01
