year, CNRM-ESM2-1, CanESM5, INM-CM4-8, CESM2-WACCM, IPSL-CM6A-LR, ACCESS-ESM1-5, NorESM2-MM, UKESM1-0-LL, EC-Earth3-Veg, GFDL-ESM4, MIROC-ES2L, MPI-ESM1-2-LR, NorESM2-LM, CMCC-CM2-SR5, TaiESM1, INM-CM5-0
2.029000000000000000e+03, 4.752533329348398894e+00, 6.967498779776690299e+00, 4.243643436297447558e+00, 5.229325816003672855e+00, 5.485646569707582465e+00, 5.979682178557578887e+00, 5.103712235106223183e+00, 5.213251943887900808e+00, 7.062000505336081702e+00, 5.150251924236532552e+00, 6.768197860648233366e+00, 7.175968928898475596e+00, 4.835228122151921326e+00, 4.753364761024061025e+00, 3.685625471810549225e+00, 4.772441745139037295e+00
2.030000000000000000e+03, 4.962282638952316027e+00, 6.882453556821850782e+00, 4.022339440541243150e+00, 5.234529191665755476e+00, 5.697843598751025418e+00, 5.987359057219464376e+00, 5.201663803977250922e+00, 5.242887426681643426e+00, 6.836111602983855562e+00, 4.253974874137013806e+00, 6.895718534249583698e+00, 7.237930179323861068e+00, 4.671554466582989562e+00, 5.060235639808528418e+00, 3.670835317435614531e+00, 4.620005751942444228e+00
2.031000000000000000e+03, 4.104116088875084500e+00, 6.492165492614889288e+00, 4.425303526539628329e+00, 5.212127757541319184e+00, 5.605971624723014024e+00, 5.835635229741905405e+00, 5.252187510074241672e+00, 5.429707083613671159e+00, 7.098154156108589241e+00, 4.719007849206437122e+00, 6.625556531090794898e+00, 6.747183886636200612e+00, 4.584916943253311672e+00, 4.795561090726626396e+00, 3.537404469408853558e+00, 4.692509616522198002e+00
2.032000000000000000e+03, 5.345822052532778201e+00, 6.480129227382370516e+00, 4.725817932616772410e+00, 5.104220583770032960e+00, 4.809494352325543787e+00, 6.005536785653611709e+00, 4.905258486177570099e+00, 5.811565573388441486e+00, 6.872709218496902750e+00, 4.774398782174398725e+00, 6.432030637556209740e+00, 6.897220939480501301e+00, 4.504870440146846455e+00, 5.153033499507367665e+00, 3.656169458969647845e+00, 4.709113067320709334e+00
2.033000000000000000e+03, 4.764498318218443274e+00, 7.164542324454027167e+00, 4.643508813366000965e+00, 5.251788712925995917e+00, 5.723834422000158462e+00, 6.081494780791032895e+00, 4.846776730337038153e+00, 5.312880732072938095e+00, 6.835154738192414925e+00, 4.497131389499744891e+00, 6.310271517373982952e+00, 7.368282161266916042e+00, 4.432057840066851107e+00, 4.531071982042514712e+00, 3.498903322023394935e+00, 4.847397271889842152e+00
2.034000000000000000e+03, 4.666489823715987306e+00, 6.892186574548809119e+00, 4.499421750966859257e+00, 5.211252388697079851e+00, 5.025252191845088312e+00, 5.906351813016064156e+00, 4.782354205083787946e+00, 5.470905625211682555e+00, 7.005338269416744090e+00, 4.842891488132097244e+00, 6.620718395004526968e+00, 7.502533638124333493e+00, 4.497027190809635755e+00, 4.942122414548388853e+00, 3.942315432817227183e+00, 5.004583988951710083e+00
2.035000000000000000e+03, 4.173631146427588590e+00, 6.753896712836022331e+00, 4.211421121523790667e+00, 5.266962101944278274e+00, 5.550204842288538387e+00, 5.805476879189434669e+00, 4.993535188721193840e+00, 4.992780026495201362e+00, 6.688911864822951081e+00, 4.428284150398891228e+00, 6.585567674271833205e+00, 7.265915587224190730e+00, 4.765053095716498710e+00, 4.693893331497264398e+00, 3.787311023315312664e+00, 4.823088162681520963e+00
2.036000000000000000e+03, 4.739487635060975812e+00, 7.509556933540931567e+00, 4.615690717180936709e+00, 5.540941814839315249e+00, 5.829064565239191253e+00, 5.787754002674427412e+00, 4.974334257050508690e+00, 5.450191521903526848e+00, 7.077650989150258809e+00, 4.132080452381401869e+00, 6.434097661577242278e+00, 7.205648459642400638e+00, 4.779127102818014450e+00, 4.874322651250506233e+00, 3.767240915908973697e+00, 4.330237706522613195e+00
2.037000000000000000e+03, 4.978567296693144684e+00, 7.082591637496844506e+00, 4.480951359866112149e+00, 5.264081224117988178e+00, 5.568631890223499248e+00, 5.902174338871018833e+00, 4.903456573402073637e+00, 5.428244537755451127e+00, 6.686903084897998895e+00, 4.469702047176366655e+00, 6.794077228962620119e+00, 6.912048817762722841e+00, 5.187383083589021560e+00, 4.929682856612759068e+00, 3.650325018228775420e+00, 4.652401095072217885e+00
2.038000000000000000e+03, 4.620450680068344695e+00, 7.198390183800688291e+00, 4.524981292217954199e+00, 5.458735595064219126e+00, 5.989085211740058590e+00, 6.097273286645142676e+00, 4.867701473630675402e+00, 4.839561968301261174e+00, 6.737672617633820416e+00, 4.740364720569157697e+00, 6.661268298720099068e+00, 6.855239716190634880e+00, 4.986220984910652909e+00, 4.884153276476239647e+00, 3.710279360431156803e+00, 4.451888874805918661e+00
