year, NorESM2-MM, IPSL-CM6A-LR, INM-CM4-8, TaiESM1, INM-CM5-0, CanESM5, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4, CMCC-CM2-SR5, CNRM-ESM2-1, EC-Earth3-Veg, NorESM2-LM, UKESM1-0-LL, CESM2-WACCM
2.033000000000000000e+03, 1.870938260914455364e+00, 2.584464834115389742e+00, 1.872514761051230714e+00, 2.120602358117142039e+00, 1.964904669498281908e+00, 2.014995339400453389e+00, 2.417897181908368331e+00, 2.250653540199164748e+00, 2.552964069051385732e+00, 2.640168280825855529e+00, 2.091014875304026965e+00, 2.312707104787246948e+00, 2.398706503119805156e+00, 1.840964465499091540e+00, 2.009549860931869159e+00, 2.048801249445197925e+00
2.034000000000000000e+03, 1.906206879070064808e+00, 2.517879685342363505e+00, 1.749645111681223497e+00, 2.441837700543302070e+00, 1.948049883761170387e+00, 2.430165909997223928e+00, 2.340811420400868759e+00, 2.344896999645683433e+00, 2.841672432048502284e+00, 2.740063306604033411e+00, 2.111185295555114028e+00, 2.346411705023173866e+00, 2.451028581088351199e+00, 1.857271363579026113e+00, 2.065845703360937868e+00, 2.283093519850253550e+00
2.035000000000000000e+03, 2.038906439080499400e+00, 2.666943895105033047e+00, 1.821155620004382802e+00, 2.071700052805961256e+00, 1.909509160905429548e+00, 2.393481448612221563e+00, 2.602332541662459864e+00, 2.274912862403616121e+00, 2.627541376416232310e+00, 2.427507632700712570e+00, 2.149485205380886388e+00, 2.321962085011842980e+00, 2.248899645042477413e+00, 1.940793927348384518e+00, 1.983356994854577282e+00, 2.308905579580618372e+00
2.036000000000000000e+03, 1.925048376905783565e+00, 2.761895098609083554e+00, 1.955076427154505803e+00, 2.098507885227968828e+00, 1.913936668622000736e+00, 1.914852474571759222e+00, 2.297449093156252786e+00, 2.329073751845104567e+00, 2.732893697502364994e+00, 2.334224640892022418e+00, 2.341956694065576272e+00, 2.499889853437950560e+00, 2.246709982268142891e+00, 2.043172328341682498e+00, 2.229875797917592717e+00, 2.267749694878268496e+00
2.037000000000000000e+03, 1.995104502826470005e+00, 2.576593727593941452e+00, 1.863702948810647575e+00, 2.285882394353512925e+00, 1.908203089887364978e+00, 2.107289237823817274e+00, 2.245825302277115298e+00, 2.178544928012172477e+00, 2.462318877042624976e+00, 2.705796221557061898e+00, 2.209165188027084170e+00, 2.363313626381668975e+00, 2.300821263664754923e+00, 2.122710387557873002e+00, 2.128024934501760779e+00, 2.071456921996592371e+00
2.038000000000000000e+03, 1.889905969583577372e+00, 2.779110830680510791e+00, 1.931237646454747381e+00, 2.309201924740311274e+00, 1.993065675153385952e+00, 2.203003876744090928e+00, 2.586120982817818881e+00, 2.034021032659395711e+00, 2.704244085973794398e+00, 2.619070317776039047e+00, 2.134821825769123826e+00, 2.276450502446511592e+00, 2.434811426041948668e+00, 1.991769184147674121e+00, 1.669616546413401403e+00, 2.226284156162833483e+00
2.039000000000000000e+03, 1.772479800581398424e+00, 2.535444981843171242e+00, 1.749334336891408714e+00, 2.037912682523113528e+00, 2.047121059492561734e+00, 2.120617735462371201e+00, 2.438265526942418049e+00, 2.044553474553896244e+00, 2.459476031285975139e+00, 2.414484044777466920e+00, 1.990893764697403867e+00, 2.330173855948015849e+00, 2.359040163368302245e+00, 1.793105379431218838e+00, 2.093533178712787102e+00, 2.074935896468098395e+00
2.040000000000000000e+03, 2.061750082371236914e+00, 2.443198547378230057e+00, 1.922902972479947570e+00, 2.003006417927822636e+00, 2.116121833724893264e+00, 2.376086371783765028e+00, 2.257987557506458298e+00, 1.806342773342549668e+00, 2.630511357539250028e+00, 2.323306176943529699e+00, 2.302895351292602477e+00, 2.627193518501888203e+00, 2.246651062936794396e+00, 1.851516807318397184e+00, 1.929571058548264606e+00, 2.309316824295997606e+00
2.041000000000000000e+03, 2.040590911515030026e+00, 2.682728377113158924e+00, 1.765977133723236392e+00, 2.113723961308469956e+00, 1.845845563856014726e+00, 2.212316344876997576e+00, 2.461408006337656662e+00, 1.952071604953311779e+00, 2.535733985629632592e+00, 2.471427625106092041e+00, 2.136552273159172177e+00, 2.420750626928684035e+00, 2.086877207529879819e+00, 2.015197623367754876e+00, 1.985984571872721149e+00, 2.303241491652527451e+00
2.042000000000000000e+03, 1.991144238358636853e+00, 2.492507733324324626e+00, 1.902604238543276205e+00, 2.107250673333481039e+00, 1.988622246600558752e+00, 2.252217143783366904e+00, 2.429761395415098058e+00, 2.190821600647610001e+00, 2.487479653663172030e+00, 2.416369973195623189e+00, 2.091839843939285792e+00, 2.196953401196752420e+00, 2.389426353281543847e+00, 1.897752941509996516e+00, 2.199171844676010679e+00, 1.906163622276301206e+00
