year, NorESM2-LM, IPSL-CM6A-LR, UKESM1-0-LL, NorESM2-MM, TaiESM1, CESM2-WACCM, EC-Earth3-Veg, CMCC-ESM2, CNRM-ESM2-1, MPI-ESM1-2-LR
2.046000000000000000e+03, 1.500565244504585953e-09, 9.095440073484701961e-12, 1.998256665236674552e-13, 1.874812282691146804e-09, 1.283038302411396532e-10, 3.656642321104292006e-10, 8.050939387386806304e-11, 2.571532502239011325e-10, 1.586080599302776960e-11, 1.242348139229121215e-11
2.047000000000000000e+03, 1.692609408236322585e-09, 8.978487344835425275e-12, 1.918547660643452743e-13, 1.581239413671451560e-09, 1.265709239334557228e-10, 3.618738989134439970e-10, 7.302378259789098949e-11, 2.611350008748556825e-10, 1.550769359142290262e-11, 1.195448802973217746e-11
2.048000000000000000e+03, 1.803692881741141168e-09, 9.042623638150310752e-12, 1.621687200539408273e-13, 1.636159686410086112e-09, 1.278827946234039441e-10, 3.615196528592728311e-10, 6.779479689773655526e-11, 2.566831768792609998e-10, 1.463664011118576933e-11, 1.219357013972150359e-11
2.049000000000000000e+03, 1.475932707610701586e-09, 9.203914803407831503e-12, 1.477849575024306474e-13, 1.895121779112972907e-09, 1.269644335280882203e-10, 3.629800299176362316e-10, 6.135489379299307044e-11, 2.598083069722475645e-10, 1.481477608509509008e-11, 1.220816905554620110e-11
2.050000000000000000e+03, 1.547654694037468913e-09, 9.193113274674187032e-12, 1.476026333149752427e-13, 1.975280197004424440e-09, 1.206330874861787198e-10, 3.635322819978542898e-10, 5.462760046196120518e-11, 2.402456342800328691e-10, 1.397990765699651800e-11, 1.279126422246419925e-11
2.051000000000000000e+03, 1.656757113771554533e-09, 8.768988670874234162e-12, 1.243763319429725511e-13, 1.799376273657181356e-09, 1.201106272615660831e-10, 3.589326680268379626e-10, 5.058205057323793087e-11, 2.407835778117434688e-10, 2.163574035421324188e-11, 1.289892110708714572e-11
2.052000000000000000e+03, 1.632665446639916774e-09, 8.486666567598971376e-12, 1.213594166045738636e-13, 1.703798376231064108e-09, 1.199979552511658851e-10, 3.591505790520099633e-10, 4.609135210787105115e-11, 2.418398076807905437e-10, 2.114625496812963164e-11, 1.257978930682696036e-11
2.053000000000000000e+03, 1.864283296345012627e-09, 7.986733913121412240e-12, 1.142644688921533809e-13, 1.596388199829003932e-09, 1.203254504475443482e-10, 3.553686717820710917e-10, 4.158516594161245148e-11, 2.479953762728588532e-10, 2.109522476451753812e-11, 1.304305806812968952e-11
2.054000000000000000e+03, 1.933327047665694112e-09, 7.643839526006596007e-12, 1.231848753479094426e-13, 1.547628509796057111e-09, 1.204294718056447355e-10, 3.566502407893634017e-10, 3.835801588873346949e-11, 2.428560718410713941e-10, 2.081263895144581181e-11, 1.293154025033951381e-11
2.055000000000000000e+03, 1.848171914430693552e-09, 7.281129941591162264e-12, 1.343276270472323699e-13, 1.691286315005715283e-09, 1.253352389983898429e-10, 3.566988971893392606e-10, 3.518308629887557354e-11, 2.497276158122138647e-10, 2.070739823774753035e-11, 1.888445000726862383e-11
2.056000000000000000e+03, 1.868661581357376961e-09, 2.156506330892888448e-11, 1.592761061749735500e-13, 1.899187704248333478e-09, 1.240263640996853242e-10, 3.633905738585377495e-10, 5.269624998761941627e-11, 2.497149834658904003e-10, 5.619790538443288392e-11, 2.308510025317052351e-11
2.057000000000000000e+03, 1.846437102440205545e-09, 2.257746544906717304e-11, 1.923628568709865166e-13, 1.962651477561833876e-09, 1.242249350760291144e-10, 3.641100017729416987e-10, 5.463870170303169610e-11, 2.533153727981920692e-10, 5.925273684421671224e-11, 2.420014398876812179e-11
2.058000000000000000e+03, 1.905553632399173405e-09, 2.359205692459086567e-11, 3.632229969514550404e-13, 1.943447382694429441e-09, 1.250895366686459631e-10, 3.632213277016824348e-10, 5.368459539085456740e-11, 2.536806786528556980e-10, 6.540010258951250283e-11, 2.483956559032324016e-11
2.059000000000000000e+03, 1.873394648132162602e-09, 2.464503476926442736e-11, 5.763740723670601051e-13, 1.979201804102663745e-09, 1.267155467428801585e-10, 3.666642690393197260e-10, 5.318348226540500740e-11, 2.589328157060329106e-10, 6.957614996828616123e-11, 2.435374624502472304e-11
2.060000000000000000e+03, 1.843348304908973578e-09, 2.519885378147313012e-11, 5.504269510097495969e-13, 1.821203318068781818e-09, 1.261236628197588191e-10, 3.665393529214177802e-10, 5.135585125742358920e-11, 2.638445183619074678e-10, 7.330998338319901841e-11, 2.811201814822789210e-11
2.061000000000000000e+03, 1.639929793046598258e-09, 3.845237993089712905e-11, 4.206226154263682818e-13, 1.852469358059444578e-09, 1.247796150533148909e-10, 3.902984199327364947e-10, 4.912348166653866771e-11, 2.645457961537957364e-10, 9.983479546534901488e-11, 2.991132722593518862e-11
2.062000000000000000e+03, 1.685530749537038282e-09, 3.972030084991320135e-11, 3.388613689808357607e-13, 1.844640453526217898e-09, 1.291722028815219808e-10, 3.919036247582363332e-10, 5.015002841814197683e-11, 2.631995326199774988e-10, 9.967104956359178918e-11, 2.983207311902521861e-11
