year, UKESM1-0-LL, MPI-ESM1-2-LR, CESM2-WACCM, NorESM2-MM, EC-Earth3-Veg, CMCC-ESM2, TaiESM1, IPSL-CM6A-LR, NorESM2-LM, CNRM-ESM2-1
2.015000000000000000e+03, 4.391006129945584435e-11, 3.574161855703905145e-10, 2.275181688088155055e-10, 4.413833146173671989e-10, 2.870686126085887496e-10, 9.543384986568643143e-11, 3.791867824955503356e-10, 2.664328591249736591e-10, 4.016190334980821101e-10, 2.217977600659518326e-10
2.016000000000000000e+03, 2.468068097558051152e-11, 3.321904509918727443e-10, 1.906191231504477918e-10, 4.291894467695672728e-10, 2.005573624888056252e-10, 9.725883330802518087e-11, 3.133817541911098174e-10, 1.076459719536699361e-10, 3.832451861032932431e-10, 1.023785616606620104e-10
2.017000000000000000e+03, 1.753555404889281456e-11, 3.261835289363821787e-10, 1.867859749310341703e-10, 4.249559186518104978e-10, 1.996193404884744355e-10, 9.893951329402917430e-11, 2.974881710555380267e-10, 1.056770553879355096e-10, 3.587511823969961319e-10, 9.952526348461215329e-11
2.018000000000000000e+03, 1.445989594151427953e-11, 3.221709207381066492e-10, 1.835344065135648889e-10, 4.225681565491755642e-10, 1.967782546351926174e-10, 9.956775049655550562e-11, 2.841196937344704106e-10, 1.058223307783705493e-10, 3.486890917621498816e-10, 9.684211798063278713e-11
2.019000000000000000e+03, 1.287405063924659108e-11, 3.173426162940467046e-10, 1.788406999538111037e-10, 4.256185143942830654e-10, 1.842810527628894169e-10, 1.007361387162375068e-10, 2.732017492533242619e-10, 1.045578463254764257e-10, 3.350199154904186150e-10, 9.297537159492590812e-11
2.020000000000000000e+03, 1.167587644913398683e-11, 3.086828389492937812e-10, 1.758371687282773964e-10, 4.073353540988987534e-10, 1.802616447218342231e-10, 7.779835351597531493e-11, 2.389731014733703420e-10, 1.026865343434592446e-10, 3.451246785379160358e-10, 8.149956087528114673e-11
2.021000000000000000e+03, 9.830488689892674548e-12, 3.014364216403861343e-10, 1.471568040573242133e-10, 3.861722814387558170e-10, 1.680783724410314738e-10, 7.437946289336717740e-11, 2.253821985141160833e-10, 7.320319490006092300e-11, 3.067946572932289367e-10, 6.180145305083238231e-11
2.022000000000000000e+03, 8.606100993583853646e-12, 2.986598879193107729e-10, 1.407282937306788838e-10, 3.927761836731936907e-10, 1.603316567825424085e-10, 7.203043004081898354e-11, 2.151519546755749808e-10, 7.008866250106780029e-11, 3.161390700737880773e-10, 5.681017312097512437e-11
2.023000000000000000e+03, 7.801449989462533296e-12, 2.949798652731734166e-10, 1.345063351618452734e-10, 3.737184382685512358e-10, 1.587158919146946237e-10, 7.082691488594798698e-11, 2.062493701890212100e-10, 6.634436233761239517e-11, 3.007795521744625959e-10, 4.783078574190992236e-11
2.024000000000000000e+03, 7.170494366077414955e-12, 2.904653179689548047e-10, 1.297777084603811848e-10, 3.747094537271664166e-10, 1.495109575690470238e-10, 6.806819031222232657e-11, 1.984757125799449634e-10, 6.197401383315921887e-11, 2.875843962909160433e-10, 3.858913651171021670e-11
