year, CNRM-ESM2-1, IPSL-CM6A-LR, MPI-ESM1-2-LR, CMCC-CM2-SR5, CESM2-WACCM, MIROC-ES2L, EC-Earth3-Veg, UKESM1-0-LL, ACCESS-ESM1-5
2.032000000000000000e+03, 3.089863095992420594e-02, 1.712348315603485771e-01, 1.374531505440969914e+00, 1.858002655024199867e-01, 5.673052717731936756e-01, 3.191785314440044097e+00, 8.061973636692443268e-02, 1.563933247043166053e-01, 1.272039456225464660e+00
2.033000000000000000e+03, 3.021594328060891316e-02, 1.712238587547475765e-01, 1.375550434778247011e+00, 1.839627109395468030e-01, 5.552333793197881118e-01, 3.205168125051983008e+00, 7.865351977902747260e-02, 1.529831116451777218e-01, 1.254978201785279968e+00
2.034000000000000000e+03, 2.994526577088429953e-02, 1.715742512847909240e-01, 1.394888070798373958e+00, 1.827324501541384427e-01, 5.541005505998883862e-01, 3.218169906751725318e+00, 7.681778128999519617e-02, 1.497843342088445717e-01, 1.238693822996088878e+00
2.035000000000000000e+03, 2.967147899936085909e-02, 1.710308198249917977e-01, 1.420869097262108527e+00, 1.810013945078712827e-01, 5.659492959254001088e-01, 3.217946773170644370e+00, 7.499777089073539349e-02, 1.467572864080275985e-01, 1.223262093134471096e+00
2.036000000000000000e+03, 2.975220806564802395e-02, 1.678910065971632448e-01, 1.416283029619917588e+00, 1.790974329225173411e-01, 5.527781293449698374e-01, 3.221153431108190190e+00, 7.312845625710696906e-02, 1.439064901176071165e-01, 1.202419122841461796e+00
2.037000000000000000e+03, 2.956979774199737510e-02, 1.632316428769890193e-01, 1.397725718387444971e+00, 1.779716472193011712e-01, 5.475915722883420989e-01, 3.230996466866492778e+00, 7.136062023901654228e-02, 1.412291955369580632e-01, 1.183155338287761316e+00
2.038000000000000000e+03, 2.920796317431401806e-02, 1.593033296315568004e-01, 1.412113110034568964e+00, 1.774181807026914692e-01, 5.557246847515230348e-01, 3.238011288845808799e+00, 6.966117999543938732e-02, 1.387113878845339099e-01, 1.165047790925141991e+00
2.039000000000000000e+03, 2.861463958592785559e-02, 1.553100574874368978e-01, 1.407788415751594524e+00, 1.772531039460593927e-01, 5.591532474593530200e-01, 3.241101432449345232e+00, 6.806796761546994590e-02, 1.362982416647153527e-01, 1.147810897409269337e+00
2.040000000000000000e+03, 2.776908660178517563e-02, 1.514477762075147338e-01, 1.394919717378242829e+00, 1.768285778596930813e-01, 5.535059405513272912e-01, 3.234263499478349235e+00, 6.663637722135075381e-02, 1.339923606368417230e-01, 1.131357116527874407e+00
2.041000000000000000e+03, 2.642336508420531360e-02, 1.454311312498848541e-01, 1.404403112511192653e+00, 1.761154765589860449e-01, 5.526380976794340594e-01, 3.239825829584170869e+00, 6.470885649319454980e-02, 1.318454278549348047e-01, 1.121980343721608486e+00
2.042000000000000000e+03, 2.494975901409949431e-02, 1.403423589616151490e-01, 1.402482431963678833e+00, 1.756792639632066833e-01, 5.445413973416441955e-01, 3.247475420813243474e+00, 6.281219363975934500e-02, 1.298059346851080098e-01, 1.112534391517304266e+00
2.043000000000000000e+03, 2.320146464058532934e-02, 1.355391568592110019e-01, 1.393354169453636660e+00, 1.755042751394529643e-01, 5.550992049593815869e-01, 3.251896470888055557e+00, 6.111779248335762887e-02, 1.278720240357642812e-01, 1.103024239196762180e+00
2.044000000000000000e+03, 2.183970301088690100e-02, 1.318895280029975803e-01, 1.388113046550728757e+00, 1.753990873429568942e-01, 5.541612673465144967e-01, 3.252939074024701060e+00, 5.945435768742363819e-02, 1.260088925255809789e-01, 1.093662574086397221e+00
2.045000000000000000e+03, 2.032214327093876186e-02, 1.283561181703629650e-01, 1.389147367398051003e+00, 1.757224480471059613e-01, 5.531146388454026841e-01, 3.259344316060867719e+00, 5.788297029011213457e-02, 1.242231470902903784e-01, 1.084891479577272388e+00
2.046000000000000000e+03, 1.981829412668927384e-02, 1.262742869821793235e-01, 1.386644444418742683e+00, 1.765089660722090059e-01, 5.601252561138757580e-01, 3.267146938261309419e+00, 5.631688117674979455e-02, 1.225897011544614529e-01, 1.071297308649191038e+00
2.047000000000000000e+03, 1.894396223861277359e-02, 1.239521025385539738e-01, 1.396607200263865645e+00, 1.773041341360756251e-01, 5.618929081398221781e-01, 3.273688033580887780e+00, 5.487702008732176645e-02, 1.210477682822842793e-01, 1.058238418675829129e+00
2.048000000000000000e+03, 1.816842695181225889e-02, 1.214248619090247810e-01, 1.379345576747596169e+00, 1.780393579816756944e-01, 5.505705131375696615e-01, 3.274548108898886589e+00, 5.368314580135337410e-02, 1.195252055622387510e-01, 1.045856001608248542e+00
2.049000000000000000e+03, 1.739883127113127717e-02, 1.185923741695536354e-01, 1.373892697509822680e+00, 1.786926372763137094e-01, 5.541702097527214654e-01, 3.274194176150889035e+00, 5.254142762576208270e-02, 1.180365331462014528e-01, 1.033909134073329517e+00
2.050000000000000000e+03, 1.687485656687106803e-02, 1.162446736584383106e-01, 1.369776207390327016e+00, 1.788525756861573668e-01, 5.649967996911167134e-01, 3.273043798782103053e+00, 5.157020104752282896e-02, 1.165337687043202092e-01, 1.022391510153296990e+00
2.051000000000000000e+03, 1.569366345023225084e-02, 1.133472117396827350e-01, 1.355452102237589385e+00, 1.780765049490069252e-01, 5.512720461891329471e-01, 3.276406832065958064e+00, 5.033188302272620374e-02, 1.148903412702760307e-01, 1.015663792666837706e+00
2.052000000000000000e+03, 1.459298514039830859e-02, 1.110311555741592821e-01, 1.378825154572623779e+00, 1.770400403949967394e-01, 5.484487509893375412e-01, 3.281207115476194147e+00, 4.917960622699300149e-02, 1.134698181650011239e-01, 1.008665342525705277e+00
2.053000000000000000e+03, 1.360961448476673448e-02, 1.091112383085282300e-01, 1.390896695272681782e+00, 1.762636273182819346e-01, 5.466773978274749313e-01, 3.289569127508213953e+00, 4.808034176058565562e-02, 1.121692583123407860e-01, 1.001287243032882301e+00
2.054000000000000000e+03, 1.312150231769772246e-02, 1.066154795213677398e-01, 1.399947454752823450e+00, 1.757168584785507581e-01, 5.524927422179907177e-01, 3.298752101718579244e+00, 4.710964417959118827e-02, 1.108742359235007913e-01, 9.938046180591662004e-01
2.055000000000000000e+03, 1.268223186929737754e-02, 1.045261494587224199e-01, 1.414472516254865697e+00, 1.755477280473790036e-01, 5.545610052021219261e-01, 3.315372306263557167e+00, 4.622151567781241505e-02, 1.095793891398929992e-01, 9.852002911061972235e-01
2.056000000000000000e+03, 1.352184131866448341e-02, 1.039157030754766231e-01, 1.399075856749669722e+00, 1.756830667225641185e-01, 5.555089138122767389e-01, 3.328958292055342660e+00, 4.534982645400618961e-02, 1.082809878810314097e-01, 9.753490454281081856e-01
2.057000000000000000e+03, 1.419856442157215078e-02, 1.036916441190289390e-01, 1.408427158611265329e+00, 1.758372522469170141e-01, 5.516834069592824186e-01, 3.347139232216189697e+00, 4.473317841405994449e-02, 1.071286418276344299e-01, 9.659913315659175437e-01
2.058000000000000000e+03, 1.462127686249117646e-02, 1.038111355588827445e-01, 1.414135018337027594e+00, 1.761744984596306796e-01, 5.555411151674437553e-01, 3.366931862865614189e+00, 4.448546175688456589e-02, 1.059561906365873302e-01, 9.567901740448759851e-01
2.059000000000000000e+03, 1.490067881307979153e-02, 1.039177351726658094e-01, 1.444343174720407186e+00, 1.765587834770196152e-01, 5.543802315066480579e-01, 3.382888974830924766e+00, 4.461032325979348567e-02, 1.050017243920688126e-01, 9.480143706671484427e-01
2.060000000000000000e+03, 1.524842589952019392e-02, 1.036976410538585774e-01, 1.424501788103933908e+00, 1.763339721237826008e-01, 5.626799854404954671e-01, 3.380218361870192201e+00, 4.507697107193708169e-02, 1.071374059973049381e-01, 9.396078763323146843e-01
2.061000000000000000e+03, 1.552091863348380174e-02, 1.046858561078043981e-01, 1.388756921124894239e+00, 1.758358128787513019e-01, 5.553862859083041892e-01, 3.382529223232387583e+00, 4.451950624363677778e-02, 1.052651125242728414e-01, 9.345586027775210081e-01
2.062000000000000000e+03, 1.560178980163140841e-02, 1.045677491179710511e-01, 1.381115671739834516e+00, 1.754576747216876897e-01, 5.660413028030948368e-01, 3.385840291056795515e+00, 4.403907713742416519e-02, 1.032603707262273185e-01, 9.297560278509777731e-01
2.063000000000000000e+03, 1.586204909138229369e-02, 1.045288819250724116e-01, 1.409295078506849652e+00, 1.751088401170210196e-01, 5.630557116677932239e-01, 3.393723286907833092e+00, 4.365301712119029620e-02, 1.017955021604037974e-01, 9.244329219643876439e-01
2.064000000000000000e+03, 1.594353155423060622e-02, 1.041041353773659028e-01, 1.423982453960926042e+00, 1.747421692611687560e-01, 5.696257711420722458e-01, 3.395662413259211032e+00, 4.335265290856048920e-02, 1.005114135153789695e-01, 9.201484585138201000e-01
2.065000000000000000e+03, 1.597617293543286340e-02, 1.036286706544099073e-01, 1.419446726261844205e+00, 1.744323747118632362e-01, 5.701537402885910044e-01, 3.393988990965724373e+00, 4.320430308061544433e-02, 9.928031557464463142e-02, 9.160493300267446015e-01
2.066000000000000000e+03, 1.553626004051141679e-02, 1.024359732659653882e-01, 1.420763949347321198e+00, 1.742649944603339718e-01, 5.688683049336200614e-01, 3.394142777491010232e+00, 4.274206354951088499e-02, 9.799941532753822515e-02, 9.070369225660004364e-01
2.067000000000000000e+03, 1.517493992422231514e-02, 1.011273467992567093e-01, 1.413064161818564646e+00, 1.741878692705426390e-01, 5.643595568286355890e-01, 3.396300388217973865e+00, 4.246806892790305765e-02, 9.682368777273830940e-02, 8.983807526838187840e-01
2.068000000000000000e+03, 1.472456260526531537e-02, 9.966608842124050072e-02, 1.400359047923526612e+00, 1.739909816618116778e-01, 5.710054868796515803e-01, 3.393152723829261141e+00, 4.243636039962728895e-02, 9.571724043373212865e-02, 8.899711182820685407e-01
