year, UKESM1-0-LL, MPI-ESM1-2-LR, CNRM-ESM2-1, GFDL-ESM4, MIROC-ES2L, CESM2-WACCM, CanESM5, CMCC-ESM2
2.030000000000000000e+03, -5.409251200039310600e-10, -1.000323779973696484e-09, 8.524162051916590033e-11, 4.693271002626092451e-10, 5.758833845898597237e-10, 8.348208948835533120e-10, 1.055439081556987450e-09, -4.427406699379095096e-11
2.031000000000000000e+03, 1.892713879620970554e-11, -1.491687836344894985e-10, -4.493452242360718025e-10, 2.628353539628007447e-10, 1.041023708515358631e-09, 8.208629637523099952e-11, 3.055870387139359008e-10, -6.054990255503351804e-10
2.032000000000000000e+03, 2.854511807505868897e-11, 6.504706669056741982e-10, 3.277810102325938108e-10, 5.784720381667867734e-10, 8.005160810337155698e-10, 1.269204795286788253e-10, 6.961407720623973801e-10, -6.462134615797258212e-11
2.033000000000000000e+03, 1.567379268929455277e-10, 6.262360123221414560e-10, -1.215333113309644638e-11, 1.088289339684065788e-10, 4.200574312940952957e-10, 2.051183856037744351e-10, 8.422437656914667437e-10, -3.912480287842479663e-10
2.034000000000000000e+03, -4.683247843986882989e-10, 1.109830366331353974e-09, 2.774832543130851078e-10, 1.135430672316367066e-09, -5.821957792064826756e-10, 8.323085930446506423e-10, 8.294508414199041016e-10, -5.805111064894598282e-10
2.035000000000000000e+03, -8.304873155744285718e-10, 4.844763074435725382e-10, -4.374818719287571756e-11, -3.178484966434802426e-10, 2.597586597629962288e-10, 3.850119297324725351e-10, 6.353377730316290349e-10, -6.181129165147853869e-11
2.036000000000000000e+03, -8.398266172913957629e-10, -2.145071071282599842e-11, -2.896247182340616889e-10, 1.118593560012272774e-09, 8.329605417910760988e-10, 4.648420342102875538e-10, 7.114957451343604378e-10, -3.647479573360686298e-10
2.037000000000000000e+03, 4.830229741182049633e-10, 1.643514493309537418e-09, 4.274670948317093886e-10, 1.689458884321237532e-10, 5.090904336537590252e-10, 2.101928200515556596e-10, 1.013053475701890463e-09, -2.063962957941047550e-10
2.038000000000000000e+03, 8.562024793074383638e-11, 8.939160809007246845e-10, 3.696482871451010352e-10, 7.614897452514344979e-10, -2.622420353672503906e-10, 2.555313171581646358e-10, 1.113256224798182175e-09, -5.314010396855753376e-10
2.039000000000000000e+03, 5.519548537884801092e-10, -1.794053562225922980e-10, -3.794084914690151551e-10, -4.989305612821575208e-10, -5.071259327364677878e-10, 4.430325326839130421e-10, 3.100112639935699666e-10, -1.245428834801685299e-10
2.040000000000000000e+03, -1.302116238704733025e-10, 8.750567680158452351e-10, 1.485898194157321157e-10, 9.430336213837184774e-10, 7.063694919392499980e-10, 7.940093001856795228e-10, 8.018191577236118884e-10, -5.205889176669650052e-10
2.041000000000000000e+03, -2.068908409957269497e-10, 3.674105037637420769e-10, -3.678082372815098584e-10, 4.164183417462443374e-10, 9.597044140642302454e-10, 5.415748595932616036e-10, 4.156558478286249500e-10, -3.822301976404319346e-10
2.042000000000000000e+03, -9.782005834203558292e-12, 2.951121195811005497e-10, -4.493441445817678965e-10, -7.895068188291574007e-11, 2.994789069818077184e-10, 3.358090586811530041e-10, 6.185434875177976092e-10, -5.284541632112043624e-10
2.043000000000000000e+03, 4.247498246106193083e-10, 7.835416576398234635e-10, 1.441146414657128866e-10, 4.233916414950706292e-10, -7.465058509605794720e-10, 6.864990133379133356e-10, 1.508304082572086713e-10, -3.568849770896624850e-10
2.044000000000000000e+03, -1.216665837714864418e-10, 1.097128238398881012e-09, -2.131383518519197088e-10, -1.892863174305486331e-10, 4.674709087431551631e-11, -1.448252898459167641e-10, 4.905590489324876613e-10, 1.864241466157548732e-11
2.045000000000000000e+03, -5.941681099677740607e-10, 1.173021859889266119e-09, 2.457553249264401164e-10, 8.068303435045259852e-10, 7.987030614407917997e-10, 4.417779125558573406e-10, 6.284821327954370916e-10, -6.351611119456341514e-10
2.046000000000000000e+03, -4.187150779911005625e-10, 7.911411326685356189e-10, -5.570726177803126369e-10, 3.933806225425809027e-10, 4.482658570966285763e-10, 8.853025401564609816e-10, 4.898590503513860234e-10, -1.754019868585210958e-10
2.047000000000000000e+03, 1.882295557427522139e-10, 1.929303096286117871e-10, -8.198307118755139691e-11, 2.988683916845111690e-10, -6.870586175283031191e-10, 4.233029016512492376e-10, 9.705919138486516541e-10, -4.038904278391854411e-10
2.048000000000000000e+03, 8.875366852073069048e-10, 5.526574587138438411e-10, -5.120843712377881893e-10, -6.599035084127336569e-10, 9.060037022802072035e-11, -2.363389957619561511e-11, 3.388491373287160284e-10, -2.402718563261107088e-10
2.049000000000000000e+03, -8.522222883349042151e-11, 7.867952811056376038e-10, 2.436199525982157323e-10, -2.021941868996745418e-10, 5.030644797345045114e-10, 8.928156731237127211e-10, 9.295076700226684611e-10, -3.902026800722725827e-10
2.050000000000000000e+03, 2.455245566022551877e-11, -7.732344437466773153e-10, -5.346389504467042102e-10, 9.135085618915586553e-10, 1.466148911318477405e-10, 5.136745502547075720e-10, 7.726225111525512581e-10, -6.390261059402841548e-10
2.051000000000000000e+03, -5.805162653296742659e-10, 6.686861277020774938e-10, 3.599813215155421397e-10, 3.297948248497283140e-10, -4.543175731083847544e-10, 2.698312618475276122e-10, 1.156970472301155679e-09, -2.246802511934313679e-10
2.052000000000000000e+03, -1.477752767382338224e-10, 5.668476222817601505e-10, 3.595487651883841222e-10, 1.063009918104687151e-09, 5.324582926116495648e-10, 1.824703636065819869e-10, 8.181762995862382820e-10, -4.326528387284648751e-10
2.053000000000000000e+03, -8.855745839462778066e-10, 1.153244973407822258e-09, -3.189358523667037922e-10, -4.834878583154395817e-10, 1.001235869314664893e-09, 6.531465405688479268e-10, -3.392602354244795573e-10, -1.361923726345918175e-10
2.054000000000000000e+03, -4.245858612814877395e-10, 1.196764683287652996e-09, -9.092002502193163030e-12, -3.242548016355414930e-10, 1.060425393326782663e-09, 6.030551898693893817e-10, 7.486232476069505106e-10, -8.863915178203471622e-10
2.055000000000000000e+03, -3.832385857200475047e-10, 1.678123900632606891e-10, 1.765525929007971771e-10, 1.846260041733210474e-10, 2.620362954267842968e-10, 2.612751523170819497e-10, 6.964261224282739156e-10, -4.285172359058637099e-10
2.056000000000000000e+03, 1.170333231304574664e-10, 2.539735833681582998e-10, 6.364503318571332107e-10, 1.448736221463033334e-09, 7.634316894070672955e-11, 4.595501521319398211e-10, 6.560433950453568645e-10, -1.609303150737057875e-10
2.057000000000000000e+03, 3.242775087008743462e-10, 3.951157422489933706e-10, -2.801036423465854355e-10, 3.408999147562024372e-10, 1.182969912605095957e-10, 4.462706606709073186e-10, 6.542976203307935088e-10, -3.866950925685452268e-10
2.058000000000000000e+03, -4.538345362833414707e-10, 9.081651747945950173e-10, -1.035309029201131336e-10, 3.143386501060310673e-10, 2.680026404781128020e-10, 9.386507676464930834e-10, 5.123026609813824220e-10, -2.460861623984720502e-10
2.059000000000000000e+03, 4.831229495163074727e-10, 6.945571171032643876e-10, 3.820218438479781048e-10, 3.076184549211981864e-10, 2.208390240078363623e-10, 3.803441640981739843e-10, 7.591892237414887480e-10, -8.912102545152825682e-10
2.060000000000000000e+03, 6.127080158012415673e-10, -9.622518294166701077e-10, -1.178544203884925392e-10, -1.924248200110725977e-10, 3.927640494395592803e-10, 5.016895826342636172e-10, 2.033491056925507846e-10, -2.041369823175725071e-10
2.061000000000000000e+03, 8.016016887463078571e-11, -5.289221633452807060e-10, -3.313027268403629432e-10, -6.257904830808085850e-10, 4.691216184325189078e-10, 6.876556026421201609e-10, 5.019252372164021087e-11, -8.932982774425481621e-12
2.062000000000000000e+03, -6.984869009722336384e-10, 1.479521876988383429e-09, -3.781184313916559719e-11, 3.792494221428104044e-10, 5.392656334480548337e-10, 5.605320023104691447e-10, 5.769644126634580250e-10, -4.881731637875583797e-10
2.063000000000000000e+03, -1.938476048336771029e-10, 7.931695876316058156e-10, -4.664672404147950583e-11, 1.120531747776799666e-10, -2.090814866297061387e-10, -9.573592642316148157e-11, -3.463054841085515013e-10, -5.482741892184675167e-10
2.064000000000000000e+03, -7.200668316179578789e-11, 8.417657916436907418e-10, 3.507703721408478709e-10, 3.874986543776347470e-10, -6.593109317113660438e-10, 5.356886226341934624e-10, 8.106643462661656636e-10, -5.932816230440229192e-10
