year, UKESM1-0-LL, MPI-ESM1-2-LR, ACCESS-ESM1-5, NorESM2-MM, CNRM-ESM2-1, IPSL-CM6A-LR, NorESM2-LM, INM-CM5-0, TaiESM1, EC-Earth3-Veg, GFDL-ESM4, CanESM5, CMCC-CM2-SR5, CESM2-WACCM, MIROC-ES2L, INM-CM4-8
2.015000000000000000e+03, 1.035589575513516110e+02, 6.427324234389699598e+01, 1.114268261532179878e+02, 6.237146277173695097e+01, 5.191242217658915337e+01, 7.572659856787464605e+01, 6.220105249020095783e+01, 1.259060828632682814e+02, 8.971593136550238512e+01, 6.550979404701250530e+01, 4.525612685450387573e+01, 1.299738217482615994e+02, 6.721890931201285468e+01, 7.378954699488282643e+01, 1.050662763452596948e+02, 1.218089922133256948e+02
2.016000000000000000e+03, 1.036852248031492962e+02, 6.409265932078405115e+01, 1.113730731616855536e+02, 6.243819140242642618e+01, 5.247995685452551129e+01, 7.569631840474130513e+01, 6.246351707032965805e+01, 1.260421828748237374e+02, 8.848639557286824697e+01, 6.580148478844027693e+01, 4.553972501303724840e+01, 1.309879340085775823e+02, 6.663817353407398514e+01, 7.366377652388563035e+01, 1.051170644495044257e+02, 1.222469309819073260e+02
2.017000000000000000e+03, 1.038342318697677626e+02, 6.462798571084485388e+01, 1.122806991919770780e+02, 6.259614424574457558e+01, 5.247612788894123526e+01, 7.559696833885273293e+01, 6.233388557199837976e+01, 1.266460830414847294e+02, 8.909309873664766144e+01, 6.617445349813120004e+01, 4.536214637059005383e+01, 1.317566143984139160e+02, 6.692164216148232470e+01, 7.396299062111077660e+01, 1.055378921841102908e+02, 1.228739452327558723e+02
2.018000000000000000e+03, 1.037937202746641532e+02, 6.525880295838290124e+01, 1.127582201995628424e+02, 6.276265326155620983e+01, 5.212931382908589484e+01, 7.573886709223828007e+01, 6.242955156529068006e+01, 1.267867419566984211e+02, 8.946201393543368852e+01, 6.610050811113566738e+01, 4.531516020115198273e+01, 1.318526955478339175e+02, 6.759673234343854631e+01, 7.383635521018727843e+01, 1.057942175430928700e+02, 1.232321482816527265e+02
2.019000000000000000e+03, 1.040833045077260124e+02, 6.573114236162422230e+01, 1.130488792828739690e+02, 6.318353926059627668e+01, 5.318609594003155649e+01, 7.576949826728484538e+01, 6.231785562725158201e+01, 1.275003155555385632e+02, 9.050304927200518534e+01, 6.655878863939008738e+01, 4.568156080271492669e+01, 1.323576663369115067e+02, 6.745339946024408562e+01, 7.407415931664831987e+01, 1.058970240568927892e+02, 1.234504579329986313e+02
2.020000000000000000e+03, 1.040492689937879618e+02, 6.588734565154881295e+01, 1.127631701484020397e+02, 6.316308432187546629e+01, 5.346699159938458479e+01, 7.604228466756195814e+01, 6.234568714790113830e+01, 1.281187217705054309e+02, 9.037442792016585713e+01, 6.699704051213909395e+01, 4.558676488640289648e+01, 1.326984117899890236e+02, 6.730395588445433930e+01, 7.435160607731747007e+01, 1.058294039705425433e+02, 1.234923481799952611e+02
2.021000000000000000e+03, 1.041972124852115655e+02, 6.619833099543141941e+01, 1.120599121548597594e+02, 6.331811245414290568e+01, 5.359733942429438258e+01, 7.599808369328368940e+01, 6.241457035933071751e+01, 1.287497550297820510e+02, 8.929960340703360089e+01, 6.729016066590898504e+01, 4.549845821827820913e+01, 1.331896943308784387e+02, 6.783519530173937540e+01, 7.478206930785431439e+01, 1.062552528898104498e+02, 1.241694005287038607e+02
2.022000000000000000e+03, 1.040273858706529211e+02, 6.637203622008279069e+01, 1.123642499366970071e+02, 6.367221030124340331e+01, 5.311113479769122847e+01, 7.642396282305065824e+01, 6.269649621681395502e+01, 1.296016852756452238e+02, 9.000185403139907692e+01, 6.720023517275252800e+01, 4.553723610408276556e+01, 1.342060103584738329e+02, 6.835452197147094466e+01, 7.508705618679907445e+01, 1.067177860766821880e+02, 1.253726253213452537e+02
2.023000000000000000e+03, 1.039541243350158481e+02, 6.665448666378881626e+01, 1.128232634450931471e+02, 6.400783270137954162e+01, 5.320233782973201642e+01, 7.681910917200633548e+01, 6.284392582873228150e+01, 1.305418656231958607e+02, 9.051716031415668340e+01, 6.751759598715021582e+01, 4.571133178745735393e+01, 1.346170188557363190e+02, 6.846112009767028894e+01, 7.536945759033825709e+01, 1.069730443014660040e+02, 1.266994314323160893e+02
2.024000000000000000e+03, 1.041663413458348231e+02, 6.666510674871061326e+01, 1.129713690223831435e+02, 6.442444209688915180e+01, 5.274496338964368647e+01, 7.709985853198706707e+01, 6.302356988174196317e+01, 1.303814887294328742e+02, 9.144327956059083817e+01, 6.784801789392120952e+01, 4.566013176392793582e+01, 1.349207760248358738e+02, 6.821954358060000345e+01, 7.576382270559788878e+01, 1.070949828059620472e+02, 1.265937931860324568e+02
