year, INM-CM5-0, CanESM5, GFDL-ESM4, NorESM2-LM, NorESM2-MM, EC-Earth3-Veg, TaiESM1, CNRM-ESM2-1, IPSL-CM6A-LR, CMCC-CM2-SR5, CESM2-WACCM, INM-CM4-8, MIROC-ES2L, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL
2.015000000000000000e+03, 1.782578747050365564e+01, 2.234342233074667661e+01, 1.125706562261291666e+01, 7.258430028140518964e+00, 6.999233575562818110e+00, 1.386463381907077697e+01, 1.006422623971192643e+01, 6.522244430245620173e+00, 1.352282440355118531e+01, 7.586529371136562006e+00, 8.411809560448276102e+00, 1.770791947800125143e+01, 1.234503648717451263e+01, 1.127991421494702173e+01, 1.306638648974529637e+01, 1.210778889661491853e+01
2.016000000000000000e+03, 1.773718703087392257e+01, 2.288464063490015121e+01, 1.190024480835768372e+01, 6.812828468270742732e+00, 7.468749940323238690e+00, 1.358448425190697684e+01, 9.381060088609778802e+00, 8.013499466858569065e+00, 1.347410944322536253e+01, 7.106403664191874192e+00, 8.301717604788199978e+00, 1.747802078756194533e+01, 1.318628245428849866e+01, 1.204446672805274865e+01, 1.370575103507320236e+01, 1.293503151350034486e+01
2.017000000000000000e+03, 1.789738849891114825e+01, 2.260031806179182112e+01, 1.096623806758398700e+01, 6.813273886191841378e+00, 7.352467744640555303e+00, 1.344052696101585909e+01, 1.010806340969956452e+01, 7.434691194183984386e+00, 1.329890421776894804e+01, 7.493536271976590335e+00, 8.488616455446964082e+00, 1.765784520315325423e+01, 1.295721420362537479e+01, 1.236868966537537773e+01, 1.467726161311547983e+01, 1.257664823558591216e+01
2.018000000000000000e+03, 1.797831340938375178e+01, 2.185161099616097857e+01, 1.139684889303010706e+01, 6.886519920628241920e+00, 7.526345923520038284e+00, 1.326721231477459284e+01, 1.016163919626596623e+01, 6.488877352438308321e+00, 1.386835430552839199e+01, 7.743532232905352863e+00, 8.155227642427677281e+00, 1.779984505998303490e+01, 1.301584949302540473e+01, 1.223913417747896837e+01, 1.438919366886246820e+01, 1.235215843765228882e+01
2.019000000000000000e+03, 1.798248123597651471e+01, 2.275908158591137465e+01, 1.176430552066939228e+01, 6.815530058003202996e+00, 7.603605721819133301e+00, 1.438280536762869311e+01, 1.045307810012250016e+01, 7.903337072715976852e+00, 1.377589750170159810e+01, 7.150714894792915999e+00, 9.070378935735288195e+00, 1.710694817836846227e+01, 1.257393945183525297e+01, 1.185886246553564227e+01, 1.479987866178503531e+01, 1.313041802035067640e+01
2.020000000000000000e+03, 1.867719788560760108e+01, 2.202362802891106597e+01, 1.141353116617788466e+01, 6.703060181917674498e+00, 7.454202628153147714e+00, 1.375967722065289855e+01, 1.011567036023409294e+01, 8.240426673712622829e+00, 1.392936902444736091e+01, 7.542552774154937190e+00, 8.501916766192895381e+00, 1.717980335219654719e+01, 1.282223106223369058e+01, 1.070748877750701133e+01, 1.408151172780281790e+01, 1.217226337320542839e+01
2.021000000000000000e+03, 1.834842853628146742e+01, 2.304185446708994789e+01, 1.124649929898783007e+01, 7.009414635718010267e+00, 7.535736608125337632e+00, 1.323967591271753896e+01, 1.001771597355277876e+01, 7.485803044609381729e+00, 1.343831127819514570e+01, 7.631449330359203032e+00, 8.912404165091318831e+00, 1.809077565925611353e+01, 1.328491608207595398e+01, 1.085960960531375896e+01, 1.448085807395530544e+01, 1.315173652807045812e+01
2.022000000000000000e+03, 1.935304935550990990e+01, 2.326356485234391869e+01, 1.142440938486256385e+01, 6.560261412506051215e+00, 7.615539782297214622e+00, 1.349217947364411430e+01, 1.044546946053339731e+01, 5.536809068396736144e+00, 1.466182108965931619e+01, 7.809568045752848242e+00, 8.544135365111280578e+00, 1.955337640045569358e+01, 1.315294238297132345e+01, 1.191517558879852601e+01, 1.438111825509078479e+01, 1.136593739737718600e+01
2.023000000000000000e+03, 1.866164784996163917e+01, 2.275025803629552357e+01, 1.142903779181049728e+01, 6.802549123266039111e+00, 7.533380141446614608e+00, 1.408879918039825441e+01, 1.033524381254747837e+01, 6.611212076081334210e+00, 1.436214570444762018e+01, 7.550691044601291146e+00, 8.928062180802234238e+00, 1.845111963486963091e+01, 1.305328654176059722e+01, 1.187839310893691014e+01, 1.454883749204472565e+01, 1.312186245205777801e+01
2.024000000000000000e+03, 1.787664005261265032e+01, 2.290130476276360127e+01, 1.104490088894348432e+01, 6.762325966718361059e+00, 7.462342722365276515e+00, 1.363863234631031851e+01, 1.059244743413786338e+01, 5.807341936167395247e+00, 1.432693403484832295e+01, 7.277908768926614869e+00, 9.009286364783410050e+00, 1.730356790275042655e+01, 1.282951389801383968e+01, 1.191839069246281113e+01, 1.448383584896333964e+01, 1.268748958352559875e+01
2.025000000000000000e+03, 1.771246111473868723e+01, 2.305185420244930228e+01, 1.145908267420394999e+01, 7.297828589717594738e+00, 7.659710306185054662e+00, 1.325524481501866347e+01, 9.433966625109777127e+00, 7.618816953579995221e+00, 1.456449762183263452e+01, 7.704017587329117234e+00, 9.223161952882788839e+00, 1.904091929191081078e+01, 1.299914143475210615e+01, 1.138877981654881388e+01, 1.453824271700838722e+01, 1.247249104879630544e+01
2.026000000000000000e+03, 1.790001505536652715e+01, 2.310199629673584454e+01, 1.120655874957549436e+01, 6.730062417156565502e+00, 7.828826254641946036e+00, 1.485462211386591136e+01, 1.049448483027985901e+01, 7.165279648946513369e+00, 1.397728480869728962e+01, 7.530909318359569227e+00, 8.480483458036191635e+00, 1.822378691744009771e+01, 1.323357216918421031e+01, 1.163848446070054088e+01, 1.433190867728820450e+01, 1.272421863685844734e+01
2.027000000000000000e+03, 1.887263136928273966e+01, 2.260226278735948213e+01, 1.152699326837671379e+01, 6.893177565697766518e+00, 7.773260054123960927e+00, 1.361545731472529219e+01, 1.096628001795354734e+01, 6.853675841419216042e+00, 1.390573409769120161e+01, 7.825429055973712522e+00, 8.535268624610926835e+00, 1.751796583663234230e+01, 1.335916938363298634e+01, 1.139330248111069466e+01, 1.572377661648165414e+01, 1.234697663848869453e+01
2.028000000000000000e+03, 1.899143003831201071e+01, 2.326958737075815620e+01, 1.179264159846589877e+01, 6.468021178183367859e+00, 7.762108937410907572e+00, 1.358951685884062854e+01, 1.023970354020717188e+01, 7.138732715445379462e+00, 1.465048170284637230e+01, 7.655597585931667837e+00, 8.823943947363577678e+00, 1.698213984052373604e+01, 1.351650775907764235e+01, 1.141777386310479159e+01, 1.571329185769638670e+01, 1.245860119747914041e+01
2.029000000000000000e+03, 1.884904299584957954e+01, 2.379878406210045938e+01, 1.183220040325908151e+01, 6.692554838983919119e+00, 7.551991938629618595e+00, 1.299276767387952880e+01, 1.023940682885759479e+01, 7.219292065623664101e+00, 1.475058695288840482e+01, 7.479055511525494637e+00, 8.794951915006635090e+00, 1.753701950778829399e+01, 1.292303667335827733e+01, 1.165585097329887709e+01, 1.536747008041564833e+01, 1.241494882172701253e+01
2.030000000000000000e+03, 1.882741630137117284e+01, 2.356096983916049936e+01, 1.220746326649793900e+01, 7.084533894668764376e+00, 8.001940691017425777e+00, 1.370213111387101179e+01, 1.059706745019169816e+01, 6.808415516389228372e+00, 1.399505796472706720e+01, 7.695541246252020073e+00, 9.449722770586253873e+00, 1.816997192979656717e+01, 1.330675949334942132e+01, 1.154672750741742071e+01, 1.344339334567474609e+01, 1.130211552586997215e+01
