year, ACCESS-ESM1-5, UKESM1-0-LL, CNRM-ESM2-1, MPI-ESM1-2-LR, INM-CM5-0, MIROC-ES2L, CanESM5, TaiESM1, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-MM, CMCC-ESM2, GFDL-ESM4, EC-Earth3-Veg, INM-CM4-8, NorESM2-LM
2.032000000000000000e+03, 1.126506388620863275e+00, 2.009284049360289703e+00, 8.878939932830217652e-01, 1.352950067821428792e+00, 1.474147839121885850e+00, 1.352082568423148112e+00, 1.818464986610060841e+00, 1.902951829952213902e+00, 1.409128872930145215e+00, 1.162040427305090828e+00, 9.879864497540800095e-01, 1.157993359092735597e+00, 1.525935469017289492e+00, 2.236589965476020847e+00, 1.496342766084465703e+00, 9.811814051944769410e-01
2.033000000000000000e+03, 1.103418212886522642e+00, 2.022477810401488441e+00, 8.288958215544349750e-01, 1.352276239751590170e+00, 1.534913414540526100e+00, 1.353615647704347502e+00, 1.798892728791422480e+00, 1.885729746516641603e+00, 1.396016135608603381e+00, 1.164914717500313612e+00, 9.992152846459000370e-01, 1.144723464297884297e+00, 1.500416638497701127e+00, 2.237788102233418286e+00, 1.507649598629390741e+00, 1.002632385740007015e+00
2.034000000000000000e+03, 1.131605729288484907e+00, 2.011224378641738308e+00, 9.096619438967603610e-01, 1.385495971491514267e+00, 1.551915913646122247e+00, 1.346640643467187815e+00, 1.803103332115723489e+00, 1.955713089166191132e+00, 1.429525793793353206e+00, 1.189896243669626097e+00, 1.033267659370197933e+00, 1.193705781187347270e+00, 1.569064240858532910e+00, 2.434369466100987811e+00, 1.532578390224755172e+00, 9.784209171319749876e-01
2.035000000000000000e+03, 1.105220571622949510e+00, 1.966966376107324166e+00, 8.711163735580219614e-01, 1.384173159149709953e+00, 1.525354150840613210e+00, 1.348961189459074506e+00, 1.792540555745812725e+00, 1.899096592691998486e+00, 1.435089793113319967e+00, 1.218356902609488701e+00, 1.067079478468737186e+00, 1.155045595219682530e+00, 1.525377687497283974e+00, 2.145466770143892976e+00, 1.453082715917533685e+00, 9.963937116992812593e-01
2.036000000000000000e+03, 1.158783441610409248e+00, 1.985910191639493005e+00, 7.994017225450341657e-01, 1.345319336614980266e+00, 1.520799995900519619e+00, 1.363418620091052968e+00, 1.804467705146220124e+00, 1.828366903664316645e+00, 1.445657497952351989e+00, 1.202685721288100806e+00, 1.064927132631211970e+00, 1.150956218645374340e+00, 1.617044464363337042e+00, 2.133086782748410126e+00, 1.510081490676089766e+00, 1.001560323030310062e+00
2.037000000000000000e+03, 1.139545193937192336e+00, 2.008268238956955720e+00, 9.035523392201650905e-01, 1.421813979045344345e+00, 1.530638096237725509e+00, 1.350236705006195193e+00, 1.827989616335156109e+00, 1.904824856398664501e+00, 1.340102796152821796e+00, 1.194606441678711217e+00, 1.080042892048002523e+00, 1.173266174324927746e+00, 1.537697429528773752e+00, 2.197140171246658724e+00, 1.458916195337035315e+00, 1.025070802790056579e+00
2.038000000000000000e+03, 1.148985216688699129e+00, 2.002922006268522459e+00, 8.835295624790352464e-01, 1.442266788652061704e+00, 1.565450429367274632e+00, 1.339036121269904678e+00, 1.820495449019648326e+00, 1.984740687131139492e+00, 1.415379464358255124e+00, 1.181364205264282985e+00, 1.051754896748152923e+00, 1.235148790772320204e+00, 1.603714873483195857e+00, 2.211271885391578262e+00, 1.488419871767157288e+00, 9.867587666025823268e-01
2.039000000000000000e+03, 1.127458470444591576e+00, 2.023239609938147776e+00, 7.899172689763358512e-01, 1.354041227445695661e+00, 1.543026983198252600e+00, 1.328784883090377456e+00, 1.772893757719402608e+00, 1.843141845467532125e+00, 1.404573880110512762e+00, 1.185651994044475854e+00, 1.030692602968859006e+00, 1.182476655602329618e+00, 1.537761943047619040e+00, 2.240068358290304928e+00, 1.481247004560510394e+00, 1.009224862683976376e+00
2.040000000000000000e+03, 1.134735640534177303e+00, 2.030916136285032536e+00, 8.562487950319632724e-01, 1.409283984584089211e+00, 1.537186538863515972e+00, 1.345858985777567574e+00, 1.792377511548889357e+00, 1.901907241313530061e+00, 1.445191521530452938e+00, 1.230397066082395074e+00, 1.037769640429456741e+00, 1.135594291316137205e+00, 1.622768679238759670e+00, 2.309372835293341364e+00, 1.466414340840052732e+00, 9.895938859748305561e-01
2.041000000000000000e+03, 1.119610565469075780e+00, 2.047713054718658388e+00, 7.857105009855213096e-01, 1.408986699590789371e+00, 1.558721851547276938e+00, 1.366837085216082714e+00, 1.778476055613323670e+00, 1.935825512084534905e+00, 1.446700149425224291e+00, 1.237278168308499460e+00, 1.073791013504085123e+00, 1.176865267032347395e+00, 1.620522537740930913e+00, 2.234636701213863486e+00, 1.468545165409693709e+00, 9.832486495187739983e-01
