year, ACCESS-ESM1-5, CMCC-ESM2, CNRM-ESM2-1, GFDL-ESM4, IPSL-CM6A-LR, MIROC-ES2L, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR
2.038000000000000000e+03, 2.050322232595157929e-11, 3.774334280849433165e-11, 1.854723671947838217e-11, 1.908920320053406750e-09, 1.301912590791073831e-09, 1.050488559619304345e-09, 3.542939126645472962e-10, 2.951773608398335791e-12, 7.096547338795387011e-10
2.039000000000000000e+03, 1.954010628929299143e-11, 3.763293162277756462e-11, 1.873197523629309138e-11, 1.976000505736265064e-09, 1.299366007166367537e-09, 1.048684891309718500e-09, 3.608292289350510420e-10, 2.818036496905040301e-12, 7.051236425390890237e-10
2.040000000000000000e+03, 1.871348051861400517e-11, 3.750987455123054929e-11, 1.892838001454676732e-11, 1.872215395646055597e-09, 1.302270175700741037e-09, 1.038629540988466127e-09, 3.458021183580465034e-10, 2.680249735506925141e-12, 6.929110002103534227e-10
2.041000000000000000e+03, 2.014023633129614755e-11, 3.739231948002813534e-11, 1.881817844472148870e-11, 1.994862166834114089e-09, 1.345811487547646003e-09, 1.046461091056287949e-09, 3.473152416758157451e-10, 2.602243791609645119e-12, 7.077869561909518720e-10
2.042000000000000000e+03, 2.050779081581190623e-11, 3.734973974895879186e-11, 1.825914226513372265e-11, 1.976942269825005784e-09, 1.298928389373198353e-09, 1.051080412023163031e-09, 3.308555024195786641e-10, 2.542179608686795277e-12, 7.081545277237681091e-10
2.043000000000000000e+03, 2.039276724215377162e-11, 3.736307340325404229e-11, 1.759756205374731797e-11, 1.826400565801529074e-09, 1.322980910810715413e-09, 1.050729825723327359e-09, 3.582084213358510801e-10, 2.502204281996763378e-12, 7.001281384659706280e-10
2.044000000000000000e+03, 2.013121216680230919e-11, 3.739800550753428124e-11, 1.641463943160214538e-11, 1.810873623033222264e-09, 1.293835511044556653e-09, 1.047987141744166255e-09, 3.570874025782013073e-10, 2.454055807005304301e-12, 6.988639721760117264e-10
2.045000000000000000e+03, 1.996478792246762715e-11, 3.747743593507648962e-11, 1.546212251651273009e-11, 1.816834043242298220e-09, 1.307885146609480579e-09, 1.053625287964512948e-09, 3.549977182411795549e-10, 2.410770411180222904e-12, 7.057071998895761165e-10
2.046000000000000000e+03, 1.803686869946707770e-11, 3.765938283473196473e-11, 1.461155557206596034e-11, 1.863989517085705621e-09, 1.346729796365380899e-09, 1.058117970121390116e-09, 3.694034141897704369e-10, 2.455551213048202910e-12, 7.060489382929423966e-10
2.047000000000000000e+03, 1.690945439704059467e-11, 3.789556194339052161e-11, 1.409448555636891218e-11, 1.898036984544937240e-09, 1.384793505556023707e-09, 1.060202080400116444e-09, 3.717624805370273682e-10, 2.538016260233438271e-12, 7.196286819275251513e-10
2.048000000000000000e+03, 1.623367237656368114e-11, 3.811875962000250151e-11, 1.347822932864759471e-11, 1.892221423946803396e-09, 1.323397315188825205e-09, 1.055252772447537668e-09, 3.431563933560271299e-10, 2.579271511519058143e-12, 7.012229788921740898e-10
2.049000000000000000e+03, 1.572384999067184010e-11, 3.829196552718424866e-11, 1.271726400054447847e-11, 1.702283648677881828e-09, 1.325114016392475828e-09, 1.053401431043145541e-09, 3.508261591739159947e-10, 2.602417824755909511e-12, 6.978582310002591411e-10
2.050000000000000000e+03, 1.531588052263618707e-11, 3.833694999213445965e-11, 1.137644494960216325e-11, 1.735215840158834403e-09, 1.372275492495299620e-09, 1.051615707672380397e-09, 3.764968489771078563e-10, 2.563289040856989657e-12, 6.941464521662112123e-10
2.051000000000000000e+03, 1.646041713059757140e-11, 3.819197439154601562e-11, 1.085715745499380800e-11, 1.841927706326218552e-09, 1.441341535301937283e-09, 1.055158981564854192e-09, 3.517750947579517708e-10, 2.321688858745752867e-12, 6.776324121714908132e-10
2.052000000000000000e+03, 1.681844833466201394e-11, 3.797114088412588243e-11, 1.017406614112297907e-11, 1.884845780635257732e-09, 1.359819427201720892e-09, 1.057138065750889016e-09, 3.519393968752109731e-10, 2.267614103570987386e-12, 7.087547716620469826e-10
2.053000000000000000e+03, 1.676397817703809102e-11, 3.779612027782263597e-11, 9.318777053850423884e-12, 1.960580679035945394e-09, 1.351564536025341729e-09, 1.063408135854090883e-09, 3.531482407685679209e-10, 2.308263129351835460e-12, 7.243871319132979696e-10
2.054000000000000000e+03, 1.659537524052195815e-11, 3.768612352134135934e-11, 8.319403342330890056e-12, 1.691035405765832853e-09, 1.369223870888159360e-09, 1.068202747444270133e-09, 3.714124306075596432e-10, 2.316672512718710814e-12, 7.365099138783385471e-10
2.055000000000000000e+03, 1.602427287174880415e-11, 3.767198170889177251e-11, 7.674994829041911186e-12, 1.674819836702196048e-09, 1.425764125761854766e-09, 1.079296417030137218e-09, 3.804054570847166743e-10, 2.292225162710020524e-12, 7.554960129751900303e-10
2.056000000000000000e+03, 1.517624788924591380e-11, 3.771832785462281766e-11, 7.330174274697628429e-12, 1.705291926875051984e-09, 1.363236210006884635e-09, 1.084919900560685541e-09, 3.794576528990214709e-10, 2.212678009523381561e-12, 7.347655599398918953e-10
2.057000000000000000e+03, 1.473840973977467141e-11, 3.777268294244529670e-11, 7.655777396113144170e-12, 1.861361407685406522e-09, 1.331972967615671218e-09, 1.096428977555566635e-09, 3.693253036694916460e-10, 2.259766623690500231e-12, 7.415473758394623619e-10
2.058000000000000000e+03, 1.440020854706898007e-11, 3.785057523681902370e-11, 7.942130380085485424e-12, 1.825971806210005310e-09, 1.390154864031375496e-09, 1.106429098788956501e-09, 3.768703797150658502e-10, 2.260003700914010119e-12, 7.440035351163045358e-10
2.059000000000000000e+03, 1.420845405096964917e-11, 3.795760037383980079e-11, 8.164213566063618117e-12, 1.816127097153636481e-09, 1.377156791849712540e-09, 1.111468843451074124e-09, 3.718787342029505911e-10, 2.424827239986512493e-12, 7.771398538818492411e-10
2.060000000000000000e+03, 1.408586322373179052e-11, 3.797226475191055085e-11, 8.367402690971124103e-12, 1.877958231289803053e-09, 1.389301026648195696e-09, 1.098397819349899379e-09, 3.911682040729344036e-10, 4.327779129768844323e-12, 7.493069282652449299e-10
2.061000000000000000e+03, 1.502632291240467087e-11, 3.788362491742252850e-11, 9.024192891126769147e-12, 1.829928587602449082e-09, 1.452688458852944344e-09, 1.097975870743878328e-09, 3.748496575928929799e-10, 3.205365179118653585e-12, 7.087717676440223694e-10
2.062000000000000000e+03, 1.554832722121770076e-11, 3.777792356916902159e-11, 9.543183467430101983e-12, 1.720539555736165846e-09, 1.415861639333847025e-09, 1.100275507798025466e-09, 4.019187373601824412e-10, 2.339596061633256886e-12, 7.039621734035901051e-10
2.063000000000000000e+03, 1.562352459235734458e-11, 3.768062078597433432e-11, 1.000044364983145088e-11, 1.750236956180017323e-09, 1.394154146291556445e-09, 1.104731221931038070e-09, 3.969804228905590942e-10, 2.033779255605161436e-12, 7.400343416762963752e-10
2.064000000000000000e+03, 1.599456597934965925e-11, 3.761794462078858459e-11, 1.048647408533245053e-11, 1.687773890723032384e-09, 1.448429944158131756e-09, 1.100713253550536934e-09, 4.151285784233032018e-10, 1.896015311108748805e-12, 7.595245428631564838e-10
2.065000000000000000e+03, 1.625410423896432941e-11, 3.759472007045616242e-11, 1.092411368491179195e-11, 1.756037745622352342e-09, 1.492325514146694059e-09, 1.096197542118768752e-09, 4.191510559821525285e-10, 1.787295630193263005e-12, 7.574476671725362625e-10
2.066000000000000000e+03, 1.473553510991703609e-11, 3.759557412379044372e-11, 1.085344473860369982e-11, 1.671568679532616858e-09, 1.430561699985533226e-09, 1.096844885267275761e-09, 4.181177143240887031e-10, 1.598344205819844915e-12, 7.624186575933266586e-10
2.067000000000000000e+03, 1.396640503693689924e-11, 3.757276317316291158e-11, 1.054591236993465935e-11, 1.791921881727965050e-09, 1.451436412611620371e-09, 1.097490591573609624e-09, 4.097350970393067748e-10, 1.493634455818541619e-12, 7.551297552101454430e-10
2.068000000000000000e+03, 1.352370306839627949e-11, 3.752001108365920857e-11, 1.028370160651859521e-11, 1.872579992840107177e-09, 1.425827516694876553e-09, 1.089807132467492608e-09, 4.289005786441213531e-10, 1.439831704647475404e-12, 7.429820014851316205e-10
2.069000000000000000e+03, 1.320926653930834520e-11, 3.744514662206344048e-11, 9.974133313619094513e-12, 1.637828773730011140e-09, 1.549430333706770566e-09, 1.089427791162896940e-09, 4.068155061576343368e-10, 1.428232324951820358e-12, 7.406658964618801241e-10
2.070000000000000000e+03, 1.287947672411142798e-11, 3.731876566296290575e-11, 9.593667735560431667e-12, 1.572195270628513575e-09, 1.537033728357948759e-09, 1.123486760911366977e-09, 4.148468671720568778e-10, 1.368716931099747058e-12, 7.476927057749480693e-10
2.071000000000000000e+03, 1.596558271338995411e-11, 3.719191208583692793e-11, 9.251172977530093210e-12, 1.627932917304813501e-09, 1.591754066082996786e-09, 1.134348777837549143e-09, 4.243470210961298574e-10, 1.309202107063351913e-12, 7.552500978183547511e-10
2.072000000000000000e+03, 1.588871589584976812e-11, 3.712216450996021342e-11, 9.248945119240583428e-12, 1.629452219826729813e-09, 1.527800544942227313e-09, 1.143801661659301222e-09, 4.002834529040609391e-10, 1.289303282266491120e-12, 7.645571805460992070e-10
2.073000000000000000e+03, 1.535290475907174679e-11, 3.705721320086720154e-11, 9.145126929497440031e-12, 1.780997682020455603e-09, 1.530802508362863923e-09, 1.154929759406181956e-09, 4.133862709849389857e-10, 1.282529440590018064e-12, 7.490106154172557825e-10
2.074000000000000000e+03, 1.566184334528713538e-11, 3.697715847544709744e-11, 9.081402974717069251e-12, 1.611728777539341909e-09, 1.569387614502199109e-09, 1.154678160206445939e-09, 4.277273074121187605e-10, 1.355916997980675447e-12, 7.526378569096920869e-10
2.075000000000000000e+03, 1.618895256699761390e-11, 3.698457903783849637e-11, 8.950180806970321235e-12, 1.653323338694619890e-09, 1.598679622329079906e-09, 1.188318611052143856e-09, 4.425871422960015010e-10, 1.398794294932118840e-12, 7.849981148194796777e-10
2.076000000000000000e+03, 1.459675393247695283e-11, 3.705806050252646244e-11, 9.011793659134705351e-12, 1.631472163902055235e-09, 1.575371888959090654e-09, 1.199107831521758237e-09, 4.332807502229604938e-10, 1.442773191728970316e-12, 7.992162224410882301e-10
2.077000000000000000e+03, 1.376059986120183017e-11, 3.710174694518060196e-11, 1.003085646007800013e-11, 1.711068804666953633e-09, 1.575164441636659866e-09, 1.207258124967315662e-09, 4.166945410225085040e-10, 2.804336665827629905e-12, 8.127743754205375122e-10
2.078000000000000000e+03, 1.328514535780442397e-11, 3.713232265747466914e-11, 1.117764921759226772e-11, 1.583065411346869466e-09, 1.600512123843360321e-09, 1.212262594006796783e-09, 4.277226058905996409e-10, 6.220014819252109561e-12, 7.968314476161936616e-10
2.079000000000000000e+03, 1.304897864178329310e-11, 3.716077699092041989e-11, 1.239535686495220440e-11, 1.609611931433379203e-09, 1.684618179332702728e-09, 1.216366491583721331e-09, 4.552323620339008030e-10, 9.459733429006018823e-12, 7.886781541260470400e-10
2.080000000000000000e+03, 1.286343978912574458e-11, 3.725865770279056466e-11, 1.398044844832374452e-11, 1.625850813033942579e-09, 1.713454994066159547e-09, 1.196065134341773847e-09, 4.778769169368307039e-10, 1.064416389813693681e-11, 7.800209646637214249e-10
2.081000000000000000e+03, 1.434328518872710064e-11, 3.733796391924539860e-11, 1.554436871725447745e-11, 1.668921276216809622e-09, 1.657782074131826464e-09, 1.193350328767283795e-09, 4.385900553069929047e-10, 8.244981514064875406e-12, 8.068596673185239777e-10
2.082000000000000000e+03, 1.494507329426394526e-11, 3.734303060799712583e-11, 1.757946709571285370e-11, 1.631471973542034987e-09, 1.686402687333789550e-09, 1.197629950334342799e-09, 4.481843623630754926e-10, 7.252836573782765826e-12, 8.206025817385354911e-10
2.083000000000000000e+03, 1.527002268911593442e-11, 3.733479775254889963e-11, 1.953828677343525065e-11, 1.609061143479284958e-09, 1.664886243277910414e-09, 1.202673706195374220e-09, 4.687638459525119252e-10, 7.599863316017817982e-12, 8.239646959371102727e-10
2.084000000000000000e+03, 1.541813330218060172e-11, 3.731500730124050294e-11, 2.157962126725407074e-11, 1.571070877179521139e-09, 1.667973621446010534e-09, 1.203343797010302991e-09, 5.029284532045445957e-10, 7.640289580434430120e-12, 8.219005640738694155e-10
2.085000000000000000e+03, 1.535461584099529679e-11, 3.713020125370141692e-11, 2.330436710648646312e-11, 1.611540682108359645e-09, 1.702945226569092682e-09, 1.140368434096705557e-09, 4.942086940702484436e-10, 6.444554975735703730e-12, 7.954120710744613605e-10
2.086000000000000000e+03, 2.334392855263145039e-11, 3.680130499795453943e-11, 2.370099969156560271e-11, 1.778371935115979995e-09, 1.710711317045584511e-09, 1.124118850578234907e-09, 5.001348938924458962e-10, 4.426549908987248590e-12, 7.733756537197122351e-10
2.087000000000000000e+03, 1.730093862487141785e-11, 3.652469109505891797e-11, 2.278685861614364670e-11, 1.588310285475850326e-09, 1.806934728495472475e-09, 1.120349501541747005e-09, 4.812179688800204803e-10, 3.909107878811185070e-12, 7.737456728291746085e-10
2.088000000000000000e+03, 1.516638395624125473e-11, 3.629426755117200628e-11, 2.192752061540302934e-11, 1.650132635759510849e-09, 1.784243314773513414e-09, 1.114088930853179536e-09, 4.649757681738210129e-10, 3.710669462415456399e-12, 7.750086285145678664e-10
2.089000000000000000e+03, 1.407343088949077155e-11, 3.606707434866385512e-11, 2.070004538311658838e-11, 1.737258655779434467e-09, 1.715559715523550207e-09, 1.100656779531254665e-09, 4.532584000895622580e-10, 3.598600591912719752e-12, 7.676484849968016071e-10
2.090000000000000000e+03, 1.353980208949204975e-11, 3.579339027010573365e-11, 1.928671545153969113e-11, 1.649209207454073661e-09, 1.752074087169972502e-09, 1.085582742708588330e-09, 4.778694733618082566e-10, 3.401731629075471233e-12, 7.548710089241600562e-10
2.091000000000000000e+03, 1.258158236390907990e-11, 3.549901216246589642e-11, 1.743068349218128387e-11, 1.636933414257021685e-09, 1.728166792227303544e-09, 1.079693904767125233e-09, 5.022822782474303809e-10, 2.592589791467317193e-12, 7.387679269535785957e-10
2.092000000000000000e+03, 1.217070943031635282e-11, 3.521715683508771147e-11, 1.527858818151961260e-11, 1.685270633702989845e-09, 1.612640885484307878e-09, 1.067730025184692474e-09, 4.718395786297413871e-10, 2.210225912446866598e-12, 7.295163236230474900e-10
2.093000000000000000e+03, 1.206726587966600565e-11, 3.494987602574352050e-11, 1.311425734776071625e-11, 1.708113232044282920e-09, 1.709601893395411716e-09, 1.054944631664865826e-09, 4.818829764751521440e-10, 2.078672503444074620e-12, 7.423822234322618117e-10
2.094000000000000000e+03, 1.188774980188320308e-11, 3.469652362489926424e-11, 1.124614900105307193e-11, 1.591425944983096754e-09, 1.674944537882482739e-09, 1.047370239362621880e-09, 5.046950904607376063e-10, 2.021339428719671695e-12, 7.395383567321113688e-10
2.095000000000000000e+03, 1.155717756715959769e-11, 3.444128277653053053e-11, 9.799851746544880608e-12, 1.696810920300509153e-09, 1.682303912466932295e-09, 1.026600607220801747e-09, 4.833185099542300520e-10, 1.984810484213641093e-12, 7.338452464300817673e-10
2.096000000000000000e+03, 1.142409568282229414e-11, 3.421271354747519432e-11, 9.435656288619901254e-12, 1.619070090351785709e-09, 1.575514677655853311e-09, 1.015576143383469688e-09, 4.866214763803960858e-10, 2.020094068521868448e-12, 7.503366313552236579e-10
2.097000000000000000e+03, 1.111020431803719117e-11, 3.403855822289740715e-11, 8.697556122584374252e-12, 1.625880322225106286e-09, 1.689850786855921766e-09, 1.004510967043408603e-09, 4.551533348397926858e-10, 2.184271221612406446e-12, 7.540573238617791646e-10
2.098000000000000000e+03, 1.097194594011063330e-11, 3.392099926698626144e-11, 8.028854270413681451e-12, 1.639849841791804924e-09, 1.610294779309201848e-09, 9.878063277714868310e-10, 4.471809250535009933e-10, 2.321077055660507150e-12, 7.241748579654213090e-10
2.099000000000000000e+03, 1.076428071864583468e-11, 3.383794768930655549e-11, 7.472441082716500383e-12, 1.616105654871697148e-09, 1.585944553301047463e-09, 9.736311239499794369e-10, 4.863153594088784756e-10, 2.485854280806153182e-12, 7.181931462420161648e-10
2.100000000000000000e+03, 1.085772008232889772e-11, 3.029363457057727999e-11, 6.873405538729640069e-12, 1.601227397571886854e-09, 1.477392028704935374e-09, 9.659337204222372594e-10, 4.375005872565677974e-10, 2.466014458538725409e-12, 6.869701413680787299e-10
