year, INM-CM5-0, CESM2-WACCM, UKESM1-0-LL, CMCC-CM2-SR5, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4, MIROC-ES2L, EC-Earth3-Veg, CanESM5, TaiESM1, INM-CM4-8, ACCESS-ESM1-5, IPSL-CM6A-LR, NorESM2-LM, MPI-ESM1-2-LR
2.057000000000000000e+03, 4.062662642481251396e+01, 2.391397400597519862e+01, 2.516459943122488951e+01, 1.983205154577400009e+01, 1.620203295188915860e+01, 2.252355531093642682e+01, 2.643683100867059466e+01, 2.629983573717684564e+01, 2.988124481189559845e+01, 4.198115362959583763e+01, 3.109360803149309405e+01, 4.047045086175173623e+01, 3.159550166680665839e+01, 3.067844929718465607e+01, 2.100484589963902238e+01, 3.405197231648306655e+01
2.058000000000000000e+03, 4.229176129522910088e+01, 2.544234927851832495e+01, 2.423208603870788025e+01, 1.906468101278795402e+01, 1.760980491581872087e+01, 2.179188287113061762e+01, 2.653533617784549037e+01, 2.651217287065076178e+01, 2.927233402101788329e+01, 4.119881714231225800e+01, 3.141712850850758798e+01, 3.979843891200368944e+01, 3.072522182484030751e+01, 3.225812906036973970e+01, 2.043719122685217826e+01, 3.581595448794237058e+01
2.059000000000000000e+03, 4.090831709616416845e+01, 2.486577556962667046e+01, 2.814784236875256340e+01, 1.980853574358808800e+01, 1.856203070948413725e+01, 2.252330052487143064e+01, 2.700848367958988305e+01, 2.649323733403659276e+01, 2.940148142044937174e+01, 4.212035251298878791e+01, 3.338801750509447430e+01, 3.813959595147537129e+01, 3.120277762959086587e+01, 3.104405037347412488e+01, 2.110212509322590790e+01, 3.565905664171305745e+01
2.060000000000000000e+03, 4.003738508163777965e+01, 2.523799032448316382e+01, 2.639962702295992969e+01, 2.085025080966696009e+01, 1.872332773175357801e+01, 2.308517216112288750e+01, 2.631571126756689338e+01, 2.660078220656857795e+01, 2.903886881706812062e+01, 4.183520717188466875e+01, 2.982804129935580661e+01, 3.972488897003644581e+01, 3.184984344556190194e+01, 3.219120406595418160e+01, 2.059919848119593766e+01, 3.138211906857485545e+01
2.061000000000000000e+03, 4.214509735513606614e+01, 2.535264110598582832e+01, 2.412206850525242530e+01, 2.056410384494818189e+01, 1.711897287845916082e+01, 2.220729632956595623e+01, 2.507058473742117854e+01, 2.641260006890960810e+01, 2.928222770399621311e+01, 4.199392973383943684e+01, 2.998510394026872561e+01, 3.968461414135606447e+01, 2.992747732679667294e+01, 3.223490807138050940e+01, 2.036801503628202425e+01, 3.068875220973079365e+01
2.062000000000000000e+03, 4.342732480379961402e+01, 2.553041988620771363e+01, 2.281322314021993591e+01, 2.067182060494463158e+01, 1.715396030323939414e+01, 2.270074605683561231e+01, 2.612554221070314853e+01, 2.694157032982676370e+01, 2.970212456750238417e+01, 4.186712641242581157e+01, 3.224992943021180025e+01, 4.001411362190282262e+01, 2.966813719739142385e+01, 3.163138325961189423e+01, 2.059689117686259863e+01, 3.497682970970427618e+01
2.063000000000000000e+03, 4.131111620607997281e+01, 2.412429685785729561e+01, 2.522508863093384335e+01, 1.970740185152954638e+01, 1.781296362877098005e+01, 2.178457183273520315e+01, 2.555300488421979921e+01, 2.662828542301795309e+01, 2.893986044444084271e+01, 4.109071905398386093e+01, 3.022716290984282139e+01, 4.092385487467820582e+01, 3.013174684897572320e+01, 3.158859693164678006e+01, 2.046149451016095000e+01, 3.555333931425073501e+01
2.064000000000000000e+03, 4.070346998555331908e+01, 2.479949781028834721e+01, 2.531241479670127958e+01, 1.939016849657667052e+01, 1.838073505987025058e+01, 2.284506768432703439e+01, 2.604039600975398372e+01, 2.594422071152240505e+01, 2.914550252583691758e+01, 4.229428944060222761e+01, 3.010068800208846795e+01, 4.076265429922741390e+01, 2.840593754570505425e+01, 3.165409826512332714e+01, 2.125270012701226818e+01, 3.664495415098074460e+01
2.065000000000000000e+03, 4.235692270697047235e+01, 2.579055251647915981e+01, 2.605791010684060183e+01, 2.062424414042010312e+01, 1.964339982768317938e+01, 2.325463052621003257e+01, 2.580689064706916369e+01, 2.585131990184806128e+01, 3.035280746595878298e+01, 4.192709373425874730e+01, 3.227867283449727154e+01, 4.006441085385770862e+01, 3.006731489143278324e+01, 3.313236641784995840e+01, 2.059433907013746534e+01, 3.572918167358216834e+01
2.066000000000000000e+03, 4.040776393870835648e+01, 2.571204281263441160e+01, 2.527270557659965178e+01, 2.129367891673122415e+01, 1.713601733168269448e+01, 2.266438168211572801e+01, 2.716557221722798587e+01, 2.651463399971666135e+01, 2.893054024705856619e+01, 4.152520343430679617e+01, 3.188205095195055350e+01, 4.031288395868139673e+01, 2.944514317306234830e+01, 3.103682522404939803e+01, 2.128591626819361693e+01, 3.508442002653068670e+01
2.067000000000000000e+03, 4.141104509351603724e+01, 2.558140653820569810e+01, 2.609849094354181531e+01, 2.035454546103998652e+01, 1.733898310636055484e+01, 2.291098423051614574e+01, 2.785949314863485782e+01, 2.676675037529555112e+01, 3.058596417777781085e+01, 4.185623181681311422e+01, 2.806193594784393497e+01, 3.814889635212134777e+01, 2.926942889539618875e+01, 3.181794783198159848e+01, 2.172072662497825490e+01, 3.522483971032406203e+01
2.068000000000000000e+03, 4.438426795209971942e+01, 2.529862310186960173e+01, 2.582750145429535493e+01, 1.965381917374818599e+01, 1.802299002589796117e+01, 2.284757052981888137e+01, 2.453622499969294068e+01, 2.639874777945126638e+01, 2.979721899926866158e+01, 4.159561044660139117e+01, 2.992679004746489113e+01, 3.889518771315564294e+01, 2.992724047031223478e+01, 3.179952488857147586e+01, 2.143014430039468010e+01, 3.411351789901733156e+01
2.069000000000000000e+03, 4.329733121904856574e+01, 2.479559123333855553e+01, 2.388682727066187539e+01, 1.959216738315153705e+01, 1.762981868451322853e+01, 2.251907618095236430e+01, 2.479006960566201911e+01, 2.627949320845105063e+01, 3.005624700830831131e+01, 4.125707527304167144e+01, 3.339413290849705618e+01, 3.957525694156552731e+01, 2.878100820894631084e+01, 3.214202681270701589e+01, 2.056044900036746625e+01, 3.418674382244115151e+01
2.070000000000000000e+03, 4.205420529640520044e+01, 2.415448216112388380e+01, 2.572220190054317968e+01, 2.030654557680491834e+01, 2.147573449771989829e+01, 2.253079045653207757e+01, 2.549215971810136949e+01, 2.665996454533557625e+01, 2.844855471472022401e+01, 4.169493912723697804e+01, 3.188235623243387451e+01, 3.824809875860407260e+01, 3.027750278069094847e+01, 3.302397731362644606e+01, 1.923862559794500271e+01, 3.546290654834862721e+01
2.071000000000000000e+03, 4.038650311941263737e+01, 2.412452943000669237e+01, 2.526547199186558146e+01, 1.982032468924763435e+01, 1.471305189202035812e+01, 2.207898882187791045e+01, 2.527986056729065467e+01, 2.689738462558843324e+01, 3.012904068184774076e+01, 4.180068672520783934e+01, 2.939778667216293329e+01, 3.762321605219081277e+01, 3.149972551618866845e+01, 3.318717526227852233e+01, 2.024538790005517086e+01, 3.535822745251464738e+01
2.072000000000000000e+03, 4.115262869619612474e+01, 2.521946727374938035e+01, 2.443398614282743964e+01, 2.052249490661442621e+01, 1.786941572635078046e+01, 2.220661219072076165e+01, 2.694121211852807107e+01, 2.718931727041446322e+01, 2.918711497488954976e+01, 4.108711158174470057e+01, 3.048097476101643721e+01, 3.935866425959360981e+01, 3.224862755668637249e+01, 3.128669495306837334e+01, 2.073564268944436151e+01, 3.581316168234948805e+01
2.073000000000000000e+03, 4.055588852346988915e+01, 2.498501490736842712e+01, 2.499118364517845237e+01, 2.070921142293605044e+01, 1.807968775661063887e+01, 2.322265822903685617e+01, 2.570469819292907587e+01, 2.696493588463566127e+01, 3.034909121265166831e+01, 4.309856959854279523e+01, 3.238513308547154423e+01, 3.824574093361386673e+01, 3.147995139735088443e+01, 3.222361350905150346e+01, 2.097568091017128467e+01, 3.376108442200475679e+01
2.074000000000000000e+03, 4.000911921787518111e+01, 2.569167727789838551e+01, 2.543068417645946155e+01, 2.082540284316887025e+01, 1.777920055401954968e+01, 2.333617975336927231e+01, 2.599549513624716113e+01, 2.587894245148700278e+01, 2.927331596523155355e+01, 4.203580182402158272e+01, 3.007759828610317498e+01, 3.869267795832159607e+01, 2.964860779297620041e+01, 3.154341066730385990e+01, 1.982829472823268802e+01, 3.690771426263813026e+01
