year, MPI-ESM1-2-LR, MIROC-ES2L, UKESM1-0-LL, NorESM2-MM, GFDL-ESM4, TaiESM1, CanESM5, IPSL-CM6A-LR, EC-Earth3-Veg, ACCESS-ESM1-5, CNRM-ESM2-1, CMCC-CM2-SR5, NorESM2-LM, CESM2-WACCM
2.015000000000000000e+03, 8.767828094177505704e+01, 1.067922823396883842e+02, 2.373799121546448134e+02, 9.199623691106685897e+01, 1.583897578255279015e+01, 8.651558516911946128e+01, 2.372706240781708402e+02, 1.190097108092503078e+02, 1.561521661214484311e+02, 1.194536988060516336e+02, 1.350585349617650195e+02, 1.867193166738826449e+02, 9.396172779646110484e+01, 1.046274542953873379e+02
2.016000000000000000e+03, 8.778148731615090128e+01, 1.067277373571102572e+02, 2.373384851031964331e+02, 9.200569144514591358e+01, 1.584692189488205649e+01, 8.671327689287959117e+01, 2.372492763227313048e+02, 1.190908807797221982e+02, 1.561082254483796419e+02, 1.194889690076800406e+02, 1.350870205279595666e+02, 1.868029510334973224e+02, 9.399487490501694253e+01, 1.047006188732478194e+02
2.017000000000000000e+03, 8.791833334627416718e+01, 1.068267080631634514e+02, 2.375098773343583787e+02, 9.201411093724316004e+01, 1.576358237415741748e+01, 8.666881351676424572e+01, 2.372199364645830997e+02, 1.191025267347526864e+02, 1.561442648676781175e+02, 1.196119403380766641e+02, 1.351153129813598923e+02, 1.868855956753057228e+02, 9.408890911003571489e+01, 1.047247090901827278e+02
2.018000000000000000e+03, 8.798806715264326783e+01, 1.070286492895956485e+02, 2.374482791485686164e+02, 9.204565518080724473e+01, 1.570493082631452708e+01, 8.664211852341261988e+01, 2.371593568600370361e+02, 1.190994666680077643e+02, 1.561788150536300179e+02, 1.197156689028056888e+02, 1.351508616697372531e+02, 1.868955445303766112e+02, 9.413237545996172173e+01, 1.047750628455240758e+02
2.019000000000000000e+03, 8.793663167761414456e+01, 1.070673769393833794e+02, 2.376146115075582941e+02, 9.204889447329649954e+01, 1.570226641507860599e+01, 8.641575132468217646e+01, 2.371121032006967084e+02, 1.191375965614289356e+02, 1.561742256570629763e+02, 1.198025113391091878e+02, 1.350212787396312706e+02, 1.869288093976254856e+02, 9.418481605060848949e+01, 1.047831797791269821e+02
2.020000000000000000e+03, 8.799764720945252350e+01, 1.070033824387887904e+02, 2.376492802920296583e+02, 9.209480428461226609e+01, 1.559203003618094741e+01, 8.641174182432789053e+01, 2.370565502143059291e+02, 1.191747935384462664e+02, 1.561817750786016461e+02, 1.198015330656334356e+02, 1.351209433679033793e+02, 1.870937443329970051e+02, 9.425992234690687610e+01, 1.047730680039651645e+02
2.021000000000000000e+03, 8.809900847699708493e+01, 1.071077311015687883e+02, 2.376532863324846119e+02, 9.215878693850125103e+01, 1.538702834742914760e+01, 8.668950592033444025e+01, 2.371022420535378785e+02, 1.191779381022748794e+02, 1.562082010685751925e+02, 1.196210714673335644e+02, 1.351327889973530318e+02, 1.871414685010230983e+02, 9.433080403020130689e+01, 1.048109874335456055e+02
2.022000000000000000e+03, 8.838349926974588300e+01, 1.072761007626179293e+02, 2.376044434547184778e+02, 9.222311864990700769e+01, 1.528379562177539874e+01, 8.662973397634083028e+01, 2.371823748196647728e+02, 1.191661332898601842e+02, 1.562847790043344958e+02, 1.194785735271655227e+02, 1.352033711846958965e+02, 1.871746205501436577e+02, 9.436767108961537076e+01, 1.048412190618047504e+02
2.023000000000000000e+03, 8.856558222191755192e+01, 1.074186376961421558e+02, 2.373201750374142023e+02, 9.228758089701925371e+01, 1.524636662280495081e+01, 8.659670921701990665e+01, 2.372497290598469135e+02, 1.192322421755335284e+02, 1.562690003394546352e+02, 1.194971037425713547e+02, 1.352058065120254753e+02, 1.872101724405265770e+02, 9.442953468324762412e+01, 1.048903010933302369e+02
2.024000000000000000e+03, 8.866341856811521893e+01, 1.074140953371251328e+02, 2.374851444735107862e+02, 9.232794682743092096e+01, 1.511878067216644617e+01, 8.646334646719515149e+01, 2.372775061340873606e+02, 1.192484508734004862e+02, 1.562216018477112129e+02, 1.195307936178291754e+02, 1.353201496002192243e+02, 1.873494650662132699e+02, 9.448884558662248878e+01, 1.049378548067474810e+02
2.025000000000000000e+03, 8.883208477856631191e+01, 1.072919520310049109e+02, 2.375926135603871501e+02, 9.239316527127348877e+01, 1.506753340257761664e+01, 8.655431952476965307e+01, 2.373412271113345469e+02, 1.192542746250334602e+02, 1.561519248202666859e+02, 1.195429576515351897e+02, 1.351810901573400088e+02, 1.874980344497048748e+02, 9.451390025028206310e+01, 1.049332398479605359e+02
2.026000000000000000e+03, 8.898254117354812820e+01, 1.072413525251582342e+02, 2.377121507047930606e+02, 9.239491486205425019e+01, 1.502762357352364830e+01, 8.670629986312816584e+01, 2.373637584940718739e+02, 1.193145514208311795e+02, 1.561157888128853699e+02, 1.194995433566484309e+02, 1.350514739614153541e+02, 1.876023317768310505e+02, 9.456381476274887632e+01, 1.049962448625593225e+02
2.027000000000000000e+03, 8.898095057083675385e+01, 1.074541243004782700e+02, 2.375927772546879737e+02, 9.242154259244158254e+01, 1.494318742772261821e+01, 8.650243289716179618e+01, 2.373440878278432820e+02, 1.193595393209692475e+02, 1.560794370935498421e+02, 1.194364291737087029e+02, 1.350514843284530286e+02, 1.877249916769053755e+02, 9.464193402707707037e+01, 1.051297396082905351e+02
2.028000000000000000e+03, 8.913005391364487195e+01, 1.076187902497597833e+02, 2.370095415768565488e+02, 9.247261292104383301e+01, 1.499289691034958949e+01, 8.640780862488229275e+01, 2.373820745804719934e+02, 1.193790293586204854e+02, 1.561087139316777268e+02, 1.193473544135786000e+02, 1.349610077148282699e+02, 1.877841233551866651e+02, 9.472256233321988361e+01, 1.052091965343421833e+02
2.029000000000000000e+03, 8.948590556614222180e+01, 1.075509236797017110e+02, 2.371630393593670476e+02, 9.251883380241970656e+01, 1.502022638704030477e+01, 8.655290920188664927e+01, 2.374507862567539291e+02, 1.194337184159814882e+02, 1.561735153289015727e+02, 1.192529800105944702e+02, 1.349727667564103797e+02, 1.879202722413215270e+02, 9.480354857469012586e+01, 1.052425177512506025e+02
2.030000000000000000e+03, 8.970884677852194500e+01, 1.075089074966767129e+02, 2.372759323195063530e+02, 9.255232499543869551e+01, 1.510162814129517628e+01, 8.655349067920624861e+01, 2.374854219192066012e+02, 1.194918937126355019e+02, 1.560962586557180600e+02, 1.191925464287393197e+02, 1.350496540386783693e+02, 1.880352183584271870e+02, 9.481015713029445635e+01, 1.052386996947399069e+02
2.031000000000000000e+03, 8.944228548971392456e+01, 1.076243983157749540e+02, 2.370860740756184555e+02, 9.262145050354212117e+01, 1.509934011978424806e+01, 8.651263709942323032e+01, 2.375796743016191215e+02, 1.194828482859649341e+02, 1.559835757222538746e+02, 1.191264161041162737e+02, 1.350540229019593710e+02, 1.881496494919281588e+02, 9.481973905386836066e+01, 1.052951745482803432e+02
2.032000000000000000e+03, 8.931875463667887516e+01, 1.078409851396311723e+02, 2.370682645464371490e+02, 9.270120780887693002e+01, 1.514490628081527035e+01, 8.667583937820961637e+01, 2.376707987326147418e+02, 1.195206601495587222e+02, 1.559457369547413066e+02, 1.191129450573580755e+02, 1.349801272632120686e+02, 1.881747970422206322e+02, 9.484150800352540500e+01, 1.053957051177151385e+02
2.033000000000000000e+03, 8.945381355093168452e+01, 1.080640763003952856e+02, 2.371684838360021104e+02, 9.275538942328807934e+01, 1.518803038212383427e+01, 8.670664509489151328e+01, 2.377454697575705609e+02, 1.194999599862877488e+02, 1.559408737788943426e+02, 1.191081731284983078e+02, 1.349931986004031614e+02, 1.883206952970995189e+02, 9.490567288056089978e+01, 1.054891890191090482e+02
2.034000000000000000e+03, 8.961383690234963240e+01, 1.081137892775656013e+02, 2.371342831811318206e+02, 9.278489679185214811e+01, 1.528220162666319659e+01, 8.659609303689181559e+01, 2.378840354774957859e+02, 1.194809383578205768e+02, 1.559808580240972447e+02, 1.191232951156097499e+02, 1.348473283077358076e+02, 1.884504666707171339e+02, 9.500766472845933208e+01, 1.054674983893076359e+02
2.035000000000000000e+03, 8.993018749838402925e+01, 1.079961838300884267e+02, 2.368045692834081706e+02, 9.282918418844201369e+01, 1.524258068504363095e+01, 8.665239995961459840e+01, 2.379432154813344198e+02, 1.195025470706856794e+02, 1.560139062886022998e+02, 1.191188856979808861e+02, 1.348503286141628905e+02, 1.885524301598518377e+02, 9.508783674450755541e+01, 1.054866301158144211e+02
2.036000000000000000e+03, 9.018768760183625943e+01, 1.081964642138804891e+02, 2.363326854750916084e+02, 9.289422878270801220e+01, 1.526562709276534946e+01, 8.672902805304714491e+01, 2.380023408609983164e+02, 1.195232689086333409e+02, 1.560496662694362726e+02, 1.191303344183385065e+02, 1.349206367496835810e+02, 1.886562469045034902e+02, 9.515341382088631406e+01, 1.055230906928078980e+02
2.037000000000000000e+03, 9.017636273213143738e+01, 1.085010993752642747e+02, 2.361209696868872356e+02, 9.299224183079593331e+01, 1.531468764770160895e+01, 8.650283490549706755e+01, 2.381602349544802451e+02, 1.195552436547148716e+02, 1.560242879462921906e+02, 1.191677926123751945e+02, 1.347376440437149938e+02, 1.887455561180499899e+02, 9.521452326581845682e+01, 1.055869487829818780e+02
2.038000000000000000e+03, 9.051393436165433570e+01, 1.086447493313978043e+02, 2.362087373294694146e+02, 9.306257876722898459e+01, 1.542532702100296582e+01, 8.646906477598587060e+01, 2.383426832357019123e+02, 1.194442266544472062e+02, 1.559610838519867571e+02, 1.192103715943728588e+02, 1.347457424334367033e+02, 1.887747014087870241e+02, 9.522146562224556021e+01, 1.057027649472199045e+02
2.039000000000000000e+03, 9.071676166414142983e+01, 1.084303518492965708e+02, 2.363415204538036107e+02, 9.315226111573964829e+01, 1.535052203065315268e+01, 8.668128173222505950e+01, 2.385286411766706465e+02, 1.194420188633665703e+02, 1.558884877550269437e+02, 1.192014843323514981e+02, 1.348967020165557074e+02, 1.889126819603280865e+02, 9.526213028285054918e+01, 1.057377176508674808e+02
2.040000000000000000e+03, 9.073969409586999291e+01, 1.082650955351335824e+02, 2.364233175652226748e+02, 9.322520982174752646e+01, 1.544618765349552625e+01, 8.658078333173099850e+01, 2.387070724192091120e+02, 1.194518996726421136e+02, 1.558863682561994892e+02, 1.191771614161125115e+02, 1.348203225458218810e+02, 1.890498357934939406e+02, 9.535828901632368115e+01, 1.057566704277131180e+02
2.041000000000000000e+03, 9.083601060320758336e+01, 1.084703748628977849e+02, 2.364306658179558269e+02, 9.325112581250589017e+01, 1.554386049708654838e+01, 8.658056113891387895e+01, 2.388752569579259273e+02, 1.194886219227690276e+02, 1.559088491933203215e+02, 1.191780609446698378e+02, 1.349045182216382841e+02, 1.891206660058279567e+02, 9.547727058199828321e+01, 1.057725400585750464e+02
2.042000000000000000e+03, 9.096251983486996551e+01, 1.085550690253283221e+02, 2.362687276484161600e+02, 9.334009463766572878e+01, 1.547911765123803995e+01, 8.646523439855610604e+01, 2.390494149257165191e+02, 1.195150142979384071e+02, 1.559197155023545349e+02, 1.191324577669374634e+02, 1.349471872294956540e+02, 1.892651146303879841e+02, 9.555704108301321753e+01, 1.058494561491473860e+02
2.043000000000000000e+03, 9.096593619948443177e+01, 1.084965103850751831e+02, 2.363818849326025031e+02, 9.344118633873122803e+01, 1.542551462079189406e+01, 8.630170796814773837e+01, 2.391681419202673169e+02, 1.195393761780243267e+02, 1.559454865902459915e+02, 1.190373389033643434e+02, 1.349809253565570941e+02, 1.894313458806245762e+02, 9.554646028170752459e+01, 1.059599194305362175e+02
2.044000000000000000e+03, 9.102765123109293199e+01, 1.083408259331541501e+02, 2.363282864961524012e+02, 9.343080927295764582e+01, 1.532393976016371617e+01, 8.647606153224343473e+01, 2.393358246435245462e+02, 1.195955409998775565e+02, 1.560172817627897643e+02, 1.189872008317695133e+02, 1.347767091841033960e+02, 1.895404402532104200e+02, 9.561057750734812544e+01, 1.060291581712857436e+02
2.045000000000000000e+03, 9.122514359047156063e+01, 1.084435892989389174e+02, 2.360933534797825359e+02, 9.347280149597460763e+01, 1.540159685518810839e+01, 8.625194913214035353e+01, 2.395508280936602432e+02, 1.195800271828921097e+02, 1.559754728876646652e+02, 1.189991640779488620e+02, 1.348441910994353634e+02, 1.895769411606394215e+02, 9.568871885582032633e+01, 1.061063955527737477e+02
2.046000000000000000e+03, 9.145163227907286796e+01, 1.086330625804934300e+02, 2.357265706895238111e+02, 9.357238726437402931e+01, 1.552707607146518143e+01, 8.640719271972189119e+01, 2.396933690982517078e+02, 1.195981182287366238e+02, 1.559646491618106552e+02, 1.190041405972823441e+02, 1.347367603814534789e+02, 1.897060899482713978e+02, 9.582806477564047043e+01, 1.061227255909224994e+02
2.047000000000000000e+03, 9.165388612539966573e+01, 1.087631865741929573e+02, 2.356166089904583316e+02, 9.366183489060334466e+01, 1.559452376086290926e+01, 8.674441285477801955e+01, 2.397929101928620241e+02, 1.196544735103734212e+02, 1.559289156975073070e+02, 1.190081070641157623e+02, 1.347488282215426523e+02, 1.898258726455255783e+02, 9.594545574203485216e+01, 1.061762507771173460e+02
2.048000000000000000e+03, 9.158296915228112312e+01, 1.088436074029128378e+02, 2.359373983272026862e+02, 9.376482717692354640e+01, 1.541072523424506002e+01, 8.637688697407618577e+01, 2.399061391122903046e+02, 1.196588397362148299e+02, 1.559492315989771498e+02, 1.190830733103414758e+02, 1.347974219174746509e+02, 1.898966656771899295e+02, 9.600788453430189406e+01, 1.062794557840600902e+02
2.049000000000000000e+03, 9.166128964059568318e+01, 1.089399200441314690e+02, 2.362043955189419364e+02, 9.386986580345526932e+01, 1.533072535455816698e+01, 8.625997627070434248e+01, 2.400934401255952650e+02, 1.196136627612493157e+02, 1.560089121115837543e+02, 1.190884931119378507e+02, 1.346019908766375579e+02, 1.899172657072919321e+02, 9.605152695206506053e+01, 1.063155493181848925e+02
2.050000000000000000e+03, 9.185467483239582975e+01, 1.090533078990488463e+02, 2.360794319148911597e+02, 9.396830583250060442e+01, 1.537433475072194611e+01, 8.640674248473089847e+01, 2.403088786200290485e+02, 1.196523291490556176e+02, 1.560238667765172522e+02, 1.189428145477522349e+02, 1.345306891952182866e+02, 1.901022968358119556e+02, 9.613445427139728849e+01, 1.062853149737420608e+02
2.051000000000000000e+03, 9.162494659619981974e+01, 1.090258498623392569e+02, 2.357829826561570030e+02, 9.409263894171904496e+01, 1.544121232728445925e+01, 8.667394908782559071e+01, 2.405173648550665462e+02, 1.196359522502636139e+02, 1.559702149635055832e+02, 1.187308206716399752e+02, 1.344919497829642410e+02, 1.902006122803992128e+02, 9.621442782129096827e+01, 1.063993015299250544e+02
2.052000000000000000e+03, 9.181350764613902982e+01, 1.089173216120740335e+02, 2.356765835332862196e+02, 9.412804455287627547e+01, 1.553693094602204638e+01, 8.649869731315365584e+01, 2.408059192276710974e+02, 1.196643138107763065e+02, 1.560349027583638986e+02, 1.185599526923462719e+02, 1.343741756892609942e+02, 1.901898288257588092e+02, 9.635098310725018678e+01, 1.065019260732567545e+02
2.053000000000000000e+03, 9.183733899808414947e+01, 1.090096225822411213e+02, 2.353185651869400772e+02, 9.420869187008528911e+01, 1.553406851910188102e+01, 8.622004912190693915e+01, 2.409991507103562469e+02, 1.197319911624583142e+02, 1.561186904102805499e+02, 1.184651704631764630e+02, 1.344187607057868092e+02, 1.903759805966576266e+02, 9.644824378049848690e+01, 1.065832707731287883e+02
2.054000000000000000e+03, 9.208256444677289210e+01, 1.091518993087581890e+02, 2.350113062181533508e+02, 9.432417483924501767e+01, 1.540839449216939450e+01, 8.622452871411449848e+01, 2.412114878642845781e+02, 1.197660810501731703e+02, 1.561465399189750372e+02, 1.183402855023813629e+02, 1.343764551331736357e+02, 1.905635111677724751e+02, 9.649741395505526498e+01, 1.065842010151418719e+02
