year, TaiESM1, CanESM5, CESM2-WACCM, ACCESS-ESM1-5, INM-CM5-0, GFDL-ESM4, MPI-ESM1-2-LR, NorESM2-MM, UKESM1-0-LL, CMCC-CM2-SR5, INM-CM4-8, EC-Earth3-Veg, NorESM2-LM, MIROC-ES2L, IPSL-CM6A-LR, CNRM-ESM2-1
2.025000000000000000e+03, 2.045196435883665842e+00, 2.489108345596666272e+00, 2.294063812641299549e+00, 2.320878932945349860e+00, 2.143561475168594299e+00, 2.331157917693430726e+00, 1.753324179232502056e+00, 1.916540516392151616e+00, 1.855401328115715121e+00, 2.365999267277888674e+00, 2.229117063692166223e+00, 1.974256292527542866e+00, 1.809278058735850347e+00, 2.545059664731306182e+00, 2.400312393673928568e+00, 1.645438112302177291e+00
2.026000000000000000e+03, 2.376824371880928322e+00, 2.392491407201691622e+00, 2.011793814162368133e+00, 2.356194908364676710e+00, 2.192947983717417504e+00, 2.133304114293637088e+00, 1.659880397860404644e+00, 1.952632360339664253e+00, 1.881407318062878309e+00, 2.222041291242663252e+00, 2.107661911297868063e+00, 2.159119524833601034e+00, 1.640582476027390824e+00, 2.943058275242093735e+00, 2.313673313732719006e+00, 1.585103172759702250e+00
2.027000000000000000e+03, 2.496651477916937534e+00, 2.413396944966924806e+00, 2.106034361542676425e+00, 2.374234477540906330e+00, 2.334812007326185324e+00, 2.289654884592050355e+00, 1.937598924263141953e+00, 1.838424816426201591e+00, 1.884628184841841358e+00, 2.431407409447746470e+00, 2.019859450927922850e+00, 1.869180817605969658e+00, 1.718488328619590888e+00, 2.817911455051902880e+00, 2.298581178349277110e+00, 1.609907958232935199e+00
2.028000000000000000e+03, 2.316518896140622896e+00, 2.651283190662370615e+00, 2.126749026862565284e+00, 2.400232400237003905e+00, 2.261696562411730671e+00, 2.339973921719719296e+00, 1.872611253938196052e+00, 1.885394141625978515e+00, 1.970022571999793026e+00, 2.476211512891937971e+00, 1.962916091393601903e+00, 1.885543640901000462e+00, 1.561555663081445333e+00, 2.640985772521578401e+00, 2.404350581301252010e+00, 1.532271073125438310e+00
2.029000000000000000e+03, 2.343483635025858103e+00, 2.558303121232634147e+00, 2.112670381983495549e+00, 2.468893033948743820e+00, 2.282020486328867559e+00, 2.364491033930640196e+00, 1.734752727366494218e+00, 1.818896018213911558e+00, 1.786165455772003474e+00, 2.352214861467241569e+00, 2.055145225163670375e+00, 1.904003108416872481e+00, 1.710436964406006455e+00, 2.571004152292705403e+00, 2.370418173018323138e+00, 1.584410541418427965e+00
2.030000000000000000e+03, 2.412428921777373780e+00, 2.476939742198335459e+00, 2.385383310630288189e+00, 2.359838260799858922e+00, 2.269881940300984891e+00, 2.410199612056033835e+00, 1.581514395756943969e+00, 1.928117036224317626e+00, 1.719039174350468935e+00, 2.298161726168043373e+00, 2.178988496228069671e+00, 1.811576932325255296e+00, 1.689135627590741651e+00, 2.751338633782126397e+00, 2.291486833995015182e+00, 1.533695257422456715e+00
2.031000000000000000e+03, 2.215571903217095517e+00, 2.626748395968591332e+00, 1.993111960971941210e+00, 2.495763643885450467e+00, 2.310331196785081698e+00, 2.332999966273608727e+00, 1.700912258536462884e+00, 1.663971615239617119e+00, 1.970104970288922397e+00, 2.346244465734718787e+00, 2.196512937788011488e+00, 1.995481711520526780e+00, 1.853799739362295806e+00, 2.733387588685777914e+00, 2.388296993552720071e+00, 1.534549790046517925e+00
2.032000000000000000e+03, 2.178067732417278801e+00, 2.584331006517094131e+00, 2.017166873846829578e+00, 2.471361361049835725e+00, 2.095368989238730162e+00, 2.351856767576334217e+00, 1.735809100407142980e+00, 1.754774540304537833e+00, 1.877910455602721518e+00, 2.268229946247556139e+00, 2.305528991561945240e+00, 1.903922751259774060e+00, 1.771124652374508335e+00, 2.807344916381057764e+00, 2.231693520641127471e+00, 1.647419039564157472e+00
2.033000000000000000e+03, 2.255297526609405967e+00, 2.614848830736798302e+00, 2.254774934376385875e+00, 2.524760636670435598e+00, 2.294389010098458748e+00, 2.507777549060781652e+00, 1.666343434105205468e+00, 1.864709224229875950e+00, 1.930087387108931463e+00, 2.438818572992874856e+00, 2.283861533451157388e+00, 2.120613868382151601e+00, 1.754444491075819679e+00, 2.699536576740758864e+00, 2.334685216206776381e+00, 1.559952572724781383e+00
2.034000000000000000e+03, 2.255048648501609687e+00, 2.605650031814379819e+00, 2.280848447159078862e+00, 2.255721636348951176e+00, 2.378005331542853096e+00, 2.465638645088923830e+00, 1.850102545152741529e+00, 1.853235204215013310e+00, 1.783068693841880048e+00, 2.336894013951759774e+00, 2.298286917677754726e+00, 2.017972652998903271e+00, 1.769046254198638923e+00, 2.777694650900495610e+00, 2.324694939308142416e+00, 1.653216443387589552e+00
2.035000000000000000e+03, 2.133033819578078027e+00, 2.535026714149462901e+00, 2.181852560272885544e+00, 2.543322276160074669e+00, 2.256189390242309578e+00, 2.295324547251340608e+00, 1.693199373553531561e+00, 2.007226602401443571e+00, 1.768801034230457869e+00, 2.291090322253444000e+00, 2.065653295932146527e+00, 1.963327138059778099e+00, 1.823032437573159914e+00, 2.853725477435917313e+00, 2.472222640934633286e+00, 1.520544101673111603e+00
2.036000000000000000e+03, 2.344974643044628326e+00, 2.552053487898876760e+00, 2.275783737878590784e+00, 2.545139957689035004e+00, 2.347171897851166644e+00, 2.492302987528097535e+00, 1.707119564754061347e+00, 1.768241839160781037e+00, 1.875970334665090888e+00, 2.394814097478974002e+00, 2.275686132828208308e+00, 1.818655986197729613e+00, 1.823922964118959378e+00, 2.981195760684751228e+00, 2.299305757755695900e+00, 1.608020627651698398e+00
2.037000000000000000e+03, 2.421834482404052302e+00, 2.624169435703822106e+00, 1.986971781442288032e+00, 2.306793591729531023e+00, 2.333942635815112965e+00, 2.440027599909358802e+00, 1.792279003788094460e+00, 1.901534110710315639e+00, 1.996780118265018000e+00, 2.512977874580284876e+00, 2.132410895123499017e+00, 2.018167315176269572e+00, 1.828690517061100307e+00, 2.876074505578539053e+00, 2.195604773356715445e+00, 1.642804946934894428e+00
2.038000000000000000e+03, 2.191898088936401479e+00, 2.653813476826611062e+00, 2.159381151030049129e+00, 2.561760324638231001e+00, 2.432039143116637714e+00, 2.461971402076890580e+00, 1.779950382935354014e+00, 1.763841271804732713e+00, 1.876914717161307644e+00, 2.288556110332696125e+00, 2.290179740656122398e+00, 1.934398129727573412e+00, 1.862335717793410339e+00, 2.647447023806560829e+00, 2.386488581717260971e+00, 1.597337576291720129e+00
2.039000000000000000e+03, 2.269692780498411278e+00, 2.591546014504836570e+00, 2.314877123530404646e+00, 2.430662652489599562e+00, 2.334050921324902106e+00, 2.320465761692410034e+00, 1.711975391378447897e+00, 1.796672551980031951e+00, 1.992706588235193754e+00, 2.300266202770542723e+00, 2.114946565005202395e+00, 2.034829939362716722e+00, 1.784898828419761552e+00, 2.687978656840949832e+00, 2.344736260688234708e+00, 1.540508245772423956e+00
2.040000000000000000e+03, 2.392427416482579172e+00, 2.574924139177082072e+00, 2.351490014708707665e+00, 2.370208117406765513e+00, 2.336855084939342131e+00, 2.425023354295266387e+00, 1.740985343388250950e+00, 1.847951720193733216e+00, 1.949529163822293354e+00, 2.501180837751516339e+00, 2.191987756544153676e+00, 1.903684175597386341e+00, 1.596693545958569826e+00, 2.863904279542304643e+00, 2.412242268371880272e+00, 1.566027123844008662e+00
2.041000000000000000e+03, 2.190831350516573739e+00, 2.589863139787245583e+00, 2.263397849542002849e+00, 2.320609081372028371e+00, 2.471255440724966057e+00, 2.520859547560559299e+00, 1.743933437747770210e+00, 1.870355419270060660e+00, 1.804376091218733658e+00, 2.295430742979508665e+00, 2.187428177184079114e+00, 2.036591410313285611e+00, 1.742990952860787646e+00, 2.769670288752866583e+00, 2.334583289152898367e+00, 1.485676252808997067e+00
2.042000000000000000e+03, 2.640079440139963207e+00, 2.491309062220033343e+00, 2.171404982552041396e+00, 2.450007307549462610e+00, 2.370332142105048501e+00, 2.270434843991686602e+00, 1.768227017076290597e+00, 1.758163320395996099e+00, 2.008373990790651487e+00, 2.298311301758193537e+00, 2.100970528194183284e+00, 1.884612173327722795e+00, 1.861722064548401612e+00, 2.649302409975013983e+00, 2.370455919545268575e+00, 1.332847648236056060e+00
2.043000000000000000e+03, 2.357200808721693353e+00, 2.585726431994922248e+00, 2.226549550063661176e+00, 2.695579172303798732e+00, 2.182368867157645997e+00, 2.215110197342714304e+00, 1.856745586724017683e+00, 1.941757525205346502e+00, 1.905590099042925978e+00, 2.213359430086971003e+00, 2.215482281149126820e+00, 1.821669989023989800e+00, 1.854156742990414442e+00, 2.573932603674652153e+00, 2.463718866341729097e+00, 1.638565764193040231e+00
2.044000000000000000e+03, 2.472065062714242867e+00, 2.491118905729568844e+00, 2.039263179297946316e+00, 2.461782473262789761e+00, 2.395023443469481261e+00, 2.252350829379917485e+00, 1.862975001487366944e+00, 1.858983639852365144e+00, 1.909495678287431941e+00, 2.373622897505319518e+00, 2.181710231731462724e+00, 1.908536873358174901e+00, 1.894436549480948750e+00, 2.806665811003686617e+00, 2.253717752527521601e+00, 1.419713615692945741e+00
2.045000000000000000e+03, 2.589900582396711837e+00, 2.638749190111962850e+00, 2.070977650813355719e+00, 2.390755663293926414e+00, 2.305674647680437950e+00, 2.512349123763425673e+00, 1.786128637495057569e+00, 1.891587781742881447e+00, 1.877656898170765754e+00, 2.281436133556042467e+00, 1.997205033961548803e+00, 2.004034253294238344e+00, 1.633839546423401012e+00, 2.777649027300467033e+00, 2.388598354222531750e+00, 1.664307779357762529e+00
2.046000000000000000e+03, 2.070763681687603164e+00, 2.714177508884172418e+00, 2.365023827779277887e+00, 2.554451326475573048e+00, 2.294890952914825366e+00, 2.410912913748828323e+00, 1.834859126177988964e+00, 1.954527061381024833e+00, 2.003815084840759653e+00, 2.410866385165501669e+00, 2.015779451533576072e+00, 2.019338953367668221e+00, 1.551791576276850160e+00, 2.819369511276241802e+00, 2.384396246984143986e+00, 1.392774456010991591e+00
2.047000000000000000e+03, 2.362187777456977056e+00, 2.584203785734014769e+00, 2.114396161533464991e+00, 2.310975682921511343e+00, 2.230441128095715264e+00, 2.357114025985105332e+00, 1.766511584359564901e+00, 1.927597234836067486e+00, 2.050013444392758011e+00, 2.244371976993245088e+00, 2.036903153329891580e+00, 1.977627976044201485e+00, 1.802264232640891306e+00, 2.848575908916293198e+00, 2.282441313309570230e+00, 1.433196340686283765e+00
2.048000000000000000e+03, 2.398542453038923661e+00, 2.514576046489106265e+00, 2.139262483627132561e+00, 2.465967275729611607e+00, 2.243493280832214776e+00, 2.213756324305688139e+00, 1.777146317362239714e+00, 1.864350177530373687e+00, 1.929811729103021456e+00, 2.449937266615187070e+00, 2.024688570237675123e+00, 1.899165714471900079e+00, 1.746975760953456636e+00, 2.784306861653853549e+00, 2.342379962446441866e+00, 1.415821371784786953e+00
2.049000000000000000e+03, 2.551935891990636751e+00, 2.557723327847536421e+00, 2.406456732414549382e+00, 2.490045229930059278e+00, 2.242726204856737127e+00, 2.330367149038412133e+00, 1.740836041641195875e+00, 1.968023994060187798e+00, 1.837002464637569332e+00, 2.338912530952652613e+00, 2.232124048813126649e+00, 1.933296236629646891e+00, 1.820565641448135041e+00, 2.738191583653906136e+00, 2.443638927569115715e+00, 1.674283816022556826e+00
2.050000000000000000e+03, 2.174546111833562279e+00, 2.589449891698798023e+00, 2.151419302637083142e+00, 2.610015229491856381e+00, 2.392884851766547971e+00, 2.362959623551302180e+00, 1.647795348007030203e+00, 1.747741549446411691e+00, 1.932421428418624298e+00, 2.273515646547280333e+00, 2.225163153113884462e+00, 2.010917797302051113e+00, 1.778545476434661765e+00, 2.678150682965229734e+00, 2.477427190755615793e+00, 1.499286700793691640e+00
2.051000000000000000e+03, 2.262467641290125897e+00, 2.609829047572256311e+00, 2.089380114884428430e+00, 2.390851180650264585e+00, 2.406530569895847904e+00, 2.426848241125213246e+00, 1.863360288509334772e+00, 1.829759055866035045e+00, 1.928603785949903227e+00, 2.496622692401907262e+00, 2.241155041567452155e+00, 1.927598871596998054e+00, 1.707041908173906775e+00, 2.694614124885013506e+00, 2.454740256568066936e+00, 1.552958713999722740e+00
2.052000000000000000e+03, 2.513436027425816732e+00, 2.564682637636560347e+00, 2.098638230819366512e+00, 2.380741762733760591e+00, 2.481698471521183613e+00, 2.508310539702702791e+00, 1.796321957807938796e+00, 1.900066901038589551e+00, 1.926163624130852181e+00, 2.450092783175519706e+00, 2.137795698496514518e+00, 2.027365695448118732e+00, 1.649047596830724105e+00, 2.766867117876891768e+00, 2.458104925559235987e+00, 1.622447924212959247e+00
2.053000000000000000e+03, 2.582784180603678870e+00, 2.547098142439669033e+00, 2.206452890961877245e+00, 2.374918139207710333e+00, 2.167674230692094639e+00, 2.145873841200234722e+00, 1.835890627450403434e+00, 1.730115432634696138e+00, 1.858482611417173080e+00, 2.404185738141582096e+00, 2.231196163086532458e+00, 2.045398308441878310e+00, 1.774801734131333353e+00, 2.706249952652676871e+00, 2.399807813714267990e+00, 1.467085906405501294e+00
2.054000000000000000e+03, 2.223579128873400368e+00, 2.541468739176213187e+00, 2.133594081897192574e+00, 2.455215633831746569e+00, 2.307445253170411270e+00, 2.190694672264961174e+00, 1.848691281921400531e+00, 1.835232627691409268e+00, 1.771091283839536068e+00, 2.253289947398809723e+00, 2.278810947740205428e+00, 2.002002366442144243e+00, 1.723617587899073156e+00, 2.727991470534971263e+00, 2.458242531183475688e+00, 1.587518816392678334e+00
2.055000000000000000e+03, 2.423016063096392614e+00, 2.681130650032736096e+00, 2.095024585295034658e+00, 2.222017271976389097e+00, 2.243525978071552629e+00, 2.381335524067962783e+00, 1.740212137278935867e+00, 1.980098408783802055e+00, 1.891368837348996301e+00, 2.320112599191864966e+00, 2.274569379814988856e+00, 2.136451886718732762e+00, 1.750109973039625455e+00, 2.647041225775370155e+00, 2.366402261424523257e+00, 1.515811625596555245e+00
2.056000000000000000e+03, 2.187180526691812954e+00, 2.586918345961652044e+00, 2.125962099965990060e+00, 2.445457640806934840e+00, 2.294577224994517106e+00, 2.629777331331669021e+00, 1.743496708704814990e+00, 1.823220009252026985e+00, 1.900226007209406154e+00, 2.295410921049198194e+00, 2.189884023024102344e+00, 2.033710688911609221e+00, 1.770985730999507179e+00, 2.759401398138704220e+00, 2.280665620373446334e+00, 1.581986235450014489e+00
2.057000000000000000e+03, 2.325404237158168463e+00, 2.758089647129579713e+00, 2.149194830879868512e+00, 2.323607686670966732e+00, 2.279177313434955554e+00, 2.350946312072618394e+00, 1.729420242091580073e+00, 1.882993985717032359e+00, 1.821414021083928914e+00, 2.344527757256517742e+00, 2.296534273418345595e+00, 1.966365791021759124e+00, 1.801512462430990391e+00, 2.829298458475181910e+00, 2.382152228476821509e+00, 1.400510628059913776e+00
2.058000000000000000e+03, 2.357794127896728931e+00, 2.478764738013313984e+00, 2.271822656967975362e+00, 2.613084038735283166e+00, 2.446471542585131775e+00, 2.352381341104508028e+00, 1.969248857076729475e+00, 1.722532825564016212e+00, 1.985726287962915393e+00, 2.161840017020598914e+00, 2.202116614038879927e+00, 2.015511552714919663e+00, 1.799222452655650173e+00, 2.748407938694886976e+00, 2.351083427954888450e+00, 1.453521181992628142e+00
2.059000000000000000e+03, 2.601760822764149328e+00, 2.755515027035467135e+00, 2.086901883116952128e+00, 2.421613722861359896e+00, 2.258378245801520912e+00, 2.376224508823424397e+00, 1.690773793170059713e+00, 1.909506182735790647e+00, 2.077089645508602089e+00, 2.493439665784269899e+00, 2.106229343968323509e+00, 1.943821638766230375e+00, 1.887847910789093087e+00, 2.753764988385484447e+00, 2.289460427201733594e+00, 1.769485070289263939e+00
2.060000000000000000e+03, 2.169742888679852211e+00, 2.557194247010420085e+00, 2.147084150347762677e+00, 2.476167147265852186e+00, 2.201688385450837337e+00, 2.418821035816259180e+00, 1.573965163289968050e+00, 1.851739833871369978e+00, 1.886619830575908763e+00, 2.591760181050432710e+00, 2.147015839391829051e+00, 1.876437514783390270e+00, 1.746146496248826008e+00, 2.682626798373073829e+00, 2.434047040157388597e+00, 1.549682705888777212e+00
2.061000000000000000e+03, 2.209087115786596556e+00, 2.789904092579947648e+00, 2.194664789770763402e+00, 2.292635442052520123e+00, 2.409625612510275072e+00, 2.312073301728144514e+00, 1.657859633926863197e+00, 1.784479710541704289e+00, 1.812058409428248584e+00, 2.531418243948070579e+00, 2.237888899274023569e+00, 1.930684413379296194e+00, 1.687799156268459333e+00, 2.761854413242228468e+00, 2.379985224338767580e+00, 1.374174486941969864e+00
2.062000000000000000e+03, 2.495410033931795724e+00, 2.642298094421433596e+00, 2.162515272402563138e+00, 2.581079792231795622e+00, 2.447256840737209505e+00, 2.335052278859106600e+00, 1.815178567720684644e+00, 1.917759859744228024e+00, 1.766715842432882155e+00, 2.792070438372962649e+00, 2.283043975724006636e+00, 1.912994423965197033e+00, 1.760594891506189752e+00, 2.810331040778567324e+00, 2.301864356058409999e+00, 1.552638909898524044e+00
2.063000000000000000e+03, 2.171175115647695719e+00, 2.564366061977280786e+00, 1.999444160618715216e+00, 2.342406753030979338e+00, 2.318108223863503792e+00, 2.196316638290440437e+00, 1.888810369027384084e+00, 1.706731266871215569e+00, 1.985118396032138133e+00, 2.438482498658357311e+00, 2.401326361324772396e+00, 1.899373924472050890e+00, 1.743593543093236553e+00, 2.543526450585319676e+00, 2.266715867441312149e+00, 1.489769369259598575e+00
2.064000000000000000e+03, 2.151507722164382130e+00, 2.654133634707035228e+00, 2.240074154636696235e+00, 2.416651174061875018e+00, 2.240024767213140144e+00, 2.264189120848057790e+00, 1.876046803853406386e+00, 1.927793691546620058e+00, 1.849440728073239226e+00, 2.258971252393271012e+00, 2.237901769360470361e+00, 1.919382313829527842e+00, 1.783937205009159976e+00, 2.573259371846497334e+00, 2.366671760418113113e+00, 1.598541209644241290e+00
2.065000000000000000e+03, 2.638454562002022552e+00, 2.693570519220310100e+00, 2.255297107257029143e+00, 2.383571188904270777e+00, 2.366089741155474879e+00, 2.348123004540218606e+00, 1.889679275175809359e+00, 1.940636852261999445e+00, 1.924622360835449131e+00, 2.511316814496950212e+00, 2.252738168796463825e+00, 1.985618703601016444e+00, 1.801788621398953572e+00, 2.866564952314976100e+00, 2.400574709825054942e+00, 1.615980056092566786e+00
2.066000000000000000e+03, 2.277521029291185606e+00, 2.515089249006989824e+00, 2.226200602140826934e+00, 2.369866758916007843e+00, 2.198533870071310403e+00, 2.421585913490705178e+00, 1.771834157426335210e+00, 1.789964831028264536e+00, 1.982819189669357440e+00, 2.615784682165440689e+00, 2.247723518797979825e+00, 1.867769822833860838e+00, 1.960006515179828490e+00, 2.840418960015673289e+00, 2.376070832691960177e+00, 1.566203461421575627e+00
2.067000000000000000e+03, 1.961130191632131314e+00, 2.663210411303805980e+00, 2.202460461633585886e+00, 2.649100333662926410e+00, 2.368921038288041458e+00, 2.455660398608249473e+00, 1.784251160782680312e+00, 1.873615410127252634e+00, 1.985925025035851776e+00, 2.661853205303766678e+00, 2.094497888965207277e+00, 2.170233440192290253e+00, 1.851384555640738450e+00, 2.718406247515014584e+00, 2.301116616882718180e+00, 1.363302821539587706e+00
2.068000000000000000e+03, 2.385414075684066049e+00, 2.575715640869428835e+00, 2.137839782653848886e+00, 2.235119509718224595e+00, 2.506432281588004241e+00, 2.163304014801144426e+00, 1.779829681288490617e+00, 1.889496082564501966e+00, 1.911973222724653310e+00, 2.444876003777892048e+00, 2.191908593524217519e+00, 1.936776690167600012e+00, 1.862980012999448043e+00, 2.673302934022777855e+00, 2.389092511273900321e+00, 1.528827502733637766e+00
2.069000000000000000e+03, 2.719060001481969024e+00, 2.594433938952212859e+00, 2.138898452038448195e+00, 2.335318921096912081e+00, 2.464472707836425691e+00, 2.294776716381247361e+00, 1.755855972946613885e+00, 1.817375388499489652e+00, 1.887959048792930528e+00, 2.327897537901973735e+00, 2.213597885281565869e+00, 1.983536723362870902e+00, 1.644553600793053905e+00, 2.682171756772660398e+00, 2.348838404218748899e+00, 1.639739266467455492e+00
2.070000000000000000e+03, 2.266986950128755840e+00, 2.748905989201019473e+00, 2.020987524613937492e+00, 2.554226313373891166e+00, 2.366775413562087760e+00, 2.314397803404803611e+00, 1.794335929816447184e+00, 1.762902683907485057e+00, 1.966933733266409190e+00, 2.396497047317040607e+00, 2.101082992048737719e+00, 1.885639215530045876e+00, 1.685751108205299831e+00, 2.939015232830493929e+00, 2.458035563730866180e+00, 1.718212348563231684e+00
2.071000000000000000e+03, 2.180294566112126020e+00, 2.516012432243825536e+00, 2.040452964136517444e+00, 2.477393914033275024e+00, 2.247487528473746554e+00, 2.282596521888272001e+00, 1.906443869758892795e+00, 1.834446342085622073e+00, 1.881133586588481510e+00, 2.358485207273546713e+00, 2.073098041414451753e+00, 2.031530191446323741e+00, 1.821864316293448915e+00, 3.013794118690614976e+00, 2.406403171629289517e+00, 1.271497217092807830e+00
2.072000000000000000e+03, 2.356878019223493936e+00, 2.528187082855658296e+00, 2.218670074243775936e+00, 2.406652106780976741e+00, 2.281034122990089674e+00, 2.305473842222726333e+00, 1.761608659465341731e+00, 1.770542623145070049e+00, 1.823940707016358909e+00, 2.440243485547700875e+00, 2.192341545625738686e+00, 1.899708813679140018e+00, 1.680661050383677413e+00, 2.786768988808452807e+00, 2.363766831344237040e+00, 1.614082218639923960e+00
2.073000000000000000e+03, 2.438699461813680358e+00, 2.844211574090033778e+00, 2.146170182262864046e+00, 2.429306385837466387e+00, 2.241101295722109477e+00, 2.369292978754392820e+00, 1.730058446900791358e+00, 2.008135883919763831e+00, 1.945469764344202046e+00, 2.519956066161180175e+00, 2.138027379075270851e+00, 2.044500185045571516e+00, 1.718486199894177169e+00, 2.655905824341978860e+00, 2.419860305695670899e+00, 1.502641734702262477e+00
2.074000000000000000e+03, 2.184706174218411512e+00, 2.731372841232113213e+00, 2.384137661168281408e+00, 2.550482872192151529e+00, 2.232685995782855315e+00, 2.232150934785298357e+00, 1.890882799316326635e+00, 1.866153303313963452e+00, 1.985387447285749785e+00, 2.465675424150155504e+00, 2.191078777490709228e+00, 2.000977130631950818e+00, 1.651495149031239507e+00, 2.524172532395192459e+00, 2.407527697024831603e+00, 1.504499166170277347e+00
2.075000000000000000e+03, 2.328791021315667287e+00, 2.788537607156163389e+00, 2.085826259993923237e+00, 2.164944929208183488e+00, 2.250427471995741779e+00, 2.240884246823651615e+00, 1.872921801808887343e+00, 1.921202401650409675e+00, 1.882395509011270063e+00, 2.542990044720443432e+00, 2.251468594792833233e+00, 2.107897081772104553e+00, 1.754681027133998983e+00, 2.662409381319283952e+00, 2.279689995228370680e+00, 1.717404496480099851e+00
2.076000000000000000e+03, 2.289218002748348635e+00, 2.710229400436837466e+00, 1.956497493829118417e+00, 2.521353424928544307e+00, 2.181801352314909348e+00, 2.321178444554677700e+00, 1.808567838278130946e+00, 1.812739867687397810e+00, 1.943990852680010928e+00, 2.451430367533687260e+00, 2.219412672181567903e+00, 1.904470882031733980e+00, 1.748521173732859202e+00, 2.725337584707391514e+00, 2.335804396444210784e+00, 1.704782286822362547e+00
