year, TaiESM1, CanESM5, CESM2-WACCM, ACCESS-ESM1-5, INM-CM5-0, GFDL-ESM4, MPI-ESM1-2-LR, NorESM2-MM, UKESM1-0-LL, CMCC-CM2-SR5, INM-CM4-8, EC-Earth3-Veg, NorESM2-LM, MIROC-ES2L, IPSL-CM6A-LR, CNRM-ESM2-1
2.015000000000000000e+03, 2.205804607734056511e+00, 2.631019373583260101e+00, 2.166512504385901927e+00, 2.315632730468520695e+00, 2.235077663164942940e+00, 2.348208231587652239e+00, 1.614868462863352727e+00, 1.758238310598938314e+00, 1.906412085073923679e+00, 2.316219085542095435e+00, 2.132458428961063746e+00, 1.997958882438749750e+00, 2.044039356319513168e+00, 2.677069975773406441e+00, 2.323866236903360249e+00, 1.500363871594519116e+00
2.016000000000000000e+03, 2.190471494813019060e+00, 2.569596485340577718e+00, 2.235949729810640996e+00, 2.448364520532491095e+00, 2.243574707415374903e+00, 2.421918652331328747e+00, 1.686991710344349693e+00, 1.845974573779131100e+00, 1.937615199490827944e+00, 2.276030285218701543e+00, 2.106391098960775476e+00, 1.914835893154341218e+00, 1.722875960674688622e+00, 2.731938573184691688e+00, 2.224656263196803430e+00, 1.673848086967174575e+00
2.017000000000000000e+03, 2.099266630840413761e+00, 2.535800214800282060e+00, 2.065142546578503158e+00, 2.536542302585051978e+00, 2.155178703057083478e+00, 2.264680274814015348e+00, 1.731081405903186043e+00, 1.799316236129563817e+00, 1.880483364436737137e+00, 2.289374137856376556e+00, 2.162370582383150719e+00, 1.927859702428999844e+00, 1.743705778972062248e+00, 2.937486323591355752e+00, 2.155849261209209722e+00, 1.660269201968273434e+00
2.018000000000000000e+03, 2.336028633620736095e+00, 2.513385564716344778e+00, 2.076395105876796432e+00, 2.360400603080762050e+00, 2.214090944454568444e+00, 2.367070693356629008e+00, 1.702198517998236182e+00, 1.840491221457825066e+00, 1.989587840869723401e+00, 2.340122627302708036e+00, 2.147447962653635578e+00, 2.031389812705707953e+00, 1.660624726656927841e+00, 2.658410192175759690e+00, 2.329755967530863447e+00, 1.690460851283269506e+00
2.019000000000000000e+03, 2.507896306344555626e+00, 2.508888178073598763e+00, 2.333056138546520497e+00, 2.324841653316095602e+00, 2.181107880473560190e+00, 2.394799929768212099e+00, 1.751229155833960993e+00, 1.851844973205421407e+00, 1.917392181251184713e+00, 2.202859152402651954e+00, 2.091672046195502510e+00, 2.096368379549505168e+00, 1.697439570785764795e+00, 2.742235210241411814e+00, 2.306944878833740997e+00, 1.588609021852870562e+00
2.020000000000000000e+03, 2.263747228780444765e+00, 2.392826999937748500e+00, 2.114196826252693118e+00, 2.270166891215064986e+00, 2.312679183118752313e+00, 2.230287026830656050e+00, 1.730472881204417224e+00, 1.792869474363091520e+00, 1.891783240947039868e+00, 2.269755683885849251e+00, 2.062985291674947597e+00, 1.920904939350548402e+00, 1.625824776660134807e+00, 2.714616284718903927e+00, 2.233632748672027102e+00, 1.764519771297515360e+00
2.021000000000000000e+03, 2.157786286983441215e+00, 2.774640184577880753e+00, 2.297048735987587076e+00, 2.409668389042806336e+00, 2.296883249459276577e+00, 2.192298301391824467e+00, 1.703472273059090325e+00, 1.832671363191706870e+00, 1.982570327125609655e+00, 2.433919131578015982e+00, 2.153767306006403981e+00, 1.913675579064368693e+00, 1.798468707017855106e+00, 2.887404114443298031e+00, 2.276492396674394847e+00, 1.690022288781544813e+00
2.022000000000000000e+03, 2.203971075643161193e+00, 2.468479759949206986e+00, 2.127655859446214492e+00, 2.504442309822520141e+00, 2.407532328966333068e+00, 2.187568605408350297e+00, 1.711691089403029276e+00, 1.920270238718406519e+00, 1.809523532511660759e+00, 2.569943190739867767e+00, 2.381767111111576352e+00, 2.002659789680555580e+00, 1.572980794800586946e+00, 2.855674923671521981e+00, 2.383792375008576769e+00, 1.404940896748217094e+00
2.023000000000000000e+03, 2.278952100234635569e+00, 2.492035843796209793e+00, 2.153455118018010594e+00, 2.314987444366992442e+00, 2.226623071284763888e+00, 2.270529036085561891e+00, 1.678709220545313796e+00, 1.805832256870955943e+00, 2.008700145603733667e+00, 2.599287986082006174e+00, 2.112041585187328874e+00, 2.020798796942690156e+00, 1.736348767401660886e+00, 2.748969283088964488e+00, 2.264164470747010771e+00, 1.432119725495139884e+00
2.024000000000000000e+03, 2.384665954726130632e+00, 2.596625320606214871e+00, 2.399554039947236816e+00, 2.482502533713245363e+00, 2.204905424591013130e+00, 2.138598358860699822e+00, 1.722645846259188707e+00, 1.754579592394933441e+00, 1.860468328642927105e+00, 2.366196991532569793e+00, 2.048451120247781532e+00, 1.866139272906158997e+00, 1.731806314597913232e+00, 2.720302330946798630e+00, 2.384676787968650569e+00, 1.424855850886370456e+00
