year, ACCESS-ESM1-5, MIROC-ES2L, CanESM5, CESM2-WACCM, IPSL-CM6A-LR, CMCC-CM2-SR5, CNRM-ESM2-1, GFDL-ESM4, MPI-ESM1-2-LR, TaiESM1, NorESM2-MM, NorESM2-LM, EC-Earth3-Veg
2.025000000000000000e+03, 6.204093964768870428e+00, 3.701409976395359536e+01, 2.063271775897937133e+01, 3.411601984631069229e+00, 2.384125864767167968e+01, 5.609889209252717279e+00, 2.561901210336474222e+01, 1.476659049889360631e+01, 3.188544811017759173e+01, 2.522066349893457904e+00, 3.376912122860944887e+00, 2.948517834682399474e+00, 6.056816230588517591e+00
2.026000000000000000e+03, 6.146945830038578862e+00, 3.730191685142048641e+01, 2.088126240016621793e+01, 3.639808464310437586e+00, 2.398843535576934372e+01, 5.630709859217782665e+00, 2.566160651559020778e+01, 1.499230704717832019e+01, 3.195950783348963498e+01, 2.160787149180177558e+00, 3.345364207685256552e+00, 3.106024095542489594e+00, 6.059014787141776992e+00
2.027000000000000000e+03, 6.076265862701920817e+00, 3.747812615800615532e+01, 2.117477054438385409e+01, 3.635876237731418659e+00, 2.405004179034444789e+01, 5.538320538153920225e+00, 2.556482587271400320e+01, 1.499477231372618391e+01, 3.192930952264658373e+01, 1.923886830324397446e+00, 3.384747324976765448e+00, 3.096687781784186466e+00, 6.060421188487111088e+00
2.028000000000000000e+03, 6.012731935616844936e+00, 3.761184488303607765e+01, 2.091748097254762584e+01, 3.567666345288462715e+00, 2.402284543241607651e+01, 5.525241612086012388e+00, 2.557547953688875353e+01, 1.513616875421100616e+01, 3.212649572253238972e+01, 2.304589089238996191e+00, 3.393546079989147923e+00, 3.140821017853435926e+00, 6.396524265146586785e+00
2.029000000000000000e+03, 5.990961535651243786e+00, 3.756775046546027852e+01, 2.076868109181306465e+01, 3.508663954285405229e+00, 2.406869814400366892e+01, 5.655231861260875625e+00, 2.566050294242216623e+01, 1.521067478082424707e+01, 3.239104279039021606e+01, 2.356794630669718504e+00, 3.416799481677253780e+00, 3.129300922758470715e+00, 6.255784138665972272e+00
2.030000000000000000e+03, 5.986176672576124069e+00, 3.756536277465843909e+01, 2.108605064761454173e+01, 3.411338373513047362e+00, 2.418876748162136181e+01, 5.550123306018382330e+00, 2.581319576282227857e+01, 1.527370388796101253e+01, 3.248798547745964527e+01, 2.124056727402703793e+00, 3.352744614487902286e+00, 3.006174975734329458e+00, 5.896403926922437755e+00
2.031000000000000000e+03, 5.969006966968609440e+00, 3.785667511144518471e+01, 2.102957242148955075e+01, 3.653972572893921633e+00, 2.408990907926132863e+01, 5.436010477350436076e+00, 2.577819080665524609e+01, 1.541238085411871239e+01, 3.225139186704677030e+01, 2.255703499374172694e+00, 3.527187645003951655e+00, 3.004648421935304903e+00, 5.699068239156168225e+00
2.032000000000000000e+03, 6.041348149874519180e+00, 3.804399419894778589e+01, 2.087249650100045884e+01, 3.677735219796921307e+00, 2.418592866855077617e+01, 5.626351818262988580e+00, 2.551378963126027344e+01, 1.546495631170940221e+01, 3.216701289772253602e+01, 2.384158448678162845e+00, 3.509173030374459934e+00, 3.055236366612558818e+00, 6.115220495597666783e+00
2.033000000000000000e+03, 6.017821493532459876e+00, 3.797036786954302556e+01, 2.098193029707010737e+01, 3.629520047517782455e+00, 2.402560174333591192e+01, 5.775161964721765351e+00, 2.556601878630170432e+01, 1.566286218179888756e+01, 3.227193705825873593e+01, 2.051395563411261502e+00, 3.403624938286440305e+00, 3.126962597888545137e+00, 6.149792619570576768e+00
2.034000000000000000e+03, 6.125804015376949074e+00, 3.774240258800490722e+01, 2.103163190522293391e+01, 3.403904610802650943e+00, 2.400803407629627628e+01, 5.710759555705114288e+00, 2.540538492070665910e+01, 1.563042661569514813e+01, 3.238551055868304474e+01, 2.097156549129651548e+00, 3.438004037345021580e+00, 3.165039548502023514e+00, 6.308324614674734931e+00
2.035000000000000000e+03, 6.081922997850937485e+00, 3.771930415114260171e+01, 2.111117326424373175e+01, 3.567887573358129671e+00, 2.396521135644562506e+01, 5.613387376332498846e+00, 2.551304741732558057e+01, 1.587224674176241734e+01, 3.262524228991848929e+01, 2.241955203303767075e+00, 3.377703355627955872e+00, 3.097601494624417473e+00, 6.263763282476731753e+00
2.036000000000000000e+03, 6.160878632237651864e+00, 3.779620723759541079e+01, 2.126560977226006344e+01, 3.563902209965084555e+00, 2.411374637435583423e+01, 5.667609747177203339e+00, 2.541937461598457659e+01, 1.592437803618981462e+01, 3.277094935593932945e+01, 2.391775776076530580e+00, 3.574469287244992799e+00, 3.152741305222958257e+00, 6.484324685287693235e+00
2.037000000000000000e+03, 6.176339712359652623e+00, 3.791719408556370752e+01, 2.120418067793327666e+01, 3.667544860375395288e+00, 2.419069531908101567e+01, 5.568604531210528563e+00, 2.535890282319775224e+01, 1.616398614962247748e+01, 3.276343888803404525e+01, 1.858409343122730650e+00, 3.480722770946873545e+00, 3.068043029510318487e+00, 6.016970021527868973e+00
2.038000000000000000e+03, 6.217066402591874485e+00, 3.781415269952702118e+01, 2.146174346271869382e+01, 3.653835097202652094e+00, 2.383405727127913210e+01, 5.633656749518028306e+00, 2.550263546245353297e+01, 1.626846324167696878e+01, 3.301998453650250553e+01, 2.420166070470198605e+00, 3.509225649014698245e+00, 3.039627638653203512e+00, 5.963104521446054740e+00
2.039000000000000000e+03, 6.144387035678929188e+00, 3.778552474051338095e+01, 2.167319786314602936e+01, 3.580586472069768433e+00, 2.398883536535376138e+01, 5.860717058927852108e+00, 2.567416648509131960e+01, 1.647040921773509226e+01, 3.318965341169742800e+01, 2.302732599190257634e+00, 3.546146370759185373e+00, 3.121523091242283776e+00, 6.116220047279410821e+00
2.040000000000000000e+03, 6.158509953274306170e+00, 3.811511942731196712e+01, 2.167420507022203324e+01, 3.530545331402974440e+00, 2.399104539243156609e+01, 5.587316170751365441e+00, 2.543385050149420579e+01, 1.640205010860500323e+01, 3.321750158445352952e+01, 2.078235250953919699e+00, 3.466066180230829463e+00, 3.255648688324470630e+00, 6.118825248889964818e+00
2.041000000000000000e+03, 6.146869385783812589e+00, 3.823085012906082625e+01, 2.186272739088867922e+01, 3.559818437333486685e+00, 2.415839089168061449e+01, 5.652509021410454970e+00, 2.570077491403446857e+01, 1.657622965564208073e+01, 3.329282590160161703e+01, 2.228162922839654669e+00, 3.406927246576811896e+00, 3.270938207611572501e+00, 6.326579914422964634e+00
2.042000000000000000e+03, 6.097357990277822104e+00, 3.851476074817045259e+01, 2.169383339034229863e+01, 3.682211789202249008e+00, 2.419150245608802052e+01, 5.856070217401524225e+00, 2.561245183812111748e+01, 1.680649093502220026e+01, 3.338948751571160756e+01, 1.972091025686249388e+00, 3.602921307698510045e+00, 3.133837173341534665e+00, 6.197845660367172549e+00
2.043000000000000000e+03, 6.028855274574251411e+00, 3.834626384838275470e+01, 2.195271627131527126e+01, 3.665574301587106287e+00, 2.420568128725806289e+01, 5.845447306587685965e+00, 2.531151589608665731e+01, 1.685906953366007954e+01, 3.340160367209729486e+01, 2.297140109000455510e+00, 3.520776524796459306e+00, 3.067569096644663595e+00, 6.369696218160354029e+00
2.044000000000000000e+03, 6.042936162547014156e+00, 3.823808708475797147e+01, 2.199748963826443671e+01, 3.765586198631756698e+00, 2.433713111626902759e+01, 5.600936933287736785e+00, 2.531967862065400965e+01, 1.697351740281543897e+01, 3.346629989668571881e+01, 2.272169193803258214e+00, 3.360219216940329989e+00, 3.163244605825961564e+00, 6.294889917130212176e+00
2.045000000000000000e+03, 6.132356663996302970e+00, 3.839184286355913400e+01, 2.164714696331307664e+01, 3.667493203197432106e+00, 2.417873807465425173e+01, 5.656124117557693509e+00, 2.533008839515450816e+01, 1.694446342522305216e+01, 3.364432553224627043e+01, 1.943238187020835950e+00, 3.552704034471859451e+00, 3.238998601808496858e+00, 6.011258900942665129e+00
2.046000000000000000e+03, 6.110475518111387672e+00, 3.846794415105716780e+01, 2.156926310646204570e+01, 3.588112695993589174e+00, 2.420110006390745028e+01, 5.845031488509548012e+00, 2.526373886692393711e+01, 1.715673259241890136e+01, 3.385424325626055975e+01, 2.644647738695058869e+00, 3.612257299160253954e+00, 3.380050798978052828e+00, 6.165069351312261858e+00
2.047000000000000000e+03, 6.161921358859342668e+00, 3.827420325990884464e+01, 2.160846213031884844e+01, 3.682983488336003308e+00, 2.426417836652382221e+01, 5.853936779386915923e+00, 2.527086899253752961e+01, 1.718460024066525449e+01, 3.400327674432371339e+01, 2.262456353667086972e+00, 3.515466239981612340e+00, 3.252021443153557012e+00, 6.134112936078839340e+00
2.048000000000000000e+03, 6.232055837047913549e+00, 3.814075946481920454e+01, 2.204113179570453340e+01, 3.814302363363317294e+00, 2.427624987720032124e+01, 5.547475129166354435e+00, 2.526286550963229161e+01, 1.732514866237934470e+01, 3.389063497478871767e+01, 1.828880341107052443e+00, 3.653909260822655991e+00, 3.265414573700982537e+00, 6.206630318032178018e+00
2.049000000000000000e+03, 6.135504348791011253e+00, 3.823967373496437716e+01, 2.193033581535810228e+01, 3.556591650367190383e+00, 2.416234313895274965e+01, 5.703151798426337571e+00, 2.497574606860558077e+01, 1.718255766863630640e+01, 3.393526742195694368e+01, 2.217416575294092862e+00, 3.572742687655702909e+00, 3.157387088228756689e+00, 6.587909996285513436e+00
2.050000000000000000e+03, 5.974712608011141235e+00, 3.822165530696415203e+01, 2.205413875641849586e+01, 3.558441983818796395e+00, 2.423951235478521937e+01, 6.083129255707040883e+00, 2.501840645257344775e+01, 1.713325567991529397e+01, 3.414028024485663337e+01, 2.469992149352504995e+00, 3.678742498974409081e+00, 3.265308756305361104e+00, 6.195420769745807910e+00
