year, EC-Earth3-Veg, IPSL-CM6A-LR, UKESM1-0-LL, CESM2-WACCM, TaiESM1, NorESM2-LM, CMCC-CM2-SR5, GFDL-ESM4, ACCESS-ESM1-5, MIROC-ES2L, MPI-ESM1-2-LR, CNRM-ESM2-1, NorESM2-MM, CanESM5
2.015000000000000000e+03, 1.056046654106134142e+01, 1.203210353184782022e+01, 1.190709706192014039e+01, 7.209723184278260533e+00, 9.192711632355818452e+00, 5.950467550266846040e+00, 6.569735401350056847e+00, 8.390193774686776962e+00, 1.127249372958208795e+01, 1.192866157280535511e+01, 1.189845044212884062e+01, 6.098237759375583877e+00, 5.843945417487291571e+00, 2.180007389752844205e+01
2.016000000000000000e+03, 1.050539955229428557e+01, 1.224261864262587451e+01, 1.212473615045905895e+01, 7.196665519781773490e+00, 9.535810091317593162e+00, 5.759671949455384521e+00, 6.641673313881467422e+00, 8.436840765594025626e+00, 1.123752861750717358e+01, 1.133726583638604168e+01, 1.198758034008038820e+01, 6.570093640693420056e+00, 6.093477228617928176e+00, 2.144962039914082652e+01
2.017000000000000000e+03, 1.069367730315259024e+01, 1.226748001240187946e+01, 1.181963296983645861e+01, 7.081019919422629094e+00, 9.212433467006066579e+00, 5.767072059137069218e+00, 6.589460031905801429e+00, 8.457418724623522621e+00, 1.151714242648932363e+01, 1.128812892674524626e+01, 1.254616925031054819e+01, 6.627143348909338094e+00, 5.981253739287602400e+00, 2.185635850012383941e+01
2.018000000000000000e+03, 1.057378416851602054e+01, 1.243329982691363966e+01, 1.217707241023368070e+01, 7.112980182410931107e+00, 9.615797035423002015e+00, 5.765363583816559334e+00, 6.600741408493695062e+00, 8.351751274190164054e+00, 1.156979774921891924e+01, 1.151589009317416057e+01, 1.246839894640562107e+01, 6.164959344234805627e+00, 6.134201371623123400e+00, 2.219500912228750522e+01
2.019000000000000000e+03, 1.052676608543622727e+01, 1.231659700196855667e+01, 1.217058564680932697e+01, 7.532479317168562005e+00, 9.482853819237581305e+00, 5.679863939595871436e+00, 6.526651936191883330e+00, 8.379933282474613776e+00, 1.161749917343261806e+01, 1.205307186068793790e+01, 1.296130901045312633e+01, 6.381657458319129894e+00, 6.167736147468926511e+00, 2.194731018068679163e+01
2.020000000000000000e+03, 1.052617267896343023e+01, 1.255664858672832374e+01, 1.187180095771629595e+01, 7.143238350182469887e+00, 9.812937733313193078e+00, 5.626578619374821066e+00, 6.813759925916428095e+00, 8.664300997228732371e+00, 1.172619520990449615e+01, 1.165857362580148049e+01, 1.266574646465110554e+01, 6.784902970574465009e+00, 6.167140564861524510e+00, 2.177580058635518512e+01
2.021000000000000000e+03, 1.079727544367380965e+01, 1.238573164801057302e+01, 1.223681270212772532e+01, 7.463729007421136430e+00, 9.587373658238851348e+00, 5.764888232321824013e+00, 6.676558652477495137e+00, 8.583255766658986374e+00, 1.157595172271861195e+01, 1.152232034450033993e+01, 1.246611461636157259e+01, 6.661721873576001762e+00, 6.169968741429633141e+00, 2.216927415947700553e+01
2.022000000000000000e+03, 1.091115308982122833e+01, 1.243774575572193442e+01, 1.167534978887573693e+01, 7.277018947231360002e+00, 9.315124870031777249e+00, 5.473414684432625243e+00, 6.762358124731764342e+00, 8.333344229771372014e+00, 1.135014690376636182e+01, 1.169871893486685011e+01, 1.257265378322506955e+01, 5.859282930673573198e+00, 6.177632320020371992e+00, 2.189444302422060318e+01
2.023000000000000000e+03, 1.038393016380180534e+01, 1.273612854629661584e+01, 1.249478165257091256e+01, 7.421149498744878059e+00, 9.565767458693047232e+00, 5.622090203500657246e+00, 6.609985817984747491e+00, 8.351646708846891087e+00, 1.141945460677119328e+01, 1.187929053108720368e+01, 1.268687350276798576e+01, 5.786245985460330310e+00, 6.151419679768411086e+00, 2.248904482580351427e+01
2.024000000000000000e+03, 1.063741665930610480e+01, 1.283408479852170281e+01, 1.194661621686191921e+01, 7.657146498030805049e+00, 9.529071216628585361e+00, 5.563476161384109275e+00, 6.504371175491121981e+00, 8.339848713875074537e+00, 1.151675408113127830e+01, 1.210778542002933378e+01, 1.279268778451646504e+01, 5.653815522730540444e+00, 6.097557954571117378e+00, 2.254479345284533665e+01
2.025000000000000000e+03, 1.072507581513854724e+01, 1.284575955406452330e+01, 1.187815580891965261e+01, 7.676860828555517990e+00, 9.624519819072382631e+00, 5.824961008336186907e+00, 6.799761643823700297e+00, 8.332006839932656561e+00, 1.162768565136328114e+01, 1.185163917565813207e+01, 1.281861779664045642e+01, 6.486409480118726201e+00, 6.373133040387724435e+00, 2.222320112626989186e+01
2.026000000000000000e+03, 1.036560419230579555e+01, 1.248712441043676868e+01, 1.212575657473877833e+01, 7.230265026117377758e+00, 9.683855906706408945e+00, 5.699487532962344005e+00, 6.840308229785440730e+00, 8.435510335826080563e+00, 1.151437537932532251e+01, 1.152843729469534217e+01, 1.245715229056730777e+01, 6.189027665921710941e+00, 6.408554856509153907e+00, 2.235369951359573193e+01
2.027000000000000000e+03, 1.081137780587927999e+01, 1.244666404867142973e+01, 1.230927505039424297e+01, 7.247375698931318055e+00, 9.630169740998733019e+00, 5.650632515340261897e+00, 6.889014960688214728e+00, 8.329213198709846111e+00, 1.152463419756580620e+01, 1.155930735803558740e+01, 1.346192421944456186e+01, 6.427225456004626913e+00, 6.327232162423571893e+00, 2.231512324795167501e+01
2.028000000000000000e+03, 1.088439088184590098e+01, 1.270449789493322612e+01, 1.249329414588482123e+01, 7.344960099486948835e+00, 9.699962784412196726e+00, 5.363822438193364128e+00, 6.906585599435338452e+00, 8.516179426867740432e+00, 1.154099014923928124e+01, 1.200008401251030499e+01, 1.330538088226613702e+01, 6.058864449797830787e+00, 6.423470127440254807e+00, 2.305443931918548017e+01
2.029000000000000000e+03, 1.093648148041264001e+01, 1.290839212842467987e+01, 1.159696651625549890e+01, 7.381418922076545819e+00, 9.745800361758426789e+00, 5.621186222071925975e+00, 6.913400064644665832e+00, 8.477869170519399589e+00, 1.149133255317670610e+01, 1.226674328346108389e+01, 1.318696410683289955e+01, 6.216378428520912713e+00, 6.199530607224676970e+00, 2.259992726418495934e+01
