year, NorESM2-MM, CNRM-ESM2-1, NorESM2-LM, TaiESM1, GFDL-ESM4
2.046000000000000000e+03, 6.016302851323117241e-10, 5.645483981218696546e-10, 6.184545718761134151e-10, 6.279945367315705300e-10, 1.640833297275001565e-09
2.047000000000000000e+03, 5.121467860721330732e-10, 5.186349676964379713e-10, 6.456573526908089215e-10, 4.082340888456087262e-10, 1.631458293706897938e-09
2.048000000000000000e+03, 6.194392316171285496e-10, 4.346238161306553232e-10, 4.814562409350691707e-10, 3.100586711648864369e-10, 1.381039187273156645e-09
2.049000000000000000e+03, 7.216941045820820939e-10, 6.456091228576333745e-10, 5.514708796230717349e-10, 3.592557849197500375e-10, 1.438660469962823296e-09
2.050000000000000000e+03, 6.986220196446676267e-10, 5.058919649978922024e-10, 5.233755246662896222e-10, 4.763314894108725250e-10, 1.374067608066476377e-09
2.051000000000000000e+03, 8.494607838349804857e-10, 4.794009302963608488e-10, 6.516200491052655994e-10, 4.179816240260523581e-10, 1.487512826764067952e-09
2.052000000000000000e+03, 6.553759991477244151e-10, 6.646364907847606919e-10, 5.229610958758542349e-10, 3.521910888939096946e-10, 1.374288547983254640e-09
2.053000000000000000e+03, 6.716609848605124077e-10, 6.784524144205087719e-10, 4.954268187825932256e-10, 3.161031237824403769e-10, 1.707137840584845287e-09
2.054000000000000000e+03, 6.317926804952147243e-10, 5.647801414588477722e-10, 6.901756824973131498e-10, 4.880923386283657978e-10, 1.768714328620910463e-09
2.055000000000000000e+03, 6.573663482944916646e-10, 5.055370500000591270e-10, 6.287486922854649613e-10, 3.829329995969557450e-10, 1.794460232778167581e-09
2.056000000000000000e+03, 8.736904635773752975e-10, 7.167293317869728344e-10, 5.791012115606370181e-10, 6.159893407399306523e-10, 1.406475582436891501e-09
2.057000000000000000e+03, 6.227203793213632756e-10, 4.976069851794394751e-10, 5.172738347254780236e-10, 4.427347166924160249e-10, 1.639845045700296101e-09
2.058000000000000000e+03, 8.303048821425858062e-10, 5.286244885700922952e-10, 5.831233408977018318e-10, 5.313500371013465510e-10, 1.848277618891187237e-09
2.059000000000000000e+03, 7.302630399093423659e-10, 5.395332712394114322e-10, 4.450548459400883387e-10, 4.823044980665535851e-10, 1.995688467981853189e-09
2.060000000000000000e+03, 7.049372492258718566e-10, 6.175064027275534797e-10, 5.765619530718888779e-10, 7.675227284661393594e-10, 1.889511676059745067e-09
2.061000000000000000e+03, 6.974948740128733045e-10, 6.111284784004690512e-10, 5.578766483801572369e-10, 5.681750564556210450e-10, 1.782961141139861424e-09
2.062000000000000000e+03, 5.176127771499292555e-10, 5.167297095362658849e-10, 5.336152323052052461e-10, 4.033691090144432406e-10, 1.649384655424123935e-09
2.063000000000000000e+03, 7.502456735348640286e-10, 4.512137896592247637e-10, 5.313258918141088859e-10, 5.843178643334329501e-10, 1.635700509528152650e-09
2.064000000000000000e+03, 6.700388605235821489e-10, 6.031117954476126917e-10, 5.826009467217737625e-10, 5.485811056335248538e-10, 1.703510084510696312e-09
2.065000000000000000e+03, 7.709837653309181327e-10, 6.771227270862253725e-10, 6.163375676257396563e-10, 4.109432754760397430e-10, 1.597121529192282486e-09
2.066000000000000000e+03, 7.101255996729503125e-10, 4.354459379269281059e-10, 5.051341016662681343e-10, 4.841874247838256176e-10, 1.729218485771925903e-09
2.067000000000000000e+03, 5.908831237801695658e-10, 6.810835709252051030e-10, 4.417229475188141708e-10, 7.711129536175987707e-10, 1.551748312751923255e-09
2.068000000000000000e+03, 5.713633818877938086e-10, 5.563144506023104122e-10, 6.071907761967760648e-10, 4.038889789347622290e-10, 2.160195879744584303e-09
2.069000000000000000e+03, 7.344317308531246874e-10, 5.081865359950333965e-10, 7.596242379478385981e-10, 2.751681000947986787e-10, 1.332877476161511997e-09
2.070000000000000000e+03, 6.589747350173902833e-10, 8.593467053446913716e-10, 8.962374473726098966e-10, 4.895960475032000168e-10, 1.668301182000333448e-09
2.071000000000000000e+03, 7.553535187956031570e-10, 4.227595909838120485e-10, 6.622070679294330353e-10, 5.982681984286712558e-10, 2.080158708531460994e-09
2.072000000000000000e+03, 8.543183489980542125e-10, 5.394020087757751524e-10, 5.247711616935432570e-10, 4.285528145427223168e-10, 1.410448344148484762e-09
2.073000000000000000e+03, 6.064432867419857902e-10, 6.918370359049776598e-10, 5.173953072497006529e-10, 4.126914225113499285e-10, 1.772065745601863677e-09
2.074000000000000000e+03, 4.970097596701821922e-10, 4.991238786526366697e-10, 6.205464704927293475e-10, 5.270742867884822353e-10, 1.879279839333981321e-09
2.075000000000000000e+03, 6.200355341674804791e-10, 6.537826467174713690e-10, 7.547372814083134596e-10, 4.425116332356629920e-10, 1.790465342965323842e-09
2.076000000000000000e+03, 9.004814296937281451e-10, 5.580891461962725305e-10, 6.345673372397541840e-10, 4.586868336155363413e-10, 1.771746114441318875e-09
2.077000000000000000e+03, 8.477343139692784849e-10, 5.536913698257607941e-10, 8.873327429361828226e-10, 3.377659443635661953e-10, 1.631365618761711297e-09
2.078000000000000000e+03, 9.459975876826970005e-10, 4.422970374508182701e-10, 6.785169942494164192e-10, 3.947941377907827961e-10, 1.506217219779351865e-09
2.079000000000000000e+03, 9.031961183900424788e-10, 5.588599108293838948e-10, 4.949955328328446050e-10, 4.304188667972824308e-10, 1.799726557548482676e-09
2.080000000000000000e+03, 9.059120489042500341e-10, 5.716231180703570776e-10, 7.087628487562903355e-10, 4.145083120827992348e-10, 1.565119471706375361e-09
2.081000000000000000e+03, 4.945106853439356320e-10, 5.255844534589370335e-10, 7.320291951671251592e-10, 2.913992543424626406e-10, 1.444332698072873019e-09
2.082000000000000000e+03, 7.084752994258361202e-10, 5.123767147866018673e-10, 8.680726784125893551e-10, 6.048058846763001082e-10, 1.518747177986770812e-09
2.083000000000000000e+03, 8.391782165410397570e-10, 5.321356217623561831e-10, 4.792679867819684748e-10, 6.306625554143919264e-10, 1.439611541740341883e-09
2.084000000000000000e+03, 7.323416164532178187e-10, 5.577674910670113062e-10, 5.862109115982122111e-10, 4.691636348360326626e-10, 1.718428024278900566e-09
2.085000000000000000e+03, 7.226440847059972607e-10, 4.989310460579373836e-10, 7.892482272474527144e-10, 3.729828920914629402e-10, 1.637182070283553217e-09
2.086000000000000000e+03, 6.321851383763336145e-10, 3.810538079135899405e-10, 5.626832107652967436e-10, 4.173190622175832955e-10, 1.341481840387754076e-09
2.087000000000000000e+03, 6.331748200704435926e-10, 7.339439212173363124e-10, 5.651360393447028800e-10, 4.156665820720779099e-10, 1.529968037808323546e-09
2.088000000000000000e+03, 7.779792206015472226e-10, 5.961402777345861641e-10, 7.686377840717302673e-10, 3.523650845848796876e-10, 1.685815516175048992e-09
2.089000000000000000e+03, 7.276495404158755819e-10, 5.682028012866349049e-10, 6.630934815449934986e-10, 4.663351159156455302e-10, 1.741453989615590154e-09
2.090000000000000000e+03, 6.029531735915779242e-10, 5.740373043678225681e-10, 5.147361183034885529e-10, 3.496143140859781779e-10, 1.612357943175193298e-09
2.091000000000000000e+03, 7.617586639532717069e-10, 4.270402712011901394e-10, 5.281951407779380933e-10, 3.654999386038552704e-10, 1.639185386637426997e-09
2.092000000000000000e+03, 6.093296398312325658e-10, 5.363660345988902954e-10, 6.682299269379540536e-10, 6.718832381643208042e-10, 1.839796985645569496e-09
2.093000000000000000e+03, 5.231023359982730404e-10, 3.779378409740476510e-10, 6.876027798399126968e-10, 5.400274169156026557e-10, 1.657114221626043379e-09
2.094000000000000000e+03, 8.142421863791076597e-10, 5.150808696242154583e-10, 5.836694287732777678e-10, 3.778564187458661876e-10, 1.563473554431808598e-09
2.095000000000000000e+03, 9.340454042973100685e-10, 4.711658950839275563e-10, 5.647861965181053232e-10, 5.173647334935480362e-10, 1.634875561611671173e-09
2.096000000000000000e+03, 5.953987707553224322e-10, 5.382104660988503509e-10, 5.898507988776195459e-10, 5.867086759220484319e-10, 1.282186727221856637e-09
2.097000000000000000e+03, 6.100361670550331129e-10, 5.343258242304264863e-10, 6.091784104919349698e-10, 3.795692697375908765e-10, 1.674912958874795427e-09
2.098000000000000000e+03, 7.590754626821708445e-10, 4.264502604094486449e-10, 4.932629681980998488e-10, 4.168148759376990085e-10, 1.637601396083715088e-09
2.099000000000000000e+03, 6.799986791610847365e-10, 6.261954367029096973e-10, 5.790217495916466483e-10, 5.921855449029925030e-10, 1.627397800259665960e-09
2.100000000000000000e+03, 5.687739376872189989e-10, 5.300327903249985378e-10, 4.786556276548412741e-10, 5.639031227658900625e-10, 1.688118515993340580e-09
