year, GFDL-ESM4, MPI-ESM1-2-LR, EC-Earth3-Veg
2.015000000000000000e+03, 1.257829089134805545e-09, 9.500888106103030036e-10, 6.264046889390375019e-10
2.016000000000000000e+03, 1.200723259947634929e-09, 9.330447982704052462e-10, 6.159632391078884698e-10
2.017000000000000000e+03, 1.348985715577041558e-09, 1.017732336899184890e-09, 6.187109395779365482e-10
2.018000000000000000e+03, 1.228262214790870645e-09, 1.061987907819404218e-09, 6.132046200458089691e-10
2.019000000000000000e+03, 1.268116028236167890e-09, 1.098489211343862847e-09, 6.082463434955813876e-10
2.020000000000000000e+03, 1.325079945632518753e-09, 1.049352602592402343e-09, 6.677013490687226326e-10
2.021000000000000000e+03, 1.259887429373797400e-09, 1.064615845140236468e-09, 6.055366306305815365e-10
2.022000000000000000e+03, 1.226926530104522616e-09, 1.031476627168590873e-09, 5.953786163532577613e-10
2.023000000000000000e+03, 1.198010588192295851e-09, 1.028352830917615714e-09, 6.125995337284677135e-10
2.024000000000000000e+03, 1.238827795271849757e-09, 1.017871581749598798e-09, 6.185435649274683323e-10
2.025000000000000000e+03, 1.218187795772442668e-09, 1.026926771092650968e-09, 5.949310688717769731e-10
2.026000000000000000e+03, 1.212031751735678808e-09, 1.035923773958265735e-09, 6.204783144985346290e-10
2.027000000000000000e+03, 1.203473264248530969e-09, 1.079977101873521005e-09, 6.592726561082443607e-10
2.028000000000000000e+03, 1.206380022469396563e-09, 1.158003371983413933e-09, 5.976466757570663787e-10
2.029000000000000000e+03, 1.266177053650326284e-09, 1.119619370329956548e-09, 6.014902380085573939e-10
2.030000000000000000e+03, 1.268104265348369462e-09, 1.008362901834216258e-09, 5.745985397620133868e-10
2.031000000000000000e+03, 1.373935381542325204e-09, 9.958942566438909722e-10, 6.082205579431389003e-10
2.032000000000000000e+03, 1.238157056918698169e-09, 1.070768592485699392e-09, 6.096907008936819081e-10
2.033000000000000000e+03, 1.321450700165051729e-09, 1.069919243939972398e-09, 6.278363961413963804e-10
2.034000000000000000e+03, 1.288015297684220623e-09, 1.081092421901846905e-09, 6.578191839864351204e-10
2.035000000000000000e+03, 1.442318934949003437e-09, 1.088700621529200987e-09, 5.823506034902396308e-10
2.036000000000000000e+03, 1.388228745603018767e-09, 1.052284503102211637e-09, 5.902978224949093105e-10
2.037000000000000000e+03, 1.469642344448941485e-09, 1.122385929685779887e-09, 6.098268095901075104e-10
2.038000000000000000e+03, 1.355455119515716736e-09, 1.162706720393505822e-09, 6.146767673913068282e-10
2.039000000000000000e+03, 1.394387970467313241e-09, 1.057276514748325107e-09, 5.843563291318683894e-10
2.040000000000000000e+03, 1.328986331265243437e-09, 1.079643244964219565e-09, 6.339110382951304200e-10
2.041000000000000000e+03, 1.417551998006569322e-09, 1.106929410293780309e-09, 5.782277373359636535e-10
2.042000000000000000e+03, 1.392460510980860187e-09, 1.051106437585307761e-09, 6.226728743038942906e-10
2.043000000000000000e+03, 1.274221228967447264e-09, 1.097529614427843797e-09, 5.978475746546905692e-10
2.044000000000000000e+03, 1.250305807420612772e-09, 1.158339066858694094e-09, 5.803290620940519242e-10
