year, CESM2-WACCM, GFDL-ESM4, CNRM-ESM2-1, MPI-ESM1-2-LR, INM-CM5-0, MIROC-ES2L, CMCC-CM2-SR5, CanESM5, EC-Earth3-Veg, UKESM1-0-LL, NorESM2-LM, TaiESM1, ACCESS-ESM1-5, NorESM2-MM, IPSL-CM6A-LR, INM-CM4-8
2.015000000000000000e+03, 7.419700913759141869e-02, 3.131324990488325299e-02, -5.815213639926575251e-01, -1.806400010172648229e-01, 9.486153643474242170e-01, -7.236913435318846899e-01, 3.596672609165733059e-01, 5.415306335364359347e-01, 1.111498821593858155e+00, -2.561784038109786166e-01, 4.521034288778512100e-01, 1.499870263249105384e-01, -5.588924438141121276e-02, -3.209828661526522020e-01, 7.649605967484045255e-02, 1.604458797767219114e+00
2.016000000000000000e+03, -9.450537198601358102e-02, 6.640960045361854469e-01, 5.372117822093274153e-01, 3.760361333480388701e-01, 9.141422086316278728e-01, 7.442391887948729412e-01, -2.398264004571411256e-01, 1.424621041170953673e+00, 9.443938914329248757e-02, 3.332701680074670603e-01, 1.213110232921724985e-01, -8.894817153258434139e-01, 7.072026162561709794e-01, 2.739047666239631251e-01, -6.677912213115498596e-02, 1.103016716328375058e+00
2.017000000000000000e+03, 2.627748453375088888e-01, -6.700926365874302348e-01, -1.591780537577582380e-02, 7.689886865286585937e-01, 1.035500625952138654e+00, 5.840080752734237990e-01, 2.849897868752286900e-01, 7.332590253763360266e-01, -1.200631245801578872e-01, 3.013732093603639917e-01, 5.016782873105326765e-03, 2.769735622983353629e-01, 7.883603916916973597e-01, 1.442561863711487313e-01, -2.508024058927411093e-01, 1.170919056177805562e+00
2.018000000000000000e+03, -2.892419850549282634e-01, 1.186773563978323759e-01, -3.775139396182906615e-01, 5.821594368346968418e-01, 9.884918779204995287e-01, 4.371232844201545231e-01, 6.018675762519636319e-01, -3.540820200625721115e-01, -2.112332252964884971e-01, -2.806766788935105561e-01, -5.197131235275792571e-02, -2.226814253901792870e-02, 6.206562412967987497e-01, 1.481455838576162254e-01, 1.529868316760610303e-01, 1.335425413155398866e+00
2.019000000000000000e+03, 4.467072635907905487e-01, 4.441098557759564081e-01, 4.694638791574514691e-01, 5.680872049309538818e-01, 8.536767730798348053e-01, -5.241857287041010727e-01, -2.784722982346606382e-02, 8.010397706731849921e-01, 1.118242443494873006e+00, 4.585027950625743531e-01, 1.383949663730425772e-01, 4.284839979050623637e-01, 1.989385082121996329e-01, 2.283761853734417313e-01, 1.902366302729436853e-01, 2.590966317803601315e-01
2.020000000000000000e+03, 1.443749572759763233e-01, -2.405690194614107658e-01, 5.230128935638294063e-01, 1.091902971322283727e-01, 1.763911681225675210e+00, 1.603592354386521313e-01, 2.072279127442952507e-01, 2.370469998228651731e-01, 8.377853532551086113e-01, -1.471085110180391509e-01, -1.417416264283833660e-01, -2.603891377974854038e-01, -1.058074254525470215e+00, -1.726612545467267473e-02, 1.074795824453493032e-01, 5.489798550077459316e-01
2.021000000000000000e+03, 5.384704863298872546e-01, -4.076695954772286412e-01, 4.352776557607437868e-02, 6.645987635607937261e-01, 1.092884743577175355e+00, 7.737515007187710792e-01, 3.396848090703744605e-01, 8.651425298654006335e-01, -8.091285147746748452e-01, 4.002607537793402837e-01, 3.222056952343276270e-01, -2.038030342883770107e-01, -7.605553370481284992e-01, 4.176574396971190484e-01, -1.671353976216461978e-01, 1.446665038981932216e+00
2.022000000000000000e+03, 5.054713139710556580e-02, 8.436047220953302173e-02, -1.035852622503581566e+00, 4.724227003535760305e-01, 2.347604861020696987e+00, 4.762147922363700325e-01, 5.974574579627918158e-01, 1.361888204213340670e+00, -2.731442367198957388e-01, -7.553177752489077523e-01, 1.957057829560776563e-01, 5.729391213834725827e-01, 5.193883237649238316e-01, 3.300426353968705095e-01, 9.692479656606848293e-01, 3.136925089708237024e+00
2.023000000000000000e+03, 4.927453989700832926e-01, -2.552040649806334646e-02, 7.380514438740715111e-02, 5.651086581672769560e-01, 1.298159376512765695e+00, 2.043719096879476615e-01, 4.170416746153902676e-01, 2.540808452208843105e-01, 1.256830703575087416e+00, 1.495435990476813859e-01, 2.611395542051270779e-01, 2.506173766242323908e-01, 4.129563964751749583e-01, 3.503527149797429074e-01, 3.455184543446420120e-01, 1.719978921256736015e+00
2.024000000000000000e+03, 2.962382360566914175e-01, -1.482019150017070963e-01, -4.809609767942281677e-01, 3.483256752794395839e-01, 3.255297597227428952e-01, -2.390863283636168735e-01, 2.348289877836678419e-01, 3.493586608521769832e-01, -2.470673945014007500e-01, 2.685311563766117904e-01, 3.050064496045420404e-01, 5.764618150884203152e-01, 3.557616722082691529e-01, 2.778538932530388861e-01, 2.168692598574188946e-01, 2.851302109119499550e-01
2.025000000000000000e+03, 6.665552871550742831e-01, 5.772897856956521467e-01, 3.564966178054504997e-01, 3.641574042491912411e-01, 6.765954778446649220e-02, 1.865022867294551523e-01, 4.146033174377856123e-01, 8.217872459224572212e-01, -3.975828514173030404e-01, 1.267196555914687217e-01, 7.898750205587456996e-01, -8.023254417489587009e-01, -2.846251137592840652e-01, 1.893998089859129930e-01, 4.400424927292813093e-01, 2.245610268875779969e+00
2.026000000000000000e+03, -3.553926746849692120e-02, -1.865351328544388176e-01, 1.710961683606629646e-01, 4.670487713082590031e-01, 1.750998027115777678e-01, 7.438350280279257820e-01, 8.452347827351845699e-02, 7.389354370582020826e-01, 2.330589573742001708e+00, 1.286840993079404194e-01, 1.087901344676207582e-01, 3.095041009211462191e-01, 8.264265797120194657e-02, 4.463204367023508867e-01, 2.529041738822051522e-01, 9.830923609237233185e-01
