year, MPI-ESM1-2-LR, EC-Earth3-Veg, GFDL-ESM4, UKESM1-0-LL, CESM2-WACCM, NorESM2-LM, IPSL-CM6A-LR, NorESM2-MM, TaiESM1
2.028000000000000000e+03, 4.007995525685379351e-10, 1.040020297503934717e-09, 4.398968572877737465e-10, 4.585558262619279028e-10, 2.653059579589505343e-10, 6.557951723314016451e-11, 1.165994417117462162e-09, 7.150450835853429226e-11, 1.331812465494530493e-10
2.029000000000000000e+03, 4.146930703814353852e-10, 1.015122250667322375e-09, 4.483420219773272545e-10, 4.933183601671392283e-10, 2.593395326096624272e-10, 6.550010537825918233e-11, 1.213429339687201003e-09, 7.147820969909138618e-11, 1.331264152745643951e-10
2.030000000000000000e+03, 4.074540916799114850e-10, 1.051925744615188211e-09, 4.452085692970609800e-10, 4.472067342834476939e-10, 2.535337777900356584e-10, 6.553165728349095075e-11, 1.151238581003520143e-09, 7.172314703823352835e-11, 1.342181523376570606e-10
2.031000000000000000e+03, 3.774783032029050593e-10, 1.068305424990646029e-09, 4.446354128978794712e-10, 4.787702371254790525e-10, 2.668938225921560515e-10, 6.566961480404013273e-11, 1.211027230424821941e-09, 7.190662867721988152e-11, 1.358326349999723285e-10
2.032000000000000000e+03, 3.633506958938022931e-10, 1.054163009776903366e-09, 4.756303704064929256e-10, 4.893931384114763862e-10, 2.671722339382038732e-10, 6.601621934671217559e-11, 1.173051320515295972e-09, 7.252220112080978932e-11, 1.371363569260914007e-10
2.033000000000000000e+03, 3.658196052777950455e-10, 1.148166276541900466e-09, 4.563702644470420530e-10, 4.877908245469875915e-10, 2.468792023663426508e-10, 6.665229802715878783e-11, 1.198555860324158029e-09, 7.303629500942297097e-11, 1.384920301483023431e-10
2.034000000000000000e+03, 3.883105567014309734e-10, 1.093506500908448835e-09, 4.678534670363677291e-10, 4.683126851593772073e-10, 2.502232001467097635e-10, 6.722461858305568212e-11, 1.249859925826621687e-09, 7.341121186249990916e-11, 1.401040251655749369e-10
2.035000000000000000e+03, 4.189774496281733693e-10, 1.036165295904106528e-09, 4.986030149763289905e-10, 4.392133242172285962e-10, 2.821961310608483765e-10, 6.775754764534270664e-11, 1.235256371178338318e-09, 7.394165757875676678e-11, 1.408839469760334171e-10
2.036000000000000000e+03, 4.173003981708994757e-10, 1.097948459780526529e-09, 4.679622702465207967e-10, 4.456028268947617929e-10, 2.540588646693869309e-10, 6.812890210032430431e-11, 1.240357239701007456e-09, 7.472895231244975593e-11, 1.411889089586467753e-10
2.037000000000000000e+03, 3.995787666332574269e-10, 1.056824750225481516e-09, 4.802081147918994711e-10, 5.180530362307691270e-10, 2.433568317418221000e-10, 6.854344171693482624e-11, 1.141731365782872607e-09, 7.523394050641937867e-11, 1.428814267520067078e-10
2.038000000000000000e+03, 4.175597392415240613e-10, 1.127137158935095809e-09, 4.930451447156162893e-10, 5.055459876594210094e-10, 2.622237044387887281e-10, 6.898285013959250030e-11, 1.255483053172007932e-09, 7.590564301287598206e-11, 1.441668556404411564e-10
2.039000000000000000e+03, 4.151447900214321590e-10, 1.039365410243751437e-09, 5.198263888458063535e-10, 5.430510191472191771e-10, 2.685367524155582432e-10, 7.018615045705776149e-11, 1.254338418656264353e-09, 7.638799980945240888e-11, 1.442015347725408325e-10
2.040000000000000000e+03, 4.073178144538583764e-10, 1.133103144904248049e-09, 4.815251554034452639e-10, 5.481326420731860567e-10, 2.533108738489585287e-10, 7.025000856532200526e-11, 1.257269890154874544e-09, 7.663741319005516870e-11, 1.454241705196266572e-10
2.041000000000000000e+03, 4.235293945233933975e-10, 1.079416637732344637e-09, 5.120863448353812249e-10, 5.219219225303774073e-10, 2.551581093738406991e-10, 7.048313184414707218e-11, 1.307368480145920302e-09, 7.664358196022416035e-11, 1.463839050229307277e-10
2.042000000000000000e+03, 4.276307299860906435e-10, 1.128029665428475564e-09, 5.186243879636956000e-10, 5.206179818306184256e-10, 2.389626660524339408e-10, 7.062713521491522316e-11, 1.260856333694019163e-09, 7.661081201898927304e-11, 1.479513221905940107e-10
2.043000000000000000e+03, 4.224271076346435450e-10, 1.099297751927105653e-09, 4.866711735640908652e-10, 5.382936991665801191e-10, 2.664761259522110294e-10, 7.087617120954728469e-11, 1.285304576085103911e-09, 7.687749529190222052e-11, 1.503022593433155028e-10
2.044000000000000000e+03, 4.194377611056393341e-10, 1.100041934560585833e-09, 4.944628466724069185e-10, 5.258516748290447373e-10, 2.654158166175609619e-10, 7.113365546527293948e-11, 1.257207937290854215e-09, 7.712279886316821720e-11, 1.520950144983055960e-10
2.045000000000000000e+03, 4.218187065885615592e-10, 1.054626039556588226e-09, 5.034230418248616595e-10, 5.415144070665860656e-10, 2.633094052653421492e-10, 7.171713785052997667e-11, 1.272434639678763075e-09, 7.747355315629268220e-11, 1.532494729524534647e-10
2.046000000000000000e+03, 4.213550559142679206e-10, 1.110216214777549535e-09, 4.965791343477850740e-10, 5.538272358257183918e-10, 2.773895493408732490e-10, 7.186702452851721099e-11, 1.309197626702089811e-09, 7.764957557317662522e-11, 1.533631202794993067e-10
2.047000000000000000e+03, 4.359860146110477773e-10, 1.086275200614019081e-09, 5.136720448620970556e-10, 5.847759530579202259e-10, 2.794807197962734828e-10, 7.200170724893115844e-11, 1.347563081791473977e-09, 7.782962282373468724e-11, 1.528819759364837958e-10
2.048000000000000000e+03, 4.214574195485898019e-10, 1.141687175468562603e-09, 5.414819871076273814e-10, 5.985033147430204538e-10, 2.506551433488186889e-10, 7.203623249608835066e-11, 1.286844001452176061e-09, 7.782318341893124803e-11, 1.535378214067624953e-10
2.049000000000000000e+03, 4.180586006810957292e-10, 9.906259023179017895e-10, 4.652391601350866789e-10, 5.494046532661444849e-10, 2.581591559972375472e-10, 7.198439029562702989e-11, 1.288278099887973519e-09, 7.795586295232754355e-11, 1.542799093181946699e-10
2.050000000000000000e+03, 4.165810021473855626e-10, 1.173861831515208768e-09, 5.152918278332011818e-10, 5.293797075727406871e-10, 2.837342675671254452e-10, 7.200016247793747451e-11, 1.335894108522594765e-09, 7.785685263850184750e-11, 1.465355649368607200e-10
2.051000000000000000e+03, 4.026512838067348769e-10, 1.113162880976274043e-09, 5.223735573782264026e-10, 5.303856006371509723e-10, 2.598456714607648576e-10, 6.919722100479977613e-11, 1.408764221249064008e-09, 7.400159342831744125e-11, 1.460270954349567648e-10
2.052000000000000000e+03, 4.323277461438189713e-10, 1.115503119022930710e-09, 5.313820059452515641e-10, 5.676725912671193341e-10, 2.607016503248678423e-10, 6.926485636644358366e-11, 1.327737053540954336e-09, 7.396015622524430061e-11, 1.469612668838920083e-10
2.053000000000000000e+03, 4.469197138550020331e-10, 1.072272186351552709e-09, 5.527345421302667410e-10, 5.517666188836112850e-10, 2.624376614139144457e-10, 6.943826555309510002e-11, 1.319795423958222806e-09, 7.403095702519388432e-11, 1.475338829471026067e-10
2.054000000000000000e+03, 4.583609393904287969e-10, 1.096216700814044517e-09, 4.890238088571217164e-10, 5.182182137646421562e-10, 2.810997611410812385e-10, 6.944002020901188732e-11, 1.337519752428068201e-09, 7.404427487986941545e-11, 1.474112745768770356e-10
2.055000000000000000e+03, 4.637732856258899275e-10, 1.121724155836996073e-09, 5.167347921638313493e-10, 4.983103548645234682e-10, 2.904575792796634863e-10, 6.935322099561849193e-11, 1.394004139026031412e-09, 7.408544306610668394e-11, 1.471887518558831019e-10
2.056000000000000000e+03, 4.358604166257864469e-10, 1.098994080617909630e-09, 5.205608180570598013e-10, 5.645644939733492581e-10, 2.890783585550835767e-10, 6.930148768610543212e-11, 1.320792326909012150e-09, 7.408472011223078165e-11, 1.464100667114462714e-10
2.057000000000000000e+03, 4.405170547762844609e-10, 1.104989074694857664e-09, 5.280540629649727020e-10, 5.690458979724674607e-10, 2.787662377975446729e-10, 6.919913465587399741e-11, 1.289888395749245686e-09, 7.389753004536111830e-11, 1.461328725114631377e-10
2.058000000000000000e+03, 4.416541656150123672e-10, 1.101059951765950273e-09, 5.445985214972189168e-10, 5.284967840575213017e-10, 2.860488162712354166e-10, 7.006370598426227680e-11, 1.348249283940757374e-09, 7.464212719206141875e-11, 1.459843630487800180e-10
2.059000000000000000e+03, 4.706812241785233661e-10, 1.085554048741619324e-09, 5.697900080928320074e-10, 6.558809350545182766e-10, 2.807367337433155611e-10, 7.005533655914113365e-11, 1.335889157433070796e-09, 7.440015326777468889e-11, 1.468750646578622809e-10
2.060000000000000000e+03, 4.535442308142367780e-10, 1.026615772001337739e-09, 5.539565054501407917e-10, 6.221904092806631275e-10, 2.998821528444083072e-10, 6.980267196787680141e-11, 1.348049976070568277e-09, 7.404254339311976855e-11, 1.457570141389494029e-10
2.061000000000000000e+03, 4.210588895453454078e-10, 1.089497313170322335e-09, 5.574285345701459742e-10, 5.795868801427738753e-10, 2.836201194375227315e-10, 6.979058057686098392e-11, 1.408140705077835624e-09, 7.565556131397776941e-11, 1.430615087956093125e-10
2.062000000000000000e+03, 4.171371748275866586e-10, 1.120130618269828095e-09, 5.389286754675082243e-10, 5.243756833240952822e-10, 3.107815023273980214e-10, 6.968833223416043383e-11, 1.372166342451564874e-09, 7.533240312715581702e-11, 1.424110315453168897e-10
2.063000000000000000e+03, 4.522349234673242984e-10, 1.081049615109461168e-09, 5.677258068426773594e-10, 5.865671800373005957e-10, 3.060132623203065064e-10, 6.947349720160656204e-11, 1.350027890993920216e-09, 7.493315445929498673e-11, 1.416853290587695951e-10
2.064000000000000000e+03, 4.729646370830442248e-10, 1.043765168793023748e-09, 5.250953418556802354e-10, 6.483216516494081704e-10, 3.243512787652008975e-10, 6.916854952028158799e-11, 1.401270032144673144e-09, 7.469964586388313960e-11, 1.405614301931346163e-10
2.065000000000000000e+03, 4.721380216213436438e-10, 1.074435384976288124e-09, 5.474409570971118587e-10, 6.268614031707288469e-10, 3.286033513233844610e-10, 6.885862864431865559e-11, 1.445006779889007959e-09, 7.433777257079234193e-11, 1.403367833777833517e-10
2.066000000000000000e+03, 4.758955537038300351e-10, 1.071521723104838815e-09, 5.133567063905140579e-10, 6.368578970268808167e-10, 3.277088376310552807e-10, 6.869123858461389296e-11, 1.377873050336852822e-09, 7.392628513006576761e-11, 1.399251754583237831e-10
2.067000000000000000e+03, 4.700670956261651725e-10, 1.093256623177390203e-09, 5.663145290857360855e-10, 6.983732439046888116e-10, 3.195072656806158741e-10, 6.799686807672363774e-11, 1.397822359298492530e-09, 7.322930859164706263e-11, 1.376209448439803286e-10
2.068000000000000000e+03, 4.601509169267915575e-10, 1.184897495740707586e-09, 5.809197061297582399e-10, 6.713183286341939271e-10, 3.389427850650309428e-10, 6.745058364491113604e-11, 1.372264859174472418e-09, 7.265197354405249334e-11, 1.354758658104521427e-10
2.069000000000000000e+03, 4.587127561445753251e-10, 1.103063796849475103e-09, 5.598040758230878539e-10, 6.199217699732385268e-10, 3.171770337337972174e-10, 6.705856249940128239e-11, 1.495329812514499222e-09, 7.223261351042999014e-11, 1.360987559622811647e-10
2.070000000000000000e+03, 4.660914733292840133e-10, 1.126680141552215880e-09, 5.505740957079629325e-10, 6.797021945805505632e-10, 3.253952333301237661e-10, 6.694671389824739030e-11, 1.481333052129233240e-09, 7.186312694449344091e-11, 1.366383095570129868e-10
2.071000000000000000e+03, 4.751961048096432956e-10, 1.085407290276118681e-09, 5.601376441789095515e-10, 6.239927824999965577e-10, 3.343451602279914870e-10, 6.622635317687850722e-11, 1.519690492009257962e-09, 7.123389915820386699e-11, 1.350419661800416672e-10
2.072000000000000000e+03, 4.848409167351677700e-10, 1.122628427993968847e-09, 5.381312153699142563e-10, 6.272612673376352755e-10, 3.099236993529631345e-10, 6.556548966268732062e-11, 1.454870873212330380e-09, 7.075410921957013207e-11, 1.332406319699966081e-10
2.073000000000000000e+03, 4.714703231803560185e-10, 1.153608936065079227e-09, 6.005921325698609124e-10, 6.297993700594445307e-10, 3.228284788272789680e-10, 6.515081645889166211e-11, 1.457161137971798502e-09, 7.019688428642145717e-11, 1.329662939989218480e-10
2.074000000000000000e+03, 4.751896279179189788e-10, 1.151087171479598445e-09, 5.261448869291074570e-10, 7.175741037250436917e-10, 3.371545707850836933e-10, 6.471034749937263419e-11, 1.494897970097031937e-09, 6.962082866678809536e-11, 1.321586453552295334e-10
2.075000000000000000e+03, 4.902902821384537644e-10, 1.129340817536077816e-09, 5.721460838387180022e-10, 7.080412361796649033e-10, 3.521053320034152798e-10, 6.419070691130197980e-11, 1.523740259089688018e-09, 6.928156950658944690e-11, 1.308819170133547854e-10
2.076000000000000000e+03, 4.932264335436428620e-10, 1.207266357327643132e-09, 5.478726149823645687e-10, 6.751041090944816430e-10, 3.413317130288534548e-10, 6.346889231267515863e-11, 1.462156311855435956e-09, 6.880933090217688502e-11, 1.306486581890920114e-10
2.077000000000000000e+03, 5.024153229518982874e-10, 1.141266075088404845e-09, 5.843699337376203725e-10, 6.894910150912311324e-10, 3.236837323422904617e-10, 6.291180121353634388e-11, 1.460620270775952109e-09, 6.831494924662067013e-11, 1.305127784113013275e-10
2.078000000000000000e+03, 4.873446365636214386e-10, 1.148022708564895618e-09, 5.476632818944827408e-10, 6.835603942053407861e-10, 3.340117579539651360e-10, 6.238297932013548211e-11, 1.484535922274109493e-09, 6.762597802030884292e-11, 1.306622624123667945e-10
2.079000000000000000e+03, 4.801460372165013397e-10, 1.235276459839227364e-09, 5.947722170205785332e-10, 7.103878879259165518e-10, 3.610793609409520688e-10, 6.189095747720545417e-11, 1.567125234465026849e-09, 6.706198061947533271e-11, 1.300369790738806366e-10
2.080000000000000000e+03, 4.744496898003106539e-10, 1.214545512332842644e-09, 5.814311262959406335e-10, 7.432255598406097385e-10, 3.834495303202924804e-10, 6.132391823877552066e-11, 1.594851964143877263e-09, 6.648751490987051815e-11, 1.293125847954029533e-10
2.081000000000000000e+03, 4.994779198795921310e-10, 1.196535417188420702e-09, 6.103045758913055791e-10, 7.558989409846963553e-10, 3.449980066574342039e-10, 6.096283682176760491e-11, 1.551184871249662071e-09, 6.598107140082846590e-11, 1.294640622965354514e-10
2.082000000000000000e+03, 5.120377190611001661e-10, 1.201856111530837377e-09, 6.061487536189298988e-10, 7.381691709654885919e-10, 3.553682243625158249e-10, 6.059452279698521846e-11, 1.579213620191932336e-09, 6.533458167089987718e-11, 1.282727381319741373e-10
2.083000000000000000e+03, 5.153638368852249447e-10, 1.271639342500900471e-09, 5.881813985250016837e-10, 7.596461269826879906e-10, 3.766346327363482788e-10, 6.005106606684062366e-11, 1.557369690499607199e-09, 6.507734559884247934e-11, 1.256070628263161734e-10
2.084000000000000000e+03, 5.143260215515998272e-10, 1.235542981752357617e-09, 6.472435523408531236e-10, 8.263164470556440975e-10, 4.113580547068492946e-10, 5.944590454725642444e-11, 1.559834755492755178e-09, 6.468941073845897166e-11, 1.238161442617609323e-10
2.085000000000000000e+03, 5.114759533374680386e-10, 1.160172428874055818e-09, 5.998870112261986865e-10, 7.949181050267816442e-10, 4.030397972479725570e-10, 5.909793147186018762e-11, 1.592394643949203548e-09, 6.427933683354421755e-11, 1.231922817843608666e-10
2.086000000000000000e+03, 5.068977414269663179e-10, 1.248768848604714913e-09, 6.556364078085990574e-10, 8.691064320672590052e-10, 4.114000687108061324e-10, 5.871785310823178807e-11, 1.659099471316422899e-09, 6.375501974066387471e-11, 1.229100438247636402e-10
2.087000000000000000e+03, 5.116641049404769669e-10, 1.193551075477251378e-09, 6.280775007641129460e-10, 8.190683372895464679e-10, 3.945723675812856048e-10, 5.814815696214035370e-11, 1.756188247163402023e-09, 6.311449894443133279e-11, 1.217200224679449588e-10
2.088000000000000000e+03, 5.155630602853151792e-10, 1.222529517726649232e-09, 6.478659321989695190e-10, 7.492705227878683034e-10, 3.800881827169835856e-10, 5.771475595369768558e-11, 1.734705467383287940e-09, 6.253028008434676332e-11, 1.211251559421969497e-10
2.089000000000000000e+03, 5.099608208016277602e-10, 1.207183901000045814e-09, 6.522657357551617062e-10, 7.923556082160374899e-10, 3.698475312987439013e-10, 5.732689545960770949e-11, 1.667257095871637925e-09, 6.225269363924303379e-11, 1.200940281597386780e-10
2.090000000000000000e+03, 5.055454779527100993e-10, 1.226681817323036524e-09, 6.402651141970683490e-10, 8.730224026274697225e-10, 3.957621988945293746e-10, 5.686071052081025937e-11, 1.705038152265648491e-09, 6.172471027716254132e-11, 1.193282789861308549e-10
2.091000000000000000e+03, 4.961277385882649988e-10, 1.222106943649875152e-09, 6.222997070223753693e-10, 7.414514352690471542e-10, 4.220101011662820685e-10, 5.633890873492070543e-11, 1.689991353991813669e-09, 6.118180165077702009e-11, 1.193657026484399726e-10
2.092000000000000000e+03, 4.905258296929278041e-10, 1.241295841792750115e-09, 6.356932285174828792e-10, 7.408569183314620305e-10, 3.931372275932691680e-10, 5.588938960821439158e-11, 1.576179269496504348e-09, 6.055974940837254079e-11, 1.173620772419187147e-10
2.093000000000000000e+03, 5.047408694926883772e-10, 1.196750736383534739e-09, 6.417002572896581303e-10, 7.834674160137059606e-10, 4.045725371726246219e-10, 5.537148707621141721e-11, 1.674572140667111195e-09, 6.002822539423619413e-11, 1.146397533920797562e-10
2.094000000000000000e+03, 5.047993432884276883e-10, 1.264367891691592374e-09, 6.415068853679037460e-10, 7.962787541971982621e-10, 4.286429996286060434e-10, 5.500610639544985445e-11, 1.641119260592091774e-09, 5.948010740238082129e-11, 1.142167247552935411e-10
2.095000000000000000e+03, 5.047493069589375484e-10, 1.220447163652581662e-09, 6.481640487291043129e-10, 8.499174317508698607e-10, 4.084073226255954890e-10, 5.443447972955940656e-11, 1.649535068801605371e-09, 5.905719052183348820e-11, 1.146021943536767456e-10
2.096000000000000000e+03, 5.272705240158655285e-10, 1.209336234313668148e-09, 6.450923871339826381e-10, 8.907143372046600793e-10, 4.129467164671379439e-10, 5.391759197541265630e-11, 1.551255632274633412e-09, 5.851358214429610015e-11, 1.127245654590637120e-10
2.097000000000000000e+03, 5.333286281156418833e-10, 1.209748906671870847e-09, 6.371266620967277608e-10, 7.824453291726799062e-10, 3.825701251527638622e-10, 5.354906964944807943e-11, 1.665696113518337243e-09, 5.793655192560426982e-11, 1.114855457584685168e-10
2.098000000000000000e+03, 5.094665633655013465e-10, 1.252211466161440754e-09, 6.216074369773196638e-10, 7.396093878296182434e-10, 3.756059158742265194e-10, 5.327269441173618573e-11, 1.586761965133445299e-09, 5.747342125824338996e-11, 1.104746852800802058e-10
2.099000000000000000e+03, 5.063698540238801985e-10, 1.210464831616317725e-09, 6.342524595234998734e-10, 8.538893519367746809e-10, 4.156209559749825083e-10, 5.291491107123270946e-11, 1.561980953534547628e-09, 5.712848457603756475e-11, 1.158159845130467830e-10
2.100000000000000000e+03, 4.854477997016641139e-10, 1.162072677373490258e-09, 6.002181579142116568e-10, 7.993696175637331323e-10, 3.671258509612407647e-10, 5.476613415458503768e-11, 1.453149975469125645e-09, 5.930821446145190999e-11, 1.150141654208605057e-10
