year, MPI-ESM1-2-LR, EC-Earth3-Veg, GFDL-ESM4, UKESM1-0-LL, CESM2-WACCM, NorESM2-LM, IPSL-CM6A-LR, NorESM2-MM, TaiESM1
2.015000000000000000e+03, 3.731648017008825468e-10, 1.074083591883868425e-09, 3.945918640900794205e-10, 4.388059281950427613e-10, 2.850780626257631078e-10, 9.070314881966743662e-11, 1.051913952548495033e-09, 0.000000000000000000e+00, 1.688599640123413837e-10
2.016000000000000000e+03, 3.782085320323431086e-10, 1.074954338674761732e-09, 4.208520495935672684e-10, 4.793304752390539403e-10, 2.586448281204394810e-10, 8.847254185901896795e-11, 1.093700158363451227e-09, 9.813402956094252289e-11, 1.656605923093115810e-10
2.017000000000000000e+03, 3.891981895489952932e-10, 1.070328670066732831e-09, 4.070881705139335218e-10, 4.638827263112200768e-10, 2.691294427126280465e-10, 8.709500620535950464e-11, 1.084268076074137893e-09, 9.572292676266647261e-11, 1.607492162244388902e-10
2.018000000000000000e+03, 3.874324363385421326e-10, 1.073288279977006977e-09, 4.266051606296826449e-10, 4.670858533455876232e-10, 2.540619681582255873e-10, 8.450288901949566420e-11, 1.089936014205558776e-09, 9.199618956320061164e-11, 1.561299636347497797e-10
2.019000000000000000e+03, 3.839308913539207182e-10, 1.062987542954181744e-09, 4.305578682387425690e-10, 5.168163910832643844e-10, 2.700881268933112326e-10, 8.138662804792119153e-11, 1.083235629730670868e-09, 8.783294106282321089e-11, 1.528426016624273870e-10
2.020000000000000000e+03, 3.748576069633950931e-10, 1.104940051822393172e-09, 4.371042540662312739e-10, 4.612148023841089390e-10, 2.790826735396829974e-10, 7.803844608959097962e-11, 1.086813373423927836e-09, 8.405604835077475171e-11, 1.486245822230654031e-10
2.021000000000000000e+03, 3.662039522736222925e-10, 1.040510412585691864e-09, 4.023561059901093577e-10, 5.339478219843738326e-10, 2.811569450230792977e-10, 7.464954352149570368e-11, 1.073686196579403925e-09, 8.087399126829238467e-11, 1.434258750175203763e-10
2.022000000000000000e+03, 3.675709970334149729e-10, 1.051535201986250065e-09, 4.213664006908149295e-10, 4.625247642583782975e-10, 2.658525649741121605e-10, 7.196104658540732500e-11, 1.118105591875849773e-09, 7.828284766504074873e-11, 1.397400879741467020e-10
2.023000000000000000e+03, 3.700512396377598992e-10, 1.020672056334519750e-09, 4.123572395898725509e-10, 4.967507117781170864e-10, 2.571106284158881933e-10, 6.991379850837746509e-11, 1.151844899538119030e-09, 7.633104996070294482e-11, 1.370840173988070301e-10
2.024000000000000000e+03, 3.676981527722991437e-10, 1.074158869783959110e-09, 4.508186330022694537e-10, 4.918926580594382165e-10, 2.760373351404754600e-10, 6.838241735219857037e-11, 1.153778152207977028e-09, 7.467219385379498562e-11, 1.359908859230674932e-10
2.025000000000000000e+03, 3.723180050640393588e-10, 1.036858308400844389e-09, 3.971316085433174041e-10, 4.874582435040698449e-10, 2.554968540720172938e-10, 6.722786296421454867e-11, 1.163344454775415015e-09, 7.317220779174518260e-11, 1.339176793817999450e-10
2.026000000000000000e+03, 3.803827655762539221e-10, 1.080315595719021753e-09, 4.320005664385844843e-10, 4.902448888820203438e-10, 2.635936700747615434e-10, 6.632286943052077282e-11, 1.119850818271709040e-09, 7.224315247589768384e-11, 1.328209272940275642e-10
2.027000000000000000e+03, 3.851304207201712059e-10, 1.093023073341323956e-09, 4.328267762611099968e-10, 4.608201826734304129e-10, 2.527181668102211565e-10, 6.586170009927116504e-11, 1.145959049691828432e-09, 7.168631395832751154e-11, 1.330555016970619595e-10
