year, CNRM-ESM2-1, UKESM1-0-LL, CESM2-WACCM, IPSL-CM6A-LR
2.033000000000000000e+03, 3.430724767030950861e-11, 4.877908245469875915e-10, 1.072879370812418185e-10, -1.391978869504602065e-09
2.034000000000000000e+03, 3.951156520623285750e-11, 4.683126851593772073e-10, 1.074523280718338904e-10, -1.445230610043358544e-09
2.035000000000000000e+03, 4.189931438484826497e-11, 4.392133242172285962e-10, 1.077067907862009514e-10, -1.431774959303031966e-09
2.036000000000000000e+03, 3.775230965371995331e-11, 4.456028268947617929e-10, 1.041674388162091813e-10, -1.423705626312599653e-09
2.037000000000000000e+03, 3.801161729712442252e-11, 5.180530362307691270e-10, 1.046194619388111973e-10, -1.324654786601096053e-09
2.038000000000000000e+03, 3.856768924857308557e-11, 5.055459876594210094e-10, 1.044874952206871870e-10, -1.438020264897007540e-09
2.039000000000000000e+03, 3.885505130230108567e-11, 5.430510191472191771e-10, 1.047857848964889938e-10, -1.436586572299813071e-09
2.040000000000000000e+03, 3.896662398406917844e-11, 5.481326420731860567e-10, 1.052207057974761555e-10, -1.440136466564050496e-09
2.041000000000000000e+03, 3.088317373376610803e-11, 5.219219225303774073e-10, 1.048444034145043138e-10, -1.483736382640565129e-09
2.042000000000000000e+03, 2.972085955900402453e-11, 5.206179818306184256e-10, 1.046676682756820147e-10, -1.437644684399323871e-09
2.043000000000000000e+03, 2.805384989148320180e-11, 5.382936991665801191e-10, 1.045014507456044075e-10, -1.462057423499191849e-09
2.044000000000000000e+03, 2.804036011462085226e-11, 5.258516748290447373e-10, 1.043987540791234581e-10, -1.433194077447769653e-09
2.045000000000000000e+03, 2.581148257897475437e-11, 5.415144070665860656e-10, 1.033094597268090123e-10, -1.447659292758698095e-09
2.046000000000000000e+03, 2.906034362378366142e-11, 5.538272358257183918e-10, 1.091224680483458214e-10, -1.486814785265576337e-09
2.047000000000000000e+03, 2.713857960752273939e-11, 5.847759530579202259e-10, 1.090338338885622024e-10, -1.525198115029500616e-09
2.048000000000000000e+03, 2.705563886818712578e-11, 5.985033147430204538e-10, 1.099296036224654040e-10, -1.463689156578038095e-09
2.049000000000000000e+03, 2.662824533594295679e-11, 5.494046532661444849e-10, 1.099997609964743292e-10, -1.464526097373763289e-09
2.050000000000000000e+03, 2.548174743539591089e-11, 5.293797075727406871e-10, 1.106429436299011816e-10, -1.510501037144215169e-09
2.051000000000000000e+03, 1.803022460423624245e-11, 5.303856006371509723e-10, 1.058941425552230745e-10, -1.580069224287799214e-09
2.052000000000000000e+03, 1.755829468169039247e-11, 5.676725912671193341e-10, 1.039882701600402852e-10, -1.499664639460456515e-09
2.053000000000000000e+03, 1.710657737364280876e-11, 5.517666188836112850e-10, 1.028721178488891825e-10, -1.490871408453532405e-09
2.054000000000000000e+03, 1.739751989146059682e-11, 5.182182137646421562e-10, 1.038276255085859612e-10, -1.508224730310476419e-09
2.055000000000000000e+03, 1.686990663577261468e-11, 4.983103548645234682e-10, 1.029325489798679796e-10, -1.564761422368954491e-09
2.056000000000000000e+03, 2.692410287039280755e-11, 5.645644939733492581e-10, 1.117806824709171735e-10, -1.501716924932971810e-09
2.057000000000000000e+03, 2.714351295104835430e-11, 5.690458979724674607e-10, 1.117228966609108158e-10, -1.470783351928493424e-09
2.058000000000000000e+03, 2.690041311391691461e-11, 5.284967840575213017e-10, 1.123130941289887097e-10, -1.528001363200161360e-09
2.059000000000000000e+03, 2.708510618621538014e-11, 6.558809350545182766e-10, 1.153086653819352145e-10, -1.514234063687660861e-09
2.060000000000000000e+03, 2.784737650948803348e-11, 6.221904092806631275e-10, 1.146172702558178716e-10, -1.525279065810397533e-09
2.061000000000000000e+03, 2.638383317841511905e-11, 5.795868801427738753e-10, 1.075467133201761813e-10, -1.587913007467205346e-09
2.062000000000000000e+03, 2.629693428829451865e-11, 5.243756833240952822e-10, 1.084307200777781866e-10, -1.550137688686012671e-09
2.063000000000000000e+03, 2.817277274965628151e-11, 5.865671800373005957e-10, 1.076691154947542772e-10, -1.527883473209816104e-09
2.064000000000000000e+03, 2.804629452075402237e-11, 6.483216516494081704e-10, 1.064636552706411759e-10, -1.581227741787480012e-09
2.065000000000000000e+03, 2.886559372331214253e-11, 6.268614031707288469e-10, 1.075034022033466013e-10, -1.624159557684166849e-09
2.066000000000000000e+03, 2.443073192159090268e-11, 6.368578970268808167e-10, 1.079079368409483129e-10, -1.561864186017307406e-09
2.067000000000000000e+03, 2.445007993358151773e-11, 6.983732439046888116e-10, 1.081790762291159285e-10, -1.582165837295715799e-09
2.068000000000000000e+03, 2.339086888258284649e-11, 6.713183286341939271e-10, 1.075637773675602423e-10, -1.556119697196541498e-09
2.069000000000000000e+03, 2.237268395415483714e-11, 6.199217699732385268e-10, 1.065393164129763902e-10, -1.678908067045117117e-09
2.070000000000000000e+03, 2.077641287334868533e-11, 6.797021945805505632e-10, 1.089992906987487659e-10, -1.665558951925399838e-09
2.071000000000000000e+03, 2.588931912104028408e-11, 6.239927824999965577e-10, 1.152123840134933080e-10, -1.719061941747184347e-09
2.072000000000000000e+03, 2.584439433914494435e-11, 6.272612673376352755e-10, 1.154215851491908941e-10, -1.654174428058642849e-09
2.073000000000000000e+03, 2.606548916857409726e-11, 6.297993700594445307e-10, 1.166983702610184426e-10, -1.656170827635701146e-09
2.074000000000000000e+03, 2.545344507233720134e-11, 7.175741037250436917e-10, 1.164409815401231987e-10, -1.694172880916689993e-09
2.075000000000000000e+03, 2.436722276026720812e-11, 7.080412361796649033e-10, 1.165454458138865033e-10, -1.722566983908316484e-09
2.076000000000000000e+03, 4.169541810129097385e-11, 6.751041090944816430e-10, 1.355504048091371025e-10, -1.698803551483525330e-09
2.077000000000000000e+03, 4.409513376204418783e-11, 6.894910150912311324e-10, 1.353683521729157469e-10, -1.697663700807278904e-09
2.078000000000000000e+03, 4.624261858344825116e-11, 6.835603942053407861e-10, 1.363866460484016686e-10, -1.722136881347743951e-09
2.079000000000000000e+03, 5.319140965678234832e-11, 7.103878879259165518e-10, 1.378081434863292681e-10, -1.805555378886774349e-09
2.080000000000000000e+03, 5.886739411498113673e-11, 7.432255598406097385e-10, 1.379494037607567399e-10, -1.833494336010775231e-09
2.081000000000000000e+03, 6.847421810715915685e-11, 7.558989409846963553e-10, 1.321919787206591133e-10, -1.777230041640419970e-09
2.082000000000000000e+03, 6.957102800603440931e-11, 7.381691709654885919e-10, 1.307204762262667833e-10, -1.804515355564158041e-09
2.083000000000000000e+03, 7.242757453587581302e-11, 7.596461269826879906e-10, 1.301367490561931770e-10, -1.781952162496959388e-09
2.084000000000000000e+03, 6.788475901858115505e-11, 8.263164470556440975e-10, 1.303207161621681858e-10, -1.783701199590279785e-09
2.085000000000000000e+03, 6.236286136464818348e-11, 7.949181050267816442e-10, 1.315469553956297149e-10, -1.817273976662334520e-09
2.086000000000000000e+03, 3.993512259381366672e-11, 8.691064320672590052e-10, 1.082194763603522223e-10, -1.823842377134771918e-09
2.087000000000000000e+03, 4.030633676406959363e-11, 8.190683372895464679e-10, 1.052559978093747127e-10, -1.919104915077979760e-09
2.088000000000000000e+03, 3.826330440308552591e-11, 7.492705227878683034e-10, 1.045413561609432677e-10, -1.896077349646272666e-09
2.089000000000000000e+03, 3.704354858446720449e-11, 7.923556082160374899e-10, 1.030647367919051571e-10, -1.826165733761533852e-09
2.090000000000000000e+03, 3.499020894403107076e-11, 8.730224026274697225e-10, 1.020276340143879923e-10, -1.861365820717440779e-09
2.091000000000000000e+03, 2.659191681383689656e-11, 7.414514352690471542e-10, 9.352172173451475653e-11, -1.836453421370466776e-09
2.092000000000000000e+03, 2.509003320292163151e-11, 7.408569183314620305e-10, 9.160357298234298985e-11, -1.719951299991114676e-09
2.093000000000000000e+03, 2.243732278886876092e-11, 7.834674160137059606e-10, 9.003443885987636198e-11, -1.815554915081196542e-09
2.094000000000000000e+03, 2.119422776781402209e-11, 7.962787541971982621e-10, 8.904966184866896532e-11, -1.779969618142876302e-09
2.095000000000000000e+03, 1.949095176912590257e-11, 8.499174317508698607e-10, 8.872192888055717499e-11, -1.785894597928634219e-09
2.096000000000000000e+03, 1.369965390472641705e-11, 8.907143372046600793e-10, 8.629482178418478961e-11, -1.677492270422898099e-09
2.097000000000000000e+03, 1.280016095571282879e-11, 7.824453291726799062e-10, 8.408037085726384253e-11, -1.790705825663257016e-09
2.098000000000000000e+03, 1.389279549675529172e-11, 7.396093878296182434e-10, 8.373970598648230303e-11, -1.710239286099409784e-09
2.099000000000000000e+03, 1.211706967502811606e-11, 8.538893519367746809e-10, 8.390646372449782789e-11, -1.685516286602838504e-09
2.100000000000000000e+03, 1.318313934448229933e-11, 7.993696175637331323e-10, 8.297951589766786996e-11, -1.577863552886892249e-09
