year, CNRM-ESM2-1, UKESM1-0-LL, CESM2-WACCM, IPSL-CM6A-LR
2.015000000000000000e+03, 2.217977600659518326e-10, 4.388059281950427613e-10, 2.289651119478675699e-10, -1.494837549818147883e-09
2.016000000000000000e+03, 1.023785616606620104e-10, 4.793304752390539403e-10, 1.913746712101353301e-10, -1.372273096987136701e-09
2.017000000000000000e+03, 9.952526348461215329e-11, 4.638827263112200768e-10, 1.875327827095550780e-10, -1.355315233997433937e-09
2.018000000000000000e+03, 9.684211798063278713e-11, 4.670858533455876232e-10, 1.842874635342590587e-10, -1.355147299278016895e-09
2.019000000000000000e+03, 9.297537159492590812e-11, 5.168163910832643844e-10, 1.795746375092278056e-10, -1.341402112651872833e-09
2.020000000000000000e+03, 8.149956087528114673e-11, 4.612148023841089390e-10, 1.765859710777003207e-10, -1.337361253435710811e-09
2.021000000000000000e+03, 6.180145305083238231e-11, 5.339478219843738326e-10, 1.474870299185087290e-10, -1.289240397061845892e-09
2.022000000000000000e+03, 5.681017312097512437e-11, 4.625247642583782975e-10, 1.410550803529228950e-10, -1.326354163709324778e-09
2.023000000000000000e+03, 4.783078574190992236e-11, 4.967507117781170864e-10, 1.348189142046741193e-10, -1.353488827259868481e-09
2.024000000000000000e+03, 3.858913651171021670e-11, 4.918926580594382165e-10, 1.300923119589001905e-10, -1.348712522441186638e-09
2.025000000000000000e+03, 3.188161639860622001e-11, 4.874582435040698449e-10, 1.258235779971977922e-10, -1.351583015041014809e-09
2.026000000000000000e+03, 3.061325448174517685e-11, 4.902448888820203438e-10, 1.236383146244334438e-10, -1.307781443101109433e-09
2.027000000000000000e+03, 2.940608166682286001e-11, 4.608201826734304129e-10, 1.195433833914155356e-10, -1.332259622319733183e-09
2.028000000000000000e+03, 3.078869344699993034e-11, 4.585558262619279028e-10, 1.168570422973102796e-10, -1.351541286533999523e-09
2.029000000000000000e+03, 3.026639157296098479e-11, 4.933183601671392283e-10, 1.147337149677604093e-10, -1.399406223916983245e-09
2.030000000000000000e+03, 2.950966432000299159e-11, 4.472067342834476939e-10, 1.134575088933328159e-10, -1.337945277717841138e-09
2.031000000000000000e+03, 3.335545909827720332e-11, 4.787702371254790525e-10, 1.099735366499851693e-10, -1.402246961703098598e-09
2.032000000000000000e+03, 3.321078972947679552e-11, 4.893931384114763862e-10, 1.085827679078348219e-10, -1.365618414242999620e-09
