year, TaiESM1, EC-Earth3-Veg, NorESM2-MM, INM-CM5-0, CNRM-ESM2-1, NorESM2-LM, CESM2-WACCM, CanESM5, IPSL-CM6A-LR, CMCC-CM2-SR5, MPI-ESM1-2-LR, ACCESS-ESM1-5, INM-CM4-8, MIROC-ES2L, UKESM1-0-LL, GFDL-ESM4
2.025000000000000000e+03, 2.805544324270028369e+02, 2.796776491818341697e+02, 2.813000756323494898e+02, 2.800596880488769784e+02, 2.782623890180427679e+02, 2.819874774019169763e+02, 2.816299663289649402e+02, 2.786062796034854614e+02, 2.767471620439822004e+02, 2.802957138850862862e+02, 2.802887296642944648e+02, 2.810766318093417908e+02, 2.806081128985832152e+02, 2.816214977990107400e+02, 2.801577371607184546e+02, 2.790650840431062534e+02
2.026000000000000000e+03, 2.811013493494219233e+02, 2.798439119336964609e+02, 2.811201613949330635e+02, 2.806388474284676704e+02, 2.779500877007549775e+02, 2.813894290689270292e+02, 2.816625409029708180e+02, 2.780940316921449380e+02, 2.764048139994951043e+02, 2.806939744974026212e+02, 2.805218150128320644e+02, 2.808880226324312730e+02, 2.811074002788577104e+02, 2.818826694194690390e+02, 2.805172418740203284e+02, 2.789117446177647821e+02
2.027000000000000000e+03, 2.811844118780265376e+02, 2.796990817991269296e+02, 2.811299715066883778e+02, 2.803527633981938720e+02, 2.782013299391702503e+02, 2.817581411206768394e+02, 2.815050134468065153e+02, 2.776749169716532037e+02, 2.764879273243399780e+02, 2.804065301585874295e+02, 2.807563945881620384e+02, 2.810758526373573432e+02, 2.812405918028331939e+02, 2.819036220652250790e+02, 2.807901664307547662e+02, 2.790284928072886714e+02
2.028000000000000000e+03, 2.808695223423576977e+02, 2.797294464045752989e+02, 2.814034749787192595e+02, 2.807660660767206764e+02, 2.786717089908163416e+02, 2.821638524540764479e+02, 2.820924540860140155e+02, 2.786372931677357201e+02, 2.768770883185227945e+02, 2.805446350006159264e+02, 2.806465164025626677e+02, 2.808580009646559006e+02, 2.811753455525998220e+02, 2.818124913033799430e+02, 2.801461654335340654e+02, 2.785112841230804293e+02
2.029000000000000000e+03, 2.808162774639340569e+02, 2.803930107364816990e+02, 2.807752299687265349e+02, 2.806618216775437418e+02, 2.779515380751509497e+02, 2.821042202849486102e+02, 2.821051417655147020e+02, 2.783563004765278492e+02, 2.768132356420449014e+02, 2.809772348357811893e+02, 2.803024031827918066e+02, 2.816158519200808428e+02, 2.806717063648939643e+02, 2.820063473612697749e+02, 2.800657972607634747e+02, 2.790106546040149169e+02
2.030000000000000000e+03, 2.805120699903205264e+02, 2.800423828615983552e+02, 2.807372370880304970e+02, 2.797727991725334959e+02, 2.789434272757754911e+02, 2.822621137445365775e+02, 2.822282725541390960e+02, 2.786366652224718905e+02, 2.773441550079942886e+02, 2.806241021693024322e+02, 2.805315579412432498e+02, 2.811649904275209906e+02, 2.805336765330551998e+02, 2.813899731942058793e+02, 2.804315955984621382e+02, 2.786049947054534641e+02
2.031000000000000000e+03, 2.806853205620466269e+02, 2.796609825281151984e+02, 2.813194403707043421e+02, 2.807935881256139510e+02, 2.783892751514570136e+02, 2.819344079197117026e+02, 2.819398441838288250e+02, 2.789561689367963027e+02, 2.773635305606523502e+02, 2.800881645735087204e+02, 2.806081217255398883e+02, 2.818375075647389849e+02, 2.807308203856056821e+02, 2.815533791631799545e+02, 2.802360788346301774e+02, 2.790259071330523284e+02
2.032000000000000000e+03, 2.805947946512134763e+02, 2.802441890482282929e+02, 2.816746289297662997e+02, 2.812854500183109963e+02, 2.784257588770706207e+02, 2.820765451752520221e+02, 2.819352824698589188e+02, 2.791200659687228267e+02, 2.769632767640870270e+02, 2.801303475953772590e+02, 2.813583295805990474e+02, 2.809745503599572203e+02, 2.807958381755307755e+02, 2.812759046752302652e+02, 2.812595351162908059e+02, 2.788629048431390629e+02
2.033000000000000000e+03, 2.801942322021303653e+02, 2.805135064862629406e+02, 2.806770174172142447e+02, 2.810729307451894670e+02, 2.776715468386790917e+02, 2.820363360242973840e+02, 2.817114144196153802e+02, 2.792517536991223324e+02, 2.771163903232983330e+02, 2.806104279118926570e+02, 2.807009002948141188e+02, 2.813560072894077280e+02, 2.812214746213174976e+02, 2.821016164348375810e+02, 2.807947580678899726e+02, 2.793597397948996104e+02
2.034000000000000000e+03, 2.799913365443289308e+02, 2.802306284855004037e+02, 2.808921711946786672e+02, 2.807207953092942034e+02, 2.788211432517118169e+02, 2.822163259834057953e+02, 2.824058545564975589e+02, 2.789315124905449466e+02, 2.766386386106794362e+02, 2.811954892921477835e+02, 2.804437222745056033e+02, 2.813951934055938864e+02, 2.807613597693847396e+02, 2.823868389241127943e+02, 2.811027207548151523e+02, 2.785141572112618746e+02
2.035000000000000000e+03, 2.809755884718416610e+02, 2.800655404510508788e+02, 2.811928760183208169e+02, 2.807146514352120334e+02, 2.784821280579770928e+02, 2.818854027699341032e+02, 2.823273817540102755e+02, 2.787967397504854148e+02, 2.774902819911398524e+02, 2.807216968355493236e+02, 2.805425067513735939e+02, 2.819909084663371459e+02, 2.812326304514188564e+02, 2.817154705075137713e+02, 2.807959302464775533e+02, 2.788807415452997702e+02
2.036000000000000000e+03, 2.809999332865444899e+02, 2.800889349980370753e+02, 2.818016553446447006e+02, 2.809809057005243176e+02, 2.788613828511039969e+02, 2.822580482038516152e+02, 2.826862377743602224e+02, 2.792271841427028676e+02, 2.774831667284023524e+02, 2.808208827796411811e+02, 2.807763014897642506e+02, 2.819435273337962826e+02, 2.810467868149034985e+02, 2.817629005022257616e+02, 2.805667695637911265e+02, 2.787643104370275751e+02
2.037000000000000000e+03, 2.808347584980012925e+02, 2.801214469694409104e+02, 2.809820848841025622e+02, 2.809139068506658532e+02, 2.784948337904860409e+02, 2.828359011498732798e+02, 2.824748525447888028e+02, 2.790943349024319673e+02, 2.770601815691640581e+02, 2.809566820658166648e+02, 2.807977779278303387e+02, 2.815012214723433317e+02, 2.813644381273231829e+02, 2.818189199737065564e+02, 2.809234194433672087e+02, 2.791960755991911469e+02
2.038000000000000000e+03, 2.808780872198898351e+02, 2.793395617555440253e+02, 2.810810268631045687e+02, 2.806991680663307420e+02, 2.784091203957257221e+02, 2.825914116060487231e+02, 2.821500474594579373e+02, 2.792158498302498515e+02, 2.777685707768913517e+02, 2.811007771438870577e+02, 2.814551385172697451e+02, 2.811276762217050305e+02, 2.810266508434766024e+02, 2.821389800210909584e+02, 2.810842439391219614e+02, 2.791381544442110680e+02
2.039000000000000000e+03, 2.804022821776947580e+02, 2.801399186127354710e+02, 2.816132623205757000e+02, 2.806399581600940678e+02, 2.785676359607728614e+02, 2.824563174088333426e+02, 2.829674532689384137e+02, 2.791101173054133824e+02, 2.776635660313812082e+02, 2.812630855643633367e+02, 2.804206379520825863e+02, 2.815490497427811079e+02, 2.812256640193137400e+02, 2.822862401897053246e+02, 2.811344493938711366e+02, 2.787538332413654416e+02
2.040000000000000000e+03, 2.814721300887741791e+02, 2.796457394857139320e+02, 2.813634557798022797e+02, 2.803939825565117872e+02, 2.785458510238798908e+02, 2.823336552090024725e+02, 2.834263686297139770e+02, 2.793398542577155013e+02, 2.770951407021506157e+02, 2.805842895664062553e+02, 2.809239987472333837e+02, 2.820174132105217950e+02, 2.808247332737018382e+02, 2.818459957467907770e+02, 2.810426220483111024e+02, 2.789579065338598411e+02
2.041000000000000000e+03, 2.814935696403045995e+02, 2.800445764742622714e+02, 2.809683554328628929e+02, 2.812388340210045499e+02, 2.789738258414294592e+02, 2.820389510795606611e+02, 2.822327366754446984e+02, 2.789283339849778827e+02, 2.776506992466090651e+02, 2.811246653836845439e+02, 2.810444225488335519e+02, 2.818922846137206761e+02, 2.810520712533692631e+02, 2.815841119882902035e+02, 2.811581940830320150e+02, 2.794870760879490490e+02
2.042000000000000000e+03, 2.813288083298311903e+02, 2.792060085527552928e+02, 2.817816647468221731e+02, 2.815783174220813407e+02, 2.786977523173746363e+02, 2.830389674275569405e+02, 2.831185699624734866e+02, 2.794781043676014747e+02, 2.766756846618206964e+02, 2.813575407652515992e+02, 2.809011204410666096e+02, 2.817185019854486541e+02, 2.810019516512285804e+02, 2.821513358466604018e+02, 2.807019314855859875e+02, 2.790972200956018128e+02
2.043000000000000000e+03, 2.813283735809581572e+02, 2.795381656159694330e+02, 2.817453188513439386e+02, 2.807591405407777643e+02, 2.786342586311954506e+02, 2.827339801473073635e+02, 2.825466067005163495e+02, 2.798944201102821125e+02, 2.775745771849278185e+02, 2.810955463231502449e+02, 2.809767317084883871e+02, 2.817932959519113751e+02, 2.815538220090694495e+02, 2.825194854183940834e+02, 2.813294476223484253e+02, 2.791024382292996506e+02
2.044000000000000000e+03, 2.815904494005375795e+02, 2.798471879063579877e+02, 2.820101637325055890e+02, 2.809265850375491596e+02, 2.785606477674841130e+02, 2.825997428148361337e+02, 2.828733761336019938e+02, 2.794124451735040680e+02, 2.778792371957709975e+02, 2.810465582358925190e+02, 2.808157726856335898e+02, 2.818405797833517568e+02, 2.813154278095690870e+02, 2.823444818928193740e+02, 2.808151423384241525e+02, 2.789155137700391833e+02
2.045000000000000000e+03, 2.818391932138496827e+02, 2.800388573982849607e+02, 2.821019512497028927e+02, 2.804647040444318691e+02, 2.789730808501108754e+02, 2.815521035592149701e+02, 2.826536695843744269e+02, 2.792363854718095695e+02, 2.772899563138783492e+02, 2.811791042866926773e+02, 2.810540766355737787e+02, 2.815038030580726627e+02, 2.811810912425314655e+02, 2.824109059638697659e+02, 2.815006599801797620e+02, 2.794284392466121858e+02
2.046000000000000000e+03, 2.813525801712288512e+02, 2.798090415980155967e+02, 2.820692390678495372e+02, 2.808050109018886360e+02, 2.788741369456656116e+02, 2.821087599685636746e+02, 2.818033519724825737e+02, 2.801410776960248654e+02, 2.776131954965568980e+02, 2.814033903094183984e+02, 2.806174796018238453e+02, 2.815661189306239294e+02, 2.811628767999657157e+02, 2.826611054460926766e+02, 2.812222659748215392e+02, 2.795741274344755425e+02
2.047000000000000000e+03, 2.818766524025478475e+02, 2.799520488994226639e+02, 2.815345598818970529e+02, 2.804455459960125836e+02, 2.789184071277536532e+02, 2.822044028514742990e+02, 2.821431283391334546e+02, 2.791806912593560241e+02, 2.772990477422520144e+02, 2.816269817090361585e+02, 2.810711996010231246e+02, 2.816458108583819353e+02, 2.816778114194180489e+02, 2.830432238845098709e+02, 2.809228739319195824e+02, 2.790057822580641869e+02
2.048000000000000000e+03, 2.819043808113806335e+02, 2.806377014271315602e+02, 2.816129181899369769e+02, 2.805655458695891866e+02, 2.787430090088083716e+02, 2.821329056661351160e+02, 2.825389595389645478e+02, 2.793316839526820559e+02, 2.785455471590795469e+02, 2.811962874473575198e+02, 2.804168107070227052e+02, 2.824659672167281315e+02, 2.810807520912118207e+02, 2.820244412445035209e+02, 2.807516818251010591e+02, 2.792212790040502455e+02
2.049000000000000000e+03, 2.818191564784631282e+02, 2.799037424299348231e+02, 2.811783130459182303e+02, 2.809641761855508548e+02, 2.793376721915972780e+02, 2.823841831756524812e+02, 2.828707419514496451e+02, 2.790359695883474274e+02, 2.771789004068713211e+02, 2.818694177871482225e+02, 2.810276370764005947e+02, 2.821640948219641700e+02, 2.814587256426582371e+02, 2.825993984277515665e+02, 2.805172450252950398e+02, 2.789828798551517366e+02
2.050000000000000000e+03, 2.815189534468910324e+02, 2.802242847343227936e+02, 2.810608666575424195e+02, 2.802917755947337923e+02, 2.790211659897588561e+02, 2.820624682032645865e+02, 2.826065203534313355e+02, 2.790827032170020061e+02, 2.783860801187991569e+02, 2.815823481217605604e+02, 2.808719189935440568e+02, 2.815295509795409998e+02, 2.813303379097912398e+02, 2.827804494325533824e+02, 2.813980409385283679e+02, 2.791942984703339903e+02
2.051000000000000000e+03, 2.820516488849956431e+02, 2.805069512237491267e+02, 2.817623194210677866e+02, 2.809272342398700175e+02, 2.786525635520304718e+02, 2.824437533384198673e+02, 2.822646341742802747e+02, 2.793317600791448854e+02, 2.774798807319672846e+02, 2.813609720572809465e+02, 2.809606439533221192e+02, 2.818463211197884561e+02, 2.810979694515343681e+02, 2.830567763325605029e+02, 2.810893643629618168e+02, 2.792990299527120328e+02
2.052000000000000000e+03, 2.817151318759479750e+02, 2.803893932838439582e+02, 2.814916329744039558e+02, 2.807425763668920808e+02, 2.788509627010757868e+02, 2.821332330470975762e+02, 2.824300728919989751e+02, 2.797733870514920795e+02, 2.773267972695855406e+02, 2.817065738853153221e+02, 2.811874157718389142e+02, 2.818327822455882483e+02, 2.813413139053175769e+02, 2.821217380270853710e+02, 2.811134178206055481e+02, 2.788448199939568894e+02
2.053000000000000000e+03, 2.814257947046163508e+02, 2.799276863208688155e+02, 2.812175106075324038e+02, 2.811725534399649291e+02, 2.790218127480287649e+02, 2.821928922303180798e+02, 2.823483542390665093e+02, 2.797993551556569969e+02, 2.778094415627656417e+02, 2.815852360529028147e+02, 2.808342744764634631e+02, 2.820439964598263600e+02, 2.808163054286270039e+02, 2.815459128889342537e+02, 2.800811933265058542e+02, 2.791792421407963047e+02
2.054000000000000000e+03, 2.814272973430428237e+02, 2.802175429616513043e+02, 2.814902011875208814e+02, 2.807995082614285138e+02, 2.790362536973187275e+02, 2.826597958368810168e+02, 2.824264603802654392e+02, 2.798026930936142094e+02, 2.776937522034840526e+02, 2.818701766793533920e+02, 2.807082950980440614e+02, 2.820442272617374329e+02, 2.808052942669356185e+02, 2.821062765500849423e+02, 2.809691541911748232e+02, 2.792294491038118167e+02
2.055000000000000000e+03, 2.817413158146172236e+02, 2.805141022795615413e+02, 2.817244685469040633e+02, 2.806687436593426810e+02, 2.784544420723633493e+02, 2.819941917447125093e+02, 2.829339461199357970e+02, 2.792415554135198477e+02, 2.776812513236488940e+02, 2.823018691235055826e+02, 2.804788498307510736e+02, 2.819264420934999862e+02, 2.812228278977363516e+02, 2.822082390085576549e+02, 2.812427479400380435e+02, 2.793873383366828875e+02
2.056000000000000000e+03, 2.819622646457838187e+02, 2.798510039154665492e+02, 2.813208776027103113e+02, 2.808943930707508230e+02, 2.788967325598196680e+02, 2.829722608405508595e+02, 2.826241182016242988e+02, 2.799030734801042968e+02, 2.776674063144407683e+02, 2.817365373961825981e+02, 2.810826222734125963e+02, 2.814524340000963321e+02, 2.812799398115012650e+02, 2.823788901565360447e+02, 2.813326954310455221e+02, 2.787702559465496392e+02
2.057000000000000000e+03, 2.818466392780104570e+02, 2.797435517893327415e+02, 2.816412788762374362e+02, 2.809065592166835472e+02, 2.791614490295546034e+02, 2.825521193088606537e+02, 2.830819267537049768e+02, 2.800124800163697500e+02, 2.779412287475778953e+02, 2.820781820151802890e+02, 2.805384877543264110e+02, 2.817723021465550914e+02, 2.817058488585842042e+02, 2.828514219789107642e+02, 2.814744130582850516e+02, 2.790852621894672438e+02
2.058000000000000000e+03, 2.819409416210845052e+02, 2.798661813176017290e+02, 2.815683087385106660e+02, 2.807573787187418475e+02, 2.787217849468030408e+02, 2.829076091956301866e+02, 2.824089872416890898e+02, 2.791554884258339371e+02, 2.775725160545075028e+02, 2.819156029718271839e+02, 2.809142435739419170e+02, 2.821591667798966228e+02, 2.816478945740241215e+02, 2.820353224816234388e+02, 2.813067763161348012e+02, 2.793364433111635208e+02
2.059000000000000000e+03, 2.816567763796142572e+02, 2.805953401765275999e+02, 2.817308723217425950e+02, 2.814153415656263064e+02, 2.787921483009741337e+02, 2.829696413582460650e+02, 2.820598859378143288e+02, 2.795747846041487037e+02, 2.781008918412234721e+02, 2.829269107211807750e+02, 2.809693219252323502e+02, 2.821291096741286424e+02, 2.817689302201537203e+02, 2.822434757212117802e+02, 2.819797633683163554e+02, 2.791138561058128857e+02
2.060000000000000000e+03, 2.820921513422271687e+02, 2.793294412534213507e+02, 2.818457785471256898e+02, 2.810521670496914339e+02, 2.789110897209828863e+02, 2.825200296586153286e+02, 2.825076265879878292e+02, 2.804450619055083962e+02, 2.783670941413313926e+02, 2.823258625920142890e+02, 2.814462490833446395e+02, 2.826021580043081940e+02, 2.811963143765625546e+02, 2.823321743311652767e+02, 2.817057536345993185e+02, 2.793220735237558756e+02
2.061000000000000000e+03, 2.818743841656855125e+02, 2.798271504452120553e+02, 2.813223401361123592e+02, 2.815259239328694321e+02, 2.786886503097336458e+02, 2.825109320128090076e+02, 2.827011845756160824e+02, 2.795650204033837554e+02, 2.777137972445454466e+02, 2.819784249777350738e+02, 2.814984435252509911e+02, 2.816382983909330733e+02, 2.813157401255816126e+02, 2.823196636500482555e+02, 2.818983543080884147e+02, 2.795994194429227377e+02
2.062000000000000000e+03, 2.814370861057633988e+02, 2.801619259002051763e+02, 2.820230853291020026e+02, 2.806050324127951967e+02, 2.794183766681654788e+02, 2.825578430271848447e+02, 2.827345902985248358e+02, 2.795786332080885472e+02, 2.775736473787837326e+02, 2.816511465712372910e+02, 2.805993694133207441e+02, 2.812876311848074238e+02, 2.817424869850086111e+02, 2.821436852932113766e+02, 2.814014576567277004e+02, 2.800926870548974534e+02
2.063000000000000000e+03, 2.827555538731394336e+02, 2.796812992262319426e+02, 2.824771050404417565e+02, 2.810347607570600417e+02, 2.795258585431161578e+02, 2.826968141263583334e+02, 2.825973318569645585e+02, 2.796480408139742053e+02, 2.772732603598555556e+02, 2.812246445731368567e+02, 2.817729869661754947e+02, 2.819553657972269889e+02, 2.820127150043934421e+02, 2.825846459399228934e+02, 2.809725084106083273e+02, 2.795781237944608506e+02
2.064000000000000000e+03, 2.821658593058290307e+02, 2.804846512550224702e+02, 2.814109389149294884e+02, 2.809565344365767601e+02, 2.789480232501824730e+02, 2.819921629629006929e+02, 2.829108720321127066e+02, 2.803203532646369354e+02, 2.778210197575203892e+02, 2.812561141528739199e+02, 2.808765991506307955e+02, 2.819812874389606350e+02, 2.813753736940919907e+02, 2.826879868890153489e+02, 2.815999096857331665e+02, 2.793595369236707597e+02
2.065000000000000000e+03, 2.819410505868099790e+02, 2.800037344880740307e+02, 2.817601589746872719e+02, 2.806245153892317603e+02, 2.792173195231317209e+02, 2.823444555975477783e+02, 2.824278656594638051e+02, 2.797094734376247516e+02, 2.777099303277519766e+02, 2.822442941293588206e+02, 2.802584717110678412e+02, 2.819270005856843682e+02, 2.815107915708181281e+02, 2.819963574515133473e+02, 2.811551216767663846e+02, 2.794068980211675921e+02
2.066000000000000000e+03, 2.822150123680250431e+02, 2.801398389182523943e+02, 2.819090648010529776e+02, 2.806064773656923421e+02, 2.796895645524656402e+02, 2.822322071063534850e+02, 2.825927299685108665e+02, 2.795729840443913190e+02, 2.780950295592170392e+02, 2.819293761559655991e+02, 2.812261158988000602e+02, 2.819863456112831273e+02, 2.815367927301378472e+02, 2.822637144219050924e+02, 2.810513084899920955e+02, 2.797140111256865680e+02
2.067000000000000000e+03, 2.821098142695869342e+02, 2.804671972706101997e+02, 2.813671215358871223e+02, 2.810407504793179783e+02, 2.787667246753017025e+02, 2.823592632072254105e+02, 2.827074766660081195e+02, 2.791044186271722083e+02, 2.785196087668633709e+02, 2.814095097954296989e+02, 2.811051060402726876e+02, 2.816408080518119732e+02, 2.812689289424112076e+02, 2.823034762888348155e+02, 2.814898461936681997e+02, 2.793436361916453166e+02
2.068000000000000000e+03, 2.819209901705636980e+02, 2.801074480312460651e+02, 2.816872213832708667e+02, 2.804193682655617863e+02, 2.787775968713015686e+02, 2.828456771283953799e+02, 2.826081109448373354e+02, 2.793062440799347996e+02, 2.784348839984838264e+02, 2.821108554274515541e+02, 2.808318146787366345e+02, 2.819702940279290715e+02, 2.810883069802823684e+02, 2.829552849261905294e+02, 2.813030915557017124e+02, 2.796880458378316234e+02
2.069000000000000000e+03, 2.820627217077295654e+02, 2.804801990640136182e+02, 2.822967256474012743e+02, 2.811393676515231732e+02, 2.788946768173782971e+02, 2.826812309066169746e+02, 2.825438431280408054e+02, 2.797057376484539191e+02, 2.782778514639643959e+02, 2.820561402296613664e+02, 2.811879930573859383e+02, 2.821793369993564511e+02, 2.814170977412630918e+02, 2.821752006167335480e+02, 2.813954116018332456e+02, 2.796545055525646148e+02
2.070000000000000000e+03, 2.816405163171817776e+02, 2.807348723429046800e+02, 2.818034699420045399e+02, 2.806260081994848861e+02, 2.787058689507961162e+02, 2.834756872746297063e+02, 2.832216441232298507e+02, 2.798265879026395169e+02, 2.776908150545428384e+02, 2.810237458464373503e+02, 2.815510680714152159e+02, 2.819692544279242270e+02, 2.810297437646378853e+02, 2.821868136081448597e+02, 2.817848151455490893e+02, 2.789887462394428894e+02
2.071000000000000000e+03, 2.816412336301291361e+02, 2.800945722989783917e+02, 2.823902786778076575e+02, 2.806765695908243856e+02, 2.788265731534925749e+02, 2.826035121571350146e+02, 2.830663387951140635e+02, 2.791050561601394975e+02, 2.780174007597422587e+02, 2.817292078098866455e+02, 2.809380008907823481e+02, 2.818824465069778284e+02, 2.811445891880600811e+02, 2.820184197702020015e+02, 2.814114901624690219e+02, 2.791926979668825197e+02
2.072000000000000000e+03, 2.820069009170862842e+02, 2.797967639040514314e+02, 2.820371116462747523e+02, 2.804368554937819340e+02, 2.791661129259727545e+02, 2.820549971196342653e+02, 2.824268987897733609e+02, 2.793450395869197109e+02, 2.777491543837261929e+02, 2.809891422454591066e+02, 2.807140553388707644e+02, 2.817290545083217239e+02, 2.813096436930036361e+02, 2.819247284220133452e+02, 2.816483879800915702e+02, 2.794576535852787629e+02
2.073000000000000000e+03, 2.818723227156700091e+02, 2.797056160822598372e+02, 2.812964752400832822e+02, 2.809756430238269900e+02, 2.789985175186812398e+02, 2.826275277002009148e+02, 2.828926209689491884e+02, 2.803623254939734579e+02, 2.774365806918972339e+02, 2.817532689481463990e+02, 2.808985228617254393e+02, 2.817240452361473899e+02, 2.818642112392680019e+02, 2.824847365126353225e+02, 2.820500519365762102e+02, 2.794248190112952557e+02
2.074000000000000000e+03, 2.819497779600023932e+02, 2.804709434385553664e+02, 2.815234796290329200e+02, 2.808999612952388816e+02, 2.791794192384795679e+02, 2.827902907364549492e+02, 2.828489693961598732e+02, 2.796827756854750078e+02, 2.788021725516369997e+02, 2.823588836885217574e+02, 2.804986383065163977e+02, 2.816177655866506484e+02, 2.811253660688010427e+02, 2.822890567944393752e+02, 2.816596463146502174e+02, 2.790879428931597772e+02
2.075000000000000000e+03, 2.824011539914527020e+02, 2.804783745898207599e+02, 2.812118867871332668e+02, 2.807280518129429083e+02, 2.793053479865186546e+02, 2.825322238798540297e+02, 2.821320183511899131e+02, 2.797577605077007661e+02, 2.769816740980962209e+02, 2.818575745893081717e+02, 2.804345063078507110e+02, 2.821041788343320036e+02, 2.817529570223559290e+02, 2.822497333207987253e+02, 2.816153088972258161e+02, 2.791064408261590302e+02
2.076000000000000000e+03, 2.820904049624658683e+02, 2.802382551202504715e+02, 2.816534314230727318e+02, 2.811246734478867779e+02, 2.791459532520541984e+02, 2.820978296784840040e+02, 2.826325469516009434e+02, 2.798411857972308212e+02, 2.775005134661498687e+02, 2.817640983524178182e+02, 2.810058526087452151e+02, 2.822429297821405498e+02, 2.820657899751063837e+02, 2.825180370231664142e+02, 2.818153055474903681e+02, 2.794383690895141399e+02
