year, TaiESM1, EC-Earth3-Veg, NorESM2-MM, INM-CM5-0, CNRM-ESM2-1, NorESM2-LM, CESM2-WACCM, CanESM5, IPSL-CM6A-LR, CMCC-CM2-SR5, MPI-ESM1-2-LR, ACCESS-ESM1-5, INM-CM4-8, MIROC-ES2L, UKESM1-0-LL, GFDL-ESM4
2.015000000000000000e+03, 2.793258369936025360e+02, 2.786857397713461637e+02, 2.807899052447993427e+02, 2.800180671035850537e+02, 2.780304412528115563e+02, 2.820786206333053201e+02, 2.815908735282951056e+02, 2.782444463293579133e+02, 2.769918933671677905e+02, 2.799260035928423349e+02, 2.799606373341346170e+02, 2.800762552017650364e+02, 2.805084743335542043e+02, 2.813764235100984479e+02, 2.803219662996484658e+02, 2.784390598022727090e+02
2.016000000000000000e+03, 2.795381143302678879e+02, 2.792005398263162874e+02, 2.809695998851938157e+02, 2.797497694827253554e+02, 2.780361589430964386e+02, 2.818394737266267498e+02, 2.815862373850065410e+02, 2.780561022628105547e+02, 2.763355859314379472e+02, 2.803169310488938777e+02, 2.800470973620560358e+02, 2.808725467976763639e+02, 2.804182965570348074e+02, 2.807712446728851319e+02, 2.796333392525767181e+02, 2.781697190739542407e+02
2.017000000000000000e+03, 2.800003226001759344e+02, 2.788305144489012832e+02, 2.806521467748294754e+02, 2.797158876152231528e+02, 2.784316781289115283e+02, 2.814085330745963915e+02, 2.813740821314426057e+02, 2.777595595374553454e+02, 2.766648449158582821e+02, 2.801252057882226154e+02, 2.799049692776829943e+02, 2.803270696016847978e+02, 2.806845528640435532e+02, 2.811117631282276648e+02, 2.794061948832973599e+02, 2.783462540217809078e+02
2.018000000000000000e+03, 2.798305967676543560e+02, 2.788195234593893019e+02, 2.803780301332800491e+02, 2.802233042505714593e+02, 2.786480735304352834e+02, 2.816631431680675632e+02, 2.817633972250829970e+02, 2.781955500510836714e+02, 2.769358514684236638e+02, 2.803619565528566682e+02, 2.801656948902588056e+02, 2.806990292797546545e+02, 2.804762174693260590e+02, 2.807691342848131626e+02, 2.799422385611402433e+02, 2.784583599232143456e+02
2.019000000000000000e+03, 2.801245269250211436e+02, 2.788215629435421761e+02, 2.804648654536473487e+02, 2.803322840086879637e+02, 2.783631918555114453e+02, 2.817615681913863455e+02, 2.821340065200336653e+02, 2.775994121874525149e+02, 2.763108604642155797e+02, 2.800913124540673493e+02, 2.807477709195489410e+02, 2.807201434898179855e+02, 2.801304700861973629e+02, 2.817564795319356676e+02, 2.794623032941036627e+02, 2.783711624206287070e+02
2.020000000000000000e+03, 2.802730973106478700e+02, 2.794061493090246699e+02, 2.805821733252272452e+02, 2.807258217822172810e+02, 2.775518386191033642e+02, 2.818985405743587194e+02, 2.819360354921064413e+02, 2.781087070622677402e+02, 2.761817438559244806e+02, 2.805188209999486730e+02, 2.804039067110240353e+02, 2.803268602878317779e+02, 2.808403004138456822e+02, 2.812660647022129865e+02, 2.802255541508134229e+02, 2.787411657547675077e+02
2.021000000000000000e+03, 2.800321148635495661e+02, 2.795474053043211029e+02, 2.812768670599584198e+02, 2.803844528753712098e+02, 2.783766637179246572e+02, 2.818981981188725285e+02, 2.818426233751506516e+02, 2.780005799735566256e+02, 2.770782375970366047e+02, 2.806620871721574986e+02, 2.801444921985180940e+02, 2.806603014995840795e+02, 2.802000938934542660e+02, 2.811599238459798471e+02, 2.801213510132623696e+02, 2.786813759898017793e+02
2.022000000000000000e+03, 2.795806289478646249e+02, 2.788994095011004219e+02, 2.811616664226384614e+02, 2.804513882290759170e+02, 2.781401716269186863e+02, 2.818338653253693451e+02, 2.812594849676905255e+02, 2.783627805747847788e+02, 2.775295054476769678e+02, 2.803864420629437291e+02, 2.805038667493341222e+02, 2.807943024254025204e+02, 2.807329842497637742e+02, 2.813224019297713880e+02, 2.795028494273290676e+02, 2.784783284899987734e+02
2.023000000000000000e+03, 2.801375402095601999e+02, 2.791702872468047190e+02, 2.811028420064288866e+02, 2.800970331547405294e+02, 2.782657791416767736e+02, 2.819334341271050448e+02, 2.822060858545770543e+02, 2.786239163384050812e+02, 2.770092156339872531e+02, 2.806628098660910382e+02, 2.800420631760889023e+02, 2.809981781048161338e+02, 2.811386370300917861e+02, 2.815152220550237416e+02, 2.801136811096608312e+02, 2.786617325043840765e+02
2.024000000000000000e+03, 2.799970512739153605e+02, 2.790565948456778642e+02, 2.815947654191713241e+02, 2.806618947596268754e+02, 2.782032572554170997e+02, 2.814846182543509485e+02, 2.817273410812035763e+02, 2.783749005176615015e+02, 2.766318638704791510e+02, 2.802937148487360446e+02, 2.805622467390118686e+02, 2.813254875943589468e+02, 2.811099336903799895e+02, 2.819007836677296837e+02, 2.804027297401420356e+02, 2.790195814499626294e+02
