year, MPI-ESM1-2-LR, GFDL-ESM4, EC-Earth3-Veg
2.038000000000000000e+03, 7.865861807064297300e-10, 5.235434273973553131e-10, 5.979274842306521198e-10
2.039000000000000000e+03, 7.741443823494358690e-10, 4.229523492566537258e-10, 5.337396425543632086e-10
2.040000000000000000e+03, 7.837470060321619697e-10, 4.975083320810331618e-10, 5.346058108288773934e-10
2.041000000000000000e+03, 8.160885885136158378e-10, 5.402220450741839688e-10, 5.512109783590744878e-10
2.042000000000000000e+03, 7.682867009376422327e-10, 5.836641063349399663e-10, 5.310798320745398780e-10
2.043000000000000000e+03, 7.976370697503573303e-10, 5.109480313868232954e-10, 5.675886888426747072e-10
2.044000000000000000e+03, 7.935461859433195401e-10, 5.715409146056726780e-10, 5.283100660978003896e-10
2.045000000000000000e+03, 8.018555857114940674e-10, 4.739388101742353517e-10, 5.413385434147156409e-10
2.046000000000000000e+03, 7.862688053728623800e-10, 4.904583026284515504e-10, 5.538324143079939798e-10
2.047000000000000000e+03, 7.891835077413196243e-10, 5.236605238347204697e-10, 5.302951614373064131e-10
2.048000000000000000e+03, 7.950216674698954284e-10, 4.677712049585630285e-10, 5.382228262842326420e-10
2.049000000000000000e+03, 7.716493477836642789e-10, 4.450486888570855659e-10, 4.862174845294392490e-10
2.050000000000000000e+03, 7.557823370865328098e-10, 3.796774797743885239e-10, 5.357730401993481483e-10
2.051000000000000000e+03, 7.749711564511864749e-10, 4.981957256804571541e-10, 4.964343219602056968e-10
2.052000000000000000e+03, 7.697144732805156745e-10, 4.492961241996565333e-10, 5.230191784121285725e-10
2.053000000000000000e+03, 7.971983803503910379e-10, 4.686239957508575803e-10, 5.257427508885149527e-10
2.054000000000000000e+03, 7.557295318296574544e-10, 4.359805279693528267e-10, 5.026298908739187743e-10
2.055000000000000000e+03, 7.728756769272379652e-10, 4.467520742358609650e-10, 4.616008951539715484e-10
2.056000000000000000e+03, 7.623632558160162234e-10, 3.883034010793267610e-10, 4.854783671439457708e-10
2.057000000000000000e+03, 7.844569981505042557e-10, 3.842967081074354521e-10, 5.026023137205863826e-10
2.058000000000000000e+03, 7.663487526311844562e-10, 4.724503432554027208e-10, 4.857335148231978787e-10
2.059000000000000000e+03, 7.894067340446815625e-10, 4.136519078549897624e-10, 4.524454555101452822e-10
2.060000000000000000e+03, 7.754979425720494432e-10, 4.851314426269938584e-10, 4.286817194379601620e-10
2.061000000000000000e+03, 7.864116217168197265e-10, 4.338812298537668280e-10, 4.894643094467057663e-10
2.062000000000000000e+03, 7.743201519450519478e-10, 4.178972769603503100e-10, 4.354571293919783046e-10
2.063000000000000000e+03, 7.776116675321911812e-10, 4.324975770154460434e-10, 4.507565471742506687e-10
2.064000000000000000e+03, 7.822970961255984900e-10, 4.460528663793476272e-10, 4.459390560088560393e-10
2.065000000000000000e+03, 7.613552953972598737e-10, 4.660092520782172516e-10, 4.637699484868751875e-10
2.066000000000000000e+03, 7.533755694977726921e-10, 4.568723289635834657e-10, 4.612711177383685492e-10
2.067000000000000000e+03, 7.162177763749758530e-10, 4.480395399767493011e-10, 4.650513217427040616e-10
2.068000000000000000e+03, 7.350722613304311583e-10, 4.555701078552938454e-10, 4.869125244284976115e-10
2.069000000000000000e+03, 7.565628137582903854e-10, 4.771833358188656571e-10, 4.097905595195456357e-10
2.070000000000000000e+03, 7.718915251029035215e-10, 4.222657598114987873e-10, 4.718911101863667835e-10
2.071000000000000000e+03, 7.454466554495857263e-10, 3.618272219019241852e-10, 4.945481687426355580e-10
2.072000000000000000e+03, 7.365307086772324228e-10, 4.283182499132270849e-10, 4.312287110939996213e-10
2.073000000000000000e+03, 7.852891440499057258e-10, 3.323295160714978566e-10, 5.232929904005508804e-10
2.074000000000000000e+03, 7.671081250783947738e-10, 4.449573212775557293e-10, 4.074998126789830468e-10
2.075000000000000000e+03, 7.462314737014065420e-10, 4.269072685286162607e-10, 4.366752011893023512e-10
2.076000000000000000e+03, 7.635612818525438900e-10, 4.320134776709438760e-10, 4.549589950959840414e-10
2.077000000000000000e+03, 7.659625409291186837e-10, 4.583188127481253454e-10, 4.415371578490698163e-10
2.078000000000000000e+03, 7.581182003207667957e-10, 3.820944047143054638e-10, 4.287459000414156708e-10
2.079000000000000000e+03, 7.335491497160936775e-10, 3.338727468936592330e-10, 4.460186259761418848e-10
2.080000000000000000e+03, 7.673805114668747302e-10, 3.499220744730584017e-10, 4.277032022031216510e-10
2.081000000000000000e+03, 7.979154537235938198e-10, 3.667490278323844970e-10, 3.988511509629893770e-10
2.082000000000000000e+03, 7.843279444773104294e-10, 3.270202395440483868e-10, 4.399833801268062984e-10
2.083000000000000000e+03, 7.793063369187115850e-10, 4.273021451431432475e-10, 4.074932285872019028e-10
2.084000000000000000e+03, 7.697236442825097499e-10, 3.270747434193855263e-10, 4.134156226458935625e-10
2.085000000000000000e+03, 7.488099854661028930e-10, 4.441358768299479983e-10, 4.248805306935888947e-10
2.086000000000000000e+03, 7.239892747463348035e-10, 3.248584559564599433e-10, 4.102177263845943676e-10
2.087000000000000000e+03, 7.455182406682279767e-10, 3.565796103369209442e-10, 4.629688566811646912e-10
2.088000000000000000e+03, 7.168145158186166886e-10, 3.688517336095595878e-10, 4.121762866871545545e-10
2.089000000000000000e+03, 7.493992861600313048e-10, 4.045330619191762547e-10, 4.306825401399125845e-10
2.090000000000000000e+03, 7.549521330735339506e-10, 3.976441203258044032e-10, 4.077417340981041488e-10
2.091000000000000000e+03, 7.470996763857645491e-10, 3.274998177436704202e-10, 4.489713799425050507e-10
2.092000000000000000e+03, 7.598586803958349916e-10, 3.539317081680031902e-10, 4.282347367038116110e-10
2.093000000000000000e+03, 8.096754305762480852e-10, 3.052624374637728392e-10, 4.371826151481974719e-10
2.094000000000000000e+03, 7.690077460240577662e-10, 3.328643111762702130e-10, 3.896068150786140459e-10
2.095000000000000000e+03, 7.463595738382188991e-10, 2.859364769124481526e-10, 4.026849548037368173e-10
2.096000000000000000e+03, 7.914653822092518195e-10, 2.150503889774700379e-10, 4.003001438026134406e-10
2.097000000000000000e+03, 7.397992758847763153e-10, 2.416233775824783240e-10, 3.902582221202335191e-10
2.098000000000000000e+03, 7.238363052147978520e-10, 2.770622322019163062e-10, 4.321219075911049188e-10
2.099000000000000000e+03, 7.725281573868473076e-10, 2.480030562782994142e-10, 3.851338266726227591e-10
2.100000000000000000e+03, 7.611503336871960699e-10, 2.377775820078721666e-10, 4.252240717668282587e-10
