year, MPI-ESM1-2-LR, GFDL-ESM4, EC-Earth3-Veg
2.015000000000000000e+03, 6.906672291900181478e-10, 4.182685553900256559e-10, 5.387887231179832274e-10
2.016000000000000000e+03, 7.262113762922013300e-10, 4.358214591996060709e-10, 6.151171190538223568e-10
2.017000000000000000e+03, 7.156756375534200569e-10, 5.418517314428449373e-10, 5.800353934755626431e-10
2.018000000000000000e+03, 7.564192348721873231e-10, 4.134847964423956362e-10, 6.024058721629907558e-10
2.019000000000000000e+03, 7.361777685430083371e-10, 4.866623348437778553e-10, 6.000127524554342876e-10
2.020000000000000000e+03, 6.753741746536410754e-10, 4.396153146713826425e-10, 6.199020234969877262e-10
2.021000000000000000e+03, 7.303340425189704218e-10, 5.093397651404861926e-10, 6.077790586066319333e-10
2.022000000000000000e+03, 7.057863541615117210e-10, 4.669482509859940024e-10, 6.267592738057190007e-10
2.023000000000000000e+03, 7.295576571022387969e-10, 4.776051023175925281e-10, 5.653538723522516364e-10
2.024000000000000000e+03, 7.764666277122293452e-10, 5.108280053402283690e-10, 6.218973478678698782e-10
2.025000000000000000e+03, 7.728548835210038771e-10, 4.836056766060299041e-10, 6.158752212156979924e-10
2.026000000000000000e+03, 7.164767869079562307e-10, 4.831874350891465083e-10, 5.627791247155290974e-10
2.027000000000000000e+03, 7.624990453667536743e-10, 5.274150790459150209e-10, 5.758248716660295013e-10
2.028000000000000000e+03, 7.623928738329168914e-10, 5.214496662869265115e-10, 5.615330240080394841e-10
2.029000000000000000e+03, 7.797197390636141259e-10, 5.741566467930083343e-10, 5.925922332318878407e-10
2.030000000000000000e+03, 7.611217664283289096e-10, 4.793212321507307568e-10, 5.808356845557661074e-10
2.031000000000000000e+03, 7.365713563845553911e-10, 5.646034903728592405e-10, 6.371230248178431460e-10
2.032000000000000000e+03, 7.343884611227694164e-10, 6.182308426460477575e-10, 6.117935411706991723e-10
2.033000000000000000e+03, 7.875022508797743209e-10, 6.504545738256350095e-10, 5.833678820867253147e-10
2.034000000000000000e+03, 7.581737700743446372e-10, 5.461836912609407539e-10, 5.621483179359588922e-10
2.035000000000000000e+03, 7.560312759491807750e-10, 6.118838843611213652e-10, 6.616571941321095731e-10
2.036000000000000000e+03, 7.776446821303450181e-10, 5.951815578632618113e-10, 5.665216973920045269e-10
2.037000000000000000e+03, 7.146840046707916410e-10, 4.516548241968644154e-10, 5.985796001401431020e-10
