year, MPI-ESM1-2-LR, EC-Earth3-Veg, CanESM5, CESM2-WACCM, NorESM2-LM, CMCC-CM2-SR5, MIROC-ES2L, NorESM2-MM, TaiESM1, GFDL-ESM4, IPSL-CM6A-LR, INM-CM4-8, INM-CM5-0, ACCESS-ESM1-5, UKESM1-0-LL, CNRM-ESM2-1
2.030000000000000000e+03, 2.269502457905621107e+00, 2.081938569330724409e+00, 2.324637991407417115e+00, 2.762014888531107104e+00, 2.350920934363731174e+00, 2.528213241339788198e+00, 3.196087874082865543e+00, 2.124018327037182186e+00, 2.629418761089009404e+00, 2.244699134078730562e+00, 2.113600034108787273e+00, 3.299825289925277350e+00, 3.271204381052083221e+00, 2.847981301358816886e+00, 2.623713938815683377e+00, 2.155237656847547534e+00
2.031000000000000000e+03, 2.315780559215652179e+00, 2.165987444436071385e+00, 2.246672077053951444e+00, 2.402721412789681210e+00, 2.142319155054704272e+00, 2.890864557096665788e+00, 2.910163573181380858e+00, 2.180590791030678766e+00, 2.632083221749207169e+00, 2.100969444669698927e+00, 2.072498059215237998e+00, 3.344415695406029787e+00, 3.263266306016219698e+00, 2.962178749522357268e+00, 2.328143297961964731e+00, 2.363200337702513920e+00
2.032000000000000000e+03, 2.156701644530426343e+00, 1.916969582627817470e+00, 2.005753351547509666e+00, 2.525686746420937823e+00, 2.612501377062449226e+00, 2.598361381260511305e+00, 2.868453486872644120e+00, 2.325684228853474256e+00, 2.573256006089993608e+00, 1.993282909757832844e+00, 2.121291317318664493e+00, 2.957587065021885842e+00, 3.210694005745723167e+00, 2.992803282584827418e+00, 2.580303362784667875e+00, 2.179885919782062587e+00
2.033000000000000000e+03, 2.124921791656357861e+00, 1.900850898201940975e+00, 2.550215343540093826e+00, 2.282318651207853044e+00, 2.275171134240683735e+00, 2.592632987009106049e+00, 2.986339630363187503e+00, 2.187429639893611721e+00, 2.518915445974037048e+00, 2.049091992706662424e+00, 2.126295135961004501e+00, 3.253826005805276811e+00, 3.042600355285073110e+00, 2.790454375971548995e+00, 2.411183792977575457e+00, 2.408347428123644995e+00
2.034000000000000000e+03, 2.125587181489990041e+00, 2.118328539576388891e+00, 2.216634408080343732e+00, 2.764100372111589987e+00, 2.462041235970806152e+00, 2.687584402260756899e+00, 3.266356531842555366e+00, 2.258144145206278708e+00, 2.776468231083539795e+00, 2.194410668131989262e+00, 2.147129011791280462e+00, 3.172043592044340610e+00, 3.139483795123694243e+00, 2.768339793935819415e+00, 2.683866205963261198e+00, 2.335359025662719024e+00
2.035000000000000000e+03, 2.351225203625992410e+00, 2.062312924278318693e+00, 2.336851441374756533e+00, 2.417130808146646270e+00, 2.199167984912079099e+00, 2.675715368956916862e+00, 2.929609905609166898e+00, 2.173672308119523056e+00, 2.608630787550060948e+00, 2.093831982513947754e+00, 2.164806525952104543e+00, 3.168033047907552913e+00, 3.324088762866221902e+00, 2.639372128153697261e+00, 2.478741295798986499e+00, 2.049865216780146771e+00
2.036000000000000000e+03, 2.239399065226811647e+00, 2.041469061617730674e+00, 2.670511046180128467e+00, 2.577822619183107289e+00, 2.244720402494753575e+00, 2.620463616357606718e+00, 2.836231887449395916e+00, 2.346111140975215559e+00, 2.759267293631036733e+00, 1.984475756776053590e+00, 2.209530989127438616e+00, 3.214939032968304744e+00, 2.982647070275887380e+00, 2.948573118004650162e+00, 2.571136792788490499e+00, 2.181709664254549264e+00
2.037000000000000000e+03, 2.204271791689780269e+00, 2.098741217583908192e+00, 2.465598832731431767e+00, 2.560576487564699022e+00, 2.344737709040592755e+00, 2.592123199034090053e+00, 3.069173065197531081e+00, 2.227681833407507472e+00, 2.662297692434064889e+00, 2.097576980002245683e+00, 2.153556458929652973e+00, 3.024999980957923995e+00, 3.310397386613662896e+00, 2.920207882554247458e+00, 2.466887334909690477e+00, 2.261403815523938654e+00
2.038000000000000000e+03, 2.291500543344531682e+00, 1.933662207024875901e+00, 2.425157663981458711e+00, 2.522585978218275127e+00, 2.359435532779188716e+00, 2.746984291972195624e+00, 2.978985932379051960e+00, 2.279745890388840568e+00, 2.737119756884760058e+00, 1.990018197953537404e+00, 2.119447154203296435e+00, 3.145781490329220720e+00, 3.102917229553837863e+00, 2.760103956001875858e+00, 2.454504029977060853e+00, 2.404281114325186763e+00
2.039000000000000000e+03, 2.365043815465565746e+00, 1.894216641030665116e+00, 2.412274114787548829e+00, 2.464565632738715983e+00, 2.317066456775505046e+00, 2.786138355256470245e+00, 3.037600093062752471e+00, 2.329426363637604247e+00, 2.669666234636159263e+00, 2.022701175296577336e+00, 2.158989885561136912e+00, 3.169923673450851354e+00, 3.119367748481342684e+00, 2.689009717249540632e+00, 2.324358250062461106e+00, 2.349797384549234369e+00
