year, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-MM, CanESM5, EC-Earth3-Veg, NorESM2-LM, CESM2-WACCM, MIROC-ES2L, UKESM1-0-LL, TaiESM1, CNRM-ESM2-1, MPI-ESM1-2-LR, IPSL-CM6A-LR, GFDL-ESM4
2.015000000000000000e+03, 2.742484731537496145e+02, 9.422176988063212377e+01, 1.006522897746821172e+02, 1.218479737067137023e+02, 1.341571600274466505e+02, 1.006455659494360475e+02, 1.107141539815230544e+02, 9.881106055308792691e+01, 2.023666716634006661e+02, 6.797295441031322127e+01, 1.430499359919367066e+02, 5.834546022820808986e+01, 3.774520503129495097e+01, 3.810168609884414082e+01
2.016000000000000000e+03, 2.743637534181514752e+02, 9.424764393297832044e+01, 1.006774246128423300e+02, 1.218111912627679061e+02, 1.341521583214894235e+02, 1.007469600346650935e+02, 1.107454667681815579e+02, 9.902684307754992687e+01, 2.025155318490252796e+02, 6.800845532644359537e+01, 1.431833387427778632e+02, 5.836999842017149831e+01, 3.777637401662843786e+01, 3.798825619340875193e+01
2.017000000000000000e+03, 2.745601027508927245e+02, 9.425049626484810972e+01, 1.007203336604326012e+02, 1.217524817493410296e+02, 1.341401596059481562e+02, 1.008803714931204070e+02, 1.108075089515463105e+02, 9.922520117572140919e+01, 2.025733520961136946e+02, 6.813493204685562432e+01, 1.433080471178589335e+02, 5.839531660962570925e+01, 3.780360612453441860e+01, 3.791015141097275176e+01
2.018000000000000000e+03, 2.746477628708373686e+02, 9.425157611293755622e+01, 1.008042601246306020e+02, 1.217162838048569853e+02, 1.341710204189913327e+02, 1.010053453614801668e+02, 1.108800921299634155e+02, 9.940128590705809586e+01, 2.027261266636109269e+02, 6.809667992627929323e+01, 1.434257313487129579e+02, 5.841497891374694973e+01, 3.782891999252085924e+01, 3.786004955354118096e+01
2.019000000000000000e+03, 2.747445577411103272e+02, 9.426170265327185405e+01, 1.009140765003159714e+02, 1.216956785529933001e+02, 1.342080672244983361e+02, 1.011051025987456171e+02, 1.108767141443890978e+02, 9.956613517823822690e+01, 2.027150382542925513e+02, 6.803950931947265701e+01, 1.435758714740013602e+02, 5.858185871489673247e+01, 3.785319142870794451e+01, 3.779303817335087246e+01
2.020000000000000000e+03, 2.748138211598877092e+02, 9.428865178698906391e+01, 1.010273524170528390e+02, 1.216778322677455861e+02, 1.342616210780481651e+02, 1.011710591820886265e+02, 1.108516936810793112e+02, 9.969145035073213990e+01, 2.029206247263308285e+02, 6.806505174601146280e+01, 1.437241775541081665e+02, 5.858449274394591555e+01, 3.788199848028394001e+01, 3.773271479422488284e+01
2.021000000000000000e+03, 2.749688575385093259e+02, 9.431896050290687583e+01, 1.011316608029522541e+02, 1.216578138543943055e+02, 1.342867968606105080e+02, 1.011759576251763235e+02, 1.108579485624622265e+02, 9.985680387389083990e+01, 2.030209544475971768e+02, 6.801286330623700849e+01, 1.438625493179956436e+02, 5.855334836532240672e+01, 3.791375923865660980e+01, 3.771718044247197099e+01
2.022000000000000000e+03, 2.750763145964857586e+02, 9.435054049900443829e+01, 1.011648457638873424e+02, 1.216694971061385218e+02, 1.343153786883402461e+02, 1.011806614385700982e+02, 1.108780029757915457e+02, 1.000364228592913776e+02, 2.031279544134775961e+02, 6.819103165324102633e+01, 1.439949854985454465e+02, 5.866673102673881601e+01, 3.793785345047970736e+01, 3.768881589531175536e+01
2.023000000000000000e+03, 2.751171545624936243e+02, 9.437339199075894669e+01, 1.012259692907980906e+02, 1.216486607325939815e+02, 1.343778268924336317e+02, 1.012408081831870987e+02, 1.108848486141021965e+02, 1.001735523747396428e+02, 2.033011757977702700e+02, 6.827025360315757041e+01, 1.441693179279578203e+02, 5.866623500507486000e+01, 3.797700051068011362e+01, 3.761794339456442060e+01
2.024000000000000000e+03, 2.751733997145653348e+02, 9.437286584665196187e+01, 1.013259300295129464e+02, 1.216424361766350017e+02, 1.344321776685984844e+02, 1.013220238679235194e+02, 1.109032937994222152e+02, 1.003206569349691506e+02, 2.035441829787829704e+02, 6.816480075929126770e+01, 1.443549633954905289e+02, 5.874070714637732493e+01, 3.800812163183750414e+01, 3.757186850427960678e+01
2.025000000000000000e+03, 2.752532576243089579e+02, 9.436070301829872164e+01, 1.014331898665013938e+02, 1.216412785968482382e+02, 1.344955393124791954e+02, 1.013890587078257965e+02, 1.109264665879424001e+02, 1.004606174183783054e+02, 2.036321454756800620e+02, 6.810838807377656678e+01, 1.445231203059589120e+02, 5.881715651303861137e+01, 3.804100855733802433e+01, 3.747457266960193323e+01
2.026000000000000000e+03, 2.753862239698367489e+02, 9.434003921295007444e+01, 1.015461510631022009e+02, 1.216538628033682983e+02, 1.345342159527153569e+02, 1.014602766978697730e+02, 1.108966268110892486e+02, 1.005958722476528777e+02, 2.038348111376751319e+02, 6.826545689506517078e+01, 1.446216085900950645e+02, 5.887073094247870841e+01, 3.807204582523974778e+01, 3.740035561684307197e+01
2.027000000000000000e+03, 2.755604506775196114e+02, 9.434654703050084379e+01, 1.015924378298801116e+02, 1.216719008642538000e+02, 1.345215608954638924e+02, 1.015591528180981129e+02, 1.109124575361469880e+02, 1.006986127599970189e+02, 2.040255890199584599e+02, 6.833585265389893948e+01, 1.447178036505509908e+02, 5.894898587019805092e+01, 3.812774291382024927e+01, 3.736224806944554899e+01
2.028000000000000000e+03, 2.755509520540032895e+02, 9.437112337643530680e+01, 1.016223996026558609e+02, 1.217087325275982579e+02, 1.344889652184741351e+02, 1.016736869533542773e+02, 1.110092007596292376e+02, 1.007998487930804004e+02, 2.042955385426934356e+02, 6.833461157955052556e+01, 1.448682407410868223e+02, 5.899049866205402992e+01, 3.818230666573187193e+01, 3.731888337371596265e+01
2.029000000000000000e+03, 2.754960550387339140e+02, 9.439732484904831722e+01, 1.016526883621039161e+02, 1.217372864314059910e+02, 1.344354162143196731e+02, 1.018087195749059788e+02, 1.111120460400177024e+02, 1.009736875253026227e+02, 2.044030429883931959e+02, 6.829013956022268417e+01, 1.450458308029117802e+02, 5.900347976963434604e+01, 3.822070478864652188e+01, 3.730097166808307918e+01
2.030000000000000000e+03, 2.756198990293110569e+02, 9.439954667035453895e+01, 1.017185412432156824e+02, 1.217639994562340462e+02, 1.343749789823633307e+02, 1.019009482292337765e+02, 1.111843881466217425e+02, 1.011182513437879891e+02, 2.045629446771413313e+02, 6.827365162618418992e+01, 1.452192111982318181e+02, 5.904830613053469079e+01, 3.826008118135414549e+01, 3.726049476876259092e+01
2.031000000000000000e+03, 2.758252139008057497e+02, 9.439090944537051087e+01, 1.018152272434732879e+02, 1.217971560050053199e+02, 1.343757089609576951e+02, 1.019597080250445202e+02, 1.111909682125916277e+02, 1.012792274420984313e+02, 2.048406845939462073e+02, 6.836177968781308323e+01, 1.453622925323173831e+02, 5.906948283289247570e+01, 3.829964588381287882e+01, 3.724522712166803018e+01
2.032000000000000000e+03, 2.758838486793241600e+02, 9.437781183116105410e+01, 1.019133400554521813e+02, 1.218231272160666663e+02, 1.344340486436673814e+02, 1.020306855603461429e+02, 1.111825691900312734e+02, 1.014365507146440848e+02, 2.050373193168065029e+02, 6.847896297000818322e+01, 1.454871379529017474e+02, 5.920578313128654457e+01, 3.833732933539182852e+01, 3.720918471299292918e+01
2.033000000000000000e+03, 2.759934985172973256e+02, 9.439485718175458828e+01, 1.019810881950071177e+02, 1.218585417770827206e+02, 1.344790954817668478e+02, 1.021123613167505226e+02, 1.111698045633526846e+02, 1.016191059805055801e+02, 2.052488599763316302e+02, 6.851464467316995410e+01, 1.456662663266925790e+02, 5.921635211470784554e+01, 3.837304648092607806e+01, 3.715300203809614743e+01
2.034000000000000000e+03, 2.761148578148540764e+02, 9.441731010876007701e+01, 1.020196095223382855e+02, 1.219021458293192381e+02, 1.344905990837922332e+02, 1.022016850857927892e+02, 1.111880613112946037e+02, 1.017730034225076565e+02, 2.054185803358815861e+02, 6.855999043472154142e+01, 1.457860330266323956e+02, 5.933265962639568869e+01, 3.840922721030511156e+01, 3.714872060821988953e+01
2.035000000000000000e+03, 2.761238268682930652e+02, 9.443212488286371808e+01, 1.020735422049854861e+02, 1.219309897112955383e+02, 1.344994374636839609e+02, 1.022414097563737130e+02, 1.112542228133614231e+02, 1.019084095818106590e+02, 2.055793325559873495e+02, 6.848561865128144177e+01, 1.459065021148580570e+02, 5.935600885085315781e+01, 3.846304433954140478e+01, 3.712755457172782769e+01
2.036000000000000000e+03, 2.761988614597645437e+02, 9.441118134803892303e+01, 1.021693759802922443e+02, 1.219818945135193360e+02, 1.345628638632373395e+02, 1.023263669958635802e+02, 1.113483376789273507e+02, 1.020406155900909084e+02, 2.056148997039143183e+02, 6.843344504532164763e+01, 1.460703184995312824e+02, 5.936872351672263193e+01, 3.851430080865383587e+01, 3.708208137939654847e+01
2.037000000000000000e+03, 2.763721600130662068e+02, 9.440447548802714550e+01, 1.022673352701107774e+02, 1.220376395232630102e+02, 1.346095531775698078e+02, 1.024241164151885357e+02, 1.113524483125509761e+02, 1.021610538887271247e+02, 2.057823049002058440e+02, 6.848836448949386124e+01, 1.462158289437036842e+02, 5.949322500640350597e+01, 3.857652635366429905e+01, 3.705184581648606468e+01
2.038000000000000000e+03, 2.765209689709582221e+02, 9.442747079035486024e+01, 1.023581001652407849e+02, 1.220907105418799006e+02, 1.346786517556454044e+02, 1.025048240052618382e+02, 1.113247164387366013e+02, 1.023062757861154779e+02, 2.060642380916757475e+02, 6.851982388886763431e+01, 1.463609584337337424e+02, 5.951428616806153826e+01, 3.861913257521214859e+01, 3.700781877197393044e+01
2.039000000000000000e+03, 2.764786548295599005e+02, 9.444976877817977368e+01, 1.024284271517652343e+02, 1.221452108889994150e+02, 1.347375205963548694e+02, 1.025143489793529170e+02, 1.113547146452729208e+02, 1.024127104037941507e+02, 2.063920198069684204e+02, 6.852514803228582707e+01, 1.464841657032725379e+02, 5.955393718419288973e+01, 3.865130735482231472e+01, 3.695996663618045375e+01
2.040000000000000000e+03, 2.765264622798830487e+02, 9.443255240291036046e+01, 1.025001066603393411e+02, 1.222007987998026550e+02, 1.347567740440382238e+02, 1.025481547233809465e+02, 1.113849136135986555e+02, 1.025100606497013729e+02, 2.065403224333964260e+02, 6.856394153712864181e+01, 1.466032388301631784e+02, 5.963515150765392292e+01, 3.869372869698174355e+01, 3.692701857710402180e+01
2.041000000000000000e+03, 2.765703806558354927e+02, 9.440852816596199659e+01, 1.025698539882047413e+02, 1.222674286013218392e+02, 1.347758815935993937e+02, 1.026704245976463170e+02, 1.113723276258015886e+02, 1.026348810256766058e+02, 2.064975311250316565e+02, 6.857542245341016951e+01, 1.467515402248237422e+02, 5.972132136686170156e+01, 3.874288697330445075e+01, 3.687887398277231199e+01
