year, INM-CM4-8, MIROC-ES2L, MPI-ESM1-2-LR, EC-Earth3-Veg, NorESM2-MM, NorESM2-LM, IPSL-CM6A-LR, GFDL-ESM4, CanESM5, ACCESS-ESM1-5, TaiESM1, CESM2-WACCM, CNRM-ESM2-1, UKESM1-0-LL, CMCC-ESM2, INM-CM5-0
2.015000000000000000e+03, 1.136334608833470705e+00, 9.310673915912652809e-01, 1.244266322067041575e+00, 1.442916785459800622e+00, 2.097606572692919613e+00, 2.372403909548892909e+00, 9.197623417980993477e-01, 1.707300972674018036e+00, 8.979566739110899087e-01, 1.212876416128104262e+00, 2.658004434111632452e+00, 2.167239669135780478e+00, 1.085802313038226830e+00, 2.227918055937760045e+00, 2.724811686843137792e+00, 1.133690855815009169e+00
2.016000000000000000e+03, 1.112354505528859061e+00, 9.217670850828276752e-01, 1.258289542233024694e+00, 1.535443745002963878e+00, 2.008495695696223660e+00, 2.299288027406617196e+00, 8.958991763507460071e-01, 1.648140948689180041e+00, 9.649809412625067750e-01, 1.203171906054500528e+00, 2.617919248736533255e+00, 2.195921228021915805e+00, 1.113381887221041922e+00, 2.210258834554782670e+00, 2.530633976777964644e+00, 1.109321850210752691e+00
2.017000000000000000e+03, 1.131425348416761123e+00, 9.274956268260289294e-01, 1.256718664363509541e+00, 1.552385237874190471e+00, 2.041444722462295136e+00, 2.246010482275150544e+00, 8.792090003068470105e-01, 1.727028204230753872e+00, 9.255513576865810332e-01, 1.223393095844552469e+00, 2.574510303806127887e+00, 2.110249020184279178e+00, 1.162042490608855561e+00, 2.225981311149340947e+00, 2.553500640459849702e+00, 1.082313533302312836e+00
2.018000000000000000e+03, 1.140947016253109902e+00, 9.156811093012123814e-01, 1.276262304359574662e+00, 1.536403943457520294e+00, 2.100308789277220534e+00, 2.183127438667745945e+00, 8.848459355303343044e-01, 1.713742478732050101e+00, 9.101946675759332583e-01, 1.253944128948855763e+00, 2.659231680524801078e+00, 2.103346114045697934e+00, 1.131958101337185774e+00, 2.225937711323418444e+00, 2.716004950808516671e+00, 1.119493239743739377e+00
2.019000000000000000e+03, 1.109685252863091165e+00, 9.466350104599966508e-01, 1.271923485207334004e+00, 1.580674723724641462e+00, 2.062503722051185928e+00, 2.143227512020572600e+00, 8.705634767958552178e-01, 1.622243612844451954e+00, 9.328393583239725784e-01, 1.283577355435710166e+00, 2.860709975191881860e+00, 2.185285054046781195e+00, 1.068229351364914370e+00, 2.215926252928808182e+00, 2.613873835061998996e+00, 1.127760537460209322e+00
2.020000000000000000e+03, 1.135778600273138261e+00, 9.430135375551617072e-01, 1.253572314928663500e+00, 1.601467181478578361e+00, 2.006782827370228617e+00, 2.219331463822424855e+00, 8.727057884096008911e-01, 1.687891750980940131e+00, 9.360554517254510154e-01, 1.273719985375975750e+00, 2.928921113854743297e+00, 2.188016153444465761e+00, 1.126711296718224675e+00, 2.262060366999863348e+00, 2.717112805597723391e+00, 1.131491065167427035e+00
2.021000000000000000e+03, 1.116562937952289225e+00, 9.538503187028507524e-01, 1.264275544192211775e+00, 1.584067689727208128e+00, 1.990066906915781919e+00, 2.317816205760713899e+00, 8.889289326120863866e-01, 1.722087244344393531e+00, 9.448044909712473016e-01, 1.270480157695915047e+00, 2.913057531105379461e+00, 2.181701097900591524e+00, 1.207515341178965418e+00, 2.274242619039109847e+00, 2.560933884265511384e+00, 1.133717479328625544e+00
2.022000000000000000e+03, 1.137910347336374972e+00, 9.477037216837164157e-01, 1.262892694820994199e+00, 1.585199289257817279e+00, 2.054930052157593057e+00, 2.331795697298638892e+00, 9.290006314905702167e-01, 1.657439845294517600e+00, 9.874023792559387669e-01, 1.280510086948171145e+00, 2.708511012154575237e+00, 2.190205841940402021e+00, 1.162308073815051079e+00, 2.258368743660604139e+00, 2.831535295992353429e+00, 1.126650494884757991e+00
2.023000000000000000e+03, 1.136216582003098274e+00, 9.746122299695557656e-01, 1.275536064383520296e+00, 1.547476908745402335e+00, 2.104208355914915174e+00, 2.343936537906265549e+00, 9.183753612620949580e-01, 1.716170811708315647e+00, 9.508717263215842319e-01, 1.266829697812847932e+00, 2.597170715633529969e+00, 2.226453237349422576e+00, 1.156338087185774022e+00, 2.273614352336942979e+00, 2.970265979150505053e+00, 1.109655120659386762e+00
2.024000000000000000e+03, 1.157578141301006447e+00, 9.741008474638939152e-01, 1.295382322861652780e+00, 1.627205144027974670e+00, 2.106195137457187894e+00, 2.385651454782359959e+00, 8.981522939416223261e-01, 1.787326460761669900e+00, 9.770523309623782016e-01, 1.265250124427156120e+00, 2.810112547252209048e+00, 2.200117818977296302e+00, 1.105179987063924507e+00, 2.279528682075976143e+00, 2.659199254677655055e+00, 1.146804823889921332e+00
