year, MIROC-ES2L, MPI-ESM1-2-LR, CNRM-ESM2-1, EC-Earth3-Veg, NorESM2-LM, GFDL-ESM4, IPSL-CM6A-LR, TaiESM1, INM-CM4-8, UKESM1-0-LL, ACCESS-ESM1-5, CMCC-CM2-SR5, NorESM2-MM, CESM2-WACCM, INM-CM5-0, CanESM5
2.015000000000000000e+03, 8.725833348048096738e+00, 1.034468337447282060e+01, 7.096624956756976133e+00, 1.169582956535472640e+01, 1.076422905495322802e+01, 6.974937064845257773e+00, 6.854202717329687999e+00, 1.155960985422363763e+01, 1.104741320478619215e+01, 1.075205988556194825e+01, 7.714952720812791931e+00, 1.054887000941735486e+01, 1.050731328112095930e+01, 1.014584277448077643e+01, 1.099456230393800205e+01, 7.828872347387807018e+00
2.016000000000000000e+03, 8.560779452105585108e+00, 1.072520060350484705e+01, 7.121811761722109502e+00, 1.200945525055482399e+01, 1.049842582439151251e+01, 6.691593540628884007e+00, 6.600145378201087709e+00, 1.129188377974074520e+01, 1.063748008403546663e+01, 1.045769939593788855e+01, 7.664392061336819495e+00, 9.893972605136692522e+00, 9.982141798616183337e+00, 9.950375301319036581e+00, 1.084527961458297085e+01, 8.319511674779352717e+00
2.017000000000000000e+03, 8.519171885368212571e+00, 1.060782495429936212e+01, 7.758475219116506061e+00, 1.173690058544250192e+01, 1.018922354758918658e+01, 6.861708827463573357e+00, 6.348090272436738957e+00, 1.157448487544424687e+01, 1.105385345824465837e+01, 1.112580795516872989e+01, 7.809938060344853383e+00, 1.051247487380586243e+01, 1.023806779772083075e+01, 9.738219465170024236e+00, 1.042165770065916774e+01, 7.922470372276562145e+00
2.018000000000000000e+03, 8.485650170677802251e+00, 1.122923808603911588e+01, 7.396949444296980758e+00, 1.213636816513525041e+01, 1.002455134709043527e+01, 6.989741560142467058e+00, 6.574837282376071457e+00, 1.181008680433094860e+01, 1.138122122070647357e+01, 1.100899879719436569e+01, 8.105941717730306806e+00, 1.042372740700972500e+01, 1.001702158127918452e+01, 9.982716658206452820e+00, 1.084455730526159556e+01, 8.043445259210885823e+00
2.019000000000000000e+03, 8.637909172075042719e+00, 1.082020651264046585e+01, 6.863828539174526178e+00, 1.190507651579798321e+01, 1.001102647406160173e+01, 6.679107459212346498e+00, 6.385783380432574319e+00, 1.228103865977570130e+01, 1.087636758552851113e+01, 1.129751252504796888e+01, 8.302374982708514040e+00, 1.067923847771444379e+01, 9.856135497771052911e+00, 1.031386755397499044e+01, 1.076567880099545604e+01, 7.993864915178484409e+00
2.020000000000000000e+03, 8.692022051557508178e+00, 1.019513733865343674e+01, 7.358615941229213142e+00, 1.249260037855245642e+01, 1.047305508476259206e+01, 7.037523936900234034e+00, 6.414662941138055352e+00, 1.258253311149477760e+01, 1.099558431792129554e+01, 1.166167770299635009e+01, 8.073873999893949716e+00, 1.036788206182652594e+01, 9.765662417272213958e+00, 1.045991818546539420e+01, 1.081915065825302413e+01, 8.008302291356210745e+00
2.021000000000000000e+03, 8.894514535191888172e+00, 1.106802393631303971e+01, 8.045647564259382989e+00, 1.280117535320657929e+01, 1.063858321366389603e+01, 7.119961004869285404e+00, 6.545222220750138042e+00, 1.230657286757858948e+01, 1.115635602314642760e+01, 1.167865303124488641e+01, 8.047338458007427420e+00, 1.060615006831615581e+01, 9.984781360206920198e+00, 1.019641815738206247e+01, 1.085409446679743439e+01, 8.289331159276601468e+00
2.022000000000000000e+03, 8.947167636771085952e+00, 1.053961282729402349e+01, 7.590500363321712740e+00, 1.192399221812635801e+01, 1.054243625393204731e+01, 6.920940714679422179e+00, 7.056821519657610509e+00, 1.150006581631833136e+01, 1.151494218771073363e+01, 1.168080989417208571e+01, 8.134107222094385747e+00, 1.060933003507942729e+01, 1.020340369793248669e+01, 1.000776268734255403e+01, 1.094983170838475672e+01, 8.439869715267636963e+00
2.023000000000000000e+03, 8.998642979253354213e+00, 1.115875669793227232e+01, 7.651959840154172632e+00, 1.248998291027964491e+01, 1.079880564048005809e+01, 7.149589075627694079e+00, 6.841346732200289438e+00, 1.201798406062491686e+01, 1.117211999354990581e+01, 1.154400442513614955e+01, 8.165393913889538169e+00, 1.119603564942168461e+01, 1.008792578676249718e+01, 1.047947080218004778e+01, 1.099705831950967827e+01, 8.239916122532696008e+00
2.024000000000000000e+03, 9.077909249928771018e+00, 1.150419863111893015e+01, 7.135450476815061727e+00, 1.237401429411289833e+01, 1.075233613982095093e+01, 7.686031772476925816e+00, 6.597432067568925085e+00, 1.250632210228680563e+01, 1.156358538396952973e+01, 1.171223752405822793e+01, 8.204994016075978891e+00, 1.095189646965873287e+01, 1.036576249129743310e+01, 1.036023746674900714e+01, 1.126374638209460599e+01, 8.528808196621367799e+00
2.025000000000000000e+03, 8.903002251776317877e+00, 1.140797264630070451e+01, 7.541299702265020777e+00, 1.238851837266838096e+01, 1.117626662902511825e+01, 7.442234284556290547e+00, 6.410367116560124146e+00, 1.256664521745102192e+01, 1.123430399012334213e+01, 1.202486532520942397e+01, 8.113557054259610268e+00, 1.085425204163948187e+01, 9.696855603903165033e+00, 1.084923147077873473e+01, 1.099773208289828830e+01, 8.430737745900827917e+00
2.026000000000000000e+03, 9.263513263103622108e+00, 1.100051890905590923e+01, 7.865076837963635548e+00, 1.248319968348882014e+01, 1.083485531709589189e+01, 7.616573760692936013e+00, 6.908760784128055832e+00, 1.225694586654682183e+01, 1.193402693248487978e+01, 1.185012931675456649e+01, 8.350795811098301158e+00, 1.044152595942611583e+01, 9.623784249971251370e+00, 1.135904790400653042e+01, 1.142362582081648803e+01, 8.500069419502294110e+00
2.027000000000000000e+03, 9.157632521354340582e+00, 1.167889311032228505e+01, 7.973713907584341953e+00, 1.268723447555637485e+01, 1.129727233573238010e+01, 7.568548390582923169e+00, 7.164131763942411801e+00, 1.273479571545078493e+01, 1.175764467686315129e+01, 1.209740883738656692e+01, 8.510927845729224117e+00, 1.079867271271735873e+01, 1.027154694156757664e+01, 1.117649592766342437e+01, 1.079853498991934302e+01, 8.409401655655255325e+00
2.028000000000000000e+03, 9.082345324776815332e+00, 1.155938816493272192e+01, 7.575626570285170835e+00, 1.272928806025334758e+01, 1.088224413899901855e+01, 7.564738003514807296e+00, 6.941181972497154185e+00, 1.257760401011498352e+01, 1.161510311119650574e+01, 1.164607682753192641e+01, 8.589663785500363247e+00, 1.160102556149042918e+01, 1.036013949777725074e+01, 1.061711558673911426e+01, 1.111914547828754962e+01, 8.385039404275785202e+00
2.029000000000000000e+03, 9.463318934012672656e+00, 1.171216895676663228e+01, 7.217387185512539993e+00, 1.318265042388769359e+01, 1.120090327327902635e+01, 7.599713216375239000e+00, 6.938234209552752496e+00, 1.306100181537870775e+01, 1.101029622532759866e+01, 1.198069970582946553e+01, 8.452882561097430525e+00, 1.175423872592647534e+01, 1.046974037254232215e+01, 1.064728560299021787e+01, 1.143971884899231917e+01, 8.389318979322794689e+00
2.030000000000000000e+03, 8.907988083814078806e+00, 1.137227509443972195e+01, 7.344043176036387344e+00, 1.373167958023061175e+01, 1.110688177146861833e+01, 7.613334953075689526e+00, 6.936040469863290703e+00, 1.284289810510346008e+01, 1.153292155497727300e+01, 1.239635796820369507e+01, 8.434946762432529610e+00, 1.062700032116405779e+01, 1.059796701776975425e+01, 1.050481467360610921e+01, 1.098599961071168529e+01, 8.725254831471922046e+00
2.031000000000000000e+03, 9.505518587003699338e+00, 1.149103688324886718e+01, 8.188668965016709933e+00, 1.345932631280226843e+01, 1.117232932807501911e+01, 7.782853776375603161e+00, 6.711118111219813720e+00, 1.286969403127661238e+01, 1.133804732782440183e+01, 1.169159884767286073e+01, 8.521893830321404906e+00, 1.126484000898894422e+01, 1.037894888315557296e+01, 1.040960836009801405e+01, 1.141938338088432303e+01, 8.607008089658654271e+00
2.032000000000000000e+03, 9.032528953673319094e+00, 1.126000050491286864e+01, 7.907130659661793182e+00, 1.338729646726062228e+01, 1.120604577940927626e+01, 8.057063157790699037e+00, 6.814472980029077753e+00, 1.269541473306629698e+01, 1.118834891268585530e+01, 1.186333876067968873e+01, 8.505154192833392912e+00, 1.122143961553752156e+01, 1.069799737403100615e+01, 1.103960141995905886e+01, 1.152781836293390860e+01, 8.468581688388329809e+00
2.033000000000000000e+03, 9.298537941741090052e+00, 1.203975560913859866e+01, 7.823647494163701310e+00, 1.357023914959657773e+01, 1.094828559121664746e+01, 7.651487629834147874e+00, 6.902683249422708833e+00, 1.226524704127915300e+01, 1.193859992181258534e+01, 1.202858883393736278e+01, 8.567299035391702233e+00, 1.055945699527664416e+01, 1.050215658439413069e+01, 1.090889438656357413e+01, 1.144062982478531687e+01, 8.861048576544289901e+00
2.034000000000000000e+03, 9.312274055184452948e+00, 1.159078075862668733e+01, 8.338749514818635689e+00, 1.445375543591915246e+01, 1.122335339031297963e+01, 7.952260741005376943e+00, 7.086870191813088304e+00, 1.232564343020188247e+01, 1.123717280044050959e+01, 1.227273505503262285e+01, 8.706756158215231522e+00, 1.147431843136368812e+01, 1.095787459097552130e+01, 1.160508537362194126e+01, 1.120242252181235720e+01, 9.023777598088157603e+00
