year, CESM2-WACCM, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, INM-CM5-0, CMCC-CM2-SR5, GFDL-ESM4, NorESM2-MM, CNRM-ESM2-1, TaiESM1, EC-Earth3-Veg, NorESM2-LM, UKESM1-0-LL, INM-CM4-8, IPSL-CM6A-LR, CanESM5
2.015000000000000000e+03, 3.509667541182055484e-01, 2.652138518659539757e-01, 6.928073010007244903e-02, 5.352614008778585619e-01, 5.843414664628047150e-01, 5.475402715972540468e-01, 1.190061884233625522e-01, 1.503484622175418062e-01, 4.544876083228972519e-01, -5.751702470865859007e-02, 2.385588809933857912e-01, 2.929540023718694708e-01, 3.699129861647093009e-01, 5.862911374500404671e-01, 2.037912451132593838e-01, -1.471705461689414018e-02
2.016000000000000000e+03, 8.798890207147691545e-02, -9.171883433629372459e-03, 2.983943666213721424e-01, 5.253478233994969271e-01, 6.613237184852034378e-01, -4.268483264441933489e-01, -2.344694500399040205e-01, 3.850654477384058416e-01, 2.831916963727613701e-01, -9.634038762533571332e-02, 9.410768248032976013e-02, 1.598592485840443778e-01, 1.748295212217018391e-01, 2.432791974732325946e-01, 2.033596980187978021e-01, 3.574206900095145967e-01
2.017000000000000000e+03, -1.380868484559557609e-02, 2.108854318590936971e-01, 3.946132592174678849e-02, 4.532561051124350260e-01, 3.100673128462443362e-01, 3.222169759763695573e-01, -8.032150511647168090e-02, 3.264468539177390327e-01, 5.423660527762530492e-01, 2.198820867509053770e-02, 1.123351203188306391e-01, 4.205753164389996329e-02, 1.455032869202502743e-01, 3.891775567167490291e-01, 5.468245886849400217e-02, 3.426310445621291167e-01
2.018000000000000000e+03, 1.391660062605030480e-02, 3.089267968415810306e-01, 5.520361143042189500e-01, 4.533737049411675213e-01, 5.062781945791383631e-01, 1.963031587621026919e-01, 5.394768912384122900e-02, 2.692665465928639201e-01, 2.827619959222817392e-01, 1.995813943591740469e-01, 3.504945780487286888e-01, 1.800755814982298031e-02, 1.030407972191393629e-01, 7.880263958957260950e-01, 1.715361304047860469e-01, 1.445365688065771426e-01
2.019000000000000000e+03, 1.149094891531277779e-01, 4.026097538269072240e-01, 2.055092928174734601e-01, 3.624837783114268630e-01, 2.395418795928288269e-01, 3.247499017765895224e-01, -1.782269915104437441e-01, 1.297742723382826202e-01, 2.277552099984433143e-01, 6.053527077382777483e-02, 3.800697629806521483e-01, 2.234741575140126654e-02, 3.104836079806497784e-01, 4.516957391294745827e-01, 8.155926308352490217e-02, 7.171654156796777868e-02
2.020000000000000000e+03, 3.326185407998414889e-01, 2.606081384524049915e-01, -2.790875952342261601e-01, 3.896469183213364107e-01, 5.338012330059800636e-02, 1.215368397816269652e-01, 9.584545135661805271e-02, 6.693516041172101194e-02, 5.143876864023483320e-01, -2.522782182659414393e-03, 9.707260460586673856e-02, 2.257727155394082252e-01, 1.939310868124880238e-01, 3.256609406233571535e-01, 1.856370607999976718e-01, 2.901713904383745324e-01
2.021000000000000000e+03, 1.175336743156311092e-01, 2.144798724227704456e-01, 5.050199383251156027e-01, 5.296542735525778811e-01, 3.592101641582108873e-01, 2.890114606822815624e-01, 1.170695607851659631e-01, 5.410775974542579581e-02, 5.673700979142548562e-01, 7.671209286878206968e-02, 3.220852983519757462e-01, 2.303858418181297385e-01, 4.364396470674888340e-01, 6.047290936717503174e-01, 1.056952808794033721e-01, 1.924211532310885764e-01
2.022000000000000000e+03, 1.457370731843703887e-02, 2.499090092604821234e-01, 8.420463985267905016e-03, 6.044486301214595514e-01, 4.073188156125538417e-01, 2.201079532259977711e-01, -4.703593625858455696e-02, 4.276302118816610598e-01, 4.390662141379275130e-01, -4.737892588713851771e-01, 3.091297163210824858e-02, 3.324961502053205842e-01, 7.604347070963994593e-02, 6.432335701671995087e-01, 3.306139950135398853e-01, 3.424952465811199609e-01
2.023000000000000000e+03, 2.387539863873660850e-01, 1.988049825499694223e-01, 4.693846626990259563e-01, 5.374735635152158020e-01, 5.049750125770098297e-01, 4.950920349412726851e-01, 2.992295816879704182e-02, 2.386386127287035142e-01, 4.267290820948138608e-01, 5.062065572303955374e-01, 2.824783879508250828e-01, 3.503924086512195668e-01, 4.608098495252484494e-01, 1.727460158292125347e-01, 1.441037090372554730e-01, 2.877642214330206061e-01
2.024000000000000000e+03, 2.167234479565907368e-01, 9.698258706510419491e-02, 3.358599688917524584e-01, 4.544497773185609546e-01, 5.408770990222826480e-01, 1.725136326338526371e-01, 2.671358768822634233e-01, 3.298932797383871129e-01, 3.088095062923247314e-01, 3.829087607720482733e-01, 4.773059505102952293e-01, 2.866888406573343540e-01, 2.313193839921465766e-01, 5.527469782899109285e-01, 1.650762061838143835e-01, 3.925967296950916285e-01
