year, CMCC-CM2-SR5, IPSL-CM6A-LR, CESM2-WACCM, TaiESM1, NorESM2-LM, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-MM, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4, CanESM5
2.057000000000000000e+03, 5.696873987321922073e+00, 7.926700550479965024e+00, 3.995887289648595964e+00, 1.800942168440596181e+00, 4.162864689616082359e+00, 5.135872387786921678e+00, 2.933521780751018682e+01, 4.052475172504344414e+00, 5.773318284406265377e+00, 2.647654697370247234e+01, 2.370295474904585831e+01, 1.463661132564104861e+01, 8.316825526540503333e+00
2.058000000000000000e+03, 6.055909020180190616e+00, 7.950474455134282969e+00, 4.239107532807618206e+00, 1.772931236896256646e+00, 4.263019437190592065e+00, 5.230169904331869013e+00, 2.938646053795743995e+01, 4.078916497969268917e+00, 5.765646695086926066e+00, 2.657058555706462499e+01, 2.369623516824497500e+01, 1.482242456682431175e+01, 8.424563440794877067e+00
2.059000000000000000e+03, 6.102735379205155297e+00, 7.980952818142398542e+00, 4.201914283381978699e+00, 1.791650712298884729e+00, 4.214865382017782380e+00, 5.279960053776564521e+00, 2.941867053327788284e+01, 4.113804501850800044e+00, 5.772160544727360509e+00, 2.659777954602808236e+01, 2.370738940693188113e+01, 1.503245295465384679e+01, 8.505773897203379619e+00
2.060000000000000000e+03, 5.772830989038716609e+00, 7.975606146885937164e+00, 4.141482523490759071e+00, 1.843637569405449650e+00, 4.178701103913896375e+00, 5.332391613049752621e+00, 2.944796845777895555e+01, 4.186470710173300525e+00, 5.762246571240097204e+00, 2.655514981926124563e+01, 2.378876154757489658e+01, 1.526274771768131622e+01, 8.526293063072131417e+00
2.061000000000000000e+03, 5.686455604261405838e+00, 7.976339605155579271e+00, 4.098157029762936610e+00, 1.863436545313359671e+00, 4.296353462932433587e+00, 5.325464796947546375e+00, 2.946625653802556144e+01, 4.196321361224623736e+00, 5.782950899202034201e+00, 2.649882533456818479e+01, 2.379055579485024197e+01, 1.543752767986410923e+01, 8.403257553686058756e+00
2.062000000000000000e+03, 5.365270118612800232e+00, 7.990254253560734377e+00, 4.157176845994501768e+00, 1.838219221122095570e+00, 4.378168901364094090e+00, 5.342421165092193114e+00, 2.961417516961511254e+01, 4.077216543931164061e+00, 5.829680568685173370e+00, 2.662685456123806915e+01, 2.387364504899635875e+01, 1.560238048642268716e+01, 8.469289275364362268e+00
2.063000000000000000e+03, 5.535281779163503835e+00, 8.009612909583289309e+00, 4.151228826584274501e+00, 1.858783786993192688e+00, 4.188582549537227528e+00, 5.212195704029274346e+00, 2.955105129302941691e+01, 4.073873799185136590e+00, 5.826151756560814299e+00, 2.675389342135278525e+01, 2.395640950086512078e+01, 1.561354240140190086e+01, 8.578457324306599574e+00
2.064000000000000000e+03, 6.031512793467249445e+00, 8.034895976430457054e+00, 4.333664447608260417e+00, 1.778107865346960192e+00, 4.027511466079980451e+00, 5.060693683773612506e+00, 2.962104404103580535e+01, 4.109436443047290943e+00, 5.823324562310113528e+00, 2.682604142512715484e+01, 2.394851069985262626e+01, 1.561264067028244540e+01, 8.609586230792888983e+00
2.065000000000000000e+03, 6.257522618400367165e+00, 8.066654623720218353e+00, 4.279496251549361752e+00, 1.872450288131486396e+00, 4.243467072646422089e+00, 5.050607863881309889e+00, 2.966397314330922441e+01, 3.986909799121372888e+00, 5.815512004017443282e+00, 2.689437236104167894e+01, 2.390465167360896004e+01, 1.566304912273265160e+01, 8.593009534370109392e+00
2.066000000000000000e+03, 5.958370586625184373e+00, 8.084722477810938557e+00, 4.013956578648260276e+00, 1.773194245200307995e+00, 4.394951043673584579e+00, 5.103972161510232475e+00, 2.970287330231592904e+01, 4.140172486602073043e+00, 5.809583819218915757e+00, 2.697668581365165608e+01, 2.386100447063838104e+01, 1.576999544639929063e+01, 8.688939509714263210e+00
2.067000000000000000e+03, 5.482331873516975485e+00, 8.093085356256869645e+00, 3.976289757757380805e+00, 1.810650822174726615e+00, 4.332081421603491300e+00, 5.135459299228624097e+00, 2.984084035946851543e+01, 4.084353518248970083e+00, 5.803428515008230093e+00, 2.707650020942393354e+01, 2.388544248800956993e+01, 1.588661693585427237e+01, 8.724865752974105604e+00
2.068000000000000000e+03, 5.762060766504840004e+00, 8.130841047233527519e+00, 4.125816836006698907e+00, 1.880360423193992325e+00, 4.381059265394329216e+00, 5.136703117498228721e+00, 2.985197144129273639e+01, 4.109128698517114486e+00, 5.830046407553838073e+00, 2.705717626541925824e+01, 2.387952540419081870e+01, 1.604570307409036189e+01, 8.651117322174679103e+00
2.069000000000000000e+03, 5.841966944969358977e+00, 8.164812575981377663e+00, 4.150636657504622740e+00, 1.854790471059636348e+00, 4.252648320436455798e+00, 5.156302720168542741e+00, 2.991382040352065630e+01, 4.282829963298460996e+00, 5.822135265060688347e+00, 2.710713176514417810e+01, 2.376031684345918293e+01, 1.623245504524389204e+01, 8.735082728099657245e+00
2.070000000000000000e+03, 6.194821563954150179e+00, 8.153982586756184148e+00, 4.037425030545590765e+00, 1.739523065875336894e+00, 4.093827281493853221e+00, 5.070725119306492168e+00, 2.987031917276440396e+01, 4.341381179633045484e+00, 5.804938573117121692e+00, 2.721683203726660949e+01, 2.379552079485371152e+01, 1.620891758677758787e+01, 8.672417884553698997e+00
2.071000000000000000e+03, 6.037254477191907220e+00, 8.179480634930122562e+00, 4.139652467909447076e+00, 1.844596631612806625e+00, 4.189061096297744591e+00, 5.099919974137973711e+00, 2.988512803434988641e+01, 4.219522158653660426e+00, 5.785001673833502167e+00, 2.728693915501707679e+01, 2.377968158620947747e+01, 1.617878451544702756e+01, 8.738314356281714268e+00
2.072000000000000000e+03, 5.923778551667458814e+00, 8.218349372416250631e+00, 4.186934493044285333e+00, 1.900851036040027031e+00, 4.274381761966723481e+00, 5.267344709622423515e+00, 3.003341628423492082e+01, 4.138285292361037371e+00, 5.800713506973243838e+00, 2.732768627837818087e+01, 2.375146906635138677e+01, 1.622190017491094238e+01, 8.691179237474068842e+00
2.073000000000000000e+03, 5.828596417957320419e+00, 8.237593161783841822e+00, 4.129384454250883962e+00, 1.762086988781929930e+00, 4.134305373299874020e+00, 5.297353894420361087e+00, 2.998844467751106180e+01, 4.051505270514492274e+00, 5.817395011773668578e+00, 2.733986619755254921e+01, 2.375439416936457704e+01, 1.625276167471596622e+01, 8.777019899091699884e+00
2.074000000000000000e+03, 5.778268811163995267e+00, 8.251712840034251428e+00, 4.131204971596886821e+00, 1.694142317700095823e+00, 4.158977574406019784e+00, 5.297129006733014123e+00, 3.006886496132482733e+01, 4.178057746679472828e+00, 5.841351286402838738e+00, 2.742755932204557823e+01, 2.370637083889392116e+01, 1.635035812817221412e+01, 8.947562175856822009e+00
2.075000000000000000e+03, 5.645489182060537736e+00, 8.320854466993797161e+00, 4.140959010555449460e+00, 1.983321891109599777e+00, 4.240170912458253838e+00, 5.049784549757482921e+00, 3.015595738769777157e+01, 4.353076281666576897e+00, 5.841944822504222756e+00, 2.759136061778912818e+01, 2.362146511563484452e+01, 1.643768264198808993e+01, 8.750190856812430695e+00
2.076000000000000000e+03, 5.753831868909521141e+00, 8.338105213381146186e+00, 4.232782749990630755e+00, 1.860584221426632823e+00, 4.236022222579122420e+00, 5.088025952444107602e+00, 3.007022511750743021e+01, 4.260620045903580788e+00, 5.815906485171845830e+00, 2.749456718819497425e+01, 2.362188938658829684e+01, 1.643026081383803927e+01, 8.692700032950062550e+00
2.077000000000000000e+03, 6.342144845565163891e+00, 8.345655736816969039e+00, 4.243252241455794938e+00, 1.775186348054085261e+00, 4.255576971644537743e+00, 5.126665875414227358e+00, 3.009797626243065238e+01, 4.150304841418418711e+00, 5.821224872623255386e+00, 2.746687113039265071e+01, 2.367606043226196988e+01, 1.643785486611868762e+01, 8.792427787189746269e+00
2.078000000000000000e+03, 6.227893717897761583e+00, 8.390314105705797942e+00, 4.058152745197491917e+00, 1.937042356910428254e+00, 4.155980797753196399e+00, 5.103330419361002512e+00, 3.016475847418127287e+01, 4.143367280572158862e+00, 5.841997847436058322e+00, 2.750628206871301629e+01, 2.377531022882897460e+01, 1.646487467212508093e+01, 8.934687917460939488e+00
2.079000000000000000e+03, 5.780985716613484371e+00, 8.399151956248221751e+00, 4.174198188442520774e+00, 1.946868889926228974e+00, 4.177522653224619908e+00, 5.142152970102520371e+00, 3.005089970056303983e+01, 4.113206231727351891e+00, 5.841223811560224632e+00, 2.757931277803677972e+01, 2.382640652592255393e+01, 1.647238472840565393e+01, 9.155974247250872722e+00
2.080000000000000000e+03, 5.938750599555165266e+00, 8.461849721387023848e+00, 4.314040783972893145e+00, 1.775879725452797375e+00, 4.112941908787659528e+00, 5.114449745791386448e+00, 3.024158918624967995e+01, 4.144993671491496556e+00, 5.834556501742531154e+00, 2.750327600587703714e+01, 2.374959680780613880e+01, 1.650214088205071761e+01, 8.985413792765552188e+00
2.081000000000000000e+03, 5.819938832397718365e+00, 8.495124040377003638e+00, 4.201068709418016134e+00, 1.962646698790633248e+00, 4.297300583264070717e+00, 5.122917987776882676e+00, 3.023024082386679368e+01, 4.054053226457658532e+00, 5.866005738156624183e+00, 2.759462064048977226e+01, 2.374729709124009247e+01, 1.647727670345550521e+01, 8.882422145472984809e+00
2.082000000000000000e+03, 5.820386532439508542e+00, 8.506008767619803734e+00, 4.138906884780727324e+00, 1.814015581802616905e+00, 4.386059982601522300e+00, 5.069389330260685611e+00, 3.029707586407220177e+01, 4.025948210175300801e+00, 5.882464457337071906e+00, 2.779510727547145876e+01, 2.377174288608960495e+01, 1.642621067634775400e+01, 8.775361428956955478e+00
2.083000000000000000e+03, 5.877823968626575635e+00, 8.528957878636196810e+00, 4.234907796898326637e+00, 1.860423456810198495e+00, 4.255843242808207805e+00, 5.101179702155462792e+00, 3.038651346736566339e+01, 4.129138172750885794e+00, 5.870350088916353570e+00, 2.775702953835757114e+01, 2.388900757332508462e+01, 1.627103388413051732e+01, 8.818570656868784496e+00
2.084000000000000000e+03, 6.222812133215309238e+00, 8.539780530037473838e+00, 4.154017209227507834e+00, 1.903683343292317032e+00, 4.200925902616162944e+00, 5.020325041365619079e+00, 3.042612028545072533e+01, 4.185957518809011013e+00, 5.858262734714234199e+00, 2.777752751447826896e+01, 2.394595592590433597e+01, 1.633106619362625622e+01, 9.056112516263613799e+00
2.085000000000000000e+03, 6.528811403944032143e+00, 8.564752468916070782e+00, 4.163283153742557197e+00, 1.839278752166154884e+00, 4.226074511856492855e+00, 4.942731176196834220e+00, 3.051639003845125231e+01, 4.170084837431046410e+00, 5.835157132864956964e+00, 2.776069971235244083e+01, 2.381731151050818696e+01, 1.646494956153660993e+01, 9.174072823471178140e+00
2.086000000000000000e+03, 6.043176212505859013e+00, 8.522520942744334249e+00, 4.160809662608873971e+00, 1.675734116353425840e+00, 4.209539371162990484e+00, 4.956395109593871418e+00, 3.052883140984034327e+01, 4.096155980190733459e+00, 5.825542534207715839e+00, 2.784921752402972928e+01, 2.381147086595693807e+01, 1.644111295100999470e+01, 9.036662639831295252e+00
2.087000000000000000e+03, 6.022326139105126153e+00, 8.556793092212295448e+00, 4.107109721626151178e+00, 1.770679127924800644e+00, 4.199775842008217630e+00, 4.913158431818057892e+00, 3.053571727707385719e+01, 4.071425090225516463e+00, 5.788122187451011591e+00, 2.794825651590409166e+01, 2.380046413935505711e+01, 1.635470587068552462e+01, 8.907342588551035334e+00
