year, TaiESM1, GFDL-ESM4, GFDL-ESM4, NorESM2-MM, CESM2-WACCM, NorESM2-LM, CNRM-ESM2-1, EC-Earth3-Veg, TaiESM1, CNRM-ESM2-1, NorESM2-MM, MPI-ESM1-2-LR
2.015000000000000000e+03, 1.119085646949204323e-10, 2.891634447506199908e-10, 2.916851259232697381e-10, 2.686950310187674301e-10, 2.245357388289929551e-10, 2.866289047576033078e-10, 2.072262628612206380e-10, 1.929997315123033124e-10, 1.119085646949204323e-10, 2.072262628612206380e-10, 2.686950310187674301e-10, 1.874979077181478024e-10
2.016000000000000000e+03, 1.859397688378871746e-10, 3.593381142835571588e-10, 3.617944590249284520e-10, 2.849864054366845447e-10, 3.273585673755054642e-10, 3.821465786085196008e-10, 3.070592923827505338e-10, 2.317331858007216452e-10, 1.859397688378871746e-10, 3.070592923827505338e-10, 2.849864054366845447e-10, 2.220608008777010076e-10
2.017000000000000000e+03, 1.307453672995840949e-10, 2.542319500768032661e-10, 2.565293344847308198e-10, 2.241905581718802754e-10, 4.592028275087159071e-10, 2.651382580486123618e-10, 2.104682379074248170e-10, 3.097604061687793411e-10, 1.307453672995840949e-10, 2.104682379074248170e-10, 2.241905581718802754e-10, 1.873344299457665743e-10
2.018000000000000000e+03, 1.399620449059685234e-10, 4.142250531897322084e-10, 4.164814751701275785e-10, 2.308505028137362928e-10, 2.086672694375748560e-10, 4.043386196639055840e-10, 3.382243276144861814e-10, 1.909527056857708052e-10, 1.399620449059685234e-10, 3.382243276144861814e-10, 2.308505028137362928e-10, 1.557328684812711960e-10
2.019000000000000000e+03, 1.255513613965572092e-10, 4.677298267667584677e-10, 4.699591971513278529e-10, 4.026197413577160400e-10, 2.449217525710088216e-10, 6.410109379942005368e-10, 4.136903856338329388e-10, 1.505855778268521117e-10, 1.255513613965572092e-10, 4.136903856338329388e-10, 4.026197413577160400e-10, 2.234943604820741451e-10
2.020000000000000000e+03, 9.252904814329015398e-11, 3.000945511462993940e-10, 3.021554359017635608e-10, 6.834431685318729340e-10, 1.836010591091988933e-10, 9.578936916002630035e-11, 2.315167820880682227e-10, 2.183211186148693419e-10, 9.252904814329015398e-11, 2.315167820880682227e-10, 6.834431685318729340e-10, 2.334402357814876051e-10
2.021000000000000000e+03, 1.378204488702257432e-10, 1.864252989787868530e-10, 1.884065792747598485e-10, 4.546518911248715095e-10, 3.577940992842592545e-10, 1.930994203142719309e-10, 2.226043821807314629e-10, 2.271150505599478816e-10, 1.378204488702257432e-10, 2.226043821807314629e-10, 4.546518911248715095e-10, 1.922141678339568076e-10
2.022000000000000000e+03, 2.112571050599742960e-10, 4.485304127704251203e-10, 4.504180971547228029e-10, 3.362948712008792707e-10, 2.633319186447295842e-10, 2.617479522685981671e-10, 3.519481387347705872e-10, 1.864129207925338276e-10, 2.112571050599742960e-10, 3.519481387347705872e-10, 3.362948712008792707e-10, 3.427377046153516678e-10
2.023000000000000000e+03, 1.595468161781686599e-10, 3.579873856965754684e-10, 3.599340530131999915e-10, 3.460931104218486086e-10, 3.335016048413522396e-10, 2.282005905790483643e-10, 2.890826392829391739e-10, 2.674718580855930645e-10, 1.595468161781686599e-10, 2.890826392829391739e-10, 3.460931104218486086e-10, 2.022108723867744338e-10
2.024000000000000000e+03, 9.237388011887414258e-11, 4.068897906910860064e-10, 4.087447033817530642e-10, 3.759429631653662071e-10, 2.632400303699116462e-10, 1.520071621001373769e-10, 3.288683771181921261e-10, 2.267193995699739343e-10, 9.237388011887414258e-11, 3.288683771181921261e-10, 3.759429631653662071e-10, 1.885286937271882888e-10
2.025000000000000000e+03, 1.744454734040424642e-10, 2.749460997619574420e-10, 2.768844109173140677e-10, 5.214472128003373216e-10, 1.078519189252681323e-10, 2.854617349666412943e-10, 3.301827097818596168e-10, 3.341910980196699015e-10, 1.744454734040424642e-10, 3.301827097818596168e-10, 5.214472128003373216e-10, 2.520880376723352742e-10
