year, IPSL-CM6A-LR, INM-CM4-8, UKESM1-0-LL, TaiESM1, NorESM2-LM, ACCESS-ESM1-5, EC-Earth3-Veg, INM-CM5-0, GFDL-ESM4, MIROC-ES2L, CESM2-WACCM, NorESM2-MM, CanESM5, MPI-ESM1-2-LR, CMCC-CM2-SR5, CNRM-ESM2-1
2.032000000000000000e+03, 3.142327652370208391e+00, 6.273146100966365601e+00, 6.508033551231563685e+00, 4.724971198667680561e+00, 5.451261068213741012e+00, 4.322205179600817182e+00, 4.619273813729789957e+00, 6.450377198531791478e+00, 4.097751981814557354e+00, 5.181354763824709941e+00, 5.450971063170589659e+00, 5.212193423664996494e+00, 4.754864582510112569e+00, 5.832951291736129917e+00, 5.048446364063241987e+00, 4.009279307244401735e+00
2.033000000000000000e+03, 3.160232240201103604e+00, 6.710393213943053325e+00, 6.601848856804429566e+00, 4.671522581389126572e+00, 5.246239847373130871e+00, 4.341360355729732667e+00, 4.528322919171079874e+00, 6.409031694690973779e+00, 3.799192961346480768e+00, 5.311376272914491992e+00, 5.432104856792062897e+00, 5.147578726059363952e+00, 4.999301587195223107e+00, 6.336189770157533374e+00, 4.743265551077103126e+00, 4.014603556477180035e+00
2.034000000000000000e+03, 3.313224979167711748e+00, 6.289434247546324741e+00, 6.759697205374954443e+00, 4.913033943721746510e+00, 5.543768597616838711e+00, 4.442591008989206003e+00, 5.004622302698130021e+00, 6.279529747452377464e+00, 4.079068740883498911e+00, 5.308637071411967057e+00, 5.644368507468194629e+00, 5.430965088662876639e+00, 5.161389946434120191e+00, 6.022852003339283833e+00, 5.269502136600176634e+00, 4.264537394336514353e+00
2.035000000000000000e+03, 3.480816350662660152e+00, 6.629065410687045912e+00, 6.572630457102655477e+00, 4.957201924261213755e+00, 5.451856880183960641e+00, 4.280793582772250971e+00, 4.606519434917599298e+00, 6.393927204577914303e+00, 4.061364753830183361e+00, 5.180746814802880351e+00, 5.194752779881140370e+00, 5.443209294792161757e+00, 4.696179898485559612e+00, 6.135302842819609026e+00, 4.975255520070268389e+00, 3.695563184853434713e+00
2.036000000000000000e+03, 3.394094852603684931e+00, 6.560598672611718918e+00, 6.807543893641949673e+00, 4.609242921730983156e+00, 5.405196220196745394e+00, 4.481440645884440244e+00, 4.731793040731106181e+00, 6.308599716598325635e+00, 3.689848225336350929e+00, 5.180449404439995575e+00, 5.343422386399375945e+00, 5.470320120639583727e+00, 5.376609850101319310e+00, 6.250494330683348920e+00, 4.925626012552429600e+00, 3.876738664969753057e+00
2.037000000000000000e+03, 3.325862081310563489e+00, 6.425727833441709613e+00, 6.772407282413404062e+00, 4.707127202128294385e+00, 5.202534843638499495e+00, 4.510459077177945808e+00, 4.957829895348138116e+00, 6.535748606749466560e+00, 3.886528011759525114e+00, 5.014999158241483457e+00, 5.641375303010044640e+00, 5.219911336526279477e+00, 5.334511640973812696e+00, 5.894830789269614790e+00, 4.703854217376402858e+00, 4.002654055488320317e+00
2.038000000000000000e+03, 3.263324408588423875e+00, 6.537134646727974285e+00, 6.865869998873379565e+00, 4.799046165191485080e+00, 5.650844099439257029e+00, 4.403976480467408194e+00, 4.500053183021913483e+00, 6.405021981030733613e+00, 3.837065601406359772e+00, 5.179350276364608874e+00, 5.578849781516415085e+00, 5.319727840385162665e+00, 5.332419003873280161e+00, 6.487749547778162373e+00, 5.531141494415721560e+00, 4.184730359781354991e+00
2.039000000000000000e+03, 3.379301763963492355e+00, 6.518522234714303920e+00, 6.733801163807999757e+00, 4.872363730810914895e+00, 5.615605784744125195e+00, 4.180963425700377378e+00, 4.541477239473925565e+00, 6.290450502736958605e+00, 4.035504801751444326e+00, 5.039379385443853110e+00, 5.486387466293135340e+00, 5.499597678267993395e+00, 5.178828376105128584e+00, 6.241952091267955360e+00, 5.313457138061873586e+00, 4.214247124243477138e+00
2.040000000000000000e+03, 3.383341069883499586e+00, 6.416184146216342477e+00, 6.856151140070251948e+00, 5.003639225021183634e+00, 5.511766258103788729e+00, 4.286475586540287708e+00, 4.664039400381011724e+00, 6.474284063603178652e+00, 4.119470290150857750e+00, 5.170710332567668210e+00, 5.676758943320875161e+00, 5.376663087848388756e+00, 5.307114981309730695e+00, 6.419660864355161145e+00, 4.867012597208034919e+00, 4.165780800185481247e+00
2.041000000000000000e+03, 3.413015660692734432e+00, 6.710054732778182540e+00, 7.079891666310746068e+00, 4.839220559948944178e+00, 5.338948909651797692e+00, 4.550145320958802309e+00, 4.444595692959691036e+00, 6.516130418150421377e+00, 4.292227055533164304e+00, 5.041525751454329018e+00, 5.682838903400318387e+00, 5.420746476255032142e+00, 5.194444060053283074e+00, 6.677875736548358532e+00, 5.264230138683099192e+00, 4.049708208134678245e+00
2.042000000000000000e+03, 3.323447107796155819e+00, 6.515715001189502864e+00, 6.882874367911313129e+00, 4.796898881099551204e+00, 5.183132773781479408e+00, 4.465857920988239194e+00, 4.654160516376406598e+00, 6.722455293898324413e+00, 4.171652130608280551e+00, 5.252725712719144902e+00, 5.950664565108602311e+00, 5.635415414802533718e+00, 4.925498610807261812e+00, 6.392820020338304765e+00, 4.960129028715865473e+00, 3.980560800981413294e+00
2.043000000000000000e+03, 3.461764793153528252e+00, 6.760099392654840500e+00, 6.741421414949234858e+00, 4.990998424634656594e+00, 5.756459045827405419e+00, 4.562858228328108723e+00, 4.804884347675026035e+00, 6.410562580936938204e+00, 4.383200644100471166e+00, 5.171955477977843607e+00, 5.717065347696453692e+00, 5.419154896380997677e+00, 5.356115926693238549e+00, 6.526842283314175042e+00, 5.353944586773424774e+00, 4.103077731665162986e+00
2.044000000000000000e+03, 3.200675840368717662e+00, 6.515141626051152990e+00, 6.598671615025371473e+00, 4.870856693742994459e+00, 5.554534162056248725e+00, 4.442576002971263094e+00, 4.601364191887135746e+00, 6.311804937234112955e+00, 4.285767623019443917e+00, 5.292043071228970774e+00, 5.779617031782338543e+00, 5.305842379578879608e+00, 5.358002198944929795e+00, 6.490902771646284819e+00, 5.268665803346676668e+00, 4.078073838765096326e+00
2.045000000000000000e+03, 3.478273006320826255e+00, 6.460870915719515217e+00, 6.985549315581624619e+00, 5.000435860060776783e+00, 5.826535369563189626e+00, 4.642560470880186863e+00, 4.591362837018290399e+00, 6.571125679381067286e+00, 4.053933981773704787e+00, 5.251870993645994190e+00, 5.785602466192026228e+00, 5.360592606252680525e+00, 5.146767919722626594e+00, 6.635030185425630833e+00, 5.068684911318527497e+00, 4.213561835011072176e+00
2.046000000000000000e+03, 3.570287357708973541e+00, 6.561697065340484691e+00, 7.075696462357339733e+00, 5.151105128616399575e+00, 5.844288720966989814e+00, 4.607229181462792589e+00, 4.853517723340555534e+00, 6.722043706747864888e+00, 4.544266659976360145e+00, 5.490696700474028802e+00, 5.709215537060670975e+00, 5.419648692433277404e+00, 5.518771970701151552e+00, 6.537037820347309847e+00, 5.159311948475907350e+00, 4.308027178951833847e+00
2.047000000000000000e+03, 3.350209994332413288e+00, 6.595149628550598386e+00, 6.932416421475748436e+00, 4.683112143969273333e+00, 5.656794289138477261e+00, 4.474267588918525718e+00, 4.726985542633625137e+00, 6.475295376641787115e+00, 4.271782782648619659e+00, 5.447175869738493326e+00, 5.637173145892841575e+00, 5.449463911652607351e+00, 5.330468613282944190e+00, 6.564389263710912914e+00, 5.498101157844454079e+00, 4.467595847162129985e+00
