year, NorESM2-MM, IPSL-CM6A-LR, ACCESS-ESM1-5, GFDL-ESM4, CNRM-ESM2-1, EC-Earth3-Veg, CanESM5, NorESM2-LM, TaiESM1, CMCC-CM2-SR5, UKESM1-0-LL, CESM2-WACCM, MPI-ESM1-2-LR, MIROC-ES2L
2.015000000000000000e+03, 4.537148626484754033e+00, 2.462199110267224267e+00, 3.762249391775537521e+00, 2.893351059331741304e+00, 3.152931845793036647e+00, 2.835505174440223985e+00, 4.417742972406642821e+00, 4.235284770808102728e+00, 4.310476949555440029e+00, 3.812819388939993726e+00, 5.369527814869051063e+00, 4.231900090732701791e+00, 5.045018718023613680e+00, 4.121928793590586615e+00
2.016000000000000000e+03, 3.969341485764813271e+00, 2.336272778675586359e+00, 3.897085083916658199e+00, 3.000983274241264986e+00, 3.296307390878457255e+00, 3.004663365607776804e+00, 4.398386783775810827e+00, 4.241397047847750734e+00, 4.206479588463533759e+00, 4.268986843418680621e+00, 5.422162814316380697e+00, 4.261740738346923685e+00, 5.008098788756504050e+00, 4.042228849731675844e+00
2.017000000000000000e+03, 4.112792762887515607e+00, 2.344902327152561305e+00, 3.818794587388844253e+00, 2.891987777964777351e+00, 3.371336732932016744e+00, 2.846599089601525634e+00, 4.136450100802131935e+00, 4.325056140540343819e+00, 4.345130465020824673e+00, 4.311519373883068162e+00, 5.775669895924172792e+00, 4.223575334699775752e+00, 5.220429196868492383e+00, 4.083785173754824527e+00
2.018000000000000000e+03, 3.958296844080074095e+00, 2.338559953705272587e+00, 3.882853262115380844e+00, 2.907586044349523391e+00, 3.211373072946037244e+00, 2.855177592901595673e+00, 4.379637456453884248e+00, 4.288299108129116632e+00, 4.202401956540982475e+00, 4.156075859868940903e+00, 5.773651164834948446e+00, 4.447175625908399432e+00, 5.026174380788220653e+00, 4.058081632223224489e+00
2.019000000000000000e+03, 3.964849763538142557e+00, 2.367891307846208271e+00, 3.912407660339721982e+00, 2.944875746336095723e+00, 3.107194368518289895e+00, 2.715687163991304498e+00, 4.427494226466876626e+00, 4.251760043651506393e+00, 4.331637395588376016e+00, 4.225064699261124268e+00, 5.713752072883218958e+00, 4.511674811830015841e+00, 5.057190273232253119e+00, 4.218000972516921188e+00
2.020000000000000000e+03, 3.906189335494688386e+00, 2.314718872277902406e+00, 3.891585242856320459e+00, 2.906499369238237485e+00, 3.209147624668986509e+00, 3.083579808741091277e+00, 4.249185169886946944e+00, 4.493226692368138764e+00, 4.545135302348306539e+00, 4.236256416904218725e+00, 5.961003793334099576e+00, 4.380383358580552056e+00, 5.194873462269410602e+00, 4.232401540019903763e+00
2.021000000000000000e+03, 4.288755582727561411e+00, 2.438185377914124707e+00, 3.909454630522565921e+00, 2.880704762125817719e+00, 3.488975633024899992e+00, 3.025720110145680319e+00, 4.528319602443056979e+00, 4.492203366684083043e+00, 4.285282541585982763e+00, 4.302678083259853459e+00, 5.806864451197943033e+00, 4.383573500726048344e+00, 5.085406672663075334e+00, 4.238909753801141100e+00
2.022000000000000000e+03, 4.074801503321337393e+00, 2.452710449672103721e+00, 3.941824494155100389e+00, 2.948235936090956244e+00, 3.250953600146345490e+00, 2.899636966331618382e+00, 4.475040344873460363e+00, 4.310637794597321104e+00, 4.590300458731287669e+00, 4.352506395838176445e+00, 6.101011012630040753e+00, 4.457348760103531760e+00, 5.073909886600225683e+00, 4.201354737836640041e+00
2.023000000000000000e+03, 4.051145004216341938e+00, 2.527477354141625998e+00, 3.981401662284700382e+00, 2.990009586529789321e+00, 3.332890010529275138e+00, 3.018501793157915891e+00, 4.375888553386454660e+00, 4.412849273050569288e+00, 4.192871015158433856e+00, 4.265363921636248001e+00, 5.685764057566263574e+00, 4.399772865357525653e+00, 5.092602839141551208e+00, 4.276231507245075392e+00
2.024000000000000000e+03, 4.111699844424649974e+00, 2.376850784161359087e+00, 4.039057618642395653e+00, 3.043682906393670784e+00, 3.223257916012327140e+00, 2.796937950722557353e+00, 4.464647270621460606e+00, 4.421687541706466718e+00, 4.326564107804597548e+00, 4.438484254186016997e+00, 5.957971974130845894e+00, 4.377291332425937043e+00, 5.394616912374907258e+00, 4.391768940376010733e+00
2.025000000000000000e+03, 4.016382468533612027e+00, 2.413449166802015267e+00, 3.996456531045081473e+00, 3.125345511901660434e+00, 3.401147032345352095e+00, 3.086157866725740995e+00, 4.547421088209805617e+00, 4.389912099353086461e+00, 4.376359903613455948e+00, 4.391459298068737027e+00, 5.943877406638781835e+00, 4.701546764517552823e+00, 5.498142383212933026e+00, 4.348125080162715150e+00
2.026000000000000000e+03, 4.140709333241368029e+00, 2.417104984413481539e+00, 3.968485496883972452e+00, 3.044885831243286489e+00, 3.589683360481224828e+00, 3.227789516318761542e+00, 4.427382929891361840e+00, 4.442286342500514351e+00, 4.655388399471049432e+00, 4.280623508885232020e+00, 6.064641898609597348e+00, 4.491628923633122383e+00, 4.971655779497709204e+00, 4.417979586614738885e+00
2.027000000000000000e+03, 4.154508084304842086e+00, 2.509035513636979076e+00, 4.001899785475330873e+00, 3.114721517067424728e+00, 3.376111269409672211e+00, 3.171788805768689823e+00, 4.456212228016899424e+00, 4.412932591670910121e+00, 4.423720121950455386e+00, 4.473919457885318529e+00, 5.809598256589064924e+00, 4.444966188033134813e+00, 5.402894570043577538e+00, 4.422076499384862025e+00
2.028000000000000000e+03, 4.209997189522177052e+00, 2.523782273815203148e+00, 4.027366564034607244e+00, 3.100013203428446662e+00, 3.272723656804552572e+00, 3.189370966289411413e+00, 4.665237497918060861e+00, 4.316434716062332200e+00, 4.541020624709870113e+00, 4.285939983705474354e+00, 6.027435820921112075e+00, 4.562604284424073953e+00, 5.472995160364861000e+00, 4.396959291112935375e+00
2.029000000000000000e+03, 4.161369944108316510e+00, 2.515543614746921008e+00, 4.112386606388897192e+00, 3.127953704213264352e+00, 3.182854284748549922e+00, 3.317384971508194447e+00, 4.454240952648961027e+00, 4.638464934982986954e+00, 4.417203431658505153e+00, 4.348324693949459530e+00, 5.940324674214206624e+00, 4.496012708336525776e+00, 5.571193449411065757e+00, 4.560398362899150015e+00
2.030000000000000000e+03, 4.076578643193683682e+00, 2.512740662856616680e+00, 4.052087210046154908e+00, 3.120881769056869093e+00, 3.165063724695049263e+00, 3.049141774357778001e+00, 4.719178032079875074e+00, 4.619918444790440226e+00, 4.442883288829434285e+00, 4.473628334914026894e+00, 6.173113864779087301e+00, 4.679387275734905316e+00, 5.480356870379196721e+00, 4.369164930737976071e+00
2.031000000000000000e+03, 4.176675080432694642e+00, 2.494432862487125035e+00, 4.150484666676701018e+00, 3.166008873179768646e+00, 3.487180980733067148e+00, 2.854096619297909587e+00, 4.588770982490747663e+00, 4.413481973423706073e+00, 4.620332138243764319e+00, 4.718151843932147038e+00, 5.725434943175522484e+00, 4.444337845397238418e+00, 5.211680630182194740e+00, 4.459110849687625944e+00
2.032000000000000000e+03, 4.374256957831503811e+00, 2.503839751519488566e+00, 4.018270383485540442e+00, 3.224727672844897697e+00, 3.300719671459647397e+00, 3.221251082168488988e+00, 4.504358022824774821e+00, 4.689890473405899485e+00, 4.658137003441108703e+00, 4.260465732693370811e+00, 6.119824158601703701e+00, 4.636988948409825895e+00, 5.401108200972866591e+00, 4.379242241306172012e+00
2.033000000000000000e+03, 4.306009106754683735e+00, 2.522865530180821381e+00, 4.063477064605772071e+00, 3.222242593195551841e+00, 3.571627870312190201e+00, 3.257589104701970939e+00, 4.898375247589304315e+00, 4.558100332373609120e+00, 4.357091890719929417e+00, 4.532378339069160766e+00, 5.870486208142870588e+00, 4.451034521149495049e+00, 5.426018656761689485e+00, 4.588699597482421844e+00
2.034000000000000000e+03, 4.360360678302742876e+00, 2.532058073617583727e+00, 4.071099952308967929e+00, 3.234863258963689425e+00, 3.551892874271081357e+00, 3.234624174753169878e+00, 4.662373685224089570e+00, 4.651997736086339152e+00, 4.567768949266834966e+00, 4.457403529530278519e+00, 6.222835894217872976e+00, 4.640242957666737667e+00, 5.360318580373014008e+00, 4.610697248933111503e+00
2.035000000000000000e+03, 4.277249579927666190e+00, 2.594792275022593575e+00, 4.190474308346527010e+00, 3.241207542928755903e+00, 3.233628537483330234e+00, 3.019824624469842789e+00, 4.637572405439042811e+00, 4.487544542667246894e+00, 4.339028320132740646e+00, 4.391893973505973214e+00, 6.124469452024261074e+00, 4.503716937079509819e+00, 5.623957965078628440e+00, 4.482256419244190049e+00
2.036000000000000000e+03, 4.418623573201889698e+00, 2.612611387965859233e+00, 4.171709706622089620e+00, 3.217457797208860271e+00, 3.262666406179582701e+00, 3.293700151597907411e+00, 4.871374820500644631e+00, 4.617815179812023274e+00, 4.474317540638627300e+00, 4.411376832494024569e+00, 6.223872375861584594e+00, 4.763367472812058523e+00, 5.392218223359158458e+00, 4.505707487318640680e+00
2.037000000000000000e+03, 4.378164698630348184e+00, 2.629838785811856816e+00, 4.103639406476041529e+00, 3.187417373177928503e+00, 3.411563657086525758e+00, 3.101348199162030639e+00, 4.900256607947110155e+00, 4.499941637981446974e+00, 4.628270280242283263e+00, 4.635154160426632863e+00, 6.032616810325121648e+00, 4.721921339439173693e+00, 5.288116280301450978e+00, 4.525891599831160406e+00
2.038000000000000000e+03, 4.411703025938003009e+00, 2.633690620606198962e+00, 4.094310484090748048e+00, 3.270883916986672357e+00, 3.539319551133179420e+00, 3.202471157368149690e+00, 4.834836253877868195e+00, 4.726948665449739906e+00, 4.608723519067131846e+00, 4.599649460687023073e+00, 6.080301645250944631e+00, 4.601511867529863409e+00, 5.796984100671520146e+00, 4.640158623375143065e+00
